F' R D' F2 D2 B2
D2 R2 B R' D' F2
R2 D2 B R' D' F2
R F D' F2 R B
U2 F' U R' U R2
U2 F' U2 R D' F2
R F' D' R F2 B
R F' D' R B F2
F' L U R' U L' R2
F' L U R' U R2 L'
F' L U2 L' R D' F2
F' L U2 R L' D' F2
F' L U2 R D' L' F2
U2 L F' U R' U R2
U2 L F' U2 R D' F2
F' L' U R' U L R2
F' L' U R' U R2 L
F' L' U2 L R D' F2
F' L' U2 R L D' F2
F' L' U2 R D' L F2
F' L' U2 R D' F2 L
U2 L' F' U R' U R2
U2 L' F' U2 R D' F2
F L' F2 U R' U L
F' L2 U R' U L2 R2
F' L2 U R' U R2 L2
F' L2 U2 L2 R D' F2
F' L2 U2 R L2 D' F2
U2 L2 F' U R' U R2
U2 L2 F' U2 R D' F2
F' R U' R2 U D B2
F' R U' R2 U2 R2 U'
F' R U' R2 D U B2
F' R U' R2 D2 L2 U
D R U' R2 B L U
F' R U2 D B2 U2 B2
F' R D U2 B2 U2 B2
F' R D F2 D2 F2 B2
F' R D F2 D2 B2 F2
D' R D' R F2 B R'
D' R D' R B R' F2
D' R D' R B F2 R'
D' R D' F2 R B R'
F' R D' F2 U2 F2 U2
F' R D' F2 D2 B2 D
F' R D' F2 D2 B2 D'
F' R D' F2 D2 B2 D2
F' R D' F2 B D2 B2
F' R D' F2 B' D2 B2
F' R D' F2 B2 D2 B2
F' R D' B F2 D2 B2
F' R D' B' F2 D2 B2
F' R D' B2 F2 D2 B2
F R D' F2 R D' B2
F R D' F2 D' R B2
F R D' F2 D' B2 R
F' R F U' R2 U B
F R D2 B2 D F2 R
B' R F' D' R F' B
B' R F' D' R B F'
F' R F2 D' F2 D' B2
F' R F2 D2 B2 D F2
F' R B D' F2 D2 B2
F' R B' D' F2 D2 B2
F' R B2 D' F2 D2 B2
U' R' U R' D2 B R'
U2 R' U' R F' U2 R
F' R' F R2 D' F2 B
F' R' F R2 D' B F2
F' R' F R2 B D' F2
F' R2 U2 R' D' F2 L'
D' R2 D' B R' D' F2
B' R2 F' D' B R F'
B' R2 F' B R D' F2
B2 R2 F' B D' R F'
D2 R2 B R' U' R2 U
D2 R2 B R' D' F2 D
D2 R2 B R' D' F2 D'
D2 R2 B R' D' F2 D2
D2 R2 B R' F D' F2
D2 R2 B R' F' D' F2
D2 R2 B R' F2 D' F2
D2 R2 B U' R U R2
D2 R2 B D R' D' F2
D2 R2 B D' R' D' F2
D2 R2 B D2 R' D' F2
B' R2 B F' R D' F2
B2 R2 B F' D' R F'
B2 U L U F' U2 R
F' U R' U R2 D2 L2
U2 D F' U R' B U
R D' R F2 D' B R'
D2 U' R' U R' B R'
D2 U' R' U B R' B
D2 U' R' B U R' B
R D' F' D F' R B
F' U' R' U2 R U' R
R D' F2 R D' B R'
R D' F2 D' R B R'
F U' R' U' L' F2 U2
F U' R' U' F2 U2 R
R D2 R B R' D F2
R D2 R B D R' F2
R D2 R B D F2 R'
U' D2 R' U R' B R'
U' D2 R' U B R' B
U' D2 R' B U R' B
F U2 L' F2 U R' U
D U2 F' U R' B U
R2 D2 B R' U' R2 U
R2 D2 B R' D' F2 D
R2 D2 B R' D' F2 D'
R2 D2 B R' D' F2 D2
R2 D2 B R' F D' F2
R2 D2 B R' F' D' F2
R2 D2 B R' F2 D' F2
R2 D2 B U' R U R2
R2 D2 B D R' D' F2
R2 D2 B D' R' D' F2
R2 D2 B D2 R' D' F2
U2 F L' F2 U R' U
B' U2 F' U2 D' R F'
B' U2 F' D' U2 R F'
B2 U2 F' U' L U' R
B U2 F' U' L' U' R
R' F R2 D' F2 R B
F U2 F2 U R' U R2
F U2 F2 U2 R D' F2
R2 F D F2 B R F'
R2 F D B F2 R F'
F' D R D' F2 D2 B2
R F D' R F2 B R
R F D' R B F2 R
R F D' F2 R D B
R F D' F2 R D' B
R F D' F2 R D2 B
R F D' F2 R B D
R F D' F2 R B D'
R F D' F2 R B D2
R F D' F2 D R B
R F D' F2 D' R B
R F D' F2 D2 R B
R F D' F2 B R B
R F D' F2 B' R B
R F D' F2 B2 R B
R F D' B F2 R B
R F D' B' F2 R B
R F D' B2 F2 R B
R2 F B D F2 R F'
R F B D' F2 R B
U2 F' L U R' U R2
U2 F' L U2 R D' F2
R F B' D' F2 R B
U2 F' L' U R' U R2
R F B2 D' F2 R B
U2 F' L' U2 R D' F2
U2 F' L2 U R' U R2
U2 F' L2 U2 R D' F2
U' F' R' F U R2 B
R F' R B U' R U
U' F' U R' F U R2
L' F' U R' U L R2
L' F' U R' U R2 L
U2 F' U R' U R2 D
U2 F' U R' U R2 D'
U2 F' U R' U R2 D2
L2 F' U R' U L2 R2
L2 F' U R' U R2 L2
U2 F' U R' D B2 U
U2 F' U R' B U R2
U2 F' U R' B' U R2
U2 F' U R' B2 U R2
U2 F' U D R' U R2
U2 F' U D' R' U R2
U2 F' U D2 R' U R2
L' F' U2 L R D' F2
L' F' U2 R L D' F2
L' F' U2 R D' L F2
L' F' U2 R D' F2 L
L2 F' U2 L2 R D' F2
U2 F' U2 R U' R2 U
L2 F' U2 R L2 D' F2
U2 F' U2 R D' F2 D
U2 F' U2 R D' F2 D'
U2 F' U2 R D' F2 D2
U2 F' U2 R F D' F2
U2 F' U2 R F' D' F2
U2 F' U2 R F2 D' F2
U2 F' U2 D R D' F2
U2 F' U2 D' R D' F2
U2 F' U2 D2 R D' F2
U2 F' D U R' U R2
U2 F' D U2 R D' F2
B' D' R D F' R B
U2 F' D' U R' U R2
F' D' R D' F2 D2 B2
U2 F' D' U2 R D' F2
R F' D R D2 F2 B
R F' D R D2 B F2
U2 F' D2 U R' U R2
U2 F' D2 U2 R D' F2
R F' D' R F2 D B
R F' D' R F2 D' B
R F' D' R F2 D2 B
R F' D' R F2 B D
R F' D' R F2 B D'
R F' D' R F2 B D2
R F' D' R B F2 D
R F' D' R B F2 D'
R F' D' R B F2 D2
R F' D' R2 F2 R' B
F D' R D' F2 R B2
F D' R D' F2 B2 R
F D' R D' B2 F2 R
B' D' R2 D' B R' F'
R F' D' B R F2 B
R F' D' B R B F2
R F' D' B' R F2 B
R F' D' B' R B F2
R F' D' B2 R F2 B
R F' D' B2 R B F2
R F' D2 R D F2 B
R F' D2 R D B F2
R F' D2 R B D F2
U2 F' B' U2 D' R F'
U2 F' B' D' U2 R F'
U2 F' B2 U' L U' R
R F' B D' R F2 B
R F' B D' R B F2
R F' B' D' R F2 B
R F' B' D' R B F2
R F' B2 D' R F2 B
R F' B2 D' R B F2
F D' F2 R D' F2 B2
F D' F2 R D' B2 F2
F' D2 R D' F2 D2 B2
R F2 D' F R F B
R F2 D' F R B F
F D2 R B2 D' F2 R
F D2 F2 R B2 D' F2
R2 B R' F D' F2 R
R2 B R' F' D' R F2
R2 B R2 F' R D' F2
R2 B F D F2 R F'
R B F D' F2 R B
R B F' D' R F2 B
R B F' D' R B F2
D' B' D' R2 B R' F'
D B' D' R F' R B
U2 B' F' U2 D' R F'
U2 B' F' D' U2 R F'
R B' F D' F2 R B
R B' F' D' R F2 B
R B' F' D' R B F2
U2 B2 F' U' L U' R
R B2 F D' F2 R B
R B2 F' D' R F2 B
R B2 F' D' R B F2
