F L' D' B R' F'
U2 L U' F L' B R
U2 L U' F B L' R
U2 L U' F B R L'
U2 L U' B F L' R
U2 L U' B F R L'
U2 L F L' B D' R2
F L' R' D F' R B
F L' D R' F' R B
F L' D B R' F' R
F2 L' D' B R' F' L'
F L' D' F B R' F'
F L' D' F' B R' F'
F L' D' F2 B R' F'
F L' D' B R' D F'
F L' D' B R' D' F'
F L' D' B R' D2 F'
F L' D' B R' F' D
F L' D' B R' F' D'
F L' D' B R' F' D2
F L' D' B D R' F'
F L' D' B D' R' F'
F L' D' B D2 R' F'
F L' D' B F R' F'
F L' D' B F' R' F'
F L' D' B F2 R' F'
F L' F D' B R' F'
F L' F' D' B R' F'
F L' F2 D' B R' F'
F L' B R' D F' R
F L' B D R' F' R
U2 L2 F U' L' F B
U2 L2 F U' L' B F
U2 L2 F U' B L' F
B' R U B2 L2 F L'
B R F L' D' R2 F'
B R F D' L' R2 F'
B R F D' R2 L' F'
B R F2 D' R2 F' L'
F R' L' D F' R B
B' R' U F L' F2 B2
B' R' U F L' B2 F2
B' R' U F B2 L' F2
B' R' U B2 F L' F2
B' R' F U L' F2 B2
B' R' F U L' B2 F2
B' R' F U B2 L' F2
B R' F L' F2 D' R2
D2 U B' U L F B2
D2 U B' U L B2 F
D2 U' B' R' U L B2
F2 U' B' R' F' U B2
F U' B' R' U L' B2
F U' B' R' U B2 L'
B' U2 L U' F L' B2
B' U2 L U' F B2 L'
B' U2 L U' B2 F L'
U' D2 B' R' U L B2
U D2 B' U L F B2
U D2 B' U L B2 F
F2 U2 B L D' R2 F
F2 U2 B L D' F R2
F2 U2 B L F D' R2
F2 U2 B D' L R2 F
F2 U2 B D' L F R2
F2 U2 B D' R2 L F
L2 F U' B L' D F2
L' F D' L' B R' F'
F D L' D' B R' F'
L' F D' B L' R' F'
L' F D' B R' L' F'
U' F B' R' U L' B2
U' F B' R' U B2 L'
U F B' R U L' B2
U F B' R U B2 L'
R2 F' R U B' U F'
F D' L' D' B R' F'
F D2 L' D' B R' F'
L' F2 D' B R' F' L'
U2 B L F L' D' R2
U2 B L F D' L' R2
U2 B L F D' R2 L'
B F L' R D' R2 F'
B F L' R' D' F' R2
B F L' R' F' D' R2
B F L' D' R' F' R'
F B L' R D' R2 F'
F B L' R' D' F' R2
F B L' R' F' D' R2
F B L' D' R' F' R'
B' F R' U L' F' B2
B' F R' U L' B2 F'
F2 B R D' R2 F' L'
B' F R' U B2 L' F'
B F R L' D' R2 F'
B F R D' L' R2 F'
B F R D' R2 L' F'
F B R L' D' R2 F'
F2 B R' D' F' L' R2
F2 B R' D' F' R2 L'
F2 B R' F' L' D' R2
F2 B R' F' D' L' R2
F2 B R' F' D' R2 L'
F B R D' L' R2 F'
F B R D' R2 L' F'
B F R' L' D' F' R2
B F R' L' F' D' R2
B F R' D' L' F' R2
F B R' L' D' F' R2
F B R' L' F' D' R2
F B R' D' L' F' R2
U2 B' L U F L' B2
U2 B' L U F B2 L'
U2 B' L U B2 F L'
F2 B D' R' F' L' R'
F2 B D' R' F' R' L'
D2 B' R' U L F' B2
D2 B' R' U L B2 F'
D2 B' R' U F' L B2
U' B' R' F U L' B2
U' B' R' F U B2 L'
B F D' L' R' F' R'
B F D' R' L' F' R'
B F D' R2 D2 L' F
F B D' L' R' F' R'
F B D' R' L' F' R'
F B D' R2 D2 L' F
U B' U L F L' B2
U B' U L F B2 L'
U B' U L B2 F L'
R2 B' U' F' R U2 F'
U B' U B2 L F L'
F B' R' U L' F' B2
F B' R' U L' B2 F'
F B' R' U B2 L' F'
U' B' F R' U L' B2
U' B' F R' U B2 L'
U B' F R U L' B2
U B' F R U B2 L'
B F2 R D' R2 F' L'
B F2 R' D' F' L' R2
B F2 R' D' F' R2 L'
B F2 R' F' L' D' R2
B F2 R' F' D' L' R2
B F2 R' F' D' R2 L'
B F2 D' R' F' L' R'
B F2 D' R' F' R' L'
