L2 F R B U' F'
L2 R F B R U' F2
L2 R B F R U' F2
F L2 R F B U' F2
F L2 R B F U' F2
R L2 F B R U' F2
R L2 B F R U' F2
D' L2 F L' R B U'
D' L2 F R L' B U'
D' L2 F R B L' U'
L U R F' L' B' R'
F R L2 F B U' F2
F R L2 B F U' F2
U' R F' B L D' R2
U' R F' B D' L R2
U' R F' B D' R2 L
U' R B L D' F' R2
U' R B L F' D' R2
U' R B D' L F' R2
U' R B D' F' L R2
U' R B D' F' R2 L
U' R B F' L D' R2
U' R B F' D' L R2
U' R B F' D' R2 L
F R B U' D' F' R2
F R B U' F' D' R2
F R B U2 B2 U F'
F R B D' U' F' R2
U' R B' U F' B2 L
U' R B' U B2 L F'
U' R B' U B2 F' L
F R B D2 F2 U' F
L U' F R F' B L
L U' F R B L F'
L U' F R B F' L
B' R' F' L' R2 U F'
B' R' F' L' U' B U2
D' R' F' R B' L' U
B' R' F' R2 L' U F'
D2 R' F' B' L' U F
D' R' F' B' L' R U
D' R' F' B' R L' U
D2 R' B' F' L' U F
D' R' B' F' L' R U
D' R' B' F' R L' U
B' U R F' L' R' B'
B' U R F' R' L' B'
B' U D2 F' L' F B'
B' U D2 F' L' B' F
B' U F' D2 L' F B'
B' U F' D2 L' B' F
L2 D' F L' R B U'
L2 D' F R L' B U'
L2 D' F R B L' U'
B' U' R U2 F' L' B
B' U' R U2 F' B L'
B' U' R U2 B F' L'
B' U' R' F' B U2 L
B' U' R' B F' U2 L
B' U' B' R' F' B U2
B' U' B' R' B F' U2
B' U2 R U' F' L' B'
L2 F L R B U' F'
L2 F L' R B U' F'
L2 F L2 R B U' F'
L2 F R L B U' F'
L2 F R L' B U' F'
L2 F R L2 B U' F'
L2 F R D B U' F'
L2 F R D' B U' F'
L2 F R D2 B U' F'
L2 F R B L U' F'
L2 F R B L' U' F'
L2 F R B L2 U' F'
L2 F R B U' D F'
L2 F R B U' D' F'
L2 F R B U' D2 F'
L2 F R B U' F' D
L2 F R B U' F' D'
L2 F R B U' F' D2
L2 F R B D U' F'
L2 F R B D' U' F'
L2 F R B D2 U' F'
L2 F B R B U' F'
L2 F B' R B U' F'
L2 F B2 R B U' F'
B2 D B R' F' L' U
R' F' R2 B' L' U F'
B' D' R' F' L' R U
B' D' R' F' R L' U
R' F' B' L' U D2 F2
R' F' B' L' U' B2 U2
R' F' B' L' D' R2 U
R' F' B' L' D2 U F2
R' F' B' D' L' R2 U
R' F' B' D' R2 L' U
R' F' B' D2 L' U F2
B' D2 R' F' L' U F
B' D2 U F' L' F B'
B' D2 U F' L' B' F
D B R' F' L' B2 U
D B R' F' B2 L' U
D B R' B2 F' L' U
L2 B F R B U' F'
B' F U2 R U' F' L'
D2 B' R' F' L' U F
D' B' R' F' L' R U
D' B' R' F' R L' U
D2 B' U F' L' F B'
D2 B' U F' L' B' F
R' B' D' F' L' R2 U
R' B' D' F' R2 L' U
R' B' D2 F' L' U F'
R' B' F' L' U D2 F2
R' B' F' L' U' B2 U2
R' B' F' L' D' R2 U
R' B' F' L' D2 U F2
L2 B' F R B U' F'
R' B' F' D' L' R2 U
R' B' F' D' R2 L' U
R' B' F' D2 L' U F2
F B' U2 R U' F' L'
L2 B2 F R B U' F'
