F' L' U L' U F' L'
F R D' F B L B
F R D' B F L B
F R D' B2 D2 F L'
L U' L F U F R
F R F D' B L B
F R F B D' L B2
F R F B' D' B2 L
F R B D' F L B2
F R B F D' L B2
F R B' D' F B2 L
F R B' D' B2 F L
F R B' F D' B2 L
L2 F B U R F L
F D F2 L' U2 F' L'
F' D' L' U2 F' L' B2
F' D' L' U2 F' B2 L'
F' D' L' U2 B2 F' L'
F D' R F B L B
F D' R B F L B
F D' R B2 D2 F L'
F2 D' B L B D' R2
F2 D' B D' L B R'
F D' B2 R D2 F L'
F D' B2 D2 R F L'
F2 D2 B L D R' B2
F2 D2 B D L R' B2
F2 D2 B D R' L B2
F2 D2 B' D B2 L R'
F2 D2 B' D B2 R' L
B F R D' F L B2
B F R F D' L B2
F B R D' F L B2
F B R F D' L B2
L2 B F U R F L
B' F D' B2 R F L
B F D' R F L B2
F B D' R F L B2
F B' D' B2 R F L
