U2 L F B R U' F2
U2 L B F R U' F2
U' L' F' B' R' D L2
U' L' F' B' D L2 R'
U' L' F' B' D R' L2
U' L' B U' F' B2 R'
U' L' B U' B2 F' R'
U' L' B' D L2 F' R'
U' L' B' D F' L2 R'
U' L' B' D F' R' L2
U' L' B' F' R' D L2
U' L' B' F' D L2 R'
U' L' B' F' D R' L2
B L2 U2 L' B' U F'
B R U2 L B U F
B U2 L U F' D R2
B U2 L U2 F U' F2
B U2 L' B' L2 U F'
F2 U2 B U' F R B
U' F' L' B' R' D L2
U' F' L' B' D L2 R'
U' F' L' B' D R' L2
U2 B L F R U' F2
U2 B U' F R F2 B
U2 B U' F R B F2
B' F R' F' B2 U' F'
B' F R' B2 F' U' F'
B' F' R' F' B2 U' F
B' F' R' B2 F' U' F
F' B' R' F' B2 U' F
F' B' R' B2 F' U' F
F2 B' R' F' B2 U' F2
F2 B' R' B2 F' U' F2
F B' R' F' B2 U' F'
F B' R' B2 F' U' F'
B' F2 R' F' B2 U' F2
B' F2 R' B2 F' U' F2
