F' U L' R' U2
F U R' U2 R2
F' U R' L' U2
F U' R D2 L2
B2 F U' L R
B2 F U' R L
F B2 U' L R
F B2 U' R L
U L R' U' F U'
U L' R' U B' U
U R' L U' F U'
U R' L' U B' U
U R' U B' U R'
U R' U' F U' R
F' U L' R' U2 D
F' U L' R' U2 D'
F' U L' R' U2 D2
F' U L' R' D U2
F' U L' R' D' U2
F' U L' R' D2 U2
F' U L' D R' U2
F' U L' D' R' U2
F' U L' D2 R' U2
F U L R' U2 R2
F U L' R' U2 R2
F U L2 R' U2 R2
F' U R' L' U2 D
F' U R' L' U2 D'
F' U R' L' U2 D2
F' U R' L' D U2
F' U R' L' D' U2
F' U R' L' D2 U2
F' U R' D L' U2
F' U R' D' L' U2
F' U R' D2 L' U2
F U R' L U2 R2
F U R' L' U2 R2
F U R' L2 U2 R2
F' U D L' R' U2
F U R' U2 R2 D
F U R' U2 R2 D'
F U R' U2 R2 D2
F U R' D2 L2 U2
F' U D R' L' U2
F' U D' L' R' U2
F' U D' R' L' U2
F' U D2 L' R' U2
F' U D2 R' L' U2
F U D R' U2 R2
F U D' R' U2 R2
F U D2 R' U2 R2
F U' L R D2 L2
F U' L' R D2 L2
F U' L2 R D2 L2
F U' R L D2 L2
F U' R L' D2 L2
F U' R L2 D2 L2
F U' R U2 R2 U2
F U' R D2 L2 D
F U' R D2 L2 D'
F U' R D2 L2 D2
F U' D R D2 L2
F U' D' R D2 L2
F U' D2 R D2 L2
F U' B2 L R B2
F U' B2 L B2 R
F U' B2 R L B2
B' U2 B' U L R'
B' U2 B' U R' L
D' F U R' U2 R2
D2 F U R' U2 R2
D2 F U' R D2 L2
D' F U' R D2 L2
D F U R' U2 R2
D F U' R D2 L2
F U2 B2 U L R
F U2 B2 U R L
F' D U L' R' U2
F' D U R' L' U2
D2 F B2 U' L R
D2 F B2 U' R L
D' F B2 U' L R
D' F B2 U' R L
D F B2 U' L R
D F B2 U' R L
F D U R' U2 R2
B2 D F U' L R
B2 D F U' R L
