U L U2 D' F B2
U L U2 D' B2 F
U L U2 F D' B2
U L D F2 U2 F'
U L D' U2 F B2
U L D' U2 B2 F
U' L U L2 U L F
U L U L2 U' B' U2
U L U' D2 R2 U' F
U L U2 D' F B2 D
U L U2 D' F B2 D'
U L U2 D' F B2 D2
U L U2 D' B2 D F
U L U2 D' B2 D' F
U L U2 D' B2 D2 F
U L U2 D' B2 F D
U L U2 D' B2 F D'
U L U2 D' B2 F D2
U L U2 D2 F D B2
U L U2 F U' L2 U
U L U2 F D' B2 D
U L U2 F D' B2 D'
U L U2 F D' B2 D2
U L U2 F B D' B2
U L U2 F B' D' B2
U L U2 F B2 D' B2
U L U2 F2 D' F' B2
U L U2 F2 D' B2 F'
U L U2 B D' F B2
U L U2 B D' B2 F
U L U2 B F D' B2
U L U2 B' D' F B2
U L U2 B' D' B2 F
U L U2 B' F D' B2
U L U2 B2 D' F B2
U L U2 B2 D' B2 F
U L U2 B2 F D' B2
U' L D F2 R B U2
U L D F2 U2 D F'
U L D F2 U2 D' F'
U L D F2 U2 D2 F'
U L D F2 U2 F' D
U L D F2 U2 F' D'
U L D F2 U2 F' D2
U L D F2 D U2 F'
U L D F2 D' U2 F'
U L D F2 D2 U2 F'
U L D F2 B U2 F'
U L D F2 B' U2 F'
U L D F2 B2 U2 F'
U L D B F2 U2 F'
U' L D' L' B2 R' F'
U L D B' F2 U2 F'
U L D B2 F2 U2 F'
U L D' U2 F B2 D
U L D' U2 F B2 D'
U L D' U2 F B2 D2
U L D' U2 B2 D F
U L D' U2 B2 D' F
U L D' U2 B2 D2 F
U L D' U2 B2 F D
U L D' U2 B2 F D'
U L D' U2 B2 F D2
U L D' F' U2 F2 B2
U L D' F' U2 B2 F2
U L D' F2 U2 F' B2
U L D' F2 U2 B2 F'
U L D' B U2 F B
U L D' B U2 B F
U L D' B' U2 F B'
U L D' B' U2 B' F
U L D2 U' R2 U' F
U L D2 U2 F D B2
U L F D F2 U2 F2
U L F' U L2 U F2
U L F' U2 F2 D' B2
U L F2 U L2 U F'
U L F2 U2 D' F' B2
U L F2 U2 D' B2 F'
U L F2 U2 F' D' B2
U L F2 D F2 U2 F
U L F2 D' U2 F' B2
U L F2 D' U2 B2 F'
U L B U2 D' F B2
U L B U2 D' B2 F
U L B U2 F D' B2
U L B D F2 U2 F'
U L B D' U2 F B2
U L B D' U2 B2 F
U L B' U2 D' F B2
U L B' U2 D' B2 F
U L B' U2 F D' B2
U L B' D F2 U2 F'
U L B' D' U2 F B2
U L B' D' U2 B2 F
U L B2 U2 D' F B2
U L B2 U2 D' B2 F
U L B2 U2 F D' B2
U L B2 D F2 U2 F'
U L B2 D' U2 F B2
U L B2 D' U2 B2 F
U2 L' U R D2 R2 F'
U2 L' U R' D2 F' R2
U2 L' U R' F' D2 R2
U2 L' U D2 R' F' R'
U2 L' U' L' B' L' U2
F' L' D R' F2 U' B
F2 L' D R F2 U' F
F' L' D F2 R' U' B
U2 L' D' B' R' B' U
U2 L' D2 R' U R' F'
U2 L' D2 U R' F' R'
U2 L' D2 B' R' U R'
F' L' F D F2 R U'
F' L' F' R U L2 U2
F' L' F' R U' D2 R2
F' L' F' R D F2 U'
F' L' F' R D2 U' R2
F' L' F' D R F2 U'
F' L' F' D2 R U' R
U2 L' B D' B2 R' U
U2 L' B' R' U D2 R2
U2 L' B' R' U' L2 U2
U2 L' B' R' D' B2 U
U2 L' B' R' D2 U R2
U L' B' L2 U L2 U
U L' B' L2 U2 D' B2
U L' B' L2 D F2 U2
U L' B' L2 D' U2 B2
U2 L' B' D' R' B2 U
U2 L' B' D2 R' U R'
R' U L U2 D' F B2
R' U L U2 D' B2 F
R' U L U2 F D' B2
R' U L D F2 U2 F'
R' U L D' U2 F B2
R' U L D' U2 B2 F
R2 U L U2 D' F B2
R2 U L U2 D' B2 F
R2 U L U2 F D' B2
R2 U L D F2 U2 F'
R2 U L D' U2 F B2
R2 U L D' U2 B2 F
R U L U2 D' F B2
R U L U2 D' B2 F
R U L U2 F D' B2
R U L D F2 U2 F'
R U L D' U2 F B2
R U L D' U2 B2 F
L2 U L' U L2 U F
L2 U L' D F2 B' U2
L2 U L' D B' F2 U2
L' U L' B' L' U2 B
L2 U L' D' B' U2 B'
L2 U L' B' U L2 U
L2 U L' B' U2 D' B2
L2 U L' B' D F2 U2
L2 U L' B' D' U2 B2
F' L2 F2 L U' R B
F R U L F U2 F'
F2 R U D' L B' U2
F R U' L U2 L' B'
F2 R D' U L B' U2
F2 R F L' U L2 U2
F2 R F L' U' D2 R2
F2 R F L' D F2 U'
F2 R F L' D2 U' R2
L' U' L2 R B U2 L2
L' U' L2 R' U2 L2 F'
L' U' L2 R' U2 F' L2
L' U' L2 U2 L F L
L' U' R L2 B U2 L2
L' U' R B L2 U2 L2
L' U' R' L2 U2 L2 F'
L' U' R' L2 U2 F' L2
F2 R F2 U L U2 F
L U2 L2 R U R' F'
U' R' F' D B2 R' B
U' R' F' B2 D R' B
L U2 L2 B' R' U R
L U2 R L2 U R' F'
U' R' B2 F' D R' B
L U2 B' L2 R' U R
L U2 B' R' L2 U R
D' U L U2 D' F B2
D' U L U2 D' B2 F
D' U L U2 F D' B2
D2 U L U2 D' F B2
D2 U L U2 D' B2 F
D2 U L U2 F D' B2
D' U L D F2 U2 F'
D2 U L D F2 U2 F'
D' U L D' U2 F B2
D' U L D' U2 B2 F
D2 U L D' U2 F B2
D2 U L D' U2 B2 F
D U L U2 D' F B2
D U L U2 D' B2 F
D U L U2 F D' B2
D U L D F2 U2 F'
D U L D' U2 F B2
D U L D' U2 B2 F
U D L U2 D' F B2
U D L U2 D' B2 F
U D L U2 F D' B2
U D L D F2 U2 F'
U D L D' U2 F B2
U D L D' U2 B2 F
L D' L' U' B2 R' F'
U D' L U2 D' F B2
U D' L U2 D' B2 F
U D' L U2 F D' B2
U D' L D F2 U2 F'
U D' L D' U2 F B2
U D' L D' U2 B2 F
L D' F' L' U' B2 R'
U D2 L U2 D' F B2
U D2 L U2 D' B2 F
U D2 L U2 F D' B2
U D2 L D F2 U2 F'
U D2 L D' U2 F B2
U D2 L D' U2 B2 F
F U2 R U' L F U2
L' F R U' L2 U2 L2
L F U2 L2 R U R'
L F U2 R L2 U R'
F2 D R U L U2 F'
F' D' L' U L2 U2 B'
F' D' L' U F L2 U2
U' F' D B2 R' F' B
U' F' D B2 R' B F'
F2 D' R U L B' U2
U F' D' L U2 F B'
U F' D' L U2 B' F
L F' D' L' U' B2 R'
U' F' B2 D R' F' B
U' F' B2 D R' B F'
U F2 L U' R U' F
U' F2 R' D F' B2 R'
U' F2 R' D B2 F' R'
U' F2 R' F' D B2 R'
U' F2 B2 R' D F' B2
U' F2 B2 R' D B2 F'
U' F2 B2 R' F' D B2
U2 B' L' R' B' U R'
U2 B' R' L' B' U R'
U2 B' R' B' L' U R'
U' B' U' L' B' R' U
U' B2 R' U' L' U F'
U' B2 U' L' U R' F'
U B2 U L' U R' F'
U2 B2 D L' U R' F
U2 B2 D L' U F R'
U' B2 F' D R' F' B
U' B2 F' D R' B F'
U' B2 F2 R' D F' B2
U' B2 F2 R' D B2 F'
U' B2 F2 R' F' D B2
