R' L' U' F B R'
L' R' U' F B R'
R' L' U' B R' F
L' R' U' B R' F
R' L' U' B F R'
L' R' U' B F R'
L' U' R' F B R'
L' U' R' B R' F
L' U' R' B F R'
L' U' F R' B R'
L' U' F B R' B
L' U' B R' F B
L' U' B R' B F
L' U' B F R' B
D2 L R U' F' R B'
D2 L R U' F' B' R
D2 L R U' B' F' R
L R U F' B' L U2
R' L U B' L U2 B2
R' L U B' U2 B2 R'
L R U B' L F' U2
R L U F' B' L U2
L R U B' F' L U2
R L U B' L F' U2
R L U B' F' L U2
L' R U' R2 F B R'
L' R U' R2 B R' F
L' R U' R2 B F R'
R' L U' B R' D2 F2
R' L U' B D2 R' F2
R' L U' B D2 F2 R'
D2 L U' R F' R B'
D2 L U' R F' B' R
D2 L U' R B' F' R
D2 L U' F' R F' B'
D2 L U' F' R B' F'
D2 L U' F' B' R F'
D2 L U' B' R F' R
D2 L U' B' F' R F'
D2 L F' U' R F' B'
D2 L F' U' R B' F'
D2 L F' U' B' R F'
L R' U B' L U2 B2
L R' U B' U2 B2 R'
U L B' U2 B2 R' B
R' L' U' F B R' D
R' L' U' F B R' D'
R' L' U' F B R' D2
R' L' U' F B D R'
R' L' U' F B D' R'
R' L' U' F B D2 R'
L' R' U' F B R' D
L' R' U' F B R' D'
L' R' U' F B R' D2
L' R' U' F B D R'
L' R' U' F B D' R'
L' R' U' F B D2 R'
R L' U' R2 F B R'
R' L' U' F' B R' F2
L' R' U' F' B R' F2
R L' U' R2 B R' F
R L' U' R2 B F R'
U L B' D2 L U2 B'
R' L' U' B R F R2
R' L' U' B R' D F
R' L' U' B R' D' F
R' L' U' B R' D2 F
R' L' U' B R' F D
R' L' U' B R' F D'
R' L' U' B R' F D2
L' R' U' B R F R2
L' R' U' B R' D F
L' R' U' B R' D' F
L' R' U' B R' D2 F
L' R' U' B R' F D
L' R' U' B R' F D'
L' R' U' B R' F D2
R' L' U' B D R' F
R' L' U' B D F R'
R' L' U' B D' R' F
R' L' U' B D' F R'
L' R' U' B D R' F
L' R' U' B D F R'
R' L' U' B D2 R' F
R' L' U' B D2 F R'
L' R' U' B D' R' F
L' R' U' B D' F R'
R' L' U' B F R' D
R' L' U' B F R' D'
R' L' U' B F R' D2
L' R' U' B D2 R' F
R' L' U' B F D R'
L' R' U' B D2 F R'
R' L' U' B F D' R'
R' L' U' B F D2 R'
R' L' U' B F' R' F2
L' R' U' B F R' D
L' R' U' B F R' D'
L' R' U' B F R' D2
L' R' U' B F D R'
L' R' U' B F D' R'
