D R U2 F' L' B'
F' R2 U R' F' U
F' U R U2 B U'
F' U R' F' R2 U
B' D F' R' B U2
D F' R U2 F' L'
D F' R' B U2 L
D' F' U2 F' L' F
D F' B' R' B U2
F' B U R U L
F' B' R' U R2 U
F' B' R' U2 D' F2
F' B' R' D B2 U2
F' B' R' D' U2 F2
B' F' R' U R2 U
B' F' R' U2 D' F2
B' F' R' D B2 U2
B' F' R' D' U2 F2
B F' U R U L
D B' F' R' B U2
D' L B' L' F' R' U2
D' L2 D2 R2 B L F
R2 U R' F' R U B
R U R' F' L' R U
R U R' F' R L' U
F' R U R' F' U F
F' R U F U F' L'
D R U2 L' F' B' L'
D R U2 L' B' F' L'
D' R U2 F' L' F B'
D' R U2 F' L' B' F
D R U2 D F' L' B'
D R U2 D' F' L' B'
D R U2 D2 F' L' B'
D R U2 F' L' D B'
D R U2 F' L' D' B'
D R U2 F' L' D2 B'
D R U2 F' L' B' D
D R U2 F' L' B' D'
D R U2 F' L' B' D2
D R U2 F' D L' B'
D R U2 F' D' L' B'
D R U2 F' D2 L' B'
D R U2 F' B L' B'
D R U2 F' B' L' B'
D R U2 F' B2 L' B'
D R U2 B F' L' B'
D R U2 B' F' L' B'
D R U2 B2 F' L' B'
D R D U2 F' L' B'
D R D' U2 F' L' B'
D R D2 U2 F' L' B'
F' R B' R' U R U
F' R' U R' F' R' U
F' R' U2 D' F' L' F'
F' R' U2 F D' F2 L'
F' R' U2 F' L' D' F2
F' R' U2 F' D' L' F2
F' R' D B' R' B' U2
F' R' D' U2 F' L' F'
F' R' D' B U2 L F2
F' R' D' B U2 F2 L
F' R' D' B' R' U2 F2
D R' D2 B U2 L B'
U R' F' R U' F' U2
F' R' B U R2 U L
F' R' B U2 L D' F2
F' R' B U2 D' L F2
F' R' B U2 D' F2 L
F' R' B D B2 R' U2
F' R' B D' U2 L F2
F' R' B D' U2 F2 L
D R' B R F' U2 L
D R' B R' U2 L B
D R' B U2 D2 L B'
F' R' B' R' U R' U
D R' B D2 U2 L B'
F' R' B' D R' B2 U2
F' R' B' D B2 U2 L
F' R' B' D' R' U2 F2
D R' B' R' B2 U2 B'
R2 U2 D' F' L' F B
R2 U2 D' F' L' B F
R2 U2 D' F' B L' F
R2 U2 D' B F' L' F
R U2 D' F' L' F B'
R U2 D' F' L' B' F
F' R2 U R' D F' U
F' R2 U R' D' F' U
F' R2 U R' D2 F' U
F' R2 U R' F' U D
F' R2 U R' F' U D'
F' R2 U R' F' U D2
F' R2 U R' F' D U
F' R2 U R' F' D' U
F' R2 U R' F' D2 U
F' R2 U D R' F' U
F' R2 U D' R' F' U
F' R2 U D2 R' F' U
F' R2 U F R' F' U
F' R2 U F' R' F' U
F' R2 U F2 R' F' U
D' R2 U2 F' L' F B
D' R2 U2 F' L' B F
D' R2 U2 F' B L' F
D' R2 U2 B F' L' F
R2 U2 B D' F' L' F
F' R2 D U R' F' U
F' R2 D' U R' F' U
F' R2 D2 U R' F' U
R D R U2 F' L' B
R D R U2 F' B L'
R D R U2 B F' L'
R D R' F' B U2 L
R D R' B F' U2 L
F' R2 B' D' R' B U2
D R2 B' R' U2 F' B2
D R2 B' R' U2 B2 F'
D R2 B' U2 B2 L F
D R2 B2 U2 B' L F
F' U R U2 D B U'
F' U R U2 D' B U'
F' U R U2 D2 B U'
F' U R U2 B U' D
F' U R U2 B U' D'
F' U R U2 B U' D2
F' U R U2 B D U'
F' U R U2 B D' U'
F' U R U2 B D2 U'
F' U R D U2 B U'
F' U R D' U2 B U'
F' U R D2 U2 B U'
F' U R F U2 B U'
F' U R F' U2 B U'
F' U R F2 U2 B U'
F' U R' D' F' U F'
F' U R' F R2 F2 U
F' U R' F' R2 U D
F' U R' F' R2 U D'
F' U R' F' R2 U D2
F' U R' F' R2 D U
F' U R' F' R2 D' U
F' U R' F' R2 D2 U
F' U R' F' U D' F2
F' U R' F' D' U F2
F' U R' F2 R2 F U
R2 D B L F2 R F'
R2 D B' R' B U2 B
F' U D R U2 B U'
F' U D R' F' R2 U
R D B' R' F' B U2
R D B' R' B F' U2
F' U D' R U2 B U'
F' U D' R' F' R2 U
L' D' L F' B' R' U2
F' U D2 R U2 B U'
L' D' L B' F' R' U2
F' U D2 R' F' R2 U
F' U F R' F' R U
F' U F2 U2 L' B' U'
F' U' L U2 R F U
R2 D' U2 F' L' F B
R2 D' U2 F' L' B F
R2 D' U2 F' B L' F
R2 D' U2 B F' L' F
F' U' L' B' U2 R U
L' D' F' L B' R' U2
R D' U2 F' L' F B'
R D' U2 F' L' B' F
F U' L' D R2 B' U'
F U' L' D B' R2 U'
F U' L' D2 B' U' B'
F U' L' B' U F2 U2
F U' L' B' U' D2 B2
F U' L' B' D R2 U'
F U' L' B' D2 U' B2
U2 D' F2 L' F L' B'
F U' D L' R2 B' U'
F U' D L' B' R2 U'
F U' D R2 L' B' U'
F U' D2 L' B' U' B'
F' U' F2 L' F2 B' U'
F' U' F2 L' B' F2 U'
D' U2 F2 L' F L' B'
F' U2 F D' F2 L' F
D F R' F2 B U2 L
D F R' B F2 U2 L
R2 F U' L' B' U' B2
R F U' L' B' R' U'
F' D R2 U R' F' U
R2 F B L D F2 R
F' D U R U2 B U'
F' D U R' F' R2 U
B D R2 U2 L F B
B D R2 U2 L B F
D F B' R' F2 B U2
D F B' R' B F2 U2
D' F' L B' L' R' U2
D' F' L B' R' L' U2
F D U' L' R2 B' U'
F D U' L' B' R2 U'
B' D F R' F2 B U2
B' D F R' B F2 U2
F D U' R2 L' B' U'
B' D F' R' D B U2
B' D F' R' D' B U2
B' D F' R' D2 B U2
B' D F' R' B U2 D
B' D F' R' B U2 D'
B' D F' R' B U2 D2
B' D F' R' B D U2
B' D F' R' B D' U2
B' D F' R' B D2 U2
D' F' R U2 F' L' F
B' D F2 R' F B U2
B' D F2 R' B F U2
B D F' R U2 L F'
B D F' R U2 F' L
B D F' R2 U2 L F
D' F' R' U2 F' L' F
D F' R U2 L F' L'
D F' R U2 L' F' L'
D F' R U2 L2 F' L'
D F' R U2 D F' L'
D F' R U2 D' F' L'
D F' R U2 D2 F' L'
D F' R U2 F' L' D
D F' R U2 F' L' D'
D F' R U2 F' L' D2
D F' R U2 F' D L'
D F' R U2 F' D' L'
D F' R U2 F' D2 L'
D F' R D U2 F' L'
B D F' B2 R' B U2
D F' R D' U2 F' L'
D F' R D2 U2 F' L'
F' D B U R U L
D F' R B U2 L F'
D F' R B U2 F' L
U F' R U2 B U' B'
D' F' R2 U2 F' L' F
D F' R' D B U2 L
D F' R' D' B U2 L
D F' R' D2 B U2 L
F' D B' R' U R2 U
F' D B' R' U2 D' F2
F' D B' R' D B2 U2
F' D B' R' D' U2 F2
D F' R' B R U2 L
D F' R' B R' U2 L
D F' R' B R2 U2 L
D F' R' B U2 L D
D F' R' B U2 L D'
D F' R' B U2 L D2
D F' R' B U2 D L
D F' R' B U2 D' L
D F' R' B U2 D2 L
D F' R' B D U2 L
D F' R' B D' U2 L
D F' R' B D2 U2 L
D F' R' B' R' B2 U2
D2 F' U' L' B' L U'
D' F' U' L' B' U' F
D F' R2 B U2 L F
D F' R2 B' R' U2 F'
D' F' U2 L' F' L' F2
D2 F' U2 D F' L' F
D' F' U2 F' L' D F
D' F' U2 F' L' D' F
D' F' U2 F' L' D2 F
D' F' U2 F' L' F D
D' F' U2 F' L' F D'
D' F' U2 F' L' F D2
D2 F' U2 F' D L' F
D' F' U2 F2 L' F L'
B D B2 F' R' B U2
D2 F' D U2 F' L' F
D F' U2 R F' L' R'
D F' U2 R F' R' L'
D F' U2 D2 F' L' F
D F' U2 F' D2 L' F
D2 F' D' R U2 F' L'
D2 F' D' R' B U2 L
D2 F' D' B' R' B U2
D' F' D2 R U2 F' L'
D' F' D2 R' B U2 L
D' F' D2 B' R' B U2
D2 F' B U R' U L
D' F' B U2 L' F L2
F' D' R2 U R' F' U
D F' D2 U2 F' L' F
D2 F' B' R' U' L U'
D' F' B' D2 R' B U2
D F' B R U2 L F'
D F' B R U2 F' L
D F' B R2 U2 L F
F' D' U R U2 B U'
F' D' U R' F' R2 U
D F' B' R' D B U2
D F' B' R' D' B U2
D F' B' R' D2 B U2
D F' B' R' B U2 D
D F' B' R' B U2 D'
D F' B' R' B U2 D2
D F' B' R' B D U2
D F' B' R' B D' U2
D F' B' R' B D2 U2
D F' B2 R' B R' U2
B' D' F' D2 R' B U2
B D' F' U2 L' F L2
F' D' B U R U L
F' D' B' R' U R2 U
F' D' B' R' U2 D' F2
F' D' B' R' D B2 U2
F' D' B' R' D' U2 F2
D F2 R' F B U2 L
D F2 R' B F U2 L
F' D2 R2 U R' F' U
F' D2 U R U2 B U'
F' D2 U R' F' R2 U
D F2 B' R' F B U2
D F2 B' R' B F U2
R2 B L D F2 R F'
F D2 U' L' B' U' B'
B' D2 F' D' R' B U2
B2 D2 F' D' R U2 F'
F' D2 B U R U L
F' D2 B' R' U R2 U
F' D2 B' R' U2 D' F2
F' D2 B' R' D B2 U2
F' D2 B' R' D' U2 F2
D B R2 U2 L F B
D B R2 U2 L B F
R2 B D L F2 R F'
F' B R' U R2 U L
F' B R' U2 L D' F2
F' B R' U2 D' L F2
F' B R' U2 D' F2 L
B' F R' F2 U R U
F' B R' D B2 R' U2
F' B R' D' U2 L F2
F' B R' D' U2 F2 L
F' B R2 U R' U L
D2 B F' U R' U L
R2 B F L D F2 R
D' B F' U2 L' F L2
F' B U R U L D
F' B U R U L D'
F' B U R U L D2
F' B U R U D L
F' B U R U D' L
F' B U R U D2 L
F' B U R D U L
F' B U R D' U L
F' B U R D2 U L
F' B U R F U L
F' B U R F' U L
F' B U R F2 U L
F' B U D R U L
F' B U D' R U L
F' B U D2 R U L
F' B U F' U L F
D B F' R U2 L F'
D B F' R U2 F' L
D B F' R2 U2 L F
F' B U2 L U' R U
F' B U2 F2 L D F2
F' B D U R U L
F' B D' U R U L
F' B D2 U R U L
R B' R' F' U R U
B' F' R' U R2 U D
B' F' R' U R2 U D'
B' F' R' U R2 U D2
B' F' R' U R2 D U
B' F' R' U R2 D' U
B' F' R' U R2 D2 U
B' F' R' U' D2 L2 U'
B' F' R' U2 D' F2 D
B' F' R' U2 D' F2 D'
B' F' R' U2 D' F2 D2
B' F' R' U2 F D' F2
B' F' R' U2 F' D' F2
B' F' R' U2 F2 D' F2
B' F' R' D B2 U2 D
B' F' R' D B2 U2 D'
B' F' R' D B2 U2 D2
B' F' R' D B2 D U2
B' F' R' D B2 D' U2
B' F' R' D B2 D2 U2
B' F' R' D' U2 F2 D
B' F' R' D' U2 F2 D'
B' F' R' D' U2 F2 D2
B' F' R' D' B U2 F2
B' F' R' D' B' U2 F2
B' F' R' D' B2 U2 F2
B' F' R' D2 U' L2 U'
F' B' R' U R2 U D
F' B' R' U R2 U D'
F' B' R' U R2 U D2
F' B' R' U R2 D U
F' B' R' U R2 D' U
F' B' R' U R2 D2 U
F' B' R' U' D2 L2 U'
F' B' R' U2 D' F2 D
F' B' R' U2 D' F2 D'
F' B' R' U2 D' F2 D2
F' B' R' U2 F D' F2
F' B' R' U2 F' D' F2
F' B' R' U2 F2 D' F2
B' F' R' B U R2 U
B' F' R' B U2 D' F2
B' F' R' B D B2 U2
B' F' R' B D' U2 F2
F' B' R' D B2 U2 D
F' B' R' D B2 U2 D'
F' B' R' D B2 U2 D2
F' B' R' D B2 D U2
F' B' R' D B2 D' U2
F' B' R' D B2 D2 U2
B' F' R' B' U R2 U
B' F' R' B' U2 D' F2
B' F' R' B' D B2 U2
B' F' R' B' D' U2 F2
F' B' R' D' U2 F2 D
F' B' R' D' U2 F2 D'
F' B' R' D' U2 F2 D2
F' B' R' D' B U2 F2
F' B' R' D' B' U2 F2
F' B' R' D' B2 U2 F2
B' F' R' B2 U R2 U
B' F' R' B2 U2 D' F2
B' F' R' B2 D B2 U2
B' F' R' B2 D' U2 F2
F' B' R' D2 U' L2 U'
F' B' R' B U R2 U
F' B' R' B U2 D' F2
F' B' R' B D B2 U2
F' B' R' B D' U2 F2
F' B' R' B' U R2 U
F' B' R' B' U2 D' F2
F' B' R' B' D B2 U2
F' B' R' B' D' U2 F2
F2 B' R' F U R U
F' B' R' B2 U R2 U
F' B' R' B2 U2 D' F2
F' B' R' B2 D B2 U2
F' B' R' B2 D' U2 F2
B F' R' U R2 U L
B F' R' U2 L D' F2
B F' R' U2 D' L F2
B F' R' U2 D' F2 L
B F' R' D B2 R' U2
B F' R' D' U2 L F2
B F' R' D' U2 F2 L
B' F' U R U D2 L2
B' F' U R U' R2 U2
B' F' U R D' F2 U
B' F' U R D2 U L2
F' B' U R U D2 L2
F' B' U R U' R2 U2
F' B' U R D' F2 U
F' B' U R D2 U L2
B F' R2 U R' U L
D' B' D2 F' R' B U2
F B' R' F2 U R U
B2 F' U D' R F' U
R B' D R' F' B U2
R B' D R' B F' U2
B F' U R U L D
B F' U R U L D'
B F' U R U L D2
B F' U R U D L
B F' U R U D' L
B F' U R U D2 L
B F' U R D U L
B F' U R D' U L
B F' U R D2 U L
B F' U R F U L
B F' U R F U L
B F' U R F' U L
B F' U R F2 U L
B F' U D R U L
B F' U D' R U L
B F' U D2 R U L
D2 B' F' R' U' L U'
B F' U F' U L F
D' B' F' D2 R' B U2
D B' F R' F2 B U2
D B' F R' B F2 U2
B' F' D R' U R2 U
B' F' D R' U2 D' F2
B' F' D R' D B2 U2
B' F' D R' D' U2 F2
B F' U2 L U' R U
F' B' D R' U R2 U
F' B' D R' U2 D' F2
F' B' D R' D B2 U2
F' B' D R' D' U2 F2
D B' F' R' D B U2
D B' F' R' D' B U2
D B' F' R' D2 B U2
D B' F' R' B U2 D
D B' F' R' B U2 D'
D B' F' R' B U2 D2
D B' F' R' B D U2
D B' F' R' B D' U2
D B' F' R' B D2 U2
B' F' D' R' U R2 U
B' F' D' R' U2 D' F2
B' F' D' R' D B2 U2
B' F' D' R' D' U2 F2
B F' U2 F2 L D F2
D B' F2 R' F B U2
D B' F2 R' B F U2
F' B' D' R' U R2 U
F' B' D' R' U2 D' F2
F' B' D' R' D B2 U2
F' B' D' R' D' U2 F2
B F' D U R U L
B2 F' D' U R F' U
B' F' D2 R' U R2 U
B' F' D2 R' U2 D' F2
B' F' D2 R' D B2 U2
B' F' D2 R' D' U2 F2
F' B' D2 R' U R2 U
F' B' D2 R' U2 D' F2
F' B' D2 R' D B2 U2
F' B' D2 R' D' U2 F2
B F' D' U R U L
B F' D2 U R U L
D B2 R' B R' U2 B
B' F2 R' F U R U
F' B2 U D' R F' U
D' B2 D2 F' R U2 F'
F' B2 D' U R F' U
D B2 F' R' B R' U2
