B L U' L U' B L
L' U L' B' U' B' R'
B' R' D F' B' L' F'
B' R' D F2 D2 B' L
B' R' D B' F' L' F'
B' R' F D F2 B' L'
B' R' F D B' F2 L'
B' R' F B' D F2 L'
B' R' F' D B' L' F2
B' R' F' B' D L' F2
B' R' B' D F' L' F'
B' R' B' F D F2 L'
B' R' B' F' D L' F2
B D L U2 F2 B L
B D L U2 B L F2
B D L U2 B F2 L
B' D R' F' B' L' F'
B' D R' F2 D2 B' L
B' D R' B' F' L' F'
B2 D F' L' F' D R2
B2 D F' D L' F' R
B' D F2 R' D2 B' L
B' D F2 D2 R' B' L
L2 F' B' U' R' B' L'
B' D' B2 L U2 B L
B2 D2 F D' F2 L' R
B2 D2 F D' F2 R L'
B2 D2 F' L' D' R F2
B2 D2 F' D' L' R F2
B2 D2 F' D' R L' F2
B' F D F2 R' B' L'
B' F' R' D B' L' F2
F' B' R' D B' L' F2
B' F' R' B' D L' F2
F' B' R' B' D L' F2
L2 B' F' U' R' B' L'
B' F' D R' B' L' F2
F' B' D R' B' L' F2
F B' D F2 R' B' L'
