R2 B2 L U' B'
B2 L U2 R U B'
R2 L B2 L U' B
B2 L2 U2 R U B
L R2 B2 L U' B
B2 U2 L R U B'
B2 U2 R L U B'
R2 B2 L R U' B'
R2 B2 L R' U' B'
R2 B2 L R2 U' B'
R2 B2 L U' D B'
R2 B2 L U' D' B'
R2 B2 L U' D2 B'
R2 B2 L U' B' D
R2 B2 L U' B' D'
R2 B2 L U' B' D2
R2 B2 L D U' B'
R2 B2 L D' U' B'
R2 B2 L D2 U' B'
R2 B2 R L U' B'
R2 B2 R' L U' B'
R2 B2 R2 L U' B'
L2 B2 U2 R U B
U2 L R U D B' L2
U2 L R U2 B2 U' B
U2 L R D U B' L2
U2 L R D2 F2 U B'
B2 L R' U' D' F2 B'
B2 L R' U' D' B' F2
B2 L R' U' B' D' F2
B2 L R' U2 R2 U B'
B2 L R' D' U' F2 B'
B2 L R' D' U' B' F2
R' L U' D B' L2 F
B2 L R2 U2 R' U B'
R' L D U' B' L2 F
B2 L U' B' U' R U
B2 L U2 R U D B'
B2 L U2 R U D' B'
B2 L U2 R U D2 B'
B2 L U2 R U B' D
B2 L U2 R U B' D'
B2 L U2 R U B' D2
B2 L U2 R D U B'
B2 L U2 R D' U B'
B2 L U2 R D2 U B'
B2 L U2 D R U B'
B2 L U2 D' R U B'
B2 L U2 D2 R U B'
F2 L D L2 F2 R2 B
U2 L D R U B' L2
F2 L D R2 F2 B' L2
F2 L D R2 B' L2 F2
F2 L D R2 B' F2 L2
B2 L D U2 R U B'
F2 L D F2 R2 B' L2
F2 L D F2 B' L2 R2
F2 L D F2 B' R2 L2
F2 L D B' L2 R2 F2
F2 L D B' L2 F2 R2
F2 L D B' R2 L2 F2
F2 L D B' R2 F2 L2
F2 L D B' F2 L2 R2
F2 L D B' F2 R2 L2
B2 L D' U2 R U B'
U2 L D2 R F2 U B'
B2 L D2 U2 R U B'
R2 L B2 L U' D B
R2 L B2 L U' D' B
R2 L B2 L U' D2 B
R2 L B2 L U' B D
R2 L B2 L U' B D'
R2 L B2 L U' B D2
R2 L B2 L D U' B
R2 L B2 L D' U' B
R2 L B2 L D2 U' B
L' R B2 U F U2 F'
R' L B2 U' D' F2 B
R' L B2 U' D' B F2
R' L B2 U' B D' F2
F2 L F2 B2 L2 U' B
R' L B2 D' U' F2 B
R' L B2 D' U' B F2
R' L B2 D2 L2 U' B
R2 L B2 D L U' B
R2 L B2 D' L U' B
R2 L B2 D2 L U' B
B L B U2 R U B2
L R' U' D B' L2 F
F2 L B2 L2 F2 U' B
F2 L B2 F2 L2 U' B
U2 L' R U D L2 B'
B2 L' R U F U2 F'
U2 L' R D U L2 B'
L R' D U' B' L2 F
B2 L' R' D2 L2 U' B'
F2 L' U' D L2 R2 B'
F2 L' U' D L2 B' R2
F2 L' U' D R2 L2 B'
B2 L' U2 L2 R U B'
B2 L' U2 R L2 U B'
B2 L' U2 R U' F U2
U2 L' D R U L2 B'
F2 L' D U' L2 R2 B'
F2 L' D U' L2 B' R2
F2 L' D U' R2 L2 B'
R' L' B2 D2 L2 U' B'
L' R' B2 D2 L2 U' B'
L R' B2 U' D' F2 B
L R' B2 U' D' B F2
L R' B2 U' B D' F2
R L' B2 U F U2 F'
L R' B2 D' U' F2 B
L R' B2 D' U' B F2
L R' B2 D2 L2 U' B
F2 L' F2 R2 B2 U' B'
F2 L' F2 B2 R2 U' B
F2 L' F2 B2 U F' U2
F2 L' B2 F2 R2 U' B
F2 L' B2 F2 U F' U2
B2 L2 U2 L R U B
B' L2 U2 R F U B
B2 L2 U2 L' R U B
B2 L2 U2 L2 R U B
B2 L2 U2 R L U B
B2 L2 U2 R L' U B
B2 L2 U2 R L2 U B
B2 L2 U2 R U D B
B2 L2 U2 R U D' B
B2 L2 U2 R U D2 B
B2 L2 U2 R U B D
B2 L2 U2 R U B D'
B2 L2 U2 R U B D2
B2 L2 U2 R D U B
B2 L2 U2 R D' U B
B2 L2 U2 R D2 U B
B2 L2 U2 D R U B
B2 L2 U2 D' R U B
B2 L2 U2 D2 R U B
B2 L2 D U2 R U B
L2 R2 B2 L U F U2
R2 L2 B2 L U F U2
L R2 B2 L U' D B
L R2 B2 L U' D' B
L R2 B2 L U' D2 B
L R2 B2 L U' B D
L R2 B2 L U' B D'
L R2 B2 L U' B D2
L R2 B2 L D U' B
L R2 B2 L D' U' B
L R2 B2 L D2 U' B
L R2 B2 D L U' B
L R2 B2 D' L U' B
L R2 B2 D2 L U' B
B2 L2 D' U2 R U B
B2 L2 D2 U2 R U B
B2 L2 F2 L' F2 U' B'
B L2 B U2 R U B
U2 R L U D B' L2
U2 R L U2 B2 U' B
U2 R L D U B' L2
U2 R L D2 F2 U B'
B2 R L' U F U2 F'
U2 R L' U D L2 B'
U2 R L' D U L2 B'
U2 R U L D B' L2
U2 R U L' D L2 B'
U2 R D F L' U L'
R' U' L D B' L2 F
U' R D2 F2 U R' B
B2 R' L U' D' F2 B'
B2 R' L U' D' B' F2
B2 R' L U' B' D' F2
B2 R' L U2 R2 U B'
B2 R' L D' U' F2 B'
B2 R' L D' U' B' F2
B2 R' L' D2 L2 U' B'
D2 R' U' D' L2 F2 B
D2 R' U' D' L2 B F2
D2 R' U' D' F2 L2 B
D2 R' U' D' F2 B L2
D2 R' U' D' B L2 F2
D2 R' U' D' B F2 L2
D2 R' U' B D' L2 F2
D2 R' U' B D' F2 L2
B2 R' U2 L R2 U B'
B2 R' U2 R2 L U B'
D2 R' D' U' L2 F2 B
D2 R' D' U' L2 B F2
D2 R' D' U' F2 L2 B
D2 R' D' U' F2 B L2
D2 R' D' U' B L2 F2
D2 R' D' U' B F2 L2
D2 R' D2 L2 B2 U' B'
B2 R' D2 L2 R' U' B
B2 R' D2 R' L2 U' B
L' U2 R U D L2 B'
L' U2 R D U L2 B'
L2 U2 R U D L2 B
L2 U2 R U D B L2
L2 U2 R U2 B2 U' B'
L2 U2 R D U L2 B
L2 U2 R D U B L2
L2 U2 R D2 F2 U B
L U2 R U D B' L2
L U2 R U2 B2 U' B
L U2 R D U B' L2
L U2 R D2 F2 U B'
L' U2 D R U L2 B'
L2 U2 D R U L2 B
L2 U2 D R U B L2
L U2 D R U B' L2
B2 R2 L U2 R' U B'
L2 U2 D2 R F2 U B
R2 U2 D2 R' F2 U B
R2 U2 D2 F2 R' U B
L U2 D2 R F2 U B'
B2 R2 U2 L R' U B'
B2 R2 U2 R' L U B'
B2 R2 U2 D2 R' U B
U R2 U' B2 L U' B'
U2 R2 U2 B2 L U' B'
D R2 D' B2 L U' B'
U2 R2 D2 R' F2 U B
B2 R2 D2 U2 R' U B
U2 R2 D2 F2 R' U B
U' R2 B2 L U' R2 B'
U' R2 B2 L U' B' R2
B' R2 B2 L B U' B2
B2 R2 B2 L B2 U' B
L' D U2 R U L2 B'
L2 D U2 R U L2 B
L2 D U2 R U B L2
L D U2 R U B' L2
U2 D R F L' U L'
D2 U2 R F2 L2 U B'
D2 U2 R F2 U' F U2
U2 D2 R F2 L2 U B'
U2 D2 R F2 U' F U2
D U2 R F L' U L'
B2 U2 L R U D B'
B2 U2 L R U D' B'
B2 U2 L R U D2 B'
B2 U2 L R U B' D
B2 U2 L R U B' D'
B2 U2 L R U B' D2
B2 U2 L R D U B'
B2 U2 L R D' U B'
B2 U2 L R D2 U B'
B2 U2 L D R U B'
B2 U2 L D' R U B'
B2 U2 L D2 R U B'
L2 D2 U2 R F2 U B
B2 U2 L' R U' F U2
R2 D2 U2 R' F2 U B
R2 D2 U2 F2 R' U B
L D2 U2 R F2 U B'
B2 U2 R L U D B'
B2 U2 R L U D' B'
B2 U2 R L U D2 B'
B2 U2 R L U B' D
B2 U2 R L U B' D'
B2 U2 R L U B' D2
B2 U2 R L D U B'
B2 U2 R L D' U B'
B2 U2 R L D2 U B'
B2 U2 R L' U' F U2
B2 U2 R U L B' L'
B2 U2 R2 D2 R' U B
B2 U2 D2 R U' F' U2
R2 F B2 L F' U' B'
F D F' R U' L2 F'
F D F' R U' F' L2
U' F2 L D F2 B' L2
U' F2 L D B' L2 F2
U' F2 L D B' F2 L2
L2 F2 L' F2 B2 U' B
L2 F2 L' B2 F2 U' B
B' D' B' U2 L R U
B' D' B' U2 R L U
B D' B R' U' D' F2
B D' B R' U2 R2 U
B D' B R' D' U' F2
B D' B R' D2 L2 U'
B2 D2 R U F' U2 F
B2 D2 R' U' D' F2 B
B2 D2 R' U' D' B F2
B2 D2 R' U' B D' F2
B2 D2 R' D' U' F2 B
B2 D2 R' D' U' B F2
B2 D2 R' D2 L2 U' B
L2 F2 B2 L' F2 U' B'
R2 F2 B2 L F2 U' B'
B2 D2 U2 R U' F' U2
L F2 B2 L' F2 U' B
R2 B L B L U' B2
R' B D' B R' U' F2
R2 B D' B L R' U'
R2 B D' B R' L U'
B2 F D F' R U' F'
R2 B' R B' L U' B'
R2 B' R' B' L U' B'
R2 B' R2 B' L U' B'
R' B2 L U' D' F2 B'
R' B2 L U' D' B' F2
R' B2 L U' B' D' F2
R' B2 L U2 R2 U B'
R' B2 L D' U' F2 B'
R' B2 L D' U' B' F2
R2 B2 L R U' D B'
R2 B2 L R U' D' B'
R2 B2 L R U' D2 B'
R2 B2 L R U' B' D
R2 B2 L R U' B' D'
R2 B2 L R U' B' D2
R' B2 L' D2 L2 U' B'
R2 B2 L R D U' B'
R2 B2 L R D' U' B'
R2 B2 L R D2 U' B'
R2 B2 L R' U' D B'
R2 B2 L R' U' D' B'
R2 B2 L R' U' D2 B'
R2 B2 L R' U' B' D
R2 B2 L R' U' B' D'
R2 B2 L R' U' B' D2
R2 B2 L R' D U' B'
R2 B2 L R' D' U' B'
R2 B2 L R' D2 U' B'
L' B2 L' U2 R U B
R2 B2 L R2 U' D B'
R2 B2 L R2 U' D' B'
R2 B2 L R2 U' D2 B'
R2 B2 L R2 U' B' D
R2 B2 L R2 U' B' D'
R2 B2 L R2 U' B' D2
R2 B2 L R2 D U' B'
R2 B2 L R2 D' U' B'
R2 B2 L R2 D2 U' B'
R2 B2 L U F U2 B'
R2 B2 L U F' U2 B'
R2 B2 L U F2 U2 B'
R2 B2 L U' R' B' R
R2 B2 L U' R2 B' R2
R2 B2 L U' D B' D
R2 B2 L U' D B' D'
R2 B2 L U' D B' D2
R2 B2 L U' D' B' D
R2 B2 L U' D' B' D'
R2 B2 L U' D' B' D2
R2 B2 L U' D2 B' D
R2 B2 L U' D2 B' D'
R2 B2 L U' D2 B' D2
R2 B2 L U' B2 D B
R2 B2 L U' B2 D' B
R2 B2 L U' B2 D2 B
R2 B2 L D R U' B'
R2 B2 L D R' U' B'
R2 B2 L D R2 U' B'
R2 B2 L D U' B' D
R2 B2 L D U' B' D'
R2 B2 L D U' B' D2
R2 B2 L D' R U' B'
R2 B2 L D' R' U' B'
R2 B2 L D' R2 U' B'
R2 B2 L D' U' B' D
R2 B2 L D' U' B' D'
R2 B2 L D' U' B' D2
R2 B2 L D2 R U' B'
R2 B2 L D2 R' U' B'
R2 B2 L D2 R2 U' B'
R2 B2 L D2 U' B' D
R2 B2 L D2 U' B' D'
R2 B2 L D2 U' B' D2
L2 B2 L' U2 R U B'
L' B2 L2 U2 R U B'
L' B2 R U F U2 F'
R2 B2 L2 D L' U' B'
R2 B2 L2 D' L' U' B'
R2 B2 L2 D2 L' U' B'
R B2 L' U F U2 F'
R2 B2 R L U' D B'
R2 B2 R L U' D' B'
R2 B2 R L U' D2 B'
R2 B2 R L U' B' D
R2 B2 R L U' B' D'
R2 B2 R L U' B' D2
R2 B2 R L D U' B'
R2 B2 R L D' U' B'
R2 B2 R L D2 U' B'
L' B2 R' D2 L2 U' B'
B2 F2 L' F2 R2 U' B
B2 F2 L' F2 U F' U2
F2 B2 L' F2 R2 U' B
F2 B2 L' F2 U F' U2
R2 B2 R' L U' D B'
R2 B2 R' L U' D' B'
R2 B2 R' L U' D2 B'
R2 B2 R' L U' B' D
R2 B2 R' L U' B' D'
R2 B2 R' L U' B' D2
R2 B2 R' L D U' B'
R2 B2 R' L D' U' B'
R2 B2 R' L D2 U' B'
R2 B2 R2 L U' D B'
R2 B2 R2 L U' D' B'
R2 B2 R2 L U' D2 B'
R2 B2 R2 L U' B' D
R2 B2 R2 L U' B' D'
R2 B2 R2 L U' B' D2
R2 B2 R2 L D U' B'
R2 B2 R2 L D' U' B'
R2 B2 R2 L D2 U' B'
R' B2 U2 L R2 U B'
R' B2 U2 R2 L U B'
L' B2 U2 L2 R U B'
L' B2 U2 R L2 U B'
L' B2 U2 R U' F U2
L2 B2 U2 L R U B
L2 B2 U2 L' R U B
L2 B2 U2 L2 R U B
L2 B2 U2 R L U B
L2 B2 U2 R L' U B
L2 B2 U2 R L2 U B
L2 B2 U2 R U D B
L2 B2 U2 R U D' B
L2 B2 U2 R U D2 B
L2 B2 U2 R U B D
L2 B2 U2 R U B D'
L2 B2 U2 R U B D2
L2 B2 U2 R D U B
L2 B2 U2 R D' U B
L2 B2 U2 R D2 U B
L2 B2 U2 D R U B
L2 B2 U2 D' R U B
L2 B2 U2 D2 R U B
L B2 U' B U' R U
L2 B2 D U2 R U B
R' B2 D2 L2 R' U' B
R' B2 D2 R' L2 U' B
L2 B2 D' U2 R U B
L2 B2 D2 U2 R U B
R2 B2 D2 L R' U' B
R2 B2 D2 R' L U' B
R2 B2 F L F' U' B'
F B2 D F' R U' F'
L2 B2 F2 L' F2 U' B'
R2 B2 F2 L F2 U' B'
L B2 F2 L' F2 U' B
