B' L B2 R D' F' R
D2 L' F L' D B R'
D2 L' F D L' B R'
D2 L' F D B L' R'
D2 L' F D B R' L'
B R D F' R D L2
B R D F' D L2 R
B R D F' D R L2
B R D2 L2 D' F' R
B R' D' B U2 R' B'
L' D2 F U' L' F B
L' D2 F U' L' B F
L' D2 F U' B L' F
B U2 R' D' B U2 R'
D2 F L' D F B R'
D2 F L' D B R' F
D2 F L' D B F R'
D2 F L' F D B R'
R' B R' D F' U2 R
R' B D R' F' U2 R
D' B D' L' R' F L'
D' B D' L' F L' R'
D' B D' L' F R' L'
D' B D' R' L' F L'
D' B D' R' F L' F
D' B D' F L' R' F
D' B D' F L' F R'
D' B D' F R' L' F
L B' R U L F' B2
L B' R U L B2 F'
L B' R U F' L B2
