U L2 R' U R'
U R' L2 U R'
L2 R' U R' D2 L2
L2 R' U' R U2 R2
L2 R' F2 U L' R'
L2 R' F2 U R' L'
R' L2 U R' D2 L2
R' L2 U' R U2 R2
R' L2 U' R U2 R2
U2 L2 R' U L2 R'
U2 L2 R' U R' L2
U L2 R' U R' D
U L2 R' U R' D'
U L2 R' U R' D2
U L2 R' U D R'
U L2 R' U D' R'
U L2 R' U D2 R'
U L2 R' D U R'
U L2 R' D' U R'
U L2 R' D2 U R'
R' L2 F2 U L' R'
R' L2 F2 U R' L'
U L2 D R' B2 U
L' U L' R' U R'
L U L R' U R'
L' U R' L' U R'
L U R' L U R'
U2 R D' R F2 B2
U2 R D' R B2 F2
U2 R D' B2 R F2
U2 R' L2 U L2 R'
U2 R' L2 U R' L2
U R' L2 U R' D
U R' L2 U R' D'
U R' L2 U R' D2
U R' L2 U D R'
U R' L2 U D' R'
U R' L2 U D2 R'
U R' L2 D U R'
U R' L2 D' U R'
U R' L2 D2 U R'
U R' U R' D' B2
U R' U D' R' B2
U R' D' U R' B2
U2 R2 U' L2 R U
U2 R2 U' R L2 U
F' U L2 R' U R'
F2 U L2 R' U R'
F U L2 R' U R'
F' U R' L2 U R'
F2 U R' L2 U R'
F U R' L2 U R'
R D' B2 L R F2
R D' B2 R L F2
R D' B2 R F2 L
R' F2 L2 U L R'
R' F2 L2 U R' L
D F2 U R' B2 U
U L R' D L U R'
U L R' D' L U R'
U L R' D2 L U R'
F' L U L R' U R'
F2 L U L R' U R'
F L U L R' U R'
F' L U R' L U R'
F2 L U R' L U R'
F L U R' L U R'
U' L U2 L R' U R'
B2 L U2 L U L' R2
B2 L U2 L U R2 L'
U' L U2 R' L U R'
U L D L R' B2 U
U L D R' L B2 U
R' L F2 L U L2 R'
R' L F2 L U R' L2
D L F2 U R' B2 U
L2 R B2 R2 U L R'
L2 R B2 R2 U R' L
L2 R' U L R' D2 L2
L2 R' U L' R' D2 L2
L2 R' U L2 R' D2 L2
L2 R' U R' L D2 L2
L2 R' U R' L' D2 L2
L2 R' U R' L2 D2 L2
L2 R' U R' U2 R2 U2
L2 R' U R' D2 L2 D
L2 R' U R' D2 L2 D'
L2 R' U R' D2 L2 D2
L2 R' U D R' D2 L2
L2 R' U D' R' D2 L2
L2 R' U D2 R' D2 L2
L2 R' U F2 L' R' F2
L2 R' U F2 L' F2 R'
L2 R' U F2 R' L' F2
L2 R' U' L R U2 R2
L2 R' U' L' R U2 R2
L2 R' U' L2 R U2 R2
L2 R' U' R L U2 R2
L2 R' U' R L' U2 R2
L2 R' U' R L2 U2 R2
L2 R' U' R U2 R2 D
L2 R' U' R U2 R2 D'
L2 R' U' R U2 R2 D2
L2 R' U' R D2 L2 U2
L2 R' U' D R U2 R2
L2 R' U' D' R U2 R2
L2 R' U' D2 R U2 R2
L2 R' U2 F2 U' L' R'
L2 R' U2 F2 U' R' L'
L2 R' D U R' D2 L2
L2 R' D U' R U2 R2
L2 R' D F2 U L' R'
L2 R' D F2 U R' L'
U L' R' D L' U R'
U L' R' D' L' U R'
U L' R' D2 L' U R'
L2 R' D' U R' D2 L2
L2 R' D' U' R U2 R2
L2 R' D' F2 U L' R'
L2 R' D' F2 U R' L'
F' L' U L' R' U R'
F2 L' U L' R' U R'
F' L' U R' L' U R'
F L' U L' R' U R'
F2 L' U R' L' U R'
F L' U R' L' U R'
L2 R' D2 U R' D2 L2
L2 R' D2 U' R U2 R2
L2 R' D2 F2 U L' R'
L2 R' D2 F2 U R' L'
U' L' U2 L' R' U R'
U' L' U2 R' L' U R'
L R' F2 L U L2 R'
L R' F2 L U R' L2
U L' D L' R' B2 U
L2 R' F2 U L' R' D
L2 R' F2 U L' R' D'
L2 R' F2 U L' R' D2
L2 R' F2 U L' D R'
L2 R' F2 U L' D' R'
L2 R' F2 U L' D2 R'
L2 R' F2 U R' L' D
L2 R' F2 U R' L' D'
L2 R' F2 U R' L' D2
L2 R' F2 U R' D L'
L2 R' F2 U R' D' L'
L2 R' F2 U R' D2 L'
L2 R' F2 U D L' R'
L2 R' F2 U D R' L'
L2 R' F2 U D' L' R'
L2 R' F2 U D' R' L'
L2 R' F2 U D2 L' R'
L2 R' F2 U D2 R' L'
U L' D R' L' B2 U
L2 R' F2 D U L' R'
L2 R' F2 D U R' L'
U L' D R' B2 L' U
L2 R' F2 D' U L' R'
L2 R' F2 D' U R' L'
L2 R' F2 D2 U L' R'
L2 R' F2 D2 U R' L'
L2 R' B2 U' L R U2
L2 R' B2 U' R L U2
R' L2 U L R' D2 L2
R' L2 U L' R' D2 L2
R' L2 U L2 R' D2 L2
R' L2 U R' L D2 L2
R' L2 U R' L' D2 L2
R' L2 U R' L2 D2 L2
R' L2 U R' U2 R2 U2
R' L2 U R' D2 L2 D
R' L2 U R' D2 L2 D'
R' L2 U R' D2 L2 D2
R' L2 U D R' D2 L2
R' L2 U D' R' D2 L2
R' L2 U D2 R' D2 L2
R' L2 U F2 L' R' F2
R' L2 U F2 L' F2 R'
R' L2 U F2 R' L' F2
R' L2 U' L R U2 R2
R' L2 U' L' R U2 R2
R' L2 U' L2 R U2 R2
R' L2 U' R L U2 R2
R' L2 U' R L' U2 R2
R' L2 U' R L2 U2 R2
R' L2 U' R U2 R2 D
R' L2 U' R U2 R2 D'
R' L2 U' R U2 R2 D2
R' L2 U' R D2 L2 U2
R' L2 U' D R U2 R2
R' L2 U' D' R U2 R2
R' L2 U' D2 R U2 R2
D L' F2 U R' B2 U
R' L2 U2 F2 U' L' R'
R' L2 U2 F2 U' R' L'
R' L2 D U R' D2 L2
R' L2 D U' R U2 R2
R' L2 D F2 U L' R'
R' L2 D F2 U R' L'
R' L2 D' U R' D2 L2
R' L2 D' U' R U2 R2
L2 R2 D' R F2 U R'
R2 L2 D' R F2 U R'
R' L2 D' F2 U L' R'
R' L2 D' F2 U R' L'
R' L2 D2 U R' D2 L2
R' L2 D2 U' R U2 R2
L2 R2 D2 R U L2 R'
L2 R2 D2 R U R' L2
R2 L2 D2 R U L2 R'
R2 L2 D2 R U R' L2
R' L2 D2 F2 U L' R'
R' L2 D2 F2 U R' L'
U L2 R U D' R F2
F' L2 R' U R' D2 L2
U L2 R D' U R F2
F' L2 R' U' R U2 R2
F2 L2 R' U R' D2 L2
F2 L2 R' U' R U2 R2
U2 L2 R' U L2 R' D
U2 L2 R' U L2 R' D'
U2 L2 R' U L2 R' D2
U2 L2 R' U L2 D R'
U2 L2 R' U L2 D' R'
U2 L2 R' U L2 D2 R'
U2 L2 R' U R' L2 D
U2 L2 R' U R' L2 D'
U2 L2 R' U R' L2 D2
U L2 R B R2 U R'
U L2 R B' R2 U R'
F L2 R' U R' D2 L2
U2 L2 R' D F2 U R'
U L2 R B2 R2 U R'
F L2 R' U' R U2 R2
F' L2 R' F2 U L' R'
F' L2 R' F2 U R' L'
U L2 R' U R2 D R
U L2 R' U R2 D' R
U L2 R' U R2 D2 R
U L2 R' U D R' D
U L2 R' U D R' D'
U L2 R' U D R' D2
U L2 R' U D' R' D
U L2 R' U D' R' D'
U L2 R' U D' R' D2
U L2 R' U D2 R' D
U L2 R' U D2 R' D'
U L2 R' U D2 R' D2
U L2 R' U F' R' F
U L2 R' U F2 R' F2
U L2 R' U' L U2 R'
U L2 R' U' L' U2 R'
U L2 R' U' L2 U2 R'
U2 L2 R' F U L2 R'
U2 L2 R' F U R' L2
F2 L2 R' F2 U L' R'
F2 L2 R' F2 U R' L'
U2 L2 R' F' U L2 R'
U2 L2 R' F' U R' L2
U L2 R' U2 F U' R'
U L2 R' U2 F' U' R'
U L2 R' U2 F2 U' R'
U L2 R' D U R' D
U L2 R' D U R' D'
U L2 R' D U R' D2
U2 L2 R' F2 U L2 R'
U2 L2 R' F2 U R' L2
U L2 R' D' U R' D
U L2 R' D' U R' D'
U L2 R' D' U R' D2
U L2 R' D2 U R' D
U L2 R' D2 U R' D'
U L2 R' D2 U R' D2
F L2 R' F2 U L' R'
F L2 R' F2 U R' L'
U L2 R' B2 U' L U2
U L2 R2 D R U R'
U L2 R2 D' R U R'
U L2 R2 D2 R U R'
D2 L2 U R' U2 R' U'
D2 L2 U D R' U B2
U L2 R2 B R U R'
U L2 R2 B' R U R'
D2 L2 U D2 L2 R' U
D2 L2 U D2 R' L2 U
U L2 R2 B2 R U R'
R' L2 F2 U L' R' D
R' L2 F2 U L' R' D'
R' L2 F2 U L' R' D2
R' L2 F2 U L' D R'
R' L2 F2 U L' D' R'
R' L2 F2 U L' D2 R'
R' L2 F2 U R' L' D
R' L2 F2 U R' L' D'
R' L2 F2 U R' L' D2
R' L2 F2 U R' D L'
R' L2 F2 U R' D' L'
R' L2 F2 U R' D2 L'
R' L2 F2 U D L' R'
R' L2 F2 U D R' L'
R' L2 F2 U D' L' R'
R' L2 F2 U D' R' L'
R' L2 F2 U D2 L' R'
R' L2 F2 U D2 R' L'
U L2 U R D' R F2
R' L2 F2 D U L' R'
R' L2 F2 D U R' L'
U L2 U R2 U' R U
R' L2 F2 D' U L' R'
R' L2 F2 D' U R' L'
R' L2 F2 D2 U L' R'
R' L2 F2 D2 U R' L'
D2 L2 U' R2 U2 R U
B2 L2 U2 L' U' L R2
B2 L2 U2 L' U' R2 L
D2 L2 D U R' U B2
U2 L2 D R' F2 B2 U
U2 L2 D R' B2 F2 U
R' L2 B2 U' L R U2
R' L2 B2 U' R L U2
U L2 D R B2 R2 U
U L2 D R' U D' R2
U L2 D R' D' U R2
U2 L2 D F2 R' B2 U
U L2 D R' B2 U D
U L2 D R' B2 U D'
U L2 D R' B2 U D2
U L2 D R' B2 D U
U L2 D R' B2 D' U
U L2 D R' B2 D2 U
U L2 D R2 B2 R U
R L2 B2 R2 U L R'
R L2 B2 R2 U R' L
U L2 D B2 U2 L U'
D2 L2 D' F2 U R' U
U L2 D' R' U D R2
U L2 D' R' U2 F2 U'
U L2 D' R' D U R2
L U L R' U R' D
L U L R' U R' D'
L U L R' U R' D2
L U L R' U D R'
L U L R' U D' R'
L U L R' U D2 R'
U L2 D' R' D2 B2 U
L U L R' D U R'
L U L R' D' U R'
L U L R' D2 U R'
L U L D R' B2 U
D2 L2 D2 U L2 R' U
D2 L2 D2 U R' L2 U
L' U L' R' U R' D
L' U L' R' U R' D'
L' U L' R' U R' D2
L' U L' R' U D R'
L' U L' R' U D' R'
L' U L' R' U D2 R'
L' U L' R' D U R'
L' U L' R' D' U R'
L' U L' R' D2 U R'
L' U L' D R' B2 U
U L2 D2 R' U D2 R2
U L2 D2 R' U' L2 U2
