D2 L2 R' F' B' U
D2 L2 R' B' F' U
D2 R' L2 F' B' U
D2 R' L2 B' F' U
F R2 U2 R F' U
R' F' U2 R' F2 U'
R' F' U2 F2 R' U'
R' F' D2 B2 L U
D2 L R' F' L B' U
F L R2 U2 R F' U
R' L F' B2 L B' U
R' L B2 L F' B' U
R' L B2 L B' F' U
R' L B2 F' L B' U
R2 L' U2 R F' B U
R2 L' U2 R B F' U
F L' R2 U2 R F' U
R' L' F' U2 R' F' U'
L' R' F' U2 R' F' U'
L2 R' F' B2 L B U
L R' F' B2 L B' U
L2 R' B2 L F' B U
L R' B2 L F' B' U
L2 R' B2 L B F' U
L R' B2 L B' F' U
L2 R' B2 F' L B U
L R' B2 F' L B' U
L' R2 U2 R F' B U
L' R2 U2 R B F' U
L2 R2 U2 R F' B' U
L2 R2 U2 R B' F' U
R2 L2 U2 R F' B' U
R2 L2 U2 R B' F' U
L2 R2 U2 B' R F' U
R2 L2 U2 B' R F' U
D2 L2 R' D F' B' U
D2 L2 R' D B' F' U
D2 L2 R' D' F' B' U
D2 L2 R' D' B' F' U
D2 L2 R' D2 F' B' U
D2 L2 R' D2 B' F' U
D2 L2 R' F' D B' U
D2 L2 R' F' D' B' U
D2 L2 R' F' D2 B' U
D2 L2 R' F' B' U D
D2 L2 R' F' B' U D'
D2 L2 R' F' B' U D2
D2 L2 R' F' B' D U
D2 L2 R' F' B' D' U
D2 L2 R' F' B' D2 U
D2 L2 R' B' D F' U
D2 L2 R' B' D' F' U
D2 L2 R' B' D2 F' U
D2 L2 R' B' F' U D
D2 L2 R' B' F' U D'
D2 L2 R' B' F' U D2
D2 L2 R' B' F' D U
D2 L2 R' B' F' D' U
D2 L2 R' B' F' D2 U
D L2 R' F' B' U B'
D L2 R' B' F' U B'
F L2 R2 U2 R F' U
D2 L2 R2 B' R F' U
R' L2 F' B2 L B U
D2 L2 D R' F' B' U
D2 L2 D R' B' F' U
R' L2 B2 L F' B U
R' L2 B2 L B F' U
R' L2 B2 F' L B U
D2 L2 D' R' F' B' U
D2 L2 D' R' B' F' U
D2 L2 D2 R' F' B' U
D2 L2 D2 R' B' F' U
D2 L2 F R' F' B' U
D2 L2 F R' B' F' U
D2 L2 F' R' F' B' U
D2 L2 F' R' B' F' U
D2 L2 F2 R' F' B' U
D2 L2 F2 R' B' F' U
F R D' B R U' F2
F R D2 L2 B R U'
F R D2 B L2 R U'
F R D2 B R L2 U'
F' R B R F2 L' U'
B R B R F L U'
F R B R U2 R U
F R B D' R U' F2
F R B D2 L2 R U'
F R B D2 R L2 U'
D2 R' L F' L B' U
D2 R' L2 D F' B' U
D2 R' L2 D B' F' U
D2 R' L2 D' F' B' U
D2 R' L2 D' B' F' U
D2 R' L2 D2 F' B' U
D2 R' L2 D2 B' F' U
D2 R' L2 F' D B' U
D2 R' L2 F' D' B' U
D2 R' L2 F' D2 B' U
D2 R' L2 F' B' U D
D2 R' L2 F' B' U D'
D2 R' L2 F' B' U D2
