R' B L' D F2 R
B L U' B2 L2 R' B
B L U' B2 R' L2 B
B L U' B2 R' B L2
U' L F B2 L2 R' B
U' L F B2 R' L2 B
U' L F B2 R' B L2
U' L B2 R' F L2 B
U' L B2 R' F B L2
U' L B2 R' B F L2
U L B2 L2 R' F' B
U L B2 L2 R' B F'
U L B2 R' L2 F' B
U L B2 R' L2 B F'
U L B2 R' F' L2 B
U L B2 R' F' B L2
U L B2 R' B L2 F'
U L B2 R' B F' L2
B L B2 U' L2 R' B
B L B2 U' R' L2 B
B L B2 U' R' B L2
U' L B2 F L2 R' B
U' L B2 F R' L2 B
U' L B2 F R' B L2
B L' R' D F2 B R
B L' R' D B F2 R
U' L' R' B D2 F2 R
U L' R' F' D2 B R'
B L' R' B D F2 R
U L' R' F2 B R F
U L' R' B F2 R F
B L' R2 D F2 R B
U L' R2 F2 R F' B
U L' R2 F2 R B F'
U L' F' R' F' B R
U L' F' R' B F' R
U L' F2 R' F' B R2
U L' F2 R' B F' R2
U L2 R' U2 L F' B
U L2 R' U2 L B F'
U L2 R' U2 F' L B
B' L2 U R' U L B
U L2 U2 D2 L F B'
U L2 U2 D2 L B' F
U L2 D2 U2 L F B'
U L2 D2 U2 L B' F
R' U L2 U2 L F B
R' U L2 U2 L B F
R U L2 F' U2 L F
L2 U R' U L F' B
L2 U R' U L B F'
L2 U R' U F' L B
U L2 B2 R' U2 F' B
U L2 B2 R' U2 B F'
L U B2 L2 R' F' B
L U B2 L2 R' B F'
L U B2 R' L2 F' B
L U B2 R' L2 B F'
L U B2 R' F' L2 B
L U B2 R' F' B L2
L U B2 R' B L2 F'
L U B2 R' B F' L2
U R D2 L' R2 F' B
U R D2 L' R2 B F'
U R D2 R2 L' F' B
U R D2 R2 L' B F'
U R D2 R2 B L' F'
R' U' L' B D2 F2 R
U R B L2 F' U2 L
U' R' L' B D2 F2 R
B R' L' D F2 B R
B R' L' D B F2 R
B R' L' B D F2 R
U R' L' F' D2 B R'
U R' L' F2 B R F
U R' L' B F2 R F
U R' L2 U2 L F' B
U R' L2 U2 L B F'
U R' L2 U2 F' L B
B' R' U D2 L' B R2
B' R' U D2 B L' R2
B' R' U D2 B R2 L'
B' R' U B D2 L' R2
B' R' U B D2 R2 L'
B' R' U' L2 U2 L B
B' R' D' B2 U B' L'
B' R' D2 U L' B R2
B' R' D2 U B L' R2
B' R' D2 U B R2 L'
U R' D2 L' F' B R2
U R' D2 L' B F' R2
U R' D2 B L' F' R2
U R' B L' F2 R F
U R' B D2 L' F' R2
B R2 L' D F2 R B
U R2 L' F2 R F' B
U R2 L' F2 R B F'
F2 U L2 R F' B U2
F2 U L2 R B F' U2
F2 U R L2 F' B U2
F2 U R L2 B F' U2
R' D B L' D R2 F2
R' D B L' D F2 R2
F2 U R F' L2 B U2
F2 U R F' B L2 U2
F2 U R B L2 F' U2
F2 U R B F' L2 U2
D2 U' L R2 F B' L2
D2 U' L R2 B' F L2
D2 U' L F R2 B' L2
D2 U' L F B' L2 R2
D2 U' L F B' R2 L2
D2 U' L B' R2 F L2
D2 U' L B' F L2 R2
D2 U' L B' F R2 L2
D2 U' R2 L F B' L2
D2 U' R2 L B' F L2
U' D2 L R2 F B' L2
U' D2 L R2 B' F L2
U' D2 L F R2 B' L2
U' D2 L F B' L2 R2
U' D2 L F B' R2 L2
U' D2 L B' R2 F L2
U' D2 L B' F L2 R2
U' D2 L B' F R2 L2
U' D2 R2 L F B' L2
U' D2 R2 L B' F L2
R D2 R2 B L' D F2
R' D2 B L' R2 D F2
R' D2 B R2 L' D F2
U F2 L2 R F' B U2
U F2 L2 R B F' U2
U F2 R L2 F' B U2
U F2 R L2 B F' U2
U F2 R F' L2 B U2
U F2 R F' B L2 U2
U F2 R B L2 F' U2
U F2 R B F' L2 U2
B D2 L U' R2 B' L2
B D2 L U' B' L2 R2
B D2 L U' B' R2 L2
D2 B L U' R2 B' L2
D2 B L U' B' L2 R2
D2 B L U' B' R2 L2
R' B L' R D F2 R
R' B L' R' D F2 R
R' B L' R2 D F2 R
R' B L' D R F2 R
R' B L' D R' F2 R
R' B L' D R2 F2 R
R' B L' D F2 R D
R' B L' D F2 R D'
R' B L' D F2 R D2
R' B L' D F2 D R
R' B L' D F2 D' R
R' B L' D F2 D2 R
D B L R' F2 U' L2
R' B L' F2 R D F2
R' B L' F2 D R F2
D B L F2 R' U' L2
R2 B L' D F2 R B
R' B R L' D F2 R
R' B R' L' D F2 R
R' B R2 L' D F2 R
D B R' L F2 U' L2
R' B D L' D R2 F2
R' B D L' D F2 R2
R' B D2 L' R2 D F2
R' B D2 R2 L' D F2
L2 B' U R' F' U B
