R U' R F' L' U'
L R U' R F' U' F2
R L U' R F' U' F2
F' L R2 F' U' L' F2
F2 L R2 F' U' L2 F2
F2 L R2 F' U' F2 L2
F L R2 F' U' F2 L'
R2 L F' U R' U2 F2
R2 L F' B2 U' L F2
R2 L F' B2 U' F2 L
L' R B' U' R F' U'
R2 L B2 F' U' L F2
R2 L B2 F' U' F2 L
R2 L' F' U R' B' U2
R L' B' U' R F' U'
F' L2 R2 F' U' L' F
L' R2 F' U R' B' U2
L R2 F' U R' U2 F2
L R2 F' B2 U' L F2
L R2 F' B2 U' F2 L
L R2 B2 F' U' L F2
L R2 B2 F' U' F2 L
D2 L2 F2 B U L' F
D2 L2 B U F2 L' F
D2 L2 B F2 U L' F
R U' L R F' L' U'
R U' L' R F' L' U'
R U' L2 R F' L' U'
R U' R L F' L' U'
R U' R L' F' L' U'
R U' R L2 F' L' U'
R U' R D F' L' U'
R U' R D' F' L' U'
R U' R D2 F' L' U'
R U' R F' L' U' D
R U' R F' L' U' D'
R U' R F' L' U' D2
R U' R F' L' D U'
R U' R F' L' D' U'
R U' R F' L' D2 U'
R U' R F' D L' U'
R U' R F' D' L' U'
R U' R F' D2 L' U'
U2 R B U' R F' U'
F' R2 L F' U' L' F2
F2 R2 L F' U' L2 F2
F2 R2 L F' U' F2 L2
F R2 L F' U' F2 L'
F' R2 L2 F' U' L' F
F' R2 F' L U' F L2
U' R2 F' L' U R' U2
U' R2 F' L' B2 U' L
F2 R2 F' L U' F L'
U2 R2 F' U R' B U2
U' R2 F' B2 L' U' L2
U R2 F' U R' U2 F'
D R2 B2 L F D R2
U' R2 B2 F' L' U' L2
B U2 R2 U R' B U2
U' F' L' R2 F' U' L'
R2 F' L U R' U2 F
R2 F' L B2 U' F L
R2 F' L' U R' B' U2
U' F' R2 L' F' U' L'
L2 F' R2 F' U' L' F
L F' R2 F' U' L' F'
B' D' R F2 L' B' U2
B' D' R2 D2 B2 L F
R2 F' B2 L' U' L2 F
R2 F' B2 L2 U' L' F
B D2 L2 U F2 L' F
B D2 L2 F2 U L' F
D2 B L2 U F2 L' F
D2 B L2 F2 U L' F
R B U' R F' L' U'
L' B D2 L2 U F2 L'
L' B' D L2 R U2 B2
L' B' D R L2 U2 B2
R B' U' R F' L' U'
D2 B' D' R2 B2 L F
L' B' D' R F2 L' U2
L' B' D' F2 U2 L' R2
L' B' D' F2 U2 R2 L'
R2 B2 L' F' U' L2 F
R B2 U' R F' L' U'
R2 B2 F' L' U' L2 F
R2 B2 F' L2 U' L' F
