D2 L' B' L U' R2 B'
D2 L' B' L U' B' R2
F L' B' U L' F U2
U' L2 D F R U2 F'
U' L2 F R U' L' U'
F L2 F U' L B' U'
U L2 F U' L' B' U'
F' R U B L B2 R'
F' R U' L2 F R U2
F' R D' B2 U B L
L2 U2 D' L2 B' L F
L2 D R F U2 L' F2
L2 D R' F B U2 L'
L2 D R' B F U2 L'
L2 D F R U2 L' F'
L2 D F R' B U2 L'
L2 D F U2 D2 L' F
L2 D F D2 U2 L' F
L2 D F' R F2 U2 F
F2 U B L F B2 R'
F2 U B L B2 R' F
F2 U B L B2 F R'
L2 D' U2 L2 B' L F
F2 U' L2 F R B U2
L2 F U' L B' L2 U'
L2 F U' L' U2 F U
F' D' R B2 U B L
D F2 R U' F' B' L'
D F2 R U' B' F' L'
F2 D' B2 U B L F
D' B2 U L' F B L
D' B2 U L' B F L
D' B2 U L2 B L F
D' B2 U B L' F L2
