D' L R2 F' B U'
D' L R2 B F' U'
R2 L F' B U' B
R2 L B F' U' B
L R2 F' B U' B
L R2 B F' U' B
D' R2 L F' B U'
D' R2 L B F' U'
L U2 F' B U B
L U2 B F' U B
D' R2 F' L B U'
L D' R2 F' B U'
L D' R2 B F' U'
B2 U' F' R' B' U
B2 U' F' R' B' U
R2 F' L B U' B
B2 F' R' B' U B
F' B2 R' B' U B
D' L R2 D F' B U'
D' L R2 D B F' U'
D' L R2 D' F' B U'
D' L R2 D' B F' U'
D' L R2 D2 F' B U'
D' L R2 D2 B F' U'
U' L R2 F' B U' B
D' L R2 F' D B U'
D' L R2 F' D' B U'
D' L R2 F' D2 B U'
D' L R2 F' B U' D
D' L R2 F' B U' D'
D' L R2 F' B U' D2
D' L R2 F' B D U'
D' L R2 F' B D' U'
D' L R2 F' B D2 U'
U2 L R2 F' B U' B
D' L R2 B D F' U'
D' L R2 B D' F' U'
U' L R2 B F' U' B
D' L R2 B D2 F' U'
D' L R2 B F' U' D
D' L R2 B F' U' D'
D' L R2 B F' U' D2
D' L R2 B F' D U'
D' L R2 B F' D' U'
D' L R2 B F' D2 U'
U2 L R2 B F' U' B
U L R2 F' B U' B
U L R2 B F' U' B
D L U2 L F' B U
D L U2 L B F' U
R2 L D' F' B R2 U'
R2 L D' B F' R2 U'
U' L U2 F' B U B
U2 L U2 F' B U B
D L U2 F' L B U
U' L U2 B F' U B
U2 L U2 B F' U B
F L U2 F2 B U B
U L U2 F' B U B
F L U2 B F2 U B
U L U2 B F' U B
D2 L D R2 F' B U'
D2 L D R2 B F' U'
U' L D' R2 F' B U'
U' L D' R2 B F' U'
U2 L D' R2 F' B U'
U2 L D' R2 B F' U'
F L D' R2 F' U' L2
U L D' R2 F' B U'
U L D' R2 B F' U'
R2 L F' D' B R2 U'
R2 L F' B U' D B
R2 L F' B U' D' B
R2 L F' B U' D2 B
R2 L F' B U' B D
R2 L F' B U' B D'
R2 L F' B U' B D2
R2 L F' B D U' B
R2 L F' B D' U' B
R2 L F' B D2 U' B
R2 L B D F' U' B
R2 L B D' F' U' B
R2 L B D2 F' U' B
R2 L B F' U' D B
R2 L B F' U' D' B
R2 L B F' U' D2 B
R2 L B F' U' B D
R2 L B F' U' B D'
R2 L B F' U' B D2
R2 L B F' D U' B
R2 L B F' D' U' B
R2 L B F' D2 U' B
D' L' R2 F' L2 B U'
D' L' R2 F' B L2 U'
D' L' R2 B L2 F' U'
D' L' R2 B F' L2 U'
R2 L' F' L2 B U' B
R2 L' F' B L2 U' B
F' L' D L2 B U F2
F' L' D B L2 U F2
R2 L' B L2 F' U' B
R2 L' B F' L2 U' B
F' L' B U D F2 B
F' L' B U D B F2
F' L' B U B D F2
F' L' B U2 L2 U' B
F' L' B D U F2 B
F' L' B D U B F2
L R2 D' F' B R2 U'
L R2 D' B F' R2 U'
L' R2 F' L2 B U' B
D' L2 R2 B L' F' U'
L' R2 F' B L2 U' B
L R2 F' D' B R2 U'
L R2 F' B U' D B
L R2 F' B U' D' B
L R2 F' B U' D2 B
L R2 F' B U' B D
L R2 F' B U' B D'
L R2 F' B U' B D2
L R2 F' B D U' B
L R2 F' B D' U' B
L R2 F' B D2 U' B
L' R2 B L2 F' U' B
L2 R2 B L' F' U' B
R2 L2 B L' F' U' B
L' R2 B F' L2 U' B
L R2 B D F' U' B
L R2 B D' F' U' B
L R2 B D2 F' U' B
L R2 B F' U' D B
L R2 B F' U' D' B
L R2 B F' U' D2 B
L R2 B F' U' B D
L R2 B F' U' B D'
L R2 B F' U' B D2
L R2 B F' D U' B
L R2 B F' D' U' B
L R2 B F' D2 U' B
R2 U L F' B U' B
R2 U L B F' U' B
D L2 F' D2 B R' U
D L2 F2 B R F U
F' L2 B U2 L' U' B
D L2 B F2 R F U
R2 U F' L B U' B
R2 U' L F' B U' B
R2 U' L B F' U' B
F' R B2 R' B U B'
R2 U' F' L B U' B
L U' F' B U F B
L U' F' B U B F
F' R' U2 L F U' B2
L U' B F' U F B
L U' B F' U B F
B2 R' D B' U L B
L U' B2 U' F' B' U
L U' B2 U' B' F' U
R2 U2 L F' B U' B
R2 U2 L B F' U' B
L U2 L F' B U B
L U2 L B F' U B
L U2 L' F' B U B
L U2 L' B F' U B
L U2 L2 F' B U B
L U2 L2 B F' U B
L U2 D L2 F' B U
L U2 D L2 B F' U
L U2 D F' L2 B U
L U2 D F' B L2 U
L U2 D B L2 F' U
L U2 D B F' L2 U
D' R2 L D F' B U'
D' R2 L D B F' U'
D' R2 L D' F' B U'
D' R2 L D' B F' U'
D' R2 L D2 F' B U'
D' R2 L D2 B F' U'
D' R2 L F' D B U'
D' R2 L F' D' B U'
D' R2 L F' D2 B U'
D' R2 L F' B U' D
D' R2 L F' B U' D'
D' R2 L F' B U' D2
D' R2 L F' B D U'
D' R2 L F' B D' U'
D' R2 L F' B D2 U'
U' R2 L F' B U' B
D' R2 L B D F' U'
D' R2 L B D' F' U'
D' R2 L B D2 F' U'
D' R2 L B F' U' D
D' R2 L B F' U' D'
D' R2 L B F' U' D2
D' R2 L B F' D U'
D' R2 L B F' D' U'
D' R2 L B F' D2 U'
U' R2 L B F' U' B
U2 R2 L F' B U' B
U2 R2 L B F' U' B
D' R2 L' F' L2 B U'
D' R2 L' F' B L2 U'
D' R2 L' B L2 F' U'
D' R2 L' B F' L2 U'
U R2 L F' B U' B
U R2 L B F' U' B
D' R2 L2 B L' F' U'
R2 U2 F' L B U' B
L U2 F' L B U B
L U2 F' L' B U B
L U2 F' L2 B U B
L U2 F' D L2 B U
L U2 F' D B L2 U
L U2 F' B L U B
L U2 F' B L' U B
L U2 F' B L2 U B
L U2 F' B U D B
L U2 F' B U D' B
L U2 F' B U D2 B
L U2 F' B U B D
L U2 F' B U B D'
L U2 F' B U B D2
L U2 F' B D U B
L U2 F' B D' U B
L U2 F' B D2 U B
F' R2 U2 L F' U' B2
L U2 B L F' U B
L U2 B L' F' U B
F' R2 U2 F' L U' B2
L U2 B L2 F' U B
D' R2 D L F' B U'
D' R2 D L B F' U'
L U2 B D F' U B
L U2 B D' F' U B
L U2 B D2 F' U B
L U2 B F' L U B
L U2 B F' L' U B
L U2 B F' L2 U B
L U2 B F' U D B
L U2 B F' U D' B
L U2 B F' U D2 B
L U2 B F' U B D
L U2 B F' U B D'
L U2 B F' U B D2
L U2 B F' D U B
L U2 B F' D' U B
L U2 B F' D2 U B
D' R2 D F' L B U'
D' R2 D' L F' B U'
D' R2 D' L B F' U'
D' R2 D' F' L B U'
D' R2 D2 L F' B U'
D' R2 D2 L B F' U'
D' R2 D2 F' L B U'
D' R2 F L F2 B U'
D' R2 F L B F2 U'
D' R2 F' L D B U'
D' R2 F' L D' B U'
D' R2 F' L D2 B U'
D' R2 F' L B U' D
D' R2 F' L B U' D'
D' R2 F' L B U' D2
D' R2 F' L B D U'
D' R2 F' L B D' U'
D' R2 F' L B D2 U'
D' R2 F' L' B L2 U'
U' R2 F' L B U' B
D' R2 F' L2 B L' U'
L' D L2 F' B U F'
L' D L2 B F' U F'
U2 R2 F' L B U' B
D' R2 F' D L B U'
D' R2 F' D' L B U'
D' R2 F' D2 L B U'
U R2 F' L B U' B
D' U L R2 F' B U'
D' U L R2 B F' U'
L D U2 L2 F' B U
L D U2 L2 B F' U
L D U2 F' L2 B U
L D U2 F' B L2 U
L D U2 B L2 F' U
L D U2 B F' L2 U
L' D F' L2 B U F'
L' D F' B L2 U F'
L' D B L2 F' U F'
D' U R2 L F' B U'
D' U R2 L B F' U'
L' D B F' L2 U F'
D' U R2 F' L B U'
R2 D' L F' B R2 U'
R2 D' L B F' R2 U'
L2 D' L' R2 F' B U'
L2 D' L' R2 B F' U'
D' U' L R2 F' B U'
D' U' L R2 B F' U'
U' D' L R2 F' B U'
U' D' L R2 B F' U'
L2 D' R2 L' F' B U'
L2 D' R2 L' B F' U'
U2 D' L R2 F' B U'
U2 D' L R2 B F' U'
B U B U' F' R' U
L2 D' R2 B L' F' U'
U D' L R2 F' B U'
U D' L R2 B F' U'
L D' R2 D F' B U'
L D' R2 D B F' U'
L D' R2 D' F' B U'
L D' R2 D' B F' U'
L D' R2 D2 F' B U'
L D' R2 D2 B F' U'
F' U B2 U' R' B' U
L D' R2 F' D B U'
L D' R2 F' D' B U'
L D' R2 F' D2 B U'
L D' R2 F' B U' D
L D' R2 F' B U' D'
L D' R2 F' B U' D2
L D' R2 F' B D U'
L D' R2 F' B D' U'
L D' R2 F' B D2 U'
L D' R2 B D F' U'
L D' R2 B D' F' U'
L D' R2 B D2 F' U'
L D' R2 B F' U' D
L D' R2 B F' U' D'
L D' R2 B F' U' D2
L D' R2 B F' D U'
L D' R2 B F' D' U'
L D' R2 B F' D2 U'
U' D' R2 L F' B U'
D' U' R2 L F' B U'
U' D' R2 L B F' U'
D' U' R2 L B F' U'
R2 D' F' L B R2 U'
D' U' R2 F' L B U'
U' D' R2 F' L B U'
U2 D' R2 L F' B U'
U2 D' R2 L B F' U'
U2 D' R2 F' L B U'
U D' R2 L F' B U'
U D' R2 L B F' U'
U D' R2 F' L B U'
B2 U' R' D B' U L
B2 U' D F' R' B' U
B2 U' D' F' R' B' U
B2 U' D2 F' R' B' U
B2 U' F R' F2 B' U
B2 U' F R' B' F2 U
D' U2 L R2 F' B U'
D' U2 L R2 B F' U'
B2 U' F' R B' R2 U
B2 U' F' R' D B' U
B2 U' F' R' D' B' U
B2 U' F' R' D2 B' U
B2 U' F' R' B' U D
B2 U' F' R' B' U D'
B2 U' F' R' B' U D2
B2 U' F' R' B' D U
B2 U' F' R' B' D' U
B2 U' F' R' B' D2 U
B2 U' F' R2 B' R U
B2 U' F' D R' B' U
B2 U' F' D' R' B' U
B2 U' F' D2 R' B' U
B2 U' F2 R' F B' U
B2 U' F2 R' B' F U
B2 U' B' D2 F' R U
D' U2 R2 L F' B U'
D' U2 R2 L B F' U'
F' U2 L R2 F' U' B2
D' U2 R2 F' L B U'
F' U2 L U2 B U B
F' U2 L D' R2 F' U'
L' D2 F' B R2 U B
L' D2 B F' R2 U B
F' U2 R2 L F' U' B2
F' U2 R2 F' L U' B2
F' U2 D' L R2 F' U'
F' U2 D' R2 L F' U'
F' U2 D' R2 F' L U'
R2 F L F2 B U' B
R2 F L B F2 U' B
D F L2 F2 B R U
D F L2 B F2 R U
B D L' F' U F2 B
B D L' F' U B F2
F' D L2 B U2 L' U'
L F U2 F2 B U B
L F U2 B F2 U B
L F D' R2 F' U' L2
B2 D U' F' R' B' U
R2 F' L D' B R2 U'
R2 F' L B U' D B
R2 F' L B U' D' B
R2 F' L B U' D2 B
R2 F' L B U' B D
R2 F' L B U' B D'
R2 F' L B U' B D2
R2 F' L B D U' B
R2 F' L B D' U' B
R2 F' L B D2 U' B
R2 F' L' B L2 U' B
B2 D F' R' B' U B
R2 F' L2 B L' U' B
B D F' L' U F B
B D F' L' U B F
D F' L2 B U2 L' U'
F' D B2 R' B' L2 U
D' F' U2 L R2 F' U'
D' F' U2 R2 L F' U'
D' F' U2 R2 F' L U'
L' F' D L2 B U F2
F D' L R2 F' U' L
L' F' D B L2 U F2
R2 F' D' L B R2 U'
L' F' B U D F2 B
L' F' B U D B F2
L' F' B U B D F2
L' F' B U2 L2 U' B
L' F' B D U F2 B
L' F' B D U B F2
U' F' B2 R' B' U B
F D' R2 L F' U' L
U2 F' B2 R' B' U B
F D' R2 F' L U' L
B2 D' U' F' R' B' U
F' D' U2 L R2 F' U'
D F' B2 R' B' L2 U
F' D' U2 R2 L F' U'
F' D' U2 R2 F' L U'
U F' B2 R' B' U B
B2 D' F' R' B' U B
L F2 U2 F B U B
L F2 U2 B F U B
B2 D2 U' F' R' B' U
B2 D2 F' R' B' U B
D B L2 D2 F' R U
L' B D F' U F' B
L' B D F' U B F'
D' B D2 L2 F' R U
D2 B D2 F' R U B2
D' B D2 F' L2 R U
D' B D2 F' R L2 U
B2 F R' F2 B' U B
B2 F R' B' F2 U B
L' B F' U D F2 B
L' B F' U D B F2
L' B F' U B D F2
L' B F' U2 L2 U' B
L' B F' D U F2 B
L' B F' D U B F2
F' B U B U' R' U
B2 F U' R' F2 B' U
B2 F U' R' B' F2 U
B2 F U' F2 R' B' U
F' B D L' U F B
F' B D L' U B F
B2 F' R' D B' U B
B2 F' R' D' B' U B
B2 F' R' D2 B' U B
B2 F' R' B' L U B
B2 F' R' B' L' U B
B2 F' R' B' L2 U B
B2 F' R' B' U D B
B2 F' R' B' U D' B
B2 F' R' B' U D2 B
B2 F' R' B' U B D
B2 F' R' B' U B D'
B2 F' R' B' U B D2
B2 F' R' B' D U B
B2 F' R' B' D' U B
B2 F' R' B' D2 U B
L B' U2 F' B2 U B
L B' U2 B2 F' U B
B F' U B U' R' U
B2 F' D R' B' U B
B F' D L' U F B
B F' D L' U B F
B2 F' D' R' B' U B
B2 F' D2 R' B' U B
F' B2 R' D B' U B
U' B2 U' F' R' B' U
F' B2 R' D' B' U B
F' B2 R' D2 B' U B
R B2 R' F' B U B'
F' B2 R' B' L U B
B2 F2 R' F B' U B
F' B2 R' B' L' U B
F' B2 R' B' L2 U B
F' B2 R' B' U D B
F' B2 R' B' U D' B
F' B2 R' B' U D2 B
F' B2 R' B' U B D
F' B2 R' B' U B D'
F' B2 R' B' U B D2
F' B2 R' B' D U B
F' B2 R' B' D' U B
R B2 R' B F' U B'
F' B2 R' B' D2 U B
F2 B2 R' F B' U B
B2 F2 R' B' F U B
F2 B2 R' B' F U B
U2 B2 U' F' R' B' U
F B2 R' F2 B' U B
F B2 R' B' F2 U B
