B' U L F2 U2 F2
B' U F2 L U2 F2
B' U' L F2 R U2
B' U' F2 L U2 L'
B D2 F2 U R' B2
U2 B' U L F2 U2
U2 B' U F2 L U2
U2 B' U' D2 B2 R'
U2 B' D2 U' B2 R'
F' L U R2 B L R'
F' L U R2 B R' L
F L U B L R' B'
F L U B R' L B'
D' L D2 L F B' U
D' L D2 L B' F U
B L D2 F2 U R' B2
B' L' U L2 F2 U2 F2
B' L' U F2 L2 U2 F2
B' L' U' L2 F2 U2 L2
B' L' U' F2 L2 U2 L2
B L' D2 F2 U R' B2
D' L2 R' B R F U
B' L2 U L' F2 U2 F2
B' L2 U F2 U2 R F2
B' L2 U' L' F2 U2 L
D' L2 D F B U R'
D' L2 D B F U R'
D' L2 D' F U' L' U2
D2 L2 F L2 U B2 R'
B L2 D2 F2 U R' B2
D' L2 F R' B R U
D2 L2 F U' L' U2 B2
D' L2 F D B U R'
F2 L2 F U R2 B R'
F L2 F U B R' B2
F L2 F B U R' B2
D' L2 F2 D' F' U R
F L2 B F U R' B2
L U B L R' D2 B2
L U B L D2 R' B2
L U B R' L D2 B2
L U B R' D2 L B2
L U B D2 L R' B2
L U B D2 R' L B2
L U B' D2 B2 L R'
L U B' D2 B2 R' L
U2 R B' U L F2 U2
U2 R B' U F2 L U2
U2 R B' U' D2 B2 R'
U2 R B' D2 U' B2 R'
D' R' L2 B R F U
U2 R' B' U L F2 U2
U2 R' B' U F2 L U2
U2 R' B' U' D2 B2 R'
U2 R' B' D2 U' B2 R'
U2 R2 B' U L F2 U2
U2 R2 B' U F2 L U2
U2 R2 B' U' D2 B2 R'
U2 R2 B' D2 U' B2 R'
B' U L F2 U2 F2 D
B' U L F2 U2 F2 D'
B' U L F2 U2 F2 D2
B' U L F2 D2 B2 U2
B' U L F2 B U2 F2
B' U L F2 B' U2 F2
B' U L F2 B2 U2 F2
B' U L B F2 U2 F2
B' U L B' F2 U2 F2
B' U L B2 F2 U2 F2
B' U L' F2 L2 U2 F2
B' U L2 F2 U2 R F2
B' U R D2 B2 L R'
B' U R D2 B2 R' L
B U R' D L2 D B2
B U R' D2 B2 D' L2
B' U R2 D2 B2 L2 R'
B' U R2 D2 B2 R' L2
F' U R2 B R' D L2
F' U R2 B D L2 R'
F' U R2 B D R' L2
B U D L2 D R' B2
B' U D2 R B2 L R'
B' U D2 R B2 R' L
B U D' R' D' B2 L
B U D2 R' B2 D' L2
B' U F2 L U2 F2 D
B' U F2 L U2 F2 D'
B' U F2 L U2 F2 D2
B' U F2 L D2 B2 U2
B' U F2 L B U2 F2
B' U F2 L B' U2 F2
B' U F2 L B2 U2 F2
R D' L2 R' F B U
R D' L2 R' B F U
B' U F2 L2 U2 F2 R
R D' L2 F R' B U
B' U F2 D2 L B2 U2
B' U F2 D2 B2 U2 R'
B' U F2 B2 U2 R' F2
B' U F2 B2 U2 F2 R'
R D' R' L2 F B U
R D' R' L2 B F U
F U B R' D L2 B'
F U B D L2 R' B'
F U B D R' L2 B'
B' U B2 F2 U2 R' F2
B' U B2 F2 U2 F2 R'
B' U' L R F2 R U2
B' U' L R' F2 R U2
B' U' L R2 F2 R U2
B' U' L U2 L' D2 B2
B' U' L U2 D2 L' B2
B' U' L U2 D2 B2 L'
B' U' L D2 U2 L' B2
B' U' L D2 U2 B2 L'
B' U' L F2 R U2 D
B' U' L F2 R U2 D'
B' U' L F2 R U2 D2
B' U' L F2 R D U2
B' U' L F2 R D' U2
B' U' L F2 R D2 U2
B' U' L F2 D R U2
B' U' L F2 D' R U2
B' U' L F2 D2 R U2
B' U' L' F2 L2 U2 L'
B' U' L2 F2 U2 L2 R
B' U' L2 F2 U2 R L2
B' U' R L F2 R U2
B' U' R F2 L U2 L'
B' U' R' L F2 R U2
B' U' R' F2 L U2 L'
B' U' R2 L F2 R U2
B' U' R2 F2 L U2 L'
B' U' D2 L U2 L' B2
B' U' D2 L U2 B2 L'
B' U' D2 B2 R' D2 F2
B' U' D2 B2 D2 R' F2
B' U' D2 B2 D2 F2 R'
B' U' F2 L R U2 L'
B' U' F2 L R' U2 L'
B' U' F2 L R2 U2 L'
B' U' F2 L U2 L' D
B' U' F2 L U2 L' D'
B' U' F2 L U2 L' D2
B' U' F2 L U2 D L'
B' U' F2 L U2 D' L'
B' U' F2 L U2 D2 L'
B' U' F2 L D U2 L'
B' U' F2 L D' U2 L'
B' U' F2 L D2 U2 L'
B' U' F2 R L U2 L'
B' U' F2 R' L U2 L'
B' U' F2 R2 L U2 L'
B' U' F2 D L U2 L'
B' U' F2 D' L U2 L'
B' U' F2 D2 L U2 L'
B U' F2 U2 R' D L2
B U' F2 U2 D L2 R'
B U' F2 U2 D R' L2
B U' F2 D U2 L2 R'
B U' F2 D U2 R' L2
B U' F2 D' R2 U2 R
F2 U' B' U L B U2
B' U' B2 R' D2 F2 B2
B' U' B2 R' D2 B2 F2
B' U' B2 D2 R' F2 B2
B' U' B2 D2 R' B2 F2
B' U' B2 D2 F2 R' B2
L2 D2 F L2 U B2 R'
L2 D2 F U' L' U2 B2
D2 U2 F' B' U' R B'
D2 U2 F' B' U' B' R
U2 D2 F' B' U' R B'
U2 D2 F' B' U' B' R
D2 U2 B' F' U' R B'
D2 U2 B' F' U' B' R
F' U2 R2 B' U' B2 R'
U2 D2 B' F' U' R B'
U2 D2 B' F' U' B' R
B U2 D R2 U' L2 R
B U2 D R2 U' R L2
D2 F L2 F U B2 R'
L2 F L2 U B R' B2
L2 F L2 B U R' B2
F' U2 B' U L F' U2
F' U2 B' U F' L U2
F2 U2 B' U L U2 B
F2 U2 B' U' B2 R' B'
F U2 B' U F L U2
B U2 B2 U L F2 U2
B U2 B2 U F2 L U2
L2 F U' D2 F L' U2
B U2 B2 U' D2 B2 R'
B U2 B2 D2 U' B2 R'
L2 F D L2 U B' R'
F D L2 F U B' R'
L2 F D2 U' F L' U2
L2 F B L2 U R' B'
L2 F B U' F U2 R'
U2 F B' U F L U2
L2 F B' U' F L U2
B D U L2 D R' B2
B D U2 R2 U' L2 R
B D U2 R2 U' R L2
U2 F' R2 B' U' B2 R'
L F' U R2 B L R'
L F' U R2 B R' L
D2 F' U2 B' U' R B'
D2 F' U2 B' U' B' R
B' D' L2 U' L' U2 L
B D' L2 U D2 L2 R'
B D' L2 U D2 R' L2
B D' L2 U' R2 U2 R
B D' L2 D' F2 U R'
B D' L2 D2 U L2 R'
B D' L2 D2 U R' L2
U2 F' B' U L F' U2
U2 F' B' U F' L U2
B D' U R' D' B2 L
D2 F2 L2 F U R B2
D2 F2 L2 F U B2 R
U' F2 U' B' U L U2
D2 F2 U2 B' U' R' B'
D2 F2 D L2 F U R
B D2 L F2 U R' B2
B D2 L' F2 U R' B2
B D2 L2 F2 U R' B2
B' D2 U R B2 L R'
B' D2 U R B2 R' L
B' D2 U' L U2 L' B2
B' D2 U' L U2 B2 L'
B' D2 U' B2 R' D2 F2
B' D2 U' B2 D2 R' F2
B' D2 U' B2 D2 F2 R'
B D2 U R' B2 D' L2
B D2 F2 L U R' B2
B D2 F2 L' U R' B2
B D2 F2 L2 U R' B2
B D2 F2 U R B2 R2
B D2 F2 U R' B2 D
B D2 F2 U R' B2 D'
B D2 F2 U R' B2 D2
B D2 F2 U R2 B2 R
B D2 F2 D L2 U R'
U B R' D L2 D B2
U B R' D2 B2 D' L2
U2 B D R2 U' L2 R
U2 B D R2 U' R L2
U B D L2 D R' B2
L2 B D' F L2 U R'
D2 B D2 F2 U B R'
U B D' R' D' B2 L
L2 B D2 F U R' B2
L2 B F L2 U R' B'
L2 B F U' F U2 R'
U B D2 R' B2 D' L2
B' F U F L U2 F'
B' F U' F L U2 L'
B F U R' D L2 B'
B F U D L2 R' B'
B F U D R' L2 B'
F B U R' D L2 B'
F B U D L2 R' B'
F B U D R' L2 B'
F2 B U2 B2 U' B2 R'
B F D U L2 R' B'
B F D U R' L2 B'
U2 B' R U L F2 U2
U2 B' R U F2 L U2
U2 B' R U' D2 B2 R'
F B D U L2 R' B'
F B D U R' L2 B'
U2 B' R D2 U' B2 R'
U2 B' R' U L F2 U2
U2 B' R' U F2 L U2
U2 B' R' U' D2 B2 R'
U2 B' R' D2 U' B2 R'
U' B' U L F2 B U2
U' B' U L B F2 U2
U2 B' R2 U L F2 U2
U2 B' R2 U F2 L U2
U2 B' R2 U' D2 B2 R'
U' B' U F2 L B U2
U2 B' R2 D2 U' B2 R'
U2 B' U L U2 D2 B2
U2 B' U L D2 U2 B2
U2 B' U L F2 U2 D
U2 B' U L F2 U2 D'
U2 B' U L F2 U2 D2
U2 B' U L F2 D U2
U2 B' U L F2 D' U2
U2 B' U L F2 D2 U2
U2 B' U L' F2 L2 U2
U2 B' U L2 F2 U2 R
U2 B' U D2 L U2 B2
U2 B' U F' L F' U2
U2 B' U F2 L U2 D
U2 B' U F2 L U2 D'
U2 B' U F2 L U2 D2
U2 B' U F2 L D U2
U2 B' U F2 L D' U2
U2 B' U F2 L D2 U2
U2 B' U F2 D L U2
U2 B' U F2 D' L U2
U2 B' U F2 D2 L U2
D2 B' U' B' R2 F' R
U2 B' U' R D2 B2 R'
U2 B' U' R' D2 B2 R'
U2 B' U' R2 D2 B2 R'
U2 B' U' D2 R B2 R'
U2 B' U' D2 R' B2 R'
U2 B' U' D2 R2 B2 R'
U2 B' U' D2 B2 R' D
U2 B' U' D2 B2 R' D'
U2 B' U' D2 B2 R' D2
U2 B' U' D2 B2 D R'
U2 B' U' D2 B2 D' R'
U2 B' U' D2 B2 D2 R'
U2 B' U' B2 R' D2 B2
U2 B' U' B2 D2 R' B2
U2 B' D R2 U L U2
B' F' U L F' U2 F
F' B' U L F' U2 F
U2 B' D2 R U' B2 R'
U2 B' D2 R' U' B2 R'
U2 B' D2 R2 U' B2 R'
U2 B' D2 U L U2 B2
U2 B' D2 U' R B2 R'
U2 B' D2 U' R' B2 R'
U2 B' D2 U' R2 B2 R'
U2 B' D2 U' B2 R' D
U2 B' D2 U' B2 R' D'
U2 B' D2 U' B2 R' D2
U2 B' D2 U' B2 D R'
U2 B' D2 U' B2 D' R'
U2 B' D2 U' B2 D2 R'
L2 B' D2 F U B2 R'
U2 B' D2 F U' B2 R'
B' F' U' F' L U2 L'
U2 B' D2 F' U' B2 R'
U2 B' D2 F2 U' B2 R'
F' B' U' F' L U2 L'
U2 B' F U F L U2
L2 B' F U' F L U2
F B' U F L U2 F'
U2 B' F' U L F' U2
U2 B' F' U F' L U2
U B' D2 B2 R' D L2
U B' D2 B2 D L2 R'
U B' D2 B2 D R' L2
F B' U' F L U2 L'
B F2 U2 B2 U' B2 R'
