R U' B U' R B
L' R U' B U' R B2
L' R U' B U' B2 R
L' R U2 R D B' L
L' R U2 B' R D L2
L' R U2 B' D L2 R
L' R U2 B' D R L2
R' L F U F2 U R'
R' L F U2 R' D' L2
R' L F U2 D' L2 R'
R' L F U2 D' R' L2
R' L F D R2 U2 R
R' L F D' U2 L2 R'
R' L F D' U2 R' L2
L' R' U F' U R' B'
R' L' U F' U R' B'
R L' U' B U' R B2
R L' U' B U' B2 R
R' L' U2 R' D B' L
L' R' U2 R' D B' L
R L' U2 R D B' L
R L' U2 B' R D L2
R L' U2 B' D L2 R
R L' U2 B' D R L2
U2 L' R B R D L2
U2 L' R B D L2 R
U2 L' R B D R L2
B' L' R2 D F' B' L
B' L' R2 D B' L F'
B' L' R2 D B' F' L
B' L' R2 F' D B' L
B' L' U R2 F' B' L'
B' L' U R2 B' F' L'
L R' F U F2 U R'
L R' F U2 R' D' L2
L R' F U2 D' L2 R'
L R' F U2 D' R' L2
L R' F D R2 U2 R
L R' F D' U2 L2 R'
L R' F D' U2 R' L2
D2 L2 U' B U' L B'
U2 R L' B R D L2
U2 R L' B D L2 R
U2 R L' B D R L2
R' U F' U R B R2
L' U F' U R2 B' L'
L' U F' U B' L' R2
L' U F' U B' R2 L'
F' R U' B U' R B
F2 R U' B U' R B
F R U' B U' R B
U' R B U' L R B
U' R B U' R L B
R' U' R2 B U' R B
R U' D B U' R B
R U' D' B U' R B
R U' D2 B U' R B
L' U' B U' L R2 B2
L' U' B U' L B2 R2
L' U' B U' R2 L B2
L2 U' B U' L R2 B'
L2 U' B U' L B' R2
L2 U' B U' R2 L B'
R U' B U' R D B
R U' B U' R D' B
R U' B U' R D2 B
R U' B U' R B D
R U' B U' R B D'
R U' B U' R B D2
R U' B U' D R B
R U' B U' D' R B
R U' B U' D2 R B
R U' B U' B R B
R U' B U' B' R B
R U' B U' B2 R B
R U' B D U' R B
R U' B D' U' R B
R U' B D2 U' R B
L U2 L2 R2 D' B' L
R U2 R D B' L B2
R U2 R B2 D B' L
L U2 R2 L2 D' B' L
B' R2 L' D F' B' L
B' R2 L' D B' L F'
B' R2 L' D B' F' L
B' R2 L' F' D B' L
B' R2 D L' F' B' L
B' R2 D L' B' L F'
B' R2 D L' B' F' L
B' R2 D F' L' B' L
R U2 B' R D L2 B
R U2 B' R D B L2
R U2 B' D L2 R B
R U2 B' D R L2 B
R U2 B' D R B L2
B' R2 D' F L' F2 B'
B' R2 D' F L' B' F2
R U2 B2 R B D L2
B' R2 F' L' D B' L
B' R2 F' D L' B' L
B' R2 F2 D' F L' B'
R D U' B U' R B
R D' U' B U' R B
R D2 U' B U' R B
U' F R B U' L R
U' F R B U' R L
L F R U' B U' R
L F R' U F' U R'
L F U F' U L' R2
L F U F' U R2 L'
U F U' R U2 R B
R' F D R2 U2 R B
L F U' B U' L R2
L F U' B U' R2 L
U' F B R U' L R
U' F B R U' R L
U F' U L' R B R
U F' U R L' B R
U F' U R B L' R
U F' U R B R L'
U F' U' L' B' R2 F'
U F' B L U L2 R2
U F' B L U R2 L2
R F2 L' U' B U' B2
R F2 L' U2 B' D L2
U B L F' U L' R2
U B L F' U R2 L'
U' B R U' L R B
U' B R U' R L B
U' B U' L R B R
U' B U' R L B R
U' B U' R2 D2 L B'
L' B U B2 R2 F' L'
U' B F R U' L R
U' B F R U' R L
U B F' L U L2 R2
U B F' L U R2 L2
L' B' R2 D' F L' F2
L' B' R2 F2 D' F L'
L' B2 U B R2 F' L'
L' B2 U' B L R2 F'
L' B2 U' B R2 L F'
L' B2 U' B R2 F' L
