U' R B U' F' U2
R' D' F B R F
R' D' F2 D2 B R'
R' D' B F R F
R2 F R D' F2 B
R2 F R D' B F2
R2 F R B D' F2
R' F D' B R F2
R' F B D' R F2
R' F' D' F2 B R
R' F' D' B F2 R
R' F' B D' F2 R
R' B D' F R F
R' B F D' R F2
R' B F' D' F2 R
U' L R B U' F' U2
U' L' R B U' F' U2
U' L2 R B U' F' U2
U' R L B U' F' U2
U' R L' B U' F' U2
U' R L2 B U' F' U2
U' R U B' D' R2 B
U R U F' U2 F R
U' R U' F' U B U
U' R U2 R2 F' U' B
U R U' F' L' U2 L
F R U2 F' U R U
U' R D B U' F' U2
U' R D' B U' F' U2
U' R D2 B U' F' U2
D' R F L' U L R
D' R F L' U R L
R2 U' R B L R2 U
R2 U' R B R2 L U
U' R B L U' F' U2
U' R B L' U' F' U2
U' R B L2 U' F' U2
U' R B U R2 B R2
U' R B U' D F' U2
U' R B U' D' F' U2
U' R B U' D2 F' U2
U' R B U' F' U2 D
U' R B U' F' U2 D'
U' R B U' F' U2 D2
U' R B U' F' D U2
U' R B U' F' D' U2
U' R B U' F' D2 U2
U' R B U2 R2 U' B
U' R B D U' F' U2
U' R B D' U' F' U2
U' R B D2 U' F' U2
U' R B' U D' R2 B
U' R B' D' U R2 B
R U' F' U F U R
B' R' D' F B R F
B' R' D' F2 D2 B R'
B' R' D' B F R F
B2 R' D' F B R F
B2 R' D' F2 D2 B R'
B2 R' D' B F R F
B R' D' F B R F
B R' D' F2 D2 B R'
B R' D' B F R F
B' R' F D' B R F2
B' R' F B D' R F2
B2 R' F D' B R F2
B2 R' F B D' R F2
B R' F D' B R F2
B R' F B D' R F2
B' R' F' D' F2 B R
B' R' F' D' B F2 R
B' R' F' B D' F2 R
B2 R' F' D' F2 B R
F2 R' F' D B R F'
B2 R' F' D' B F2 R
B2 R' F' B D' F2 R
F2 R' F' B D R F'
B R' F' D' F2 B R
B R' F' D' B F2 R
B R' F' B D' F2 R
F' R' F2 D B R F'
F' R' F2 B D R F'
U' R' B R2 B U B'
B' R' B D' F R F
B' R' B F D' R F2
B' R' B F' D' F2 R
B2 R' B D' F R F
F' R' B F2 D R F'
B2 R' B F D' R F2
F R' B R D R F'
B2 R' B F' D' F2 R
F2 R' B F' D R F'
B R' B D' F R F
U' R' B' R2 B U B
B R' B F D' R F2
B R' B F' D' F2 R
U' R' B2 R2 B U B2
F R2 D R F' B R2
F R2 D R B F' R2
B' R2 F R D' F2 B
B' R2 F R D' B F2
B' R2 F R B D' F2
B2 R2 F R D' F2 B
B2 R2 F R D' B F2
B2 R2 F R B D' F2
B R2 F R D' F2 B
B R2 F R D' B F2
B R2 F R B D' F2
F2 R2 F' D R F' B
F2 R2 F' D R B F'
F' R2 F2 D R F' B
F' R2 F2 D R B F'
R' D F D2 B R F2
R' D F B R2 F' R'
R2 D F R D' F2 B
R2 D F R D' B F2
R2 D F R B D' F2
R' D F' D2 F2 B R
R' D F' D2 B F2 R
R' D F2 D2 F2 B R'
R' D F2 D2 B R' F2
R' D F2 D2 B F2 R'
R' D F2 B R2 F' R
U' D R B U2 R' U'
U' D R B' L B2 U
R' D B R F R F'
R' D B R2 F R F2
R' D B U2 B L U2
R' D B F R2 F' R'
R' D B F2 R2 F' R
U' D B' L R B U
U' D B' R L B U
U' D B2 R B L U
R' D' R' F R F B
R' D' R' F R B F
D2 U' L R B U B2
D2 U' R L B U B2
D2 U' R B L U B'
R' D' F D B R F
R' D' F D' B R F
R' D' F D2 B R F
R' D' F B R D F
R' D' F B R D' F
R' D' F B R D2 F
R' D' F B R F D
R' D' F B R F D'
R' D' F B R F D2
R' D' F B R' F R2
R' D' F B R2 F R'
R' D' F B D R F
R' D' F B D' R F
R' D' F B D2 R F
R' D' F B' R F B2
R' D' F B' R B2 F
R' D' F B2 R F B'
R' D' F B2 R B' F
R2 D' F R D' F2 B
R2 D' F R D' B F2
R2 D' F R B D' F2
D U' R B U2 R' U'
D U' R B' L B2 U
R' D' F2 D2 B R' D
R' D' F2 D2 B R' D'
R' D' F2 D2 B R' D2
R' D' F2 D2 B D R'
R' D' F2 D2 B D' R'
R' D' F2 D2 B D2 R'
B' U' R B U' F' U2
R' D' B R F R F
R' D' B R' F R F
B2 U' R B U' F' U2
R' D' B R2 F R F
R' D' B F R D F
R' D' B F R D' F
R' D' B F R D2 F
R' D' B F R F D
R' D' B F R F D'
R' D' B F R F D2
R' D' B F R' F R2
R' D' B F R2 F R'
R' D' B F D R F
R' D' B F D' R F
R' D' B F D2 R F
B U' R B U' F' U2
R' D' B' F R F B2
R' D' B' F R B2 F
R' D' B2 F R F B'
R' D' B2 F R B' F
D U' B' L R B U
D U' B' R L B U
U' D2 L R B U B2
D U' B2 R B L U
U' D2 R L B U B2
U' D2 R B L U B'
R' D2 F D B R F2
R' D2 F B R D F2
R' D2 F B D R F2
R2 D2 F R D' F2 B
R2 D2 F R D' B F2
R2 D2 F R B D' F2
R' D2 F' D F2 B R
R' D2 F' D B F2 R
R' D2 F' B D F2 R
R' D2 B D F R F
R' D2 B F R D F2
R' D2 B F D R F2
R' D2 B F' D F2 R
R2 F R D' F2 D B
R2 F R D' F2 D' B
R2 F R D' F2 D2 B
R2 F R D' F2 B D
R2 F R D' F2 B D'
R2 F R D' F2 B D2
R2 F R D' B F2 D
R2 F R D' B F2 D'
R2 F R D' B F2 D2
R2 F R D2 B D F2
R2 F R F D' F2 B
R2 F R F D' B F2
R2 F R F B D' F2
R2 F R F' D' F2 B
R2 F R F' D' B F2
R2 F R F' B D' F2
R2 F R F2 D' F2 B
R2 F R F2 D' B F2
R2 F R F2 B D' F2
R2 F R B U' R2 U
R2 F R B D' F2 D
R2 F R B D' F2 D'
R2 F R B D' F2 D2
R2 F R B F D' F2
R2 F R B F' D' F2
R2 F R B F2 D' F2
R2 F R B2 D' F2 B'
R2 F R B2 D' B' F2
R' F D B R2 F' R'
R2 F D R D' F2 B
R2 F D R D' B F2
R2 F D R B D' F2
R' F D' B R F2 D
R' F D' B R F2 D'
R' F D' B R F2 D2
R' F D' B R' F2 R2
R' F D' B R2 F2 R'
R' F D' B' R F2 B2
R' F D' B' R B2 F2
R' F D' B2 R F2 B'
R' F D' B2 R B' F2
R2 F D' R D' F2 B
R2 F D' R D' B F2
R2 F D' R B D' F2
R' F D2 B R D F2
R' F D2 B D R F2
R' F B R U' R U
R F D' L2 U L2 R
R F D' L2 U R L2
R2 F D2 R D' F2 B
R2 F D2 R D' B F2
R2 F D2 R B D' F2
R' F B U' R2 U R'
R' F B D R D2 F2
R' F B D' R F2 D
R' F B D' R F2 D'
R' F B D' R F2 D2
R' F B D' R' F2 R2
R' F B D' R2 F2 R'
R' F B D2 R D F2
R' F B2 D' R F2 B'
R' F B2 D' R B' F2
R' F B2 D' B' R F2
R2 F B' D' R F' B
R2 F B' D' R B F'
F D R2 D' R' F' B
F D R2 D' R' B F'
R2 F' R D' F2 B R
R2 F' R D' B F2 R
R2 F' R B D' F2 R
F D B R D F' B2
F D B R D B2 F'
F D B R F' D B2
R' F' D' R' F2 R B
R' F' D' F2 D B R
R' F' D' F2 D' B R
R' F' D' F2 D2 B R
R' F' D' F2 B R D
R' F' D' F2 B R D'
R' F' D' F2 B R D2
R' F' D' F2 B D R
R' F' D' F2 B D' R
R' F' D' F2 B D2 R
R' F' D' F2 B' R B2
R' F' D' F2 B2 R B'
R' F' D' B R F2 R
R' F' D' B R' F2 R
R' F' D' B R2 F2 R
R' F' D' B F2 R D
R' F' D' B F2 R D'
R' F' D' B F2 R D2
R' F' D' B F2 D R
R' F' D' B F2 D' R
R' F' D' B F2 D2 R
R' F' D' B' F2 R B2
R' F' D' B2 F2 R B'
R' F' D2 B D F2 R
R' F' B D' R F2 R
R' F' B D' R' F2 R
R' F' B D' R2 F2 R
R' F' B D' F2 R D
R' F' B D' F2 R D'
R' F' B D' F2 R D2
R' F' B D' F2 D R
R' F' B D' F2 D' R
R' F' B D' F2 D2 R
R' F' B2 D' F2 R B'
R' F' B2 D' F2 B' R
R' F' B2 D' B' F2 R
R' F2 D' F2 D' B R'
R' F2 D2 B R' D F2
R' F2 D2 B D R' F2
R' F2 D2 B D F2 R'
R' B R U' R B U
U' B R B U' F' U2
R' B R F D R F'
R' B R' F R D' F2
R' B U' R B R U
R' B D F R D2 F2
R' B D F D2 R F2
R' B D F' D2 F2 R
R' B D' R F R F
R' B D' R' F R F
R' B D' R2 F R F
R' B D' F R D F
R' B D' F R D' F
R' B D' F R D2 F
R' B D' F R F D
R' B D' F R F D'
R' B D' F R F D2
R' B D' F R' F R2
R' B D' F R2 F R'
R' B D' F D R F
R' B D' F D' R F
R' B D' F D2 R F
R' B D2 F R D F2
R' B D2 F D R F2
R' B D2 F' D F2 R
R' B F R U' R U
R' B F U' R2 U R'
R' B F D R D2 F2
R' B F D' R F2 D
R' B F D' R F2 D'
R' B F D' R F2 D2
R' B F D' R' F2 R2
R' B F D' R2 F2 R'
R' B F D2 R D F2
R' B F' D' R F2 R
R' B F' D' R' F2 R
R' B F' D' R2 F2 R
R' B F' D' F2 R D
R' B F' D' F2 R D'
R' B F' D' F2 R D2
R' B F' D' F2 D R
R' B F' D' F2 D' R
R' B F' D' F2 D2 R
U' B' R B U' F' U2
U2 B' R' D' F2 L' B
U2 B' R' D' F2 B L'
U2 B' R' D' B F2 L'
U2 B' R' B D' F2 L'
U2 B' U R U R2 B
D B' U' L R B U
D B' U' R L B U
U2 B' U2 R' D' F2 B
U2 B' U2 R' D' B F2
U2 B' U2 R' B D' F2
R2 B' D' F R F' B
R2 B' D' F R B F'
R2 B' F D' R F' B
R2 B' F D' R B F'
U' B2 R B U' F' U2
