B' L U' R2 B U'
L2 R2 B U' R' F
L2 R2 B U' F R'
R2 L2 B U' R' F
R2 L2 B U' F R'
D2 L2 F' U R F2
D2 F' L2 U R F
R2 B U B2 L U2
R2 B U' R' D2 F2
R2 B U' D2 R' F2
R2 B U' D2 F2 R'
R2 B D L2 U' R'
R2 B D2 U' R' F2
R2 B D2 U' F2 R'
B' L R' U' R' B U'
B' L R2 U' B U' B'
B' L U D F' U B2
B' L U D2 L2 F' U
B' L U D2 F' L2 U
B' L U F' U D B2
B' L U F' U2 R2 U'
B' L U F' D U B2
B' L U F' D2 L2 U
B' L U' R2 D B U'
B' L U' R2 D' B U'
B' L U' R2 D2 B U'
B' L U' R2 B U' D
B' L U' R2 B U' D'
B' L U' R2 B U' D2
B' L U' R2 B D U'
B' L U' R2 B D' U'
B' L U' R2 B D2 U'
B' L U' B R2 B U'
B' L U' B' R2 B U'
B' L U' B2 R2 B U'
B' L D U F' U B2
B' L D' F2 U F U
B' L D2 U L2 F' U
B' L D2 U F' L2 U
R2 L B L U' R' F
R2 L B L U' F R'
B' L F D R2 U2 B2
B' L F D' F2 U2 L2
D2 L F' L U R F
R2 L' B L' U' R' F
R2 L' B L' U' F R'
U' L2 R2 B U' R' F
U' L2 R2 B U' F R'
U2 L2 R2 B U' R' F
U2 L2 R2 B U' F R'
U L2 R2 B U' R' F
U L2 R2 B U' F R'
L2 R2 F' B U' R' F2
L2 R2 F' B U' F2 R'
R2 L2 F' B U' R' F2
R2 L2 F' B U' F2 R'
L' R2 B L' U' R' F
L' R2 B L' U' F R'
L2 R2 F2 B U' F' R'
R2 L2 F2 B U' F' R'
L R2 B L U' R' F
L R2 B L U' F R'
L2 R2 B U' R F R2
L2 R2 B U' R' D F
L2 R2 B U' R' D' F
L2 R2 B U' R' D2 F
L2 R2 B U' R' F D
L2 R2 B U' R' F D'
L2 R2 B U' R' F D2
L2 R2 B U' D R' F
L2 R2 B U' D F R'
L2 R2 B U' D' R' F
L2 R2 B U' D' F R'
L2 R2 B U' D2 R' F
L2 R2 B U' D2 F R'
L2 R2 B U' F R' D
L2 R2 B U' F R' D'
L2 R2 B U' F R' D2
L2 R2 B U' F D R'
L2 R2 B U' F D' R'
L2 R2 B U' F D2 R'
L2 R2 B U' F' R' F2
R2 L2 B U' R F R2
R2 L2 B U' R' D F
R2 L2 B U' R' D' F
R2 L2 B U' R' D2 F
R2 L2 B U' R' F D
R2 L2 B U' R' F D'
R2 L2 B U' R' F D2
R2 L2 B U' D R' F
R2 L2 B U' D F R'
R2 L2 B U' D' R' F
R2 L2 B U' D' F R'
R2 L2 B U' D2 R' F
R2 L2 B U' D2 F R'
R2 L2 B U' F R' D
R2 L2 B U' F R' D'
R2 L2 B U' F R' D2
R2 L2 B U' F D R'
R2 L2 B U' F D' R'
R2 L2 B U' F D2 R'
R2 L2 B U' F' R' F2
L2 R2 B D U' R' F
L2 R2 B D U' F R'
R2 L2 B D U' R' F
R2 L2 B D U' F R'
L2 R2 B D' U' R' F
L2 R2 B D' U' F R'
R2 L2 B D' U' R' F
R2 L2 B D' U' F R'
L2 R2 B D2 U' R' F
L2 R2 B D2 U' F R'
R2 L2 B D2 U' R' F
R2 L2 B D2 U' F R'
L2 R2 B F' U' R' F2
L2 R2 B F' U' F2 R'
L2 R2 B F2 U' F' R'
R2 L2 B F' U' R' F2
R2 L2 B F' U' F2 R'
