U2 L F2 D R F' L'
U L' U2 L U F L'
F L' U2 F' U' L' U'
R' U' L U' R F L'
R2 U' L U' R2 F L'
R2 U' L U' F L' R2
R2 U' L U' F R2 L'
R U' L U' R' F L'
R U' L U' F L' R'
R U' L U' F R' L'
R U2 F L' R' D' F2
R U2 F R' L' D' F2
R U2 F R' D' L' F2
F R2 B L' R2 D F2
F R2 B R2 L' D F2
F' U2 R F U R U
R2 F R2 B L' D F2
U2 F' L D F2 L' R
U2 F' L D F2 R L'
U' B L U' F L' R
U' B L U' F R L'
U' B L2 F U' L' F
F2 D2 F' B2 D L' F
D2 B R' U' L U' R
F2 D2 B2 D F' L' F
F2 D2 B2 F' D L' F
F' B L' D F2 L' B'
R B U' L F U' L'
B2 F D L' F D2 B2
B F' L' D F2 L' B'
F B2 D L' F D2 B2
