D L2 F U' B
U' B D' R2 F'
D L2 D F U' B
D L2 D' F U' B
D L2 D2 F U' B
D2 L2 F U' F B
D2 L2 F U' B F
D L2 F U' D B
D L2 F U' D' B
D L2 F U' D2 B
D L2 F U' B D
D L2 F U' B D'
D L2 F U' B D2
D L2 F D U' B
D L2 F D' U' B
D L2 F D2 U' B
L2 D F L2 U' B
D2 U' F2 B D' R2
U' D' B D' R2 F2
U' D' B D' F2 R2
D' U' B D' R2 F2
D2 U' B F2 D' R2
D' U' B D' F2 R2
U2 D' B' R2 U B2
F' U' B D' R2 F'
F2 U' B D' R2 F'
F U' B D' R2 F'
L2 D2 F U' F B
L2 D2 F U' B F
U' D2 F2 B D' R2
U' D2 B F2 D' R2
D' U2 B' R2 U B2
U2 D2 B' U F2 B2
U2 D2 B' U B2 F2
D2 U2 B' U F2 B2
D2 U2 B' U B2 F2
D F L2 F U' B
L2 F U B2 U2 B'
L2 F U' D2 F2 B
L2 F U' D2 B F2
F' D L2 F U' B
L2 F D L2 U' B
F2 D L2 F U' B
F D L2 F U' B
L2 F D2 U' F2 B
L2 F D2 U' B F2
U' F B D' R2 F'
D F' L2 F U' B
U' F' B D' R2 F'
D F2 L2 F U' B
U' F2 B D' R2 F'
U' B R2 D' F' R2
U' B R2 F' D' R2
U' B D' R2 D F'
U' B D' R2 D' F'
U' B D' R2 D2 F'
U' B D' R2 F' D
U' B D' R2 F' D'
U' B D' R2 F' D2
U' B D' F R2 F'
U' B D' F' R2 F'
U' B D' F2 R2 F'
U' B F D' R2 F'
U' B F' D' R2 F'
U' B F2 D' R2 F'
U2 B' L2 U F B2
U2 B' L2 U B2 F
D' B' R2 F' U B2
U2 B' U' B' U2 B'
U2 B' D L2 U F
U B2 U B U B2
U B2 U2 B' D' R2
D2 L U' F B R F
D2 L U' F2 D2 B R'
D2 L U' B F R F
U2 L U' B2 U2 B' R'
D L D L F U' B
D L D' L F U' B
D L D2 L F U' B
D L F L F U' B
D2 L F U' F B R
D2 L F U' B F R
D L F' L F U' B
D L F2 L F U' B
D' L' U' D' F2 B R'
D' L' U' D' B R' F2
D' L' U' D' B F2 R'
D2 L' U' F2 D' B R'
D2 L' D' L2 U' B R'
D L' D' L' U' B R'
D' L' D' U' F2 B R'
D' L' D' U' B R' F2
D' L' D' U' B F2 R'
D L2 R F R' U' B
D L2 R' F R U' B
L2 R2 F U F2 B2 U2
L2 R2 F U B2 F2 U2
L2 R2 F U' D2 F2 B2
L2 R2 F U' D2 B2 F2
R2 L2 F U F2 B2 U2
R2 L2 F U B2 F2 U2
R2 L2 F U' D2 F2 B2
R2 L2 F U' D2 B2 F2
L2 R2 F D L2 R2 U'
L2 R2 F D R2 L2 U'
R2 L2 F D L2 R2 U'
R2 L2 F D R2 L2 U'
L2 R2 F D2 U' F2 B2
L2 R2 F D2 U' B2 F2
R2 L2 F D2 U' F2 B2
R2 L2 F D2 U' B2 F2
B' L2 R2 F' U F2 B2
B' L2 R2 F' U B2 F2
D L2 R2 F U F2 U2
D L2 R2 F U' D2 B2
D L2 R2 F D R2 U'
D L2 R2 F D2 U' B2
B L2 R2 F' D' L2 R2
B L2 R2 F' D' R2 L2
D L2 U' B U F U'
D L2 U2 L2 B' U B2
B' L2 U2 B U' F B
B' L2 U2 B U' B F
F' L2 D F L2 U' B
F2 L2 D F L2 U' B
D L2 D F U' D B
D L2 D F U' D' B
D L2 D F U' D2 B
D L2 D F U' B D
D L2 D F U' B D'
D L2 D F U' B D2
D L2 D F D U' B
D L2 D F D' U' B
D L2 D F D2 U' B
F L2 D F L2 U' B
D2 L2 D' F L2 U' B
D' L2 D' F U' F B
D' L2 D' F U' B F
B L2 D' R2 F' D' L2
D L2 D' F U' D B
D L2 D' F U' D' B
D L2 D' F U' D2 B
D L2 D' F U' B D
D L2 D' F U' B D'
D L2 D' F U' B D2
D L2 D' F D U' B
D L2 D' F D' U' B
D L2 D' F D2 U' B
D' L2 D2 F L2 U' B
F' L2 D2 F U' F B
F' L2 D2 F U' B F
F2 L2 D2 F U' F B
F2 L2 D2 F U' B F
D L2 D2 F U' D B
D L2 D2 F U' D' B
D L2 D2 F U' D2 B
D L2 D2 F U' B D
D L2 D2 F U' B D'
D L2 D2 F U' B D2
D L2 D2 F D U' B
D L2 D2 F D' U' B
D L2 D2 F D2 U' B
F L2 D2 F U' F B
F L2 D2 F U' B F
D2 L2 F U' D F B
D2 L2 F U' D B F
D2 L2 F U' D' F B
D2 L2 F U' D' B F
D2 L2 F U' D2 F B
D2 L2 F U' D2 B F
D2 L2 F U' F D B
D2 L2 F U' F D' B
D2 L2 F U' F D2 B
D2 L2 F U' F B D
D2 L2 F U' F B D'
D2 L2 F U' F B D2
D2 L2 F U' B D F
D2 L2 F U' B D' F
D2 L2 F U' B D2 F
D2 L2 F U' B F D
D2 L2 F U' B F D'
D2 L2 F U' B F D2
D' L2 F U' D' F2 B
D' L2 F U' D' B F2
D' L2 F U' B D' F2
F' L2 F U B2 U2 B'
F' L2 F U' D2 F2 B
F' L2 F U' D2 B F2
D2 L2 F D U' F B
D2 L2 F D U' B F
D2 L2 F D' U' F B
D2 L2 F D' U' B F
F' L2 F D L2 U' B
D' L2 F D' U' F2 B
D' L2 F D' U' B F2
F2 L2 F U B2 U2 B'
D2 L2 F D2 U' F B
D2 L2 F D2 U' B F
D L2 F R2 U F' U2
D' L2 F D2 L2 U' B
F2 L2 F U' D2 F2 B
F2 L2 F U' D2 B F2
D L2 F U F U2 B
D L2 F U F' U2 B
F' L2 F D2 U' F2 B
F' L2 F D2 U' B F2
D L2 F U F2 U2 B
F2 L2 F D L2 U' B
D L2 F U' L B L'
D L2 F U' L2 B L2
D L2 F U' D B D
D L2 F U' D B D'
D L2 F U' D B D2
D L2 F U' D' B D
D L2 F U' D' B D'
D L2 F U' D' B D2
D L2 F U' D2 B D
D L2 F U' D2 B D'
D L2 F U' D2 B D2
D L2 F U' B2 D B'
D L2 F U' B2 D' B'
D L2 F U' B2 D2 B'
D L2 F U2 L U B
D L2 F U2 L' U B
D L2 F U2 L2 U B
F L2 F U B2 U2 B'
F2 L2 F D2 U' F2 B
F2 L2 F D2 U' B F2
D L2 F D U' B D
D L2 F D U' B D'
D L2 F D U' B D2
F L2 F U' D2 F2 B
F L2 F U' D2 B F2
D L2 F D' U' B D
D L2 F D' U' B D'
D L2 F D' U' B D2
F L2 F D L2 U' B
D L2 F D2 U' B D
D L2 F D2 U' B D'
D L2 F D2 U' B D2
F L2 F D2 U' F2 B
F L2 F D2 U' B F2
D L2 F' U' D B R2
D L2 F' U' B D R2
D L2 F' D U' B R2
B L2 F' D' L2 R2 F'
B L2 F' D' R2 L2 F'
B L2 F' D' R2 F' L2
D L2 F2 D F' U' B
D L2 F2 D' F' U' B
D L2 F2 D2 F' U' B
U L2 B2 U' F U' B'
D R L2 F R' U' B
R2 U F' B2 U B U
L U B L B U2 B'
L2 U B2 U' F U' B'
L U B2 U2 B R' B2
R2 U B2 F' U B U
R U' R' B D' R2 F'
R2 U' R2 B D' R2 F'
L' U' D' B D' R' F2
L' U' D' B D' F2 R'
L' U' D2 F2 D B R'
L U' D2 F B R F
L U' D2 F2 D2 B R'
L U' D2 B F R F
L U' F D2 B R F2
L U' F B R2 F' R'
D R' L2 F R U' B
L2 U' F' B D R2 F'
L U' F' D2 F2 B R
L U' F' D2 B F2 R
L' U' B R2 D F' R
B' R' U' B' R' U2 B'
L U' F2 D2 F2 B R'
L U' F2 D2 B R' F2
L U' F2 D2 B F2 R'
L' U' B D R2 F' R
L U' F2 B R2 F' R
B2 R' U' B2 U' B R'
L2 U' B R2 F' D R2
L U' B R F R F'
L U' B R2 F R F2
R2 U' B D' R2 F' B
R2 U' B D' R2 B F'
L2 U' B F' D R2 F'
L U' B U2 B L U2
L U' B F R2 F' R'
L U' B F2 R2 F' R
R2 U2 D' R2 B' U B2
R2 U2 D' B' R2 U B
B' R2 L2 F' U F2 B2
B' R2 L2 F' U B2 F2
D R2 L2 F U F2 U2
D R2 L2 F U' D2 B2
D R2 L2 F D R2 U'
D R2 L2 F D2 U' B2
B R2 L2 F' D' L2 R2
B R2 L2 F' D' R2 L2
B2 R2 U' F' B2 U' B
B2 R2 U' B2 F' U' B
B' R2 D L2 F' U F2
R2 U2 B' U' F' B' U2
R2 U2 B' U' B' F' U2
B' R2 D F' L2 U F
U2 R2 D' R2 B' U B2
U2 R2 D' B' R2 U B
L D L F L U' B
R' D L2 R F U' B
L' D L2 U' D2 B R'
R' D L2 F R U' B
L' D L2 D2 U' B R'
B' R2 F' L2 U F B2
B' R2 F' L2 U B2 F
L' D L2 F' U' B R
R2 D L2 R2 F U' B
L2 D L2 U' B D' R2
L2 D L2 U2 B' U B2
R' D R L2 F U' B
B' R2 F' U' B' U2 B'
B' R2 F' D L2 U F
R2 D L2 F U F2 U2
R2 D L2 F U' D2 B2
R2 D L2 F D R2 U'
R2 D L2 F D2 U' B2
L D L2 U' D' B R'
L D L2 D' U' B R'
D R2 F2 L2 F U' B'
U' R2 B D' R2 F' B
U' R2 B D' R2 B F'
R2 D R2 L2 F U' B
U2 R2 B' U' F' B' U2
U2 R2 B' U' B' F' U2
L2 D F L2 U' D B
L2 D F L2 U' D' B
L2 D F L2 U' D2 B
L2 D F L2 U' B D
L2 D F L2 U' B D'
L2 D F L2 U' B D2
L2 D F L2 D U' B
L2 D F L2 D' U' B
L2 D F L2 D2 U' B
L2 D F U' D F2 B
L2 D F U' D B F2
L2 D F U' B D F2
L' D F' L2 U' B R
L2 D F D U' F2 B
L2 D F D U' B F2
U' D L2 F U' L2 B
U' D L2 F U' B L2
L2 D F' L2 F2 U' B
L2 D F2 L2 F' U' B
R2 D F2 L2 F U' B'
B2 U D B U L2 B2
B2 U D B U B2 L2
B2 U D2 F2 B U B2
B2 U D2 B F2 U B2
U' D B D F2 D2 R2
U' D B D' R2 D2 F2
U2 D B' U B2 D F2
U2 D B' U2 L2 U' B2
U2 D B' D L2 U F2
B2 U B U2 B U' B
F' U B2 U B U B2
B U B' D L2 F U'
F' U B2 U2 B' D' R2
F2 U B2 U B U B2
L' D' U' B D' R' F2
L' D' U' B D' F2 R'
F2 U B2 U2 B' D' R2
F U B2 U B U B2
F U B2 U2 B' D' R2
D U' L2 F U' L2 B
D U' L2 F U' B L2
R2 D' U2 R2 B' U B2
R2 D' U2 B' R2 U B
L2 D' F U' D' F2 B
L2 D' F U' D' B F2
L2 D' F U' B D' F2
L2 D' F D' U' F2 B
L2 D' F D' U' B F2
L2 D' F D2 L2 U' B
U2 D' R2 B' U' F' U2
D' U' F B D' R2 F2
U' D' F B D' R2 F2
D' U' F B D' F2 R2
U' D' F B D' F2 R2
D2 U' F B D' R2 F
D2 U' F B D' F R2
U' D' F' B D' R2 F2
U' D' F' B D' F2 R2
D' U' F' B D' R2 F2
D' U' F' B D' F2 R2
D2 U' F' B D' F' R2
D2 U' F2 U' B' U B2
B2 U' R2 F' B2 U' B
D2 U' F2 D B D' R2
D' U' F2 B D' R2 F2
D' U' F2 B D' F2 R2
U' D' F2 B D' R2 F2
U' D' F2 B D' F2 R2
D2 U' F2 D' B D' R2
R2 D' B' R2 F' U B
D2 U' F2 D2 B D' R2
B2 U' R2 B2 F' U' B
D2 U' F2 B R D' R2
D2 U' F2 B R' D' R2
D2 U' F2 B R2 D' R2
D2 U' F2 B U' B2 U
D2 U' F2 B D' R2 D
D2 U' F2 B D' R2 D'
D2 U' F2 B D' R2 D2
D2 U' B R F2 D' R2
D' U' B U' R2 B2 U
U' D' B U' R2 B2 U
D2 U' B R' F2 D' R2
D' U' B U' B2 R2 U
U' D' B U' B2 R2 U
D2 U' B R2 F2 D' R2
U' D' B D' R' F2 R'
D' U' B D' R' F2 R'
U' D' B D' R2 F2 D
U' D' B D' R2 F2 D'
U' D' B D' R2 F2 D2
D' U' B D' R2 F2 D
D' U' B D' R2 F2 D'
D' U' B D' R2 F2 D2
U' D' B D' F R2 F
D' U' B D' F R2 F
D2 U' B U' B2 U F2
U' D' B D' F2 R2 D
U' D' B D' F2 R2 D'
U' D' B D' F2 R2 D2
D' U' B D' F2 R2 D
D' U' B D' F2 R2 D'
D' U' B D' F2 R2 D2
U' D' B F D' R2 F2
U' D' B F D' F2 R2
D' U' B F D' R2 F2
D' U' B F D' F2 R2
D2 U' B D' R2 D F2
U' D' B F' D' R2 F2
U' D' B F' D' F2 R2
D' U' B F' D' R2 F2
D' U' B F' D' F2 R2
U' D' B F2 D' R2 F2
U' D' B F2 D' F2 R2
D' U' B F2 D' R2 F2
D' U' B F2 D' F2 R2
D2 U' B F D' R2 F
D2 U' B F D' F R2
D2 U' B F' D' F' R2
D2 U' B F2 R D' R2
D2 U' B F2 R' D' R2
D2 U' B F2 R2 D' R2
D2 U' B F2 U' B2 U
D2 U' B F2 D' R2 D
D2 U' B F2 D' R2 D'
D2 U' B F2 D' R2 D2
U2 D' B R2 B2 U B2
F' U' D' B D' R2 F2
F' U' D' B D' F2 R2
F2 U' D' B D' R2 F2
F2 U' D' B D' F2 R2
U2 D' B' L R2 U B2
U2 D' B' L' R2 U B2
U2 D' B' L2 R2 U B2
D U' B D F2 D2 R2
D U' B D' R2 D2 F2
F' U' D2 F2 B D' R2
U2 D' B' R2 L U B2
U2 D' B' R2 L' U B2
U2 D' B' R2 L2 U B2
U2 D' B' R2 U B2 D
U2 D' B' R2 U B2 D'
U2 D' B' R2 U B2 D2
U2 D' B' R2 D L2 U
F' U' D2 B F2 D' R2
U2 D' B' U B2 D' F2
F2 U' D2 F2 B D' R2
F2 U' D2 B F2 D' R2
F U' D' B D' R2 F2
F U' D' B D' F2 R2
L D2 L F U' F B
L D2 L F U' B F
F' U' F B D' R2 F'
F2 U' F B D' R2 F'
F U' D2 F2 B D' R2
F U' D2 B F2 D' R2
F' U' F' B D' R2 F'
F2 U' F' B D' R2 F'
F U' F B D' R2 F'
F' U' F2 B D' R2 F'
F2 U' F2 B D' R2 F'
F U' F' B D' R2 F'
F' U' B R2 D' F' R2
F' U' B R2 F' D' R2
F2 U' B R2 D' F' R2
F2 U' B R2 F' D' R2
F' U' B D' R2 D F'
F' U' B D' R2 D' F'
F' U' B D' R2 D2 F'
F' U' B D' R2 F' D
F' U' B D' R2 F' D'
F' U' B D' R2 F' D2
F' U' B D' F R2 F'
F' U' B D' F' R2 F'
F' U' B D' F2 R2 F'
F' U' B F D' R2 F'
F' U' B F' D' R2 F'
F2 U' B D' R2 D F'
F2 U' B D' R2 D' F'
F' U' B F2 D' R2 F'
F2 U' B D' R2 D2 F'
