U B D' R' B L
B2 L U R' F' U' F
D' L U' R' U B U
D L U' R' U B' U
L R D' R' F2 B U
L R D' R' B F2 U
R L D' R' F2 B U
R L D' R' B F2 U
L R D' F2 R' B U
R L D' F2 R' B U
D2 L F U' L' R' U2
D2 L F U' R' L' U2
D2 L F' U R D2 L2
D2 L F' U' R' U2 R2
D2 L F' B2 U L R
D2 L F' B2 U R L
D L B' U B' L B
D L B' U2 B' U' L
D L B' D2 F U L'
D2 L B2 F' U L R
D2 L B2 F' U R L
D L' B' L2 B' U L
D L' B2 L2 B' U L'
B' L2 U' L' U2 B' L
R' U L R B U R'
R' U L B R U R2
R' U R L B U R'
R' U R D L B' U
R' U D L R B' U
R' U D L B' R U
D L2 B' L' B' U L
R' U D R L B' U
D L2 B2 L' B' U L2
L U B R' B L B2
L U B2 L B' R' B'
L U' R' U B U R'
L U' R' U2 B R' B'
L U' R' B' L B U2
L U' D' R' U B U
D' R' U L B R U
U' R' U L B U R'
U' R' U D L B' U
D R' U L R B' U
D R' U L B' R U
D R' U R L B' U
U' R' U2 B D' R' B
L U' B' L B R' U2
U' R' D U L B' U
R' D U L R B' U
R' D U L B' R U
R' D U R L B' U
U' D R' U L B' U
B2 U R' F' U' F L
B' U R2 B2 R' B L
R D' L R' F2 B U
R D' L R' B F2 U
R D' L F2 R' B U
F' U B D' R' B L
F2 U B D' R' B L
R D' R' L F2 B U
R D' R' L B F2 U
R D' R' F2 L B U
F U B D' R' B L
B' U B2 R B L R2
B' U B2 R B R2 L
B' U' L U2 L2 B' L
B' U' L D2 F U2 L'
L D' U' R' U B U
U' D' R' U L B U
D' U' R' U L B U
D U' R' U L B' U
R D' F2 L R' B U
R D' F2 R' L B U
B' U' D2 L F U2 L'
L D2 F U' L' R' U2
L D2 F U' R' L' U2
L D2 F' U R D2 L2
L D2 F' U' R' U2 R2
L D2 F' B2 U L R
L D2 F' B2 U R L
B2 U2 R' F U' L R
B2 U2 R' F U' R L
D2 F L U' L2 R' U2
D2 F L U' R' L2 U2
D2 F L D' B2 U L
L D2 B2 F' U L R
L D2 B2 F' U R L
B2 U2 F R' U' L R2
B2 U2 F R' U' R2 L
D2 F' L U R D2 L2
D2 F' L U' R' U2 R2
D2 F' L B2 U L R
D2 F' L B2 U R L
B' D2 U' L F U2 L'
U B L D' R' B L
U B L' D' R' B L
U B L2 D' R' B L
U B R' D B L B'
L B U R' U' F' U
L B U2 F' U' L' R'
L B U2 F' U' R' L'
U B D R' B L B'
U B D B L B' R'
R2 B D' F2 L' R' B
R2 B D' F2 R' L' B
R2 B D' F2 R' B L'
U B D' L R' B L
U B D' L' R' B L
U B D' L2 R' B L
U B D' R' L B L
U B D' R' L' B L
U B D' R' L2 B L
U B D' R' D B L
U B D' R' D' B L
U B D' R' D2 B L
U B D' R' B L D
U B D' R' B L D'
U B D' R' B L D2
U B D' R' B D L
U B D' R' B D' L
U B D' R' B D2 L
R' B' L U R U B
U B2 L U R' F' U'
L2 B2 L' B' U L2 R'
L2 B2 L' B' U R' L2
L' B2 L2 B' U L' R'
L' B2 L2 B' U R' L'
U B2 L B' D' R' B
U B2 U R' F' U' L
L B2 U2 F U' L R
L B2 U2 F U' R L
