B F D' L R2 B'
B F D' L B' R2
B F D' R2 L B'
F B D' L R2 B'
F B D' L B' R2
F B D' R2 L B'
F L' D' B L R' B'
F L' D' B R' L B'
B' R U R2 U2 R2 F
B' R U R2 U2 F R2
B R U' D' R2 F L
B R U' D' F L R2
B R U' D' F R2 L
B R U' F L D' R2
B R U' F D' L R2
B R U' F D' R2 L
B R D' U' R2 F L
B R D' U' F L R2
B R D' U' F R2 L
B R D2 F2 U' L F'
B R D2 F2 U' F' L
U R B U' D' R2 F
U R B U' D' F R2
U R B U' F D' R2
F R B D' L R2 B'
F R B D' L B' R2
U R B U2 B2 U F
F R B D' R2 L B'
U R B D' U' R2 F
U R B D' U' F R2
U R B D2 F2 U' F'
R U' B' U F B L
R U' B' U B F L
B R' D F L B2 R'
B R' F D L B2 R'
F R' B D' L R2 B'
F R' B D' L B' R2
F R' B D' R2 L B'
R U2 F' B' U L' F2
R U2 B' F' U L' F2
F R2 B D' L R2 B'
F R2 B D' L B' R2
F R2 B D' R2 L B'
B' U F D' B2 L B'
B' U F B2 D' L B'
B U F D' L R2 B'
B U F D' L B' R2
B U F D' R2 L B'
F2 U B' L' U F' L'
B' U B2 F D' L B'
F U' L F L' B' U
B' U' R' U' R2 U' F
B' U' R' U2 D F B2
B' U' R' U2 D B2 F
B' U' R' U2 F D B2
B' U' R' D U2 F B2
B' U' R' D U2 B2 F
B' U' R' D' F2 U2 F'
F U' D2 B' L F U
B U' F D' L R2 B'
B U' F D' L B' R2
B U' F D' R2 L B'
F U' B' L F L' U
B' U2 R U R2 U2 F
B' U2 R U' D2 F L2
B' U2 R U' F D2 L2
B' U2 R D B2 U' F
B' U2 R D2 U' F L2
B U2 F D' L R2 B'
B U2 F D' L B' R2
B U2 F D' R2 L B'
B' U2 B2 R U' F L
R F U' B' U B L
R' F B D L B2 R'
D' F B D' L R2 B'
D' F B D' L B' R2
D2 F B D' L R2 B'
D' F B D' R2 L B'
D2 F B D' L B' R2
D2 F B D' R2 L B'
F D R' B L D' R2
D F B D' L R2 B'
D F B D' L B' R2
F D R' B D' L R2
F D R' B D' R2 L
D F B D' R2 L B'
B D' R U' R F L
U2 F' B' U L' F2 B'
U2 F' B' U L' B' F2
B D' F R2 D' L B'
F D' B L D' R2 B'
F D' B L D' B' R2
B D2 R F2 U' L F'
B D2 R F2 U' F' L
U F2 B' L' U F' L'
F D2 U' B' L F U
F2 B L D' F' R2 B2
F2 B L D' F' B2 R2
F2 B L D' B2 F' R2
F2 B L F' D' R2 B2
F2 B L F' D' B2 R2
R' B D F L B2 R'
F2 B L' B2 U L2 F'
F2 B L' B2 U F' L2
R B U' D' R2 F L
R B U' D' F L R2
R B U' D' F R2 L
R B U' F L D' R2
R B U' F D' L R2
R B U' F D' R2 L
B F R D' L R2 B'
B F R D' L B' R2
B F R D' R2 L B'
R' B F D L B2 R'
D2 B F D' L R2 B'
D2 B F D' L B' R2
D2 B F D' R2 L B'
D' B F D' L R2 B'
D' B F D' L B' R2
D' B F D' R2 L B'
F B R D' L R2 B'
F B R D' L B' R2
F B R D' R2 L B'
R B D' U' R2 F L
R B D' U' F L R2
R B D' U' F R2 L
B F R' D' L R2 B'
B F R' D' L B' R2
B F R' D' R2 L B'
F B R' D' L R2 B'
F B R' D' L B' R2
F B R' D' R2 L B'
D B F D' L R2 B'
D B F D' L B' R2
D B F D' R2 L B'
B F R2 D' L R2 B'
B F R2 D' L B' R2
B F R2 D' R2 L B'
R B D2 F2 U' L F'
R B D2 F2 U' F' L
F B R2 D' L R2 B'
F B R2 D' L B' R2
F B R2 D' R2 L B'
B F D L B2 R' B
F B D L B2 R' B
B F D' L R B' R
B F D' L R2 D B'
B F D' L R2 D' B'
B F D' L R2 D2 B'
B F D' L R2 B' D
B F D' L R2 B' D'
B F D' L R2 B' D2
B F D' L B R2 B2
B F D' L B' R2 D
B F D' L B' R2 D'
B F D' L B' R2 D2
B F D' R L B' R
B F D' R2 L D B'
B F D' R2 L D' B'
B F D' R2 L D2 B'
B F D' R2 L B' D
B F D' R2 L B' D'
B F D' R2 L B' D2
F B D' L R B' R
F B D' L R2 D B'
F B D' L R2 D' B'
F B D' L R2 D2 B'
F B D' L R2 B' D
F B D' L R2 B' D'
F B D' L R2 B' D2
F B D' L B R2 B2
F B D' L B' R2 D
F B D' L B' R2 D'
F B D' L B' R2 D2
L2 B' R' U' R2 F U'
L2 B' R' U' F R2 U'
F B D' R L B' R
F B D' R2 L D B'
F B D' R2 L D' B'
F B D' R2 L D2 B'
F B D' R2 L B' D
F B D' R2 L B' D'
F B D' R2 L B' D2
R' B' U D F B2 L
R' B' U D B2 F L
R' B' U F D B2 L
U' B' U2 R B U' F
R B' U R' U2 R F
R' B' D U F B2 L
R' B' D U B2 F L
B' F' R2 U F2 L' B'
F' B' R2 U F2 L' B'
B' F' U' R' F' U2 F'
F' B' U' R' F' U2 F'
U2 B' F' U L' F2 B'
U2 B' F' U L' B' F2
U B' F2 L' U F' L'
B F2 L D' F' R2 B2
B F2 L D' F' B2 R2
B F2 L D' B2 F' R2
B F2 L F' D' R2 B2
B F2 L F' D' B2 R2
B F2 L' B2 U L2 F'
B F2 L' B2 U F' L2
