F2 L D R2 F L'
F2 L D F L' R2
F2 L D F R2 L'
R2 L B U' F B'
R2 L B U' B' F
L R2 B U' F B'
L R2 B U' B' F
U' F R F2 U R'
F2 L R D R2 F L'
F2 L R D F L' R2
F2 L R D F R2 L'
F2 L R' D R2 F L'
F2 L R' D F L' R2
F2 L R' D F R2 L'
F2 L R2 D R2 F L'
F2 L R2 D F L' R2
F2 L R2 D F R2 L'
D' L R2 B U' F B'
D' L R2 B U' B' F
D2 L R2 B U' F B'
D2 L R2 B U' B' F
B2 L R2 B U' F B
B2 L R2 B U' B F
D L R2 B U' F B'
D L R2 B U' B' F
R2 L D B U' F B'
R2 L D B U' B' F
B' L U' F D' L2 B
B' L U' F D' B L2
B' L U' F B D' L2
B2 L U' F B2 D' L2
B' L U' B F D' L2
B2 L U' B2 F D' L2
R2 L D' B U' F B'
R2 L D' B U' B' F
B' L U2 F' U F2 B
B' L U2 F' U B F2
B2 L U2 F' U F2 B2
B2 L U2 F' U B2 F2
F2 L D R' F L' R'
F2 L D R' F R' L'
R2 L D2 B U' F B'
R2 L D2 B U' B' F
F2 L D R2 F L' D
F2 L D R2 F L' D'
F2 L D R2 F L' D2
F2 L D R2 F D L'
F2 L D R2 F D' L'
F2 L D R2 F D2 L'
F2 L D F L' R2 D
F2 L D F L' R2 D'
F2 L D F L' R2 D2
F2 L D F R2 L' D
F2 L D F R2 L' D'
F2 L D F R2 L' D2
F2 L D F R2 D L'
F2 L D F R2 D' L'
F2 L D F R2 D2 L'
R2 L F U F' B U'
R2 L F U B F' U'
L R F U F' U' L'
R L F U F' U' L'
B2 L D' R2 B U' F
F L D' F L2 D R2
F L D2 F D L2 R2
F L D2 F D R2 L2
R2 L B R U' F B'
R2 L B R U' B' F
R2 L B R' U' F B'
R2 L B R' U' B' F
R2 L B R2 U' F B'
R2 L B R2 U' B' F
R2 L B U' D F B'
R2 L B U' D B' F
R2 L B U' D' F B'
R2 L B U' D' B' F
R2 L B U' D2 F B'
R2 L B U' D2 B' F
R2 L B U' F D B'
R2 L B U' F D' B'
R2 L B U' F D2 B'
R2 L B U' F B' D
R2 L B U' F B' D'
R2 L B U' F B' D2
R2 L B U' B' D F
R2 L B U' B' D' F
R2 L B U' B' D2 F
R2 L B U' B' F D
R2 L B U' B' F D'
R2 L B U' B' F D2
R2 L B D U' F B'
R2 L B D U' B' F
R2 L B D' U' F B'
R2 L B D' U' B' F
R2 L B D2 U' F B'
R2 L B D2 U' B' F
L R B' U' F B L
L R B' U' B F L
R L B' U' F B L
R L B' U' B F L
F L' D' L2 F D R2
R2 L' B U B2 U2 B
R2 L' B U' D2 F2 B'
R2 L' B U' D2 B' F2
R2 L' B D2 U' F2 B'
R2 L' B D2 U' B' F2
L R2 D B U' F B'
L R2 D B U' B' F
L R2 D' B U' F B'
L R2 D' B U' B' F
L R2 D2 B U' F B'
L R2 D2 B U' B' F
L R2 F U F' B U'
L R2 F U B F' U'
L' R2 B U B2 U2 B
L' R2 B U' D2 F2 B'
L' R2 B U' D2 B' F2
L R2 B R U' F B'
L R2 B R U' B' F
L R2 B R' U' F B'
L R2 B R' U' B' F
L' R2 B D2 U' F2 B'
L' R2 B D2 U' B' F2
L R2 B R2 U' F B'
L R2 B R2 U' B' F
L R2 B U' D F B'
L R2 B U' D B' F
L R2 B U' D' F B'
L R2 B U' D' B' F
L R2 B U' D2 F B'
L R2 B U' D2 B' F
L R2 B U' F D B'
L R2 B U' F D' B'
L R2 B U' F D2 B'
L R2 B U' F B' D
L R2 B U' F B' D'
L R2 B U' F B' D2
L R2 B U' B' D F
L R2 B U' B' D' F
L R2 B U' B' D2 F
L R2 B U' B' F D
L R2 B U' B' F D'
L R2 B U' B' F D2
L R2 B D U' F B'
L R2 B D U' B' F
L R2 B D' U' F B'
L R2 B D' U' B' F
L R2 B D2 U' F B'
L R2 B D2 U' B' F
F' L2 B' L' U F B
F' L2 B' L' U B F
F2 R L D R2 F L'
F2 R L D F L' R2
F2 R L D F R2 L'
R2 U B L U L' U2
R2 U B L F2 U' R
L' U' L2 F D' L2 B2
L' U' L2 F D' B2 L2
L2 U' D F' R U R'
F2 R' L D R2 F L'
F2 R' L D F L' R2
F2 R' L D F R2 L'
R' U' F R F' U R'
L U' F L2 D' L2 B2
L U' F L2 D' B2 L2
L U' F D' L2 D' B2
L U' F' R U R' F2
L U' F' R U F2 R'
L U' F' R' U R F2
L U' F' R2 U R2 F2
L U' F' R2 U F2 R2
L U' F' U F2 D R2
L U' F' D R2 U R2
U' R' F R F' U R
F2 R2 L D R2 F L'
F2 R2 L D F L' R2
F2 R2 L D F R2 L'
D2 R2 L B U' F B'
D2 R2 L B U' B' F
D' R2 L B U' F B'
D' R2 L B U' B' F
B2 R2 L B U' F B
B2 R2 L B U' B F
D R2 L B U' F B'
D R2 L B U' B' F
L' U2 F' L2 U F B'
L' U2 F' L2 U B' F
L' U2 F' U' F B' U2
L' U2 F' U' B' F U2
L U2 F' L2 U F2 B'
L U2 F' L2 U B' F2
L U2 F' U' F U2 F
U' R2 U2 B L U' R2
L' U2 B' U F' B U
L' U2 B' U B F' U
R2 D L B U' F B'
R2 D L B U' B' F
B2 R2 B L U' F B
B2 R2 B L U' B F
B R2 B L U' F B2
B R2 B L U' B2 F
L D R2 B U' F B'
L D R2 B U' B' F
L2 D U' F' R U R'
F' U L' U' L F R
U' D F R F2 U R'
F' U F L' U' L F
R2 D' L B U' F B'
R2 D' L B U' B' F
F' U F B L U' L'
F' U B F L U' L'
L D' R2 B U' F B'
L D' R2 B U' B' F
D' U' F R F2 U R'
U' D' F R F2 U R'
D2 U' F R F2 U R'
D U' F R F2 U R'
F2 U' D F R U R
R' D2 L B' U' F B
R' D2 L B' U' B F
F2 U' D2 F R B2 U
F2 U' D2 F B2 R U
R2 D2 L B U' F B'
R2 D2 L B U' B' F
F2 U' D2 B2 F R U
F2 U' F R U2 F U'
F U' F2 U2 F L' U'
L D2 R2 B U' F B'
L D2 R2 B U' B' F
U' D2 F R F2 U R'
U' F R U R' D' L2
U' F R U D' L2 R'
U' F R U D' R' L2
B2 U2 F' R' U F' B2
B2 U2 F' R' U B2 F'
U' F R D' U L2 R'
U' F R D' U R' L2
U' F R F2 U R' D
