U R' F' B2 L U2
U' R' B2 L F U2
U R' B2 L F' U2
U R' B2 F' L U2
U' R2 D2 F2 L' B'
B2 U2 R2 D L B'
R' B2 D L U2 B'
U' L R' F B2 L U2
U L R' F' B2 L U2
U' L R' B2 F L U2
U L R' B2 L F' U2
U L R' B2 F' L U2
U' L F R' B2 L U2
U' L F B2 U2 L R2
U' L F B2 U2 R2 L
R' L B2 D L U2 B'
U' L B2 F U2 L R2
U' L B2 F U2 R2 L
U' L' R' B2 L U2 B
U L' R' F' B2 L U2
U L' R' B2 L F' U2
U L' R' B2 F' L U2
U' L' R2 D2 F2 B' L'
U' L' R2 D2 B' F2 L'
R' L' B2 D L U2 B'
L' R' B2 D L U2 B'
L2 R' B2 D L U2 B'
L R' B2 D L U2 B'
U' L' B2 U2 L B R2
U' L2 R' B2 L U2 B'
U L2 R' F' B2 L U2
U L2 R' B2 L F' U2
U L2 R' B2 F' L U2
R' L2 B2 D L U2 B'
R' U R U B R2 F'
R U R D2 F2 L' B
R U R D2 F2 B L'
R U R D2 B F2 L'
L' U R' F' B2 L U2
L' U R' B2 L F' U2
L' U R' B2 F' L U2
L2 U R' F' B2 L U2
L2 U R' B2 L F' U2
L U R' F' B2 L U2
L2 U R' B2 F' L U2
L U R' B2 L F' U2
L U R' B2 F' L U2
U' L2 B2 L B' R2 F'
U' L2 B2 U2 L R2 B'
U' L2 B2 U2 L B' R2
U' L2 B2 U2 R2 L B'
R U D2 L2 R F2 B
R U D2 L2 R B F2
R U D2 R L2 F2 B
R U D2 R L2 B F2
R U D2 R F2 L2 B
R U D2 R F2 B L2
R U D2 R B L2 F2
R U D2 R B F2 L2
B2 R U2 R D L B'
B2 R U2 D L R B'
B2 R U2 D L B' R
B2 R U2 D R L B'
B2 R D U2 L R B'
B2 R D U2 L B' R
B2 R D U2 R L B'
R U B2 R2 U2 R' B
U R D2 L2 B R F2
U R D2 B L2 R F2
U R D2 B R L2 F2
U R D2 B R F2 L2
R U' R D2 F2 L' B'
L' U' R' B2 L F U2
L2 U' R' B2 L F U2
L' U' R2 D2 F2 L' B'
L U' R' B2 L F U2
L2 U' R2 D2 F2 L' B'
L U' R2 D2 F2 L' B'
R U' R2 B2 L F U2
U R B2 R2 U2 R' B'
U' R' L F B2 L U2
U' R' L B2 F L U2
U R' L F' B2 L U2
U' R' L' B2 L U2 B
U R' L B2 L F' U2
U R' L B2 F' L U2
U R' L' F' B2 L U2
U' R' L2 B2 L U2 B'
U R' L' B2 L F' U2
U R' L' B2 F' L U2
U R' L2 F' B2 L U2
U R' L2 B2 L F' U2
U R' L2 B2 F' L U2
B2 R' U2 L D' R' B
U' R' U2 R B R2 F'
B2 R' U2 R' D L B'
B2 R' U2 D L R' B'
