U2 R B' U' F' B
U2 R B' U' B F'
R U2 B' U' F' B
R U2 B' U' B F'
U2 D B' L U' B
D U2 B' L U' B
L2 R F R2 U F2 B
L2 R F R2 U B F2
L2 R F U' F' U2 F'
L2 R F D R2 U B
U' L F2 U' R F' L'
D2 L B' U B U L
L2 R' F R2 U F' B
L2 R' F R2 U B F'
L2 R' F U' F' B U2
L2 R' F U' B F' U2
L2 R' B U F B' U
L2 R' B U B' F U
L2 R2 U F R U R'
R2 L2 U F R U R'
F' L2 R F U F2 B'
F' L2 R F U B' F2
R' L2 F R2 U F' B
R' L2 F R2 U B F'
R' L2 F U' F' B U2
R' L2 F U' B F' U2
R L2 F R2 U F2 B
R L2 F R2 U B F2
R L2 F U' F' U2 F'
R L2 F D R2 U B
R' L2 B U F B' U
R' L2 B U B' F U
F' L2 F R U F' B'
F' L2 F R U B' F'
R U L2 F' D' L2 B2
R U L2 F' D' B2 L2
L2 U R F U R' F2
L2 U R F U F2 R'
L2 U F R U F' R'
F' R L2 F U F2 B'
F' R L2 F U B' F2
R U F' U B' U' B
D R U2 B' L U' B
U2 R D B' U' F' B
U2 R D B' U' B F'
F2 R D' L2 F U F2
U2 R D' B' U' F' B
U2 R D' B' U' B F'
U2 R D2 B' U' F' B
U2 R D2 B' U' B F'
U2 R F' U F B' U'
U2 R F' U B' F U'
U2 R B' L U' F' B
U2 R B' L U' B F'
U2 R B' L' U' F' B
U2 R B' L' U' B F'
U2 R B' L2 U' F' B
U2 R B' L2 U' B F'
U2 R B' U' D F' B
U2 R B' U' D B F'
U2 R B' U' D' F' B
U2 R B' U' D' B F'
U2 R B' U' D2 F' B
U2 R B' U' D2 B F'
U2 R B' U' F' D B
U2 R B' U' F' D' B
U2 R B' U' F' D2 B
U2 R B' U' F' B D
U2 R B' U' F' B D'
U2 R B' U' F' B D2
U2 R B' U' B D F'
U2 R B' U' B D' F'
U2 R B' U' B D2 F'
U2 R B' U' B F' D
U2 R B' U' B F' D'
U2 R B' U' B F' D2
U2 R B' D U' F' B
U2 R B' D U' B F'
U2 R B' D' U' F' B
U2 R B' D' U' B F'
U2 R B' D2 U' F' B
U2 R B' D2 U' B F'
R' U' B U' B2 U' B2
D R' U2 B' L U' B
R2 U' B' U2 R' U R
L U2 R B U' F' B'
L U2 R B U' B' F'
U' R' B U' R B2 U'
U' R' B U' B2 R U'
B' R' B U' B' U' R'
R' U2 R2 B' U' F' B
R' U2 R2 B' U' B F'
U2 R' B' U B2 U2 B'
U2 R' B' U' D2 F2 B
U2 R' B' U' D2 B F2
U2 R' B' D L2 U' B
U2 R' B' D2 U' F2 B
U2 R' B' D2 U' B F2
R U2 D B' U' F' B
R U2 D B' U' B F'
R U2 D' B' U' F' B
R U2 D' B' U' B F'
R U2 D2 B' U' F' B
R U2 D2 B' U' B F'
R U2 F' U F B' U'
R U2 F' U B' F U'
R' U2 B' U B2 U2 B'
R' U2 B' U' D2 F2 B
R' U2 B' U' D2 B F2
R' U2 B' D L2 U' B
R' U2 B' D2 U' F2 B
R' U2 B' D2 U' B F2
R2 U2 B' L U' F B
R2 U2 B' L U' B F
D R2 U2 B' L U' B
R U2 B' L U' F' B
R U2 B' L U' B F'
R U2 B' L' U' F' B
R U2 B' L' U' B F'
R U2 B' L2 U' F' B
R U2 B' L2 U' B F'
R U2 B' U' D F' B
R U2 B' U' D B F'
R U2 B' U' D' F' B
R U2 B' U' D' B F'
R U2 B' U' D2 F' B
R U2 B' U' D2 B F'
R U2 B' U' F' D B
R U2 B' U' F' D' B
R U2 B' U' F' D2 B
R U2 B' U' F' B D
R U2 B' U' F' B D'
R U2 B' U' F' B D2
R U2 B' U' B D F'
R U2 B' U' B D' F'
R U2 B' U' B D2 F'
R U2 B' U' B F' D
R U2 B' U' B F' D'
R U2 B' U' B F' D2
R U2 B' D U' F' B
R U2 B' D U' B F'
R U2 B' D' U' F' B
R U2 B' D' U' B F'
R U2 B' D2 U' F' B
R U2 B' D2 U' B F'
R D U2 B' U' F' B
R D U2 B' U' B F'
U2 D R B' L U' B
U2 D R' B' L U' B
U2 D R2 B' L U' B
U' D B' L U L' U2
U' D B' L F2 U' R
U2 D B' L U' D B
U2 D B' L U' D' B
U2 D B' L U' D2 B
U2 D B' L U' B D
U2 D B' L U' B D'
U2 D B' L U' B D2
U2 D B' L D U' B
U2 D B' L D' U' B
U2 D B' L D2 U' B
U2 D B' D L U' B
U2 D B' D' L U' B
U2 D B' D2 L U' B
R D' U2 B' U' F' B
R D' U2 B' U' B F'
D U' B' L U L' U2
D U' B' L F2 U' R
D U2 R B' L U' B
D U2 R' B' L U' B
D U2 R2 B' L U' B
