F' R U R U B
U' L D2 L2 U' B' L
D' L B' R' U' F2 R
R2 L' U' L F U2 L'
L' R2 U' L F U2 L'
F L' B2 D' R' F2 B
F L' B2 D' R' B F2
F L' B2 D' F2 R' B
R' U R' U' F' R U2
R U R F U L' B
R U R F U B L'
R U D R F' U B
F' R U L R U B
F' R U L' R U B
F' R U L2 R U B
F' R U R L U B
F' R U R L' U B
F' R U R L2 U B
F' R U R U D B
F' R U R U D' B
F' R U R U D2 B
F' R U R U B D
F' R U R U B D'
F' R U R U B D2
F' R U R D U B
F' R U R D' U B
F' R U R D2 U B
F' R U D R U B
F2 R U R U B L
F' R U D' R U B
F' R U D2 R U B
F R U R U L' B
F R U R U B L'
F' R D U R U B
F' R D' U R U B
F' R D2 U R U B
F' R F2 U' L' U' B'
F' R B U L R U
F' R B U R L U
R2 U2 F R U' L' R'
R2 U2 F R U' R' L'
U R2 U D2 L B' L
U R2 U D2 B' L B'
U R2 U' R F' R U2
U R2 U' F' R F' U2
U R2 D' L' F L' U
U R2 D' F L' F U
U R2 D2 L U B' L
U R2 D2 U L B' L
U R2 D2 U B' L B'
U R2 F' U' R F' U2
R D U R F' U B
B U L R2 F U L'
B U L F R2 U L'
F' U R2 U' R' U2 B
B U R2 L F U L'
B U R2 F L U L2
B U F L R2 U L2
B U F R2 L U L2
D2 U' L2 U' L B' L
D2 U' L2 U' B' L B'
D2 U' L2 B' U' L B'
U2 D' F2 D' L B' L
U2 D' F2 D' B' L B'
F U' D2 L2 U' L B'
U' D2 L2 U' L B' L
U' D2 L2 U' B' L B'
U' D2 L2 B' U' L B'
D' U2 F2 D' L B' L
D' U2 F2 D' B' L B'
F U2 R2 U L' R2 B'
F U2 R2 U L' B' R2
F U2 R2 U R2 L' B'
B U2 F L' D' F2 B2
B U2 F L' D' B2 F2
U2 F' L D' F2 L' B2
U2 F' L D' F2 B2 L'
U2 F' L D' B2 F2 L'
U F' R2 U' R' U2 B
F' D B2 D' R F' U2
B D B2 U' R' B U'
F D2 U' L2 U' L B'
B F L' D' F2 B2 R'
B F L' D' B2 R' F2
B F L' D' B2 F2 R'
F' B R U L R U
F B L' D' F2 B2 R'
F' B R U R L U
F B L' D' B2 R' F2
F B L' D' B2 F2 R'
F2 B U L R2 F U
F2 B U L F R2 U
F2 B U R2 L F U
B F U L R2 U L2
B F U R2 L U L2
F B U L R2 U L2
F B U R2 L U L2
B F U2 L' D' F2 B2
B F U2 L' D' B2 F2
F B U2 L' D' F2 B2
F B U2 L' D' B2 F2
D2 B' U' L2 R' U' L'
D2 B' U' R' L2 U' L'
B F' R U L R U
B F' R U R L U
B2 F' D' R F' U2 F'
D B2 R' U' B R' U'
D B2 U' R' B R' U'
D B2 U' B R' B U'
B F2 U L R2 F U
B F2 U L F R2 U
D B2 U2 D L B' L
D B2 U2 D B' L B'
B F2 U R2 L F U
D B2 D U2 L B' L
D B2 D U2 B' L B'
D B2 D' R F' R U2
D B2 D' F' R F' U2
F' B2 D' R F' U2 F'
