U2 L R' F L' U
U2 L F L' R' U
U2 L F R' L' U
U2 R' L F L' U
U2 D R' U B L
R D2 L2 B R' U'
D U2 R' U B L
R D2 B L2 R' U'
R D2 B R' L2 U'
R' F' U2 R F U'
U2 L R F L' R2 U
B2 L R D2 B R' U'
U2 L R F R2 L' U
U2 L R' F L' U D
U2 L R' F L' U D'
U2 L R' F L' U D2
U2 L R' F L' D U
U2 L R' F L' D' U
U2 L R' F L' D2 U
U2 L R' F D L' U
U2 L R' F D' L' U
U2 L R' F D2 L' U
B2 L U' D' B L B'
B2 L U' B D' L B'
B2 L U2 L F L' U
D L U2 R' U B L
L' R D2 L2 B R' U'
L2 R D2 L2 B R' U'
L R D2 L2 B R' U'
R L D2 L2 B R' U'
L' R D2 B L2 R' U'
L' R D2 B R' L2 U'
U2 L D R' F U B
L R D2 B L2 R' U'
L2 R D2 B L2 R' U'
L R D2 B R' L2 U'
L2 R D2 B R' L2 U'
R L D2 B L2 R' U'
R L D2 B R' L2 U'
U2 L D F R' U B
B2 L D' U' B L B'
R' L F' U2 R F U'
B2 L D2 R B R' U'
U2 L F L' R' U D
U2 L F L' R' U D'
U2 L F L' R' U D2
U2 L F L' R' D U
U2 L F L' R' D' U
U2 L F L' R' D2 U
U2 L F L' D R' U
U2 L F L' D' R' U
U2 L F L' D2 R' U
U2 L F R' L' U D
U2 L F R' L' U D'
U2 L F R' L' U D2
U2 L F R' L' D U
U2 L F R' L' D' U
U2 L F R' L' D2 U
U2 L F R' D L' U
U2 L F R' D' L' U
U2 L F R' D2 L' U
U2 L F D L' R' U
U2 L F D R' L' U
U2 L F D' L' R' U
U2 L F D' R' L' U
U2 L F D2 L' R' U
U2 L F D2 R' L' U
B2 L F' R F B U'
B2 L F' R B F U'
D' L B2 L U' B L
F L' R' D' F' U R
F L' R2 B R F' U
R L' D2 L2 B R' U'
R L' D2 B L2 R' U'
R L' D2 B R' L2 U'
R' L' F' U2 R F U'
L' R' F' U2 R F U'
D L' U2 R' U B L
L2 R' F' U2 R F U'
L R' F' U2 R F U'
R L2 D2 L2 B R' U'
R L2 D2 B L2 R' U'
R L2 D2 B R' L2 U'
U2 L2 R' F L' F U
R' L2 F' U2 R F U'
D L2 U2 R' U B L
U2 L2 F L' R' F U
U2 L2 F L' F R' U
U2 L2 F R' L' F U
B2 R L D2 B R' U'
U2 R L F L' R2 U
U2 R L F R2 L' U
D R U2 R2 F' U B
B2 R D' L B U' B2
F' R D' F B U' F
D' R D' B R' U' F2
F' R D' B F U' F
B2 R D2 L B R' U'
B R D' B L U' B'
F' R D2 F L2 B U'
F' R D2 F B L2 U'
