F' L2 U L D F2
F' L2 U2 L' U' L2
F' L2 F U L F
F' L2 F2 R U L
F L2 F2 R U L'
L2 U2 L' B U' L
L2 U2 B L' U' L2
L2 F U' R B U2
L2 F' U D' L' F
L2 F' D' U L' F
L2 F2 R F U L'
L2 F2 D R F' U
L2 R U2 L' B U' L
L2 R U2 B L' U' L2
U L U' F L U F'
U2 L U2 L F' U L'
U2 L U2 F' L U L2
F' L D L F2 R U
L2 R F U' R B U2
L2 R F' U D' L' F
L2 R F' D' U L' F
L2 R F2 R F U L'
L2 R F2 D R F' U
D' L F' U' L' B2 R'
U2 L B U' D L B'
U2 L B D U' L B'
D2 L B' R2 F' U' L'
U2 L B' U R' F' U2
U2 L B2 R' B' U' L
L2 R' U2 L' B U' L
U2 L B2 D' R' B U'
L2 R' U2 B L' U' L2
L2 R' F U' R B U2
L2 R' F' U D' L' F
L2 R' F' D' U L' F
F' L' D L' U L F2
F' L' D L' U F2 L
L2 R' F2 R F U L'
F L' D L' U F2 L'
L2 R' F2 D R F' U
F' L' D2 L' R2 U L
F' L' D2 R2 L' U L
R' L2 U2 L' B U' L
L2 R2 U2 L' B U' L
R2 L2 U2 L' B U' L
R L2 U2 L' B U' L
R' L2 U2 B L' U' L2
L2 R2 U2 B L' U' L2
R2 L2 U2 B L' U' L2
R L2 U2 B L' U' L2
F' L2 R U L D F2
F' L2 R U2 L' U' L2
F' L2 R F U L F
F' L2 R F2 R U L
F L2 R U2 L' U' L
F' L2 R' U L D F2
F' L2 R' U2 L' U' L2
F' L2 R' F U L F
R' L2 F U' R B U2
F' L2 R' F2 R U L
B2 L2 R' F' B2 U L'
F L2 R' D' F2 R U
F' L2 R2 U L D F2
L2 R2 F U' R B U2
R2 L2 F U' R B U2
F' L2 R2 U2 L' U' L2
B2 L2 R' B2 F' U L'
R L2 F U' R B U2
F' L2 R2 F U L F
F' L2 R2 F2 R U L
R' L2 F' U D' L' F
F' L2 U L U L2 U'
F' L2 U L D F2 D
F' L2 U L D F2 D'
F' L2 U L D F2 D2
R' L2 F' D' U L' F
F' L2 U L F D F2
F' L2 U L F' D F2
F' L2 U L F2 D F2
L2 R2 F' U D' L' F
R2 L2 F' U D' L' F
F' L2 U D L D F2
L2 R2 F' D' U L' F
F' L2 U D' L D F2
R L2 F' U D' L' F
F L2 U L D F2 L'
R2 L2 F' D' U L' F
F' L2 U D2 L D F2
