U' B U L F U
U2 L U F B R U2
U2 L U B F R U2
R2 L D' F L' U F2
R2 L F R' U F2 B
R2 L F R' U B F2
L R2 D' F L' U F2
L R2 F R' U F2 B
L R2 F R' U B F2
R U R F' R' B L
R2 U R' B L R F'
R2 U R' B R L F'
R2 U R' B R F' L
R U D2 L' F B L
R U D2 L' B F L
R U D2 L2 B L F
R2 U D2 F' B L B'
R2 U D2 B L F' B'
R2 U D2 B L B' F'
R2 U D2 B F' L B'
R U D2 B L' F L2
R2 U F' R' B L R
R2 U F' R' B R L
R2 U F' D2 B L B'
R2 U F' B D2 L B'
B R U B' U B2 L
R U B L R F' R'
R U B L2 D2 L' F
R U B R L F' R'
R U B R F' L R'
R U B R F' R' L
R2 U B D2 L F' B'
R2 U B D2 L B' F'
R2 U B D2 F' L B'
R2 U B F' D2 L B'
R U B D2 L' F L2
R2 U' F R F' U2 F'
R2 U' F' L' B2 R' B
L' U' B U' B2 R' U'
L U' B U F L U
R2 D' L F L' U F2
U' D B U L F U
B U B' U' R' F' U2
R D' F2 U B L F
D' U' B U L F U
U' D' B U L F U
D2 U' B U L F U
D U' B U L F U
R2 D2 L F U F2 B'
R2 D2 L F U B' F2
F' U' B U L F U
F2 U' B U L F U
F U' B U L F U
R2 D2 U F' B L B'
R2 D2 U B L F' B'
R2 D2 U B L B' F'
R2 D2 U B F' L B'
R D2 U L' F B L
R D2 U L' B F L
R D2 U L2 B L F
R D2 U B L' F L2
U' D2 B U L F U
R2 F R' U F2 B L
R2 F R' U B L F2
R2 F R' U B F2 L
L F U' B U L U
U' F B R U L U
U' F' B U L U L2
U' F' B U2 L' D' B2
R2 F2 R' U F B L
R2 F2 R' U B F L
U' B R U L F U
U' B R' U L F U
U' B R2 U L F U
U' B U L D F U
U' B U L D' F U
U' B U L D2 F U
U' B U L F U D
U' B U L F U D'
U' B U L F U D2
U' B U L F D U
U' B U L F D' U
U' B U L F D2 U
U' B U D L F U
U' B U D' L F U
U' B U D2 L F U
U' B U F L F U
U' B U F' L F U
U' B U F2 L F U
U' B U2 B D L B'
U' B D U L F U
U' B D' U L F U
U' B D2 U L F U
U' B F R U L U
U' B F' U L U L2
U' B F' U2 L' D' B2
