U L F L B' R' U'
F' L' U F2 R U B'
U2 L2 R B' U' R' B2
U2 L2 R2 B' U' R' B
F L2 U' R B2 L B'
F' L2 D2 B2 U' R' B
U2 L2 B' R U' B R2
U2 R L2 B' U' R' B2
U2 R2 L2 B' U' R' B
D2 R2 F L' U R B'
D2 R2 F L' U B' R
F U B' R D F2 B2
F U B' R D B2 F2
F U2 L2 R' U' R2 B
F U2 L2 R2 U' R' B
F U2 R' L2 U' R2 B
F U2 R2 L2 U' R' B
D2 F L' R2 U R' B'
D2 F R2 L' U R' B'
F' D L' R2 U2 F2 B'
F' D L' R2 U2 B' F2
L F U' L B' U' R
F D L' U R F2 B'
F D L' U R B' F2
F D L' U B' R F2
F' D R F2 L' R B'
F' D R F2 L' B' R
F' D R F2 R L' B'
F' D R2 L' U2 F2 B'
F' D R2 L' U2 B' F2
F' D R2 U2 F2 R B
U' F' L' F2 R B U
F' D' L' B2 U2 L' B
F' D' L' B2 U2 B L'
L2 F' B' U L' F U2
F' D' B2 L' U2 B' L'
D F2 U' F' L' U R
F D2 L' R2 U R' B'
F D2 R2 L' U R' B'
L2 B' F' U L' F U2
