F L2 R2 U R' B'
F R2 L2 U R' B'
F R2 U' F U2 R'
F' R2 F2 U B R
F2 U F' R2 U R'
R2 D' F L2 U R
R2 D2 F U R B2
R2 D2 F U B2 R
R2 F L2 U R B'
R2 F L2 U B' R
F' D' F2 L2 R B'
F' D' F2 L2 B' R
F' D' F2 R L2 B'
F L R2 U D2 R' B
F L R2 D2 U R' B
F2 L U F' R2 U R'
F' L' U R2 F2 U B
F2 L' U F' R2 U R'
F' L' U2 D' F2 L2 B'
F' L' D R2 B2 U2 B'
F' L' D F' R2 B2 U2
F' L' D F' B2 R2 U2
F' L' D B2 R2 U2 B
F' L' D B2 F' R2 U2
F' L' D' U2 F2 L2 B'
F' L' D' F' U2 L2 F'
F' L' D' F' U2 F' L2
F' L' F' U F' R2 U
L2 R2 D' L2 F U R
R2 L2 D' L2 F U R
F L2 R2 U R B' R2
F L2 R2 U R' D B'
F L2 R2 U R' D' B'
F L2 R2 U R' D2 B'
F L2 R2 U R' B' D
F L2 R2 U R' B' D'
F L2 R2 U R' B' D2
F L2 R2 U R2 B' R
F L2 R2 U D R' B'
F L2 R2 U D' R' B'
F L2 R2 U D2 R' B'
F L2 R2 D U R' B'
F L2 R2 D' U R' B'
F L2 R2 D2 U R' B'
F2 L2 U F' R2 U R'
F L2 U D' R F2 B'
F L2 U D' R B' F2
F L2 U D' B' R F2
F L2 U B' D' R F2
D' L2 U2 B' U' R' F2
D' L2 U2 B' U' F2 R'
F L2 D' U R F2 B'
F L2 D' U R B' F2
F L2 D' U B' R F2
D2 L2 F B' U' R B'
D2 L2 F B' U' B' R
F L2 B R2 U R' B2
D2 L2 B' F U' R B'
D2 L2 B' F U' B' R
F' R' F2 R' U B R2
F R2 L U D2 R' B
F R2 L D2 U R' B
F R2 L2 U R B' R2
F R2 L2 U R' D B'
F R2 L2 U R' D' B'
F R2 L2 U R' D2 B'
F R2 L2 U R' B' D
F R2 L2 U R' B' D'
F R2 L2 U R' B' D2
F R2 L2 U R2 B' R
F R2 L2 U D R' B'
F R2 L2 U D' R' B'
F R2 L2 U D2 R' B'
F R2 L2 D U R' B'
F R2 L2 D' U R' B'
F R2 L2 D2 U R' B'
F R2 U L2 R' B' L2
F R2 U R' L2 B' L2
F R2 U R' U2 F U2
F R2 U' L2 U2 R' B'
F R2 U' D F U2 R'
F R2 U' D' F U2 R'
F R2 U' D2 F U2 R'
F R2 U' F L U2 R'
F R2 U' F L' U2 R'
F R2 U' F L2 U2 R'
F R2 U' F U2 R' D
F R2 U' F U2 R' D'
F R2 U' F U2 R' D2
F R2 U' F U2 D R'
F R2 U' F U2 D' R'
F R2 U' F U2 D2 R'
F R2 U' F D U2 R'
F R2 U' F D' U2 R'
F R2 U' F D2 U2 R'
F R2 D L2 U R' B'
F R2 D U' F U2 R'
B' R2 D' F L2 U R
B2 R2 D' F L2 U R
F R2 D' L2 U R' B'
B R2 D' F L2 U R
F R2 D' U' F U2 R'
B' R2 D2 F U R B2
B' R2 D2 F U B2 R
B2 R2 D2 F U R B2
B2 R2 D2 F U B2 R
F R2 D2 L2 U R' B'
B' R2 F L2 U R B'
B' R2 F L2 U B' R
B R2 D2 F U R B2
B R2 D2 F U B2 R
B2 R2 F L2 U R B'
B2 R2 F L2 U B' R
F R2 D2 U' F U2 R'
B R2 F L2 U R B'
B R2 F L2 U B' R
U R2 F U' F U2 R
F' R2 F2 L U B R
F' R2 F2 L' U B R
F' R2 F2 L2 U B R
F' R2 F2 U D B R
F' R2 F2 U D' B R
F' R2 F2 U D2 B R
F' R2 F2 U B R D
F' R2 F2 U B R D'
F' R2 F2 U B R D2
F' R2 F2 U B D R
F' R2 F2 U B D' R
F' R2 F2 U B D2 R
F' R2 F2 U B' R B2
F' R2 F2 U B2 R B'
F' R2 F2 D U B R
F' R2 F2 D' U B R
F' R2 F2 D2 U B R
F' R2 F2 B' U R B2
F' R2 F2 B' U B2 R
F' R2 F2 B2 U R B'
F' R2 F2 B2 U B' R
F' R2 B' F2 U R B2
F' R2 B' F2 U B2 R
F' R2 B2 F2 U R B'
F' R2 B2 F2 U B' R
F R2 B2 U' F L U2
R2 D F U D R B2
R2 D F U D B2 R
R2 D F U2 R2 U' R'
R2 D F D U R B2
R2 D F D U B2 R
R2 D F D2 L2 U R
F' U R2 F2 U B R
F' U D' F2 L2 R B'
F' U D' F2 L2 B' R
F' U D' F2 R L2 B'
F U D' R' F2 R2 B
F2 U F R2 F2 U R
R2 D' L2 U2 B' U' R'
F2 U F' R2 U R' D
F2 U F' R2 U R' D'
F2 U F' R2 U R' D2
F2 U F' R2 U D R'
F2 U F' R2 U D' R'
F2 U F' R2 U D2 R'
L2 D' L2 F U R F
F2 U F' R2 D U R'
F2 U F' R2 D' U R'
F2 U F' R2 D2 U R'
F2 U F' U D' R F2
F2 U F' D' U R F2
F2 U F' B R2 U R'
F2 U F' B' R2 U R'
F2 U F' B2 R2 U R'
F2 U F2 R2 F U R
R' D' R' F L2 U R
