U L U L' R'
U L U R' L'
L R U R2 D' F2
R L U R2 D' F2
U L U L' R' D
U L U L' R' D'
U L U L' R' D2
U L U L' D R'
U L U L' D' R'
U L U L' D2 R'
U L U R' L' D
U L U R' L' D'
U L U R' L' D2
U L U R' D L'
U L U R' D' L'
U L U R' D2 L'
U L U D L' R'
U L U D R' L'
U L U D' L' R'
U L U D' R' L'
U L U D2 L' R'
U L U D2 R' L'
U L D U L' R'
U L D U R' L'
U L D' U L' R'
U L D' U R' L'
U L D2 U L' R'
U L D2 U R' L'
L R B' U R2 F'
R L B' U R2 F'
R2 U L U L' R
R2 U L U R L'
R U L U L' R2
R U L U R2 L'
L' U L2 U L2 R'
L' U L2 U R' L2
L2 U L' U L R'
L2 U L' U R' L
L U R' U' R U
L U R2 D' R F2
U2 R' U' L U L'
U R' U' L R U
U R' U' R L U
L U2 F U' F' R'
L U2 F' U' R' F
L U2 F' U' F R'
L U2 F2 U' R' F2
L U2 F2 U' F2 R'
D2 U L U L' R'
D2 U L U R' L'
D' U L U L' R'
D' U L U R' L'
F2 U L F2 U R'
U D L U L' R'
U D L U R' L'
D U L U L' R'
D U L U R' L'
F U L F' U R'
F' U F L U R'
F2 U F2 L U R'
F U F' L U R'
U D' L U L' R'
U D' L U R' L'
U D2 L U L' R'
U D2 L U R' L'
U F L U L' R'
U F L U R' L'
U F' L U L' R'
U F' L U R' L'
U F2 L U L' R'
U F2 L U R' L'
L B' U' B U2 R'
L B2 U' L B2 U2
L B2 U' B2 U2 R'
L' R U L2 U L2 R2
L' R U L2 U R2 L2
D2 L R U R2 D' F2
D' L R U R2 D' F2
L2 R U L' U L R2
L2 R U L' U R2 L
D L R U R2 D' F2
L' R U R2 D' F2 B2
L' R U R2 D' B2 F2
R2 L U R U' R' U
R2 L U R2 D' R' F2
R2 L U R2 D' F2 R'
L R U R2 U' R2 U
L R U R2 D' F2 D
L R U R2 D' F2 D'
L R U R2 D' F2 D2
L R U R2 F D' F2
L R U R2 F' D' F2
L R U R2 F2 D' F2
R L U R2 U' R2 U
R L U R2 D' F2 D
R L U R2 D' F2 D'
R L U R2 D' F2 D2
R L U R2 F D' F2
R L U R2 F' D' F2
R L U R2 F2 D' F2
L R U F R2 D' F2
D2 L R B' U R2 F'
D' L R B' U R2 F'
L R U F' R2 D' F2
L R U F2 R2 D' F2
D L R B' U R2 F'
R L U F R2 D' F2
R L U F' R2 D' F2
R L U F2 R2 D' F2
L R U2 D' F2 U' F2
R2 L U2 F U' F' R
L R U2 F U' F' R2
L R U2 F' U' R2 F
L R U2 F' U' F R2
U L U L' R2 D R
U L U L' R2 D' R
U L U L' R2 D2 R
D' L U R' U' R U
R L U2 D' F2 U' F2
U L U L' D R' D
U L U L' D R' D'
U L U L' D R' D2
D2 L U R' U' R U
U L U L' D' R' D
U L U L' D' R' D'
U L U L' D' R' D2
U L U L' D2 R' D
U L U L' D2 R' D'
U L U L' D2 R' D2
R2 L U2 F2 U' F2 R
U L U L' F' R' F
U L U L' F2 R' F2
L R U2 F2 U' R2 F2
L R U2 F2 U' F2 R2
U L U L2 R' D L
U L U L2 R' D' L
U L U L2 R' D2 L
D' L U R2 D' R F2
U L U L2 D L R'
U L U L2 D R' L
U L U L2 D' L R'
U L U L2 D' R' L
U L U L2 D2 L R'
U L U L2 D2 R' L
D2 L U R2 D' R F2
R L U2 F U' F' R2
D L U R' U' R U
R L U2 F' U' R2 F
R L U2 F' U' F R2
U L U R' L2 D L
U L U R' L2 D' L
U L U R' L2 D2 L
D L U R2 D' R F2
U L U R' D L' D
U L U R' D L' D'
U L U R' D L' D2
U L U R' D' L' D
U L U R' D' L' D'
U L U R' D' L' D2
U L U R' D2 L' D
U L U R' D2 L' D'
U L U R' D2 L' D2
R L U2 F2 U' R2 F2
R L U2 F2 U' F2 R2
U L U R' B' L' B
U L U R' B2 L' B2
U L U R2 L' D R
U L U R2 L' D' R
U L U R2 L' D2 R
U L U R2 D L' R
U L U R2 D R L'
U L U R2 D' L' R
U L U R2 D' R L'
U L U R2 D2 L' R
U L U R2 D2 R L'
U L U D L' R' D
U L U D L' R' D'
U L U D L' R' D2
U L U D L' D R'
U L U D L' D' R'
U L U D L' D2 R'
U L U D R' L' D
U L U D R' L' D'
U L U D R' L' D2
U L U D R' D L'
U L U D R' D' L'
U L U D R' D2 L'
U L U D' L' R' D
U L U D' L' R' D'
U L U D' L' R' D2
U L U D' L' D R'
U L U D' L' D' R'
U L U D' L' D2 R'
U L U D' R' L' D
U L U D' R' L' D'
U L U D' R' L' D2
U L U D' R' D L'
U L U D' R' D' L'
U L U D' R' D2 L'
U L U D2 L' R' D
U L U D2 L' R' D'
U L U D2 L' R' D2
U L U D2 L' D R'
U L U D2 L' D' R'
U L U D2 L' D2 R'
U L U D2 R' L' D
U L U D2 R' L' D'
U L U D2 R' L' D2
U L U D2 R' D L'
U L U D2 R' D' L'
U L U D2 R' D2 L'
U L U F' R' F L'
U L U B' L' B R'
U L U' L U2 L2 R'
U L U' L U2 R' L2
U L U' L2 U2 L R'
U L U' L2 U2 R' L
U L U' R U2 L' R2
U L U' R U2 R2 L'
L R D B2 U D2 F2
L R D B2 U' B2 U2
L R D B2 D' R2 U
L R D B2 D2 U F2
U L U' R2 U2 L' R
U L U' R2 U2 R L'
R L D B2 U D2 F2
R L D B2 U' B2 U2
R L D B2 D' R2 U
R L D B2 D2 U F2
U' L U2 L' U' L R'
U' L U2 L' U' R' L
L R D' U2 F2 U' F2
R L D' U2 F2 U' F2
D2 L U2 F U' F' R'
D' L U2 F U' F' R'
D2 L U2 F' U' R' F
D2 L U2 F' U' F R'
D' L U2 F' U' R' F
D' L U2 F' U' F R'
D2 L U2 F2 U' R' F2
D2 L U2 F2 U' F2 R'
D L U2 F U' F' R'
D' L U2 F2 U' R' F2
D' L U2 F2 U' F2 R'
D L U2 F' U' R' F
D L U2 F' U' F R'
D L U2 F2 U' R' F2
D L U2 F2 U' F2 R'
U L D U L' R' D
U L D U L' R' D'
U L D U L' R' D2
U L D U L' D R'
U L D U L' D' R'
U L D U L' D2 R'
U L D U R' L' D
U L D U R' L' D'
U L D U R' L' D2
U L D U R' D L'
U L D U R' D' L'
U L D U R' D2 L'
U L D' U L' R' D
U L D' U L' R' D'
U L D' U L' R' D2
U L D' U L' D R'
U L D' U L' D' R'
U L D' U L' D2 R'
U L D' U R' L' D
U L D' U R' L' D'
U L D' U R' L' D2
U L D' U R' D L'
U L D' U R' D' L'
U L D' U R' D2 L'
U L D2 U L' R' D
U L D2 U L' R' D'
U L D2 U L' R' D2
U L D2 U L' D R'
U L D2 U L' D' R'
U L D2 U L' D2 R'
U L D2 U R' L' D
U L D2 U R' L' D'
U L D2 U R' L' D2
U L D2 U R' D L'
U L D2 U R' D' L'
U L D2 U R' D2 L'
L' R B L2 U R2 F
L' R B L2 U F R2
R2 L B U' B' U2 R
L R B U' B' U2 R2
R L B U' B' U2 R2
L' R B' L2 U R2 F'
L2 R B' L' U R2 F'
R' L B' R2 U F' R2
L R B' R U R F'
R L B' R U R F'
R2 L B' R2 U F' R'
R2 L B' U R2 F' R'
L R B' U R2 D F'
L R B' U R2 D' F'
L R B' U R2 D2 F'
L R B' U R2 F' D
L R B' U R2 F' D'
L R B' U R2 F' D2
L R B' U F R2 F'
L R B' U F' R2 F'
L R B' U F2 R2 F'
R L B' U R2 D F'
R L B' U R2 D' F'
R L B' U R2 D2 F'
R L B' U R2 F' D
R L B' U R2 F' D'
R L B' U R2 F' D2
R L B' U F R2 F'
L R B' U' B U2 R2
R L B' U F' R2 F'
R2 L B' U' B U2 R
R L B' U F2 R2 F'
R L B' U' B U2 R2
U2 L F2 U R' F2 L'
U L F2 U R' D2 L2
U L F2 U' R U2 R2
R2 L B2 U R D2 F2
L R B2 U R2 D2 F2
R2 L B2 U D2 R F2
R' L B2 D' R2 U R2
R L B2 U R2 D2 F2
L R B2 U' B2 U2 R2
R2 L B2 U' B2 U2 R
R L B2 U' B2 U2 R2
R2 L B2 D' R2 U R'
R2 L B2 D2 U R F2
R2 L' U L2 U L2 R
R2 L' U L2 U R L2
R L' U L2 U L2 R2
R L' U L2 U R2 L2
R L' U R2 D' F2 B2
R L' U R2 D' B2 F2
B L B' L U R' F
B L B' L U F R'
D2 L B' U' B U2 R'
D' L B' U' B U2 R'
D L B' U' B U2 R'
D2 L B2 U' L B2 U2
D' L B2 U' L B2 U2
D2 L B2 U' B2 U2 R'
D' L B2 U' B2 U2 R'
B2 L B2 U L U L'
D L B2 U' L B2 U2
D L B2 U' B2 U2 R'
U L B2 U L' D2 R2
U L B2 U' L U2 L2
U2 L' R' U' L2 U L2
U2 L' R' D' B2 D L2
D2 L' U L2 U L2 R'
D2 L' U L2 U R' L2
D' L' U L2 U L2 R'
D' L' U L2 U R' L2
F2 L' U L2 F2 U R'
D L' U L2 U L2 R'
D L' U L2 U R' L2
F L' U L2 F' U R'
U L' U R' D' L B2
F2 L' U F2 L2 U R'
U L' U D' L R' B2
U L' U D' R' L B2
F L' U F' L2 U R'
U2 L' U' L2 U L2 R'
U2 L' U' L2 U R' L2
F2 L' U2 R' D' L2 B2
F2 L' U2 R' D' B2 L2
F2 L' U2 D' L2 R' B2
F2 L' U2 D' R' L2 B2
F2 L' U2 D' R' B2 L2
F2 L' D R2 F2 L' U2
F2 L' D F2 R2 U2 R
R2 L' B L2 U R F
R L' B L2 U R2 F
R L' B L2 U F R2
U2 L' D' R' B2 D L2
F2 L' D' U2 L2 R' B2
F2 L' D' U2 R' L2 B2
F2 L' D' U2 R' B2 L2
U L' D' U L R' B2
U L' D' U R' L B2
B2 L' D' B2 L R2 U
B2 L' D' B2 R2 L U
R L' B' L2 U R2 F'
L R' B' R2 U F' R2
U L' F L2 U L' R'
U L' F L2 U R' L'
L R' B2 D' R2 U R2
L' R2 U L2 U L2 R
L' R2 U L2 U R L2
R2 L2 U L' U L R
R2 L2 U L' U R L
L2 R2 U L' U L R
L2 R2 U L' U R L
L R2 U R U' R' U
R L2 U L' U L R2
R L2 U L' U R2 L
L R2 U R2 D' R' F2
L R2 U R2 D' F2 R'
U L' F' L2 U L' R'
U L' F' L2 U R' L'
U L' F2 L2 U L' R'
U L' F2 L2 U R' L'
L R2 U2 F U' F' R
L R2 U2 F2 U' F2 R
U2 L2 R' U' L' U L
D2 L2 U L' U L R'
D2 L2 U L' U R' L
D' L2 U L' U L R'
D' L2 U L' U R' L
F2 L2 U L' F2 U R'
D L2 U L' U L R'
D L2 U L' U R' L
F L2 U L' F' U R'
U2 L2 U' L' U L R'
U2 L2 U' L' U R' L
L' R2 B L2 U R F
L R2 B U' B' U2 R
R L2 B' L' U R2 F'
L R2 B' R2 U F' R'
L R2 B' U R2 F' R'
L R2 B' U' B U2 R
U L2 D L' F2 U R'
L R2 B2 U R D2 F2
L R2 B2 U D2 R F2
L R2 B2 U' B2 U2 R
L R2 B2 D' R2 U R'
L R2 B2 D2 U R F2
R2 U L U L' R D
R2 U L U L' R D'
R2 U L U L' R D2
R2 U L U L' D R
R2 U L U L' D' R
R2 U L U L' D2 R
R2 U L U R L' D
R2 U L U R L' D'
R2 U L U R L' D2
R2 U L U R D L'
R2 U L U R D' L'
R2 U L U R D2 L'
R2 U L U D L' R
R2 U L U D R L'
R2 U L U D' L' R
R2 U L U D' R L'
R2 U L U D2 L' R
R2 U L U D2 R L'
R U L U L' R2 D
R U L U L' R2 D'
R U L U L' R2 D2
R2 U L D U L' R
R2 U L D U R L'
R U L U R2 L' D
R U L U R2 L' D'
R U L U R2 L' D2
R U L U R2 D L'
R U L U R2 D' L'
R U L U R2 D2 L'
R2 U L D' U L' R
R2 U L D' U R L'
R2 U L D2 U L' R
R2 U L D2 U R L'
R U L D B2 U L'
R2 U L B U L' R
R2 U L B U R L'
R2 U L B' U L' R
R2 U L B' U R L'
R2 U L B2 U L' R
R2 U L B2 U R L'
R U L B U L' R2
