B R' U L2 B2
B R' U B2 L2
B L R' U L B2
B L' R' U L' B2
B L' R' U B2 L'
B' L' D L' F2 R
B R' L U L B2
B R' L' U L' B2
B R' L' U B2 L'
B R' U L' B2 L'
B R' U L2 B2 D
B R' U L2 B2 D'
B R' U L2 B2 D2
B R' U B L2 B
B R' U B2 L2 D
B R' U B2 L2 D'
B R' U B2 L2 D2
B R' D L2 F2 U
B R' D F2 L2 U
B R' F U L2 B2
B R' F U B2 L2
B R' F' U L2 B2
B R' F' U B2 L2
B R' F2 U L2 B2
B R' F2 U B2 L2
B' U' B2 R' U L2
B D L2 R' F2 U
B D L2 F2 R' U
B D R' L2 F2 U
B D R' F2 L2 U
B D F2 L2 R' U
B D F2 R' L2 U
U' B R' U L2 B2
U' B R' U B2 L2
U2 B R' U L2 B2
U2 B R' U B2 L2
U B R' U L2 B2
U B R' U B2 L2
F' B R' U L2 B2
F' B R' U B2 L2
F2 B R' U L2 B2
F2 B R' U B2 L2
B F R' U L2 B2
B F R' U B2 L2
F B R' U L2 B2
F B R' U B2 L2
B F' R' U L2 B2
B F' R' U B2 L2
B F2 R' U L2 B2
B F2 R' U B2 L2
B L R' U L B2 D
B L R' U L B2 D'
B L R' U L B2 D2
B L R' U L' B2 L2
B L R' U L2 B2 L'
B L R' D L2 U L'
B L R' F U L B2
B L R' F' U L B2
B L R' F2 U L B2
B2 L U' L F B R
B2 L U' L B F R
B L D L2 R' U L'
B L D R' L2 U L'
B L F R' U L B2
B L F' R' U L B2
B L F2 R' U L B2
B' L' R D L' F2 R
B L' R' U L B2 L2
B' L' R' D L' F2 R
B L' R' U L' B2 D
B L' R' U L' B2 D'
B L' R' U L' B2 D2
B L' R' U B L' B
B L' R' U B2 L' D
B L' R' U B2 L' D'
B L' R' U B2 L' D2
B L' R' U B2 D L'
B L' R' U B2 D' L'
B L' R' U B2 D2 L'
B L' R' D L2 U L
B' L' R2 D L' F2 R
B L' U B2 L' D F2
B' L' D L' R F2 R
B' L' D L' R' F2 R
B' L' D L' R2 F2 R
B' L' D L' F2 R D
B' L' D L' F2 R D'
B' L' D L' F2 R D2
B' L' D L' F2 D R
B' L' D L' F2 D' R
B' L' D L' F2 D2 R
B' L' D R L' F2 R
B' L' D R' L' F2 R
B' L' D R2 L' F2 R
B L' D L2 R' U L
