D' L2 R' B R' F'
D' R' L2 B R' F'
D' R' B L2 R' F'
D' R' B R' L2 F'
D' R' B R' F' L2
D' B R' B L2 F
D' B U2 L2 R' B
D' B U2 R' L2 B
D' B U2 R' B L2
D L R2 U2 F' R B'
D L R2 U2 F' B' R
D L R2 U2 B' F' R
F2 L R2 B' L U F'
B' L D' R2 B' U L2
B' L D' B' R2 U L2
R2 L B' L F2 U F
B' L F2 D' R2 B' U
B' L F2 D' B' R2 U
B' L F2 D2 B' U F2
B' L F2 B' U' B' U2
F2 L B' L U D2 F2
F2 L B' L U' B2 U2
F2 L B' L D' R2 U
F2 L B' L D2 U F2
B' L B' U D' L2 F
F2 L B' D' L R2 U
F2 L B' D' R2 L U
B' L B' D' U L2 F
F2 L B' D2 L U F2
B' L B' F2 U' B' U2
D' L' R' B L' R' F'
D' L' R' B R' L' F'
D L' R2 F L' U2 F2
D L' R2 F U2 F2 R
D L' F L' R2 U2 F'
D L' F L' B R2 U2
D L' F R2 L' U2 F'
D L' F B L' R2 U2
D L' F B R2 L' U2
D' L' B U2 L' R' B
D' L' B U2 R' L' B
D' L' B U2 R' B L'
D L' B R2 F L' U2
D L' B F L' R2 U2
D L' B F R2 L' U2
D' L2 R' F B R' F'
D' L2 R' F' B R' F'
D' L2 R' F2 B R' F'
D' L2 R' B R' D F'
D' L2 R' B R' D' F'
D' L2 R' B R' D2 F'
D' L2 R' B R' F' D
D' L2 R' B R' F' D'
D' L2 R' B R' F' D2
D' L2 R' B D R' F'
D' L2 R' B D' R' F'
D' L2 R' B D2 R' F'
D' L2 R' B F R' F'
D' L2 R' B F' R' F'
D' L2 R' B F2 R' F'
D' L2 R2 D2 F' R B
D' L2 R2 F' R B R'
D L2 R2 U2 F' R B
D' L2 U2 B U2 R' B
L R2 B' L F2 U F
D' L2 F R' B R' F'
D' L2 F' R' B R' F'
D' L2 F2 R' B R' F'
D2 R F' R B2 U' F'
D2 R F' B2 R U' F'
D2 R B2 F' R U' F'
D' R' L' B L' R' F'
D' R' L' B R' L' F'
D' R' L2 F B R' F'
D' R' L2 F' B R' F'
D' R' L2 F2 B R' F'
D' R' L2 B R' D F'
D' R' L2 B R' D' F'
D' R' L2 B R' D2 F'
D' R' L2 B R' F' D
D' R' L2 B R' F' D'
D' R' L2 B R' F' D2
D' R' L2 B D R' F'
D' R' L2 B D' R' F'
D' R' L2 B D2 R' F'
D' R' L2 B F R' F'
D' R' L2 B F' R' F'
D' R' L2 B F2 R' F'
D' R' F L2 B R' F'
D' R' F B L2 R' F'
D' R' F B R' L2 F'
D' R' F B R' F' L2
D' R' F' L2 B R' F'
D' R' F' B L2 R' F'
D' R' F' B R' L2 F'
D' R' F' B R' F' L2
D' R' F2 L2 B R' F'
D' R' F2 B L2 R' F'
D' R' F2 B R' L2 F'
D' R' F2 B R' F' L2
D' R' B L R' F' L
D' R' B L2 R' D F'
D' R' B L2 R' D' F'
D' R' B L2 R' D2 F'
D' R' B L2 R' F' D
D' R' B L2 R' F' D'
D' R' B L2 R' F' D2
D' R' B L2 D R' F'
D' R' B L2 D' R' F'
D' R' B L2 D2 R' F'
D' R' B L2 F R' F'
D' R' B L2 F' R' F'
D' R' B L2 F2 R' F'
D' R' B R' L F' L
D' R' B R' L2 D F'
D' R' B R' L2 D' F'
D' R' B R' L2 D2 F'
D' R' B R' L2 F' D
D' R' B R' L2 F' D'
D' R' B R' L2 F' D2
D' R' B R' F L2 F2
D' R' B R' F' L2 D
D' R' B R' F' L2 D'
D' R' B R' F' L2 D2
D' R' B F L2 R' F'
D' R' B F R' L2 F'
D' R' B F R' F' L2
D' R' B F' L2 R' F'
D' R' B F' R' L2 F'
D' R' B F' R' F' L2
D' R' B F2 L2 R' F'
D' R' B F2 R' L2 F'
D' R' B F2 R' F' L2
D R2 L U2 F' R B'
D R2 L U2 F' B' R
D R2 L U2 B' F' R
F2 R2 L B' L U F'
D R2 L' F L' U2 F2
D R2 L' F U2 F2 R
D' R2 L2 D2 F' R B
D' R2 L2 F' R B R'
D R2 L2 U2 F' R B
D R2 F L' F U2 F
D' R2 F' L2 R B R'
D' R2 F' R L2 B R'
D' R2 F' R B L2 R'
D' R2 F' R B R' L2
D R2 F' R B2 L B'
F2 R2 B' L B' U F'
D' U L2 R' B R' F'
D' U R' L2 B R' F'
D' U R' B L2 R' F'
D' U R' B R' L2 F'
D' U R' B R' F' L2
F2 U D' R' B R' F'
R' D' L2 R' F' B R'
R' D' L2 R' B F' R'
D' U B R' B L2 F
D' U B U2 L2 R' B
D' U B U2 R' L2 B
D' U B U2 R' B L2
R' D' L2 B R' F' B
R' D' L2 B R' B F'
R2 D' L2 F' R' B R'
R2 D' L2 F' B R' B
R2 D' L2 B F' R' B
R' D' R' L2 F' B R'
R' D' R' L2 B F' R'
R' D' R' F' L2 B R'
R' D' R' F' B L2 R'
R' D' R' F' B R' L2
R' D' R' B L2 F' R'
R' D' R' B F' L2 R'
R' D' R' B F' R' L2
B U F2 B2 L B' U
U' D' L2 R' B R' F'
D' U' L2 R' B R' F'
B U B2 L F2 B' U
B U B2 L B' F2 U
U2 D' L2 R' B R' F'
U D' L2 R' B R' F'
B U B2 F2 L B' U
U' D' R' L2 B R' F'
D' U' R' L2 B R' F'
U' D' R' B L2 R' F'
U' D' R' B R' L2 F'
U' D' R' B R' F' L2
D' U' R' B L2 R' F'
D' U' R' B R' L2 F'
D' U' R' B R' F' L2
U2 D' R' L2 B R' F'
U2 D' R' B L2 R' F'
U2 D' R' B R' L2 F'
U2 D' R' B R' F' L2
R2 D' F' L2 R' B R'
R2 D' F' L2 B R' B
U D' R' L2 B R' F'
R2 D' F' R' L2 B R'
R2 D' F' R' B L2 R'
