D' L R2 D' L2 B2
D' L R2 D' B2 L2
L R D' R2 B2 L
R' L D' B2 L R2
R' L D' B2 R2 L
R' L D' B2 R2 L
R L D' R2 B2 L
D2 L D' L B2 R'
L R' D' B2 L R2
L R' D' B2 R2 L
U' L' D' F2 U R2
B2 L' D' F2 U F2
D' L' F2 U R2 F2
D' L' F2 U F2 R2
U' L' B2 U D2 L2
U' L' B2 U' R2 U2
U' L' B2 D' F2 U
U' L' B2 D2 U L2
R2 U L' B2 R' U
R' U' L' B2 U L
R' U' B2 L' U L2
D' R2 L D' L2 B2
D' R2 L D' B2 L2
U2 R2 U L' B2 U
U2 R2 U B2 L' U
D' R2 U' L' F2 U
D2 U F2 R U' L2
U' D' L' F2 U R2
L D' R2 B2 D' L2
D' U' L' F2 U R2
L' D' F2 U R2 F2
L' D' F2 U F2 R2
L D' B2 R2 D' L2
L D2 L2 D R2 B2
L D2 L2 D B2 R2
U D2 F2 R U' L2
B2 D' L' F2 U F2
D2 F2 R U' L2 F2
D2 F2 R U' F2 L2
U' B2 L' U D2 L2
U' B2 L' U' R2 U2
U' B2 L' D' F2 U
U' B2 L' D2 U L2
L' B2 D' F2 U F2
U' B2 D' L' F2 U
U' B2 D2 L' U L'
D2 L R D' L B2 R'
D' L R D' L2 R B2
D' L R D' L2 B2 R
D' L R D' R L2 B2
D' L R D' R B2 L2
D' L R D' B2 L2 R
D' L R D' B2 R L2
D2 L R' D' L B2 R'
D' L R' D' L2 R' B2
R' L U' L2 B2 U L
D' L R' D' R' L2 B2
D' L R' D' R' B2 L2
U2 L R2 U L2 B2 U
U2 L R2 U B2 L2 U
D' L R2 U' L2 F2 U
D' L R2 U' F2 L2 U
U2 L R2 U2 D' R2 B2
U2 L R2 U2 D' B2 R2
R' L U' B2 L2 U L'
U2 L R2 D L2 F2 U2
U2 L R2 D F2 L2 U2
D' L R2 D' L' B2 L'
D' L R2 D' L2 B2 D
D' L R2 D' L2 B2 D'
D' L R2 D' L2 B2 D2
D2 L R2 D' L B2 R'
U2 L R2 D' U2 R2 B2
D' L R2 D' B L2 B
U2 L R2 D' U2 B2 R2
D' L R2 D' B2 L2 D
D' L R2 D' B2 L2 D'
D' L R2 D' B2 L2 D2
D' L R2 B D' L2 B2
D' L R2 B D' B2 L2
D' L R2 B' D' L2 B2
D' L R2 B' D' B2 L2
D' L R2 B2 D' L2 B2
D' L R2 B2 D' B2 L2
R2 L D L2 F2 U2 F2
D' L U' L2 F2 U R2
R2 L D F2 L2 U2 F2
R' L D' L B2 L R2
R' L D' L B2 R2 L
R' L D' L' B2 L R2
R' L D' L' B2 R2 L
L R D' L R2 B2 L
R' L D' L2 B2 L R2
R' L D' L2 B2 R2 L
L R D' L' R2 B2 L
D' L U' F2 L2 U R2
L R D' L2 R2 B2 L
R L D' L R2 B2 L
R2 L D' R B2 L R
R2 L D' R B2 R L
R L D' L' R2 B2 L
R L D' L2 R2 B2 L
L R D' R2 L B2 L
L R D' R2 L' B2 L
L R D' R2 L2 B2 L
R2 L D' R2 B2 D2 L2
L R D' R2 B2 L D
L R D' R2 B2 L D'
L R D' R2 B2 L D2
L R D' R2 B2 D L
L R D' R2 B2 D' L
L R D' R2 B2 D2 L
R L D' R2 L B2 L
R L D' R2 L' B2 L
R L D' R2 L2 B2 L
R L D' R2 B2 L D
R L D' R2 B2 L D'
R L D' R2 B2 L D2
R L D' R2 B2 D L
R L D' R2 B2 D' L
R L D' R2 B2 D2 L
R' L D' B' R2 B' L
R' L D' B2 L R2 D
R' L D' B2 L R2 D'
R' L D' B2 L R2 D2
R' L D' B2 R2 L D
R' L D' B2 R2 L D'
R' L D' B2 R2 L D2
R' L D' B2 R2 D L
R' L D' B2 R2 D' L
R' L D' B2 R2 D2 L
R2 L D' B2 R2 D2 L2
D2 L D L R2 D2 B2
D2 L D R2 L D2 B2
D2 L D R2 D2 L B2
D2 L D' L R B2 R'
D2 L D' L R' B2 R'
D2 L D' L R2 B2 R'
D2 L D' L B2 R' D
D2 L D' L B2 R' D'
D2 L D' L B2 R' D2
D2 L D' L B2 D R'
D2 L D' L B2 D' R'
D2 L D' L B2 D2 R'
D' L D' L2 B2 D R2
D2 L D' R L B2 R'
D2 L D' R' L B2 R'
D2 L D' R2 L B2 R'
D L D' R' B2 L R'
D L D' R' B2 R' L
U' L D' F2 U R2 B2
U' L D' F2 U B2 R2
B2 L D' F2 U F2 B2
B2 L D' F2 U B2 F2
D' L D' B2 L2 D R2
D L D' B2 D2 L2 R'
D L D' B2 D2 R' L2
B2 L D' B2 D' L2 R2
B2 L D' B2 D' R2 L2
L' R F2 B2 U L' F2
D' L F2 L2 U R2 F2
D' L F2 L2 U F2 R2
D' L B R2 D' L2 B2
L' R B2 F2 U L' F2
D' L B R2 D' B2 L2
D' L B' R2 D' L2 B2
D' L B' R2 D' B2 L2
L2 R' U' L B2 U L
L R' U' L2 B2 U L
U' L B2 L2 U D2 L2
U' L B2 L2 U' R2 U2
U' L B2 L2 D' F2 U
U' L B2 L2 D2 U L2
D' L B2 R2 D' L2 B2
D' L B2 R2 D' B2 L2
L R' U' B2 L2 U L'
U' L B2 D' F2 U B2
D' L' R F2 U F2 R
B2 L' R F2 U L' F2
D' L' R' F2 U R' F2
D' L' R' F2 U F2 R'
L R' D' L B2 L R2
L R' D' L B2 R2 L
U' L' R' B2 R U L
L R' D' L' B2 L R2
L R' D' L' B2 R2 L
L R' D' L2 B2 L R2
L R' D' L2 B2 R2 L
U2 L' R2 U B2 U B2
D' L' R2 D' L2 D' B2
U L' R' B2 R' U L
L R' D' B' R2 B' L
L R' D' B2 L R2 D
L R' D' B2 L R2 D'
L R' D' B2 L R2 D2
L R' D' B2 R2 L D
L R' D' B2 R2 L D'
L R' D' B2 R2 L D2
L R' D' B2 R2 D L
L R' D' B2 R2 D' L
L R' D' B2 R2 D2 L
U' L' U D' R2 D' L2
U' L' U D2 L2 D R2
B2 L' U D2 L2 D F2
U' L' U' R2 U B2 U
U' L' U' R2 U2 D' R2
U' L' U' R2 D L2 U2
U' L' U' R2 D' U2 R2
B2 L' U' R2 U R2 U
B2 L' U' R2 U2 D' F2
B2 L' U' R2 D B2 U2
B2 L' U' R2 D' U2 F2
R' L' F B2 U L F'
R' L' F B2 U F' L
L' R' F B2 U L F'
L' R' F B2 U F' L
U' L' U2 D2 F2 U' L2
R' L' F' B2 U F L
L' R' F' B2 U F L
D L' D L2 D' B2 R'
R' L' F2 B2 U L F2
R' L' F2 B2 U F2 L
L' R' F2 B2 U L F2
L' R' F2 B2 U F2 L
R L' F2 B2 U L' F2
B2 L' D' R F2 U F2
U' L' D' U R2 D' L2
B2 L' D' R' F2 U F2
B2 L' D' R2 F2 U F2
U' L' D' F2 U R2 D
U' L' D' F2 U R2 D'
U' L' D' F2 U R2 D2
U' L' D' F2 D B2 U
U' L' D' F2 B U R2
U' L' D' F2 B' U R2
U' L' D' F2 B2 U R2
U' L' D' B F2 U R2
B2 L' D' F2 R U F2
B2 L' D' F2 R' U F2
B2 L' D' F2 R2 U F2
B2 L' D' F2 U F2 D
B2 L' D' F2 U F2 D'
B2 L' D' F2 U F2 D2
B2 L' D' F2 D R2 U
U' L' D' B' F2 U R2
U' L' D' B2 F2 U R2
B L' D' F2 B U F2
B L' D' B F2 U F2
U' L' D2 U L2 D R2
B2 L' D2 U L2 D F2
U' L' D2 U2 F2 U' L2
B2 L' D2 F U L2 F'
B2 L' D2 F U F' L2
B2 L' D2 F' U F L2
B2 L' D2 F2 U L2 F2
B2 L' D2 F2 U F2 L2
D L' D2 F2 U R F2
B2 L' F U D2 L2 F'
B2 L' F U D2 F' L2
B2 L' F U F' D2 L2
R' L' B2 F U L F'
R' L' B2 F U F' L
L' R' B2 F U L F'
L' R' B2 F U F' L
B2 L' F U' R2 B U2
R' L' B2 F' U F L
L' R' B2 F' U F L
U' L' F D' F2 U R2
R' L' B2 F2 U L F2
R' L' B2 F2 U F2 L
L' R' B2 F2 U L F2
L' R' B2 F2 U F2 L
B2 L' F D' F2 U F
B2 L' F D2 U L2 F'
B2 L' F D2 U F' L2
U' L' F B2 U D2 L2
U' L' F B2 U' R2 U2
U' L' F B2 D' F2 U
U' L' F B2 D2 U L2
R L' B2 F2 U L' F2
B2 L' F' U D2 F L2
B2 L' F' U F D2 L2
B2 L' F' U' R2 U2 F
U' L' F' D' F2 U R2
R' L2 U' L B2 U L
B2 L' F' D' F2 U F'
B2 L' F' D2 U F L2
U' L' F' B2 U D2 L2
U' L' F' B2 U' R2 U2
U' L' F' B2 D' F2 U
U' L' F' B2 D2 U L2
D' L' F2 R U R F2
D' L' F2 R' U R' F2
D' L' F2 R' U F2 R'
D' L' F2 U R' F2 R'
D' L' F2 U R2 F2 D
D' L' F2 U R2 F2 D'
D' L' F2 U R2 F2 D2
D' L' F2 U F R2 F
D' L' F2 U F2 R2 D
D' L' F2 U F2 R2 D'
D' L' F2 U F2 R2 D2
B2 L' F2 R U F2 L'
D' L' F2 D R2 B2 U
D' L' F2 D B2 R2 U
B2 L' F2 U F2 D2 L2
B2 L' F2 U' R2 U2 F2
U' L' F2 D' F2 U R2
D' L' F2 B U R2 F2
D' L' F2 B U F2 R2
D' L' F2 B' U R2 F2
D' L' F2 B' U F2 R2
D' L' F2 B2 U R2 F2
D' L' F2 B2 U F2 R2
U' L' F2 B2 U D2 L2
U' L' F2 B2 U' R2 U2
U' L' F2 B2 D' F2 U
U' L' F2 B2 D2 U L2
U' L' B D' F2 B U
U' L' B D' B F2 U
U' L' B D2 B U L2
D' L' B F2 U R2 F2
D' L' B F2 U F2 R2
B L' B D' F2 U F2
L R2 D L2 F2 U2 F2
U' L' B' D' F2 B' U
U' L' B' D' B' F2 U
U' L' B' D2 B' U L2
D' L' B' F2 U R2 F2
D' L' B' F2 U F2 R2
L R2 D F2 L2 U2 F2
U' L' B2 U L D2 L2
U' L' B2 U L' D2 L2
U' L' B2 U L2 D2 L2
U' L' B2 U D2 L2 D
U' L' B2 U D2 L2 D'
U' L' B2 U D2 L2 D2
L R2 D' R B2 L R
L R2 D' R B2 R L
U' L' B2 U' R2 U2 D
U' L' B2 U' R2 U2 D'
U' L' B2 U' R2 U2 D2
U' L' B2 U' R2 D U2
U' L' B2 U' R2 D' U2
U' L' B2 U' R2 D2 U2
U' L' B2 U2 D B2 U'
U2 L' B2 U D2 L2 F2
U2 L' B2 U D2 F2 L2
L R2 D' R2 B2 D2 L2
U2 L' B2 U' R2 B2 U2
U' L' B2 D U2 B2 U'
U2 L' B2 U' B2 R2 U2
U' L' B2 D' F2 U D
U' L' B2 D' F2 U D'
U' L' B2 D' F2 U D2
U' L' B2 D' F2 D U
U' L' B2 D' F2 D' U
U' L' B2 D' F2 D2 U
U L' B2 R' U' R' U2
U' L' B2 D2 U L2 D
U' L' B2 D2 U L2 D'
U' L' B2 D2 U L2 D2
U' L' B2 D2 F U L2
U' L' B2 D2 F' U L2
U' L' B2 D2 F2 U L2
D' L' B2 F2 U R2 F2
D' L' B2 F2 U F2 R2
U2 L' B2 D' R2 F2 U
U' L' B2 F U D2 L2
U' L' B2 F U' R2 U2
U2 L' B2 D' F2 R2 U
U' L' B2 F D' F2 U
U' L' B2 F D2 U L2
U' L' B2 F' U D2 L2
U2 L' B2 D2 U L2 F2
U' L' B2 F' U' R2 U2
U2 L' B2 D2 U F2 L2
U' L' B2 F' D' F2 U
U' L' B2 F' D2 U L2
U' L' B2 F2 U D2 L2
