B' L R U F' R' U2
D2 L' F U' L' F' U'
U L' B R' U B R'
U L' B2 U R' F' B
U L' B2 U R' B F'
B' R L U F' R' U2
R U D' F' R' B U2
B2 R U F' R' U2 F'
R U F' D' R' B U2
R' U' D F2 L' F B
R' U' D F2 L' B F
R' U' D F2 B L' F
R' U' D B F2 L' F
R' U' F2 D L' F B
R' U' F2 D L' B F
R' U' F2 D B L' F
U' R' U' D' B R F'
B R' U' R U2 R' B
U' R' U' B R D' F2
U' R' D' U' B R F'
U2 R' B U' R' B' U
R' D U' F2 L' F B
R' D U' F2 L' B F
R' D U' F2 B L' F
R' D U' B F2 L' F
B' U' L R' U' B R
R D' U F' R' B U2
B' U' R' L U' B R
U' D' F' R U' F' R'
D' U' F' R U' F' R'
F U' D' F' R U' F'
B U2 L R' U L' B
B U2 L R' U B L'
B U2 L' R' U L B
B U2 L2 R' U L2 B
B U2 L2 R' U B L2
B U2 R' L U L' B
B U2 R' L U B L'
B U2 R' L' U L B
B U2 R' L2 U L2 B
B U2 R' L2 U B L2
D' F' U' R F U' F2
F D' U' F' R U' F'
R' F2 D L' F B R2
R' F2 D L' B R2 F
R' F2 D L' B F R2
R' F2 D B L' R2 F
R' F2 D B L' F R2
R' F2 D B R2 L' F
D B R' U' F2 L' F
U2 B U' R' B' U B2
R' B' L R2 U' B2 L
R' B' L U R U2 B2
R' B' R2 L U' B2 L
R' B2 U R B U2 B2
R B2 R2 U' L F B
R B2 R2 U' L B F
R B2 U F' U2 L F
R B2 U' L F D2 B2
