L' B' U' R' U' L
B L U' L2 R' B' U2
B L U' R' L2 B' U2
B L D' B2 U F L
L' R B' U' R' U' L
B L' R' U L2 U F
B L' R' D F2 B' U2
B L' R' D B' F2 U2
B L' R' D' B' U2 B'
B L' R' B' U L2 U
B L' R' B' U2 D' B2
B L' R' B' D F2 U2
B L' R' B' D' U2 B2
B' L' U' R' U' L2 F
B L' D R' F2 B' U2
B L' D R' B' F2 U2
B L' D F2 R' B' U2
B L' D' R' B' U2 B'
B2 L' D' B' R' U2 B
B L' D' B' U2 B' L
R' L' B' U' R' U' L
L' R' B' U' R' U' L
R2 L' B' U' R' U' L
R L' B' U' R' U' L
D' L' B' U' R' B U'
B2 L' B' R' U L U
L' R2 B' U' R' U' L
L2 U' L F B' U2 L
L2 U' L B' F U2 L
L U' L2 B' U2 L B'
L U' D2 R2 F L' B'
L U' D2 F L' R2 B'
L U' D2 F L' B' R2
L U' D2 F R2 L' B'
B R' L' U L2 U F
B R' L' D F2 B' U2
B R' L' D B' F2 U2
B R' L' D' B' U2 B'
B R' L' B' U L2 U
B R' L' B' U2 D' B2
B R' L' B' D F2 U2
B R' L' B' D' U2 B2
L' D' B' U' R' B U'
L D2 U' R2 F L' B'
L D2 U' F L' R2 B'
L D2 U' F L' B' R2
L D2 U' F R2 L' B'
B2 D L' F B' R' U2
B2 D L' B' R' F U2
B2 D L' B' F R' U2
L' F B' U' R' U' L
B2 D' L' B' R' U2 B
L' F' B' U' R' U' L
L' F2 B' U' R' U' L
L' B R' B2 U' R' U'
B' F L F R D B2
L' B' R U' R2 U' L
L' B' R U2 L D B2
L' B' R U2 D L B2
L' B' R D U2 L B2
L' B' R D' F2 U2 L
L' B' R2 U' R U' L
F2 B' L R D F B2
F2 B' L R D B2 F
F2 B' L R F D B2
L' B' U' R' U' L D
L' B' U' R' U' L D'
L' B' U' R' U' L D2
L' B' U' R' U' D L
L' B' U' R' U' D' L
L' B' U' R' U' D2 L
L' B' U' R' D U' L
L' B' U' R' D' U' L
L' B' U' R' D2 U' L
F B' L F R D B2
L' B' U' D R' U' L
L' B' U' D' R' U' L
L' B' U' D2 R' U' L
L' B' U2 L U R' U'
F2 B' R L D F B2
F2 B' R L D B2 F
F2 B' R L F D B2
F2 B' R D L F B2
F2 B' R D L B2 F
L' B' D U' R' U' L
L' B' D' U' R' U' L
L' B' D2 U' R' U' L
L' B' F U' R' U' L
L' B' F' U' R' U' L
L' B' F2 U' R' U' L
B' F2 L R D F B2
B' F2 L R D B2 F
B' F2 L R F D B2
B' F2 R L D F B2
B' F2 R L D B2 F
B' F2 R L F D B2
B' F2 R D L F B2
B' F2 R D L B2 F
L' B2 D B U2 L B'
