R2 F' R B2 U' F'
R2 F' B2 R U' F'
R2 B2 F' R U' F'
R2 L F' R B2 U' F'
R2 L F' B2 R U' F'
R2 L B2 F' R U' F'
R2 L' F' R B2 U' F'
R2 L' F' B2 R U' F'
R2 L' B2 F' R U' F'
F L' B R' U F' L'
L' R2 F' R B2 U' F'
L2 R2 F' R B2 U' F'
R2 L2 F' R B2 U' F'
L R2 F' R B2 U' F'
L' R2 F' B2 R U' F'
L2 R2 F' B2 R U' F'
R2 L2 F' B2 R U' F'
L R2 F' B2 R U' F'
L' R2 B2 F' R U' F'
L2 R2 B2 F' R U' F'
R2 L2 B2 F' R U' F'
L R2 B2 F' R U' F'
R2 U F' R B2 U' F'
R2 U F' B2 R U' F'
R2 U B2 F' R U' F'
R2 U' F' R B2 U' F'
R2 U' F' B2 R U' F'
R2 U' B2 F' R U' F'
R2 U2 F' R B2 U' F'
R2 U2 F' B2 R U' F'
R2 U2 B2 F' R U' F'
R D L2 R' B R' F'
U R2 F' L' R B2 U'
U R2 F' L' B2 R U'
B R2 F' U2 R U' F'
U R2 F' R L' B2 U'
U R2 F' R B2 L' U'
U R2 F' B2 L' R U'
U R2 F' B2 R L' U'
R D R' L2 B R' F'
R D R' B L2 R' F'
R D R' B R' L2 F'
R D R' B R' F' L2
U R2 B2 F' L' R U'
U R2 B2 F' R L' U'
R D B R' B L2 F
R D B U2 L2 R' B
R D B U2 R' L2 B
R D B U2 R' B L2
B2 U2 D2 B' L U F
B D R' U F' L' B
B D R' U F' B L'
B D R' U B F' L'
R2 F' L R B2 U' F'
R2 F' L B2 R U' F'
R2 F' L' R B2 U' F'
R2 F' L' B2 R U' F'
R2 F' L2 R B2 U' F'
R2 F' L2 B2 R U' F'
R2 F' R L B2 U' F'
R2 F' R L' B2 U' F'
R2 F' R L2 B2 U' F'
R2 F' R U' D L2 F'
R2 F' R U' D F' L2
R2 F' R U' F' D L2
R2 F' R D U' L2 F'
R2 F' R D U' F' L2
R2 F' R B2 L U' F'
R2 F' R B2 L' U' F'
R2 F' R B2 L2 U' F'
R2 F' R B2 U' D F'
R2 F' R B2 U' D' F'
R2 F' R B2 U' D2 F'
R2 F' R B2 U' F' D
R2 F' R B2 U' F' D'
R2 F' R B2 U' F' D2
R2 F' R B2 D U' F'
R2 F' R B2 D' U' F'
R2 F' R B2 D2 U' F'
R2 F' B' R B' U' F'
R2 F' B2 L R U' F'
R2 F' B2 L' R U' F'
R2 F' B2 L2 R U' F'
R2 F' B2 R L U' F'
R2 F' B2 R L' U' F'
R2 F' B2 R L2 U' F'
R2 F' B2 R U' D F'
R2 F' B2 R U' D' F'
R2 F' B2 R U' D2 F'
R2 F' B2 R U' F' D
R2 F' B2 R U' F' D'
R2 F' B2 R U' F' D2
R2 F' B2 R D U' F'
R2 F' B2 R D' U' F'
R2 F' B2 R D2 U' F'
B2 D2 U2 B' L U F
D B R' U L2 F' B
D B R' U L2 B F'
D B R' U F' L2 B
D B R' U F' B L2
D B R' U B L2 F'
D B R' U B F' L2
B F L' R' U F' L'
F B L' R' U F' L'
F2 B R' U F' L' B'
B F R' L' U F' L'
F B R' L' U F' L'
R2 B' F' R B' U' F'
R2 B2 L F' R U' F'
R2 B2 L' F' R U' F'
R2 B2 L2 F' R U' F'
R' B2 R' F' R U' F'
B F2 R' U F' L' B'
R2 B2 F' L R U' F'
R2 B2 F' L' R U' F'
R2 B2 F' L2 R U' F'
R2 B2 F' R L U' F'
R2 B2 F' R L' U' F'
R2 B2 F' R L2 U' F'
R2 B2 F' R U' D F'
R2 B2 F' R U' D' F'
R2 B2 F' R U' D2 F'
R2 B2 F' R U' F' D
R2 B2 F' R U' F' D'
R2 B2 F' R U' F' D2
R2 B2 F' R D U' F'
R2 B2 F' R D' U' F'
R2 B2 F' R D2 U' F'
