F2 L2 U L R' F'
F2 L2 U R' L F'
F2 L2 U R' F' L
L2 U R' D2 L2 F'
L2 U R' D2 F' L2
L2 U R' F' D2 L2
L2 U F' R' F' L'
L2 U F2 L' R' F'
L2 U F2 R' L' F'
L2 F2 U L' R' F'
L2 F2 U R' L' F'
F2 L2 U L R' D F'
F2 L2 U L R' D' F'
F2 L2 U L R' D2 F'
F2 L2 U L R' F' D
F2 L2 U L R' F' D'
F2 L2 U L R' F' D2
F2 L2 U L D R' F'
F2 L2 U L D' R' F'
F2 L2 U L D2 R' F'
F2 L2 U L F R' F'
F2 L2 U L F' R' F'
F2 L2 U L F2 R' F'
F2 L2 U L' R' F' L2
F2 L2 U R' L D F'
F2 L2 U R' L D' F'
F2 L2 U R' L D2 F'
F2 L2 U R' L F' D
F2 L2 U R' L F' D'
F2 L2 U R' L F' D2
F2 L2 U R' L' F' L2
F2 L2 U R' D L F'
F2 L2 U R' D F' L
F2 L2 U R' D' L F'
F2 L2 U R' D' F' L
F2 L2 U R' D2 L F'
F2 L2 U R' D2 F' L
F2 L2 U R' F L F2
F2 L2 U R' F' L D
F2 L2 U R' F' L D'
F2 L2 U R' F' L D2
F2 L2 U R' F' D L
F2 L2 U R' F' D' L
F2 L2 U R' F' D2 L
F2 L2 U D L R' F'
F2 L2 U D R' L F'
F2 L2 U D R' F' L
F2 L2 U D' L R' F'
F2 L2 U D' R' L F'
F2 L2 U D' R' F' L
F2 L2 U D2 L R' F'
F2 L2 U D2 R' L F'
F2 L2 U D2 R' F' L
F2 L2 U F L R' F'
F2 L2 U F R' L F'
F2 L2 U F R' F' L
F L2 U R' F L' F2
U' L2 U F2 L' R' F
U' L2 U F2 L' F R'
U' L2 U F2 R' L' F
F2 L2 U F' L R' F'
F2 L2 U F' R' L F'
F2 L2 U F' R' F' L
F2 L2 U F2 L R' F'
F2 L2 U F2 R' L F'
F2 L2 U F2 R' F' L
F L2 U F L' R' F'
F L2 U F R' L' F'
F L2 U F2 R' F' L'
U2 L2 U' R U2 R2 F'
U2 L2 U' R B U2 R2
F2 L2 D U L R' F'
F2 L2 D U R' L F'
F2 L2 D U R' F' L
F2 L2 D' U L R' F'
F2 L2 D' U R' L F'
F2 L2 D' U R' F' L
L2 U L R' D2 L2 F'
L2 U L R' D2 F' L2
L2 U L R' F' D2 L2
L2 U L F' R' F' L'
L2 U L F2 L' R' F'
L2 U L F2 R' L' F'
F2 L2 D2 U L R' F'
F2 L2 D2 U R' L F'
F2 L2 D2 U R' F' L
L2 U L' R' D2 L2 F'
L2 U L' R' D2 F' L2
L2 U L' R' F' D2 L2
L2 U L' F' R' F' L'
L2 U L' F2 L' R' F'
L2 U L' F2 R' L' F'
F2 L2 F U L R' F'
F2 L2 F U R' L F'
F2 L2 F U R' F' L
L2 U L2 R' D2 L2 F'
L2 U L2 R' D2 F' L2
L2 U L2 R' F' D2 L2
F L2 F U L' R' F'
F L2 F U R' L' F'
R U L2 R' U F' R'
F' L2 F' U L' R' F'
F' L2 F' U R' L' F'
L2 U L2 F' R' F' L'
L2 U L2 F2 L' R' F'
L2 U L2 F2 R' L' F'
F2 L2 F' U L R' F'
F2 L2 F' U R' L F'
F2 L2 F' U R' F' L
U' L2 F2 U L' R' F
U' L2 F2 U L' F R'
U' L2 F2 U R' L' F
F2 L2 F2 U L R' F'
L2 U R B U2 R2 B'
L2 U R B U2 B' R2
F2 L2 F2 U R' L F'
F2 L2 F2 U R' F' L
L2 U R' L D2 L2 F'
L2 U R' L D2 F' L2
L2 U R' L F' D2 L2
L2 U R' L' D2 L2 F'
L2 U R' L' D2 F' L2
L2 U R' L' F' D2 L2
L2 U R' L2 D2 L2 F'
L2 U R' L2 D2 F' L2
L2 U R' L2 F' D2 L2
L2 U R' U2 R2 B U2
L2 U R' D F' D L2
R U R' L2 U F' R'
L2 U R' D2 L F' L
L2 U R' D2 L2 D F'
L2 U R' D2 L2 D' F'
L2 U R' D2 L2 D2 F'
L2 U R' D2 L2 F' D
L2 U R' D2 L2 F' D'
L2 U R' D2 L2 F' D2
L2 U R' D2 F L2 F2
L2 U R' D2 F' L2 D
L2 U R' D2 F' L2 D'
L2 U R' D2 F' L2 D2
L2 U R' F' L D2 L2
L2 U R' F' L' D2 L2
L2 U R' F' L2 D2 L2
L2 U R' F' U2 R2 U2
L2 U R' F' D2 L2 D
L2 U R' F' D2 L2 D'
L2 U R' F' D2 L2 D2
L2 U R' F2 D2 F L2
L2 U D R' D2 L2 F'
L2 U D R' D2 F' L2
L2 U D R' F' D2 L2
L2 U D F' R' F' L'
L2 U D F2 L' R' F'
L2 U D F2 R' L' F'
L2 U D' R' D2 L2 F'
L2 U D' R' D2 F' L2
L2 U D' R' F' D2 L2
L2 U D' F' R' F' L'
L2 U D' F2 L' R' F'
L2 U D' F2 R' L' F'
L2 U D2 R' D2 L2 F'
L2 U D2 R' D2 F' L2
L2 U D2 R' F' D2 L2
L2 U D2 F' R' F' L'
L2 U D2 F2 L' R' F'
L2 U D2 F2 R' L' F'
L2 U F R' F L' F2
L2 U F' L R' F' L'
L2 U F' L' R' F' L'
L2 U F' L2 R' F' L'
L2 U F' R' L F' L'
L2 U F' R' L' F' L'
L2 U F' R' L2 F' L'
L2 U F' R' D F' L'
L2 U F' R' D' F' L'
L2 U F' R' D2 F' L'
L2 U F' R' F' L' D
L2 U F' R' F' L' D'
L2 U F' R' F' L' D2
L2 U F' R' F' D L'
L2 U F' R' F' D' L'
L2 U F' R' F' D2 L'
L2 U F' D R' F' L'
L2 U F' D' R' F' L'
L2 U F' D2 R' F' L'
L2 U F2 L R' F' L2
U R U L2 U R2 F'
L2 U F2 L' R' D F'
L2 U F2 L' R' D' F'
L2 U F2 L' R' D2 F'
L2 U F2 L' R' F' D
L2 U F2 L' R' F' D'
L2 U F2 L' R' F' D2
L2 U F2 L' D R' F'
L2 U F2 L' D' R' F'
L2 U F2 L' D2 R' F'
L2 U F2 L' F R' F'
L2 U F2 L' F' R' F'
L2 U F2 L' F2 R' F'
L2 U F2 L2 R' F' L
L2 U F2 R' L F' L2
L2 U F2 R' L' D F'
L2 U F2 R' L' D' F'
L2 U F2 R' L' D2 F'
L2 U F2 R' L' F' D
L2 U F2 R' L' F' D'
L2 U F2 R' L' F' D2
L2 U F2 R' L2 F' L
L2 U F2 R' D L' F'
L2 U F2 R' D' L' F'
L2 U F2 R' D2 L' F'
L2 U F2 D L' R' F'
L2 U F2 D R' L' F'
L2 U F2 D' L' R' F'
L2 U F2 D' R' L' F'
L2 U F2 D2 L' R' F'
L2 U F2 D2 R' L' F'
U R U2 R2 D' F' B2
U R U2 R2 D' B2 F'
U R U2 R2 F' D' B2
B2 R D L F2 B' U2
B2 R D L B' F2 U2
B2 R D F2 L B' U2
L2 U' L R U2 R2 F
L2 U' L R U2 F R2
L2 U' L' R B' U2 R2
L2 U' R L U2 R2 F
L2 U' R L U2 F R2
L2 U' R L' B' U2 R2
L2 U' R U2 R' F' R'
U R B U L2 U R2
U R B U2 R2 D' B2
R2 U' D' B2 L R F
R2 U' D' B2 R L F
L2 U' B2 L R U2 F
L2 U' B2 R L U2 F
F2 R' D' B2 D L' F
U R' D' B2 D' L2 F'
U R' D' B2 D' F' L2
U R' D2 L2 D F' B2
U R' D2 L2 D B2 F'
U R' D2 L2 F' D B2
U R' D2 F' L2 D B2
U R' F' D' B2 D' L2
U R' F' D2 L2 D B2
D2 R2 U R' U2 F' R2
D' R2 U' B2 L R F
D' R2 U' B2 R L F
U' R2 D' B2 L R F
U' R2 D' B2 R L F
D' R2 B2 L D' R F'
L2 D U R' D2 L2 F'
L2 D U R' D2 F' L2
L2 D U R' F' D2 L2
L2 D U F' R' F' L'
D' R2 B2 D' L R F'
D' R2 B2 D' R L F'
D' R2 B2 D' R F' L
L2 D U F2 L' R' F'
L2 D U F2 R' L' F'
D' U R U2 R2 F' B2
D' U R U2 R2 B2 F'
D' U R B U2 B R2
L2 D F2 U L' R' F'
L2 D F2 U R' L' F'
D' U R' F' B2 D2 L2
D U R F2 U2 R2 F'
D U R F2 B U2 R2
D U R B F2 U2 R2
F2 U R' D' L' F' B2
F2 U R' D' L' B2 F'
F2 U R' D' B2 L' F'
D' U R' B2 D2 L2 F'
D' U R' B2 D2 F' L2
D' U R' B2 F' D2 L2
U D R F2 U2 R2 F'
U D R F2 B U2 R2
U D R B F2 U2 R2
D U R' D2 L2 F' B2
D U R' D2 L2 B2 F'
D U R' D2 F' L2 B2
D U R' D2 F' B2 L2
D U R' D2 B2 L2 F'
D U R' D2 B2 F' L2
U D R' D2 L2 F' B2
U D R' D2 L2 B2 F'
D' U R2 B2 L R F'
D' U R2 B2 R L F'
D' U R2 B2 R F' L
U D R' D2 F' L2 B2
U D R' D2 F' B2 L2
U D R' D2 B2 L2 F'
U D R' D2 B2 F' L2
D' U F' R' F' L' B2
D' U F' R' F' B2 L'
D' U F' R' B2 F' L'
F2 U D' L' R' F' B2
F2 U D' L' R' B2 F'
F2 U D' R' L' F' B2
F2 U D' R' L' B2 F'
F2 U D' R' B2 L' F'
D' U F2 L' R' F' B2
D' U F2 L' R' B2 F'
D' U F2 R' L' F' B2
D' U F2 R' L' B2 F'
D' U F2 R' B2 L' F'
U' D F2 U2 L' R' F'
U' D F2 U2 R' L' F'
L2 D' U R' D2 L2 F'
L2 D' U R' D2 F' L2
L2 D' U R' F' D2 L2
L2 D' U F' R' F' L'
L2 D' U F2 L' R' F'
L2 D' U F2 R' L' F'
R2 D' U' B2 L R F
R2 D' U' B2 R L F
U D' R U2 R2 F' B2
U D' R U2 R2 B2 F'
U D' R B U2 B R2
U' D' R2 B2 L R F
D' U' R2 B2 L R F
D' U' R2 B2 R L F
U' D' R2 B2 R L F
U D' R' F' B2 D2 L2
U D' R' B2 D2 L2 F'
U D' R' B2 D2 F' L2
U D' R' B2 F' D2 L2
L2 D' F2 U L' R' F'
L2 D' F2 U R' L' F'
U D' R2 B2 L R F'
U D' R2 B2 R L F'
U D' R2 B2 R F' L
U D' F' R' F' L' B2
U D' F' R' F' B2 L'
U D' F' R' B2 F' L'
R2 D' B2 L D' R F'
U D' F2 L' R' F' B2
U D' F2 L' R' B2 F'
D U' F2 U2 L' R' F'
D U' F2 U2 R' L' F'
U D' F2 R' L' F' B2
U D' F2 R' L' B2 F'
U D' F2 R' B2 L' F'
R2 D' B2 D' L R F'
R2 D' B2 D' R L F'
R2 D' B2 D' R F' L
L2 D2 U R' D2 L2 F'
L2 D2 U R' D2 F' L2
L2 D2 U R' F' D2 L2
L2 D2 U F' R' F' L'
L2 D2 U F2 L' R' F'
L2 D2 U F2 R' L' F'
F2 U2 L2 U L R' F
F2 U2 L2 U L F R'
F2 U2 L2 U R' L F
L2 D2 F2 U L' R' F'
L2 D2 F2 U R' L' F'
L2 F U R' F L' F2
L2 F U F L' R' F'
L2 F U F R' L' F'
L2 F U F2 R' F' L'
B2 D L R F2 B' U2
B2 D L R B' F2 U2
B2 D L F2 B' U2 L'
B2 D L B' R F2 U2
B2 D L B' F2 U2 L'
B2 D R L F2 B' U2
B2 D R L B' F2 U2
B2 D R F2 L B' U2
B2 D F2 L U2 L2 F
B2 D F2 L B' U2 L2
U F' R' D' F' L' B2
U F' R' D' F' B2 L'
U F' R' D' B2 F' L'
U F' R' F' D' L' B2
U F' R' F' D' B2 L'
B2 D' L R U2 F' B2
B2 D' L R U2 B2 F'
B2 D' R L U2 F' B2
B2 D' R L U2 B2 F'
B2 D' R U2 F' B2 R'
B2 D' R U2 B2 F' R'
U F' D' R' F' L' B2
U F' D' R' F' B2 L'
U F' D' R' B2 F' L'
F2 D' R' B2 D L' F
B2 D' R2 B2 L R' F'
B2 D' R2 B2 R' L F'
B2 D' R2 B2 R' F' L
F2 D' U L' R' F' B2
F2 D' U L' R' B2 F'
F2 D' U R' L' F' B2
F2 D' U R' L' B2 F'
F2 D' U R' B2 L' F'
L F2 L U L2 R' F'
L F2 L U R' L2 F'
L F2 L U R' F' L2
D' F2 R' B2 D L' F
U2 F2 R' D' L' F B2
U2 F2 R' D' L' B2 F
U2 F2 R' D' B2 L' F
D' F2 U L' R' F' B2
D' F2 U L' R' B2 F'
D' F2 U R' L' F' B2
D' F2 U R' L' B2 F'
D' F2 U R' B2 L' F'
U F2 R' D' L' F' B2
U F2 R' D' L' B2 F'
U F2 R' D' B2 L' F'
L2 F2 U L R' F' L2
L2 F2 U L' R' D F'
L2 F2 U L' R' D' F'
L2 F2 U L' R' D2 F'
L2 F2 U L' R' F' D
L2 F2 U L' R' F' D'
L2 F2 U L' R' F' D2
L2 F2 U L' D R' F'
L2 F2 U L' D' R' F'
L2 F2 U L' D2 R' F'
L2 F2 U L' F R' F'
L2 F2 U L' F' R' F'
L2 F2 U L' F2 R' F'
L2 F2 U L2 R' F' L
