B' R D F U B2
B' R D2 F L2 U
B' R F U D B2
B' R F U2 R2 U'
B' R F D U B2
B' R F D2 L2 U
B R F L B2 U
U R F B' U B2
U R B' F U B2
R F B L B2 U
R F B' U2 R' U'
R B F L B2 U
U B' R F U B
R B' F U2 R' U'
L2 R U2 F R B' U'
L2 R U2 F B' R U'
L2 R U2 B' F R U'
L' R B L F B' U
L' R B L B' F U
B L B2 D2 R F' U
R L' B L F B' U
R L' B L B' F U
R L2 U2 F R B' U'
R L2 U2 F B' R U'
R L2 U2 B' F R U'
B' L2 R U2 R2 B' U'
B' L2 R U2 B' R2 U'
B' L2 R D2 L2 F U
F L2 U2 F L' R U'
F L2 U2 F R L' U'
B' R L2 U2 R2 B' U'
B' R L2 U2 B' R2 U'
B' R L2 D2 L2 F U
B' R U2 R2 U2 F U
B' R D F L U B2
B' R D F L' U B2
B' R D F L2 U B2
B' R D F U B2 D
B' R D F U B2 D'
B' R D F U B2 D2
B' R D F D L2 U
U R D F B' U B2
B' R D' F L2 U B'
B' R D' F U' F U2
U R D B' F U B2
B R D' F L U R2
B' R D2 L2 U2 B' U'
U R D' F B' U B2
B' R D2 F L2 U D
B' R D2 F L2 U D'
B' R D2 F L2 U D2
B' R D2 F L2 D U
B' R D2 F L2 D' U
B' R D2 F L2 D2 U
B' R D2 F U D' B2
B' R D2 F D' U B2
B' R D2 F' L2 F2 U
B' R D2 F2 L2 F' U
U R D' B' F U B2
B' R F L U D B2
B' R F L U2 R2 U'
B' R F L D U B2
B' R F L D2 L2 U
B' R F L' U D B2
B' R F L' U2 R2 U'
B' R F L' D U B2
B' R F L' D2 L2 U
B' R F L2 U D B2
B' R F L2 U2 R2 U'
B' R F L2 D U B2
B' R F L2 D2 L2 U
B' R F U D B2 D
B' R F U D B2 D'
B' R F U D B2 D2
U R D2 F B' U B2
B' R F U B D B2
B' R F U B' D B2
B' R F U B2 D B2
B' R F U' D' F2 U2
B R F L U D' R2
B R F L D' U R2
B' R F U2 R2 U' D
B' R F U2 R2 U' D'
B' R F U2 R2 U' D2
B' R F U2 R2 D U'
B' R F U2 R2 D' U'
B' R F U2 R2 D2 U'
B R F L B2 U D
B R F L B2 U D'
B R F L B2 U D2
B R F L B2 D U
B R F L B2 D' U
B R F L B2 D2 U
B' R F D L U B2
B' R F D L' U B2
B' R F D L2 U B2
B' R F D U B2 D
B' R F D U B2 D'
B' R F D U B2 D2
B R F L' B2 L2 U
B' R F D' U' F2 U2
B R F L2 B2 L' U
U R D2 B' F U B2
D2 R F B L B2 U
B' R F D2 L2 U D
B' R F D2 L2 U D'
B' R F D2 L2 U D2
B' R F D2 L2 D U
B' R F D2 L2 D' U
B' R F D2 L2 D2 U
D' R F B L B2 U
D2 R F B' U2 R' U'
D' R F B' U2 R' U'
U' R F B' L' U B'
B R F D' L U R2
U2 R F B' U2 R U'
D R F B L B2 U
U R F U B D' R2
D R F B' U2 R' U'
B R F B2 U2 R' U'
U R F D B' U B2
B R F' L F2 B2 U
B R F' L B2 F2 U
U R F D' B' U B2
U R F D2 B' U B2
U R F B' L U B2
U R F B' L' U B2
U R F B' L2 U B2
U R F B' U B2 D
U R F B' U B2 D'
U R F B' U B2 D2
U R F B' D L2 U
U2 R F' B' L' F2 U
B R F2 L F' B2 U
B' R F2 U2 R2 B U'
B R F2 L B2 F' U
B' R F2 D F' U B2
B' R F2 D2 L2 F' U
B' R F2 D2 F' L2 U
D2 R B F L B2 U
D' R B F L B2 U
D R B F L B2 U
D2 R B' F U2 R' U'
D' R B' F U2 R' U'
U' R B' F L' U B'
U2 R B' F U2 R U'
U2 R B' F' L' F2 U
D R B' F U2 R' U'
U R B' D F L2 U
U R B' F L U B2
U R B' F L' U B2
U R B' F L2 U B2
U R B' F U B2 D
U R B' F U B2 D'
U R B' F U B2 D2
U R B' F D L2 U
B R B2 F U2 R' U'
B' R' U2 F R2 B U
B' R' F R2 U D B2
B' R' F R2 U2 R2 U'
B' R' F R2 D U B2
B' R' F R2 D2 L2 U
B R' F L R2 B2 U
B R' F L B2 R2 U
B R' F R2 L B2 U
U R' B' R2 F U B
B' R2 F D R' U B
B R2 F L R' B2 U
B R2 F R' L B2 U
U R2 F R' B' U B2
B' R2 F2 L' F' R' U
R D F B L B2 U
R D F B' U2 R' U'
D' U R F B' U B2
D2 U R F B' U B2
D' U R B' F U B2
D2 U R B' F U B2
B U R F L B2 U
D U R F B' U B2
D U R B' F U B2
U D R F B' U B2
U D R B' F U B2
R D B F L B2 U
R D B' F U2 R' U'
D' U B' R F U B
D2 U B' R F U B
D U B' R F U B
U D B' R F U B
U D' R F B' U B2
U D' R B' F U B2
R D' F B L B2 U
R D' F B' U2 R' U'
B U' R F L B2 U
R D' B F L B2 U
R D' B' F U2 R' U'
U D' B' R F U B
R' D2 L2 F B' R' U'
R' D2 L2 B' R' F U'
R' D2 L2 B' F R' U'
U D2 R F B' U B2
U D2 R B' F U B2
R D2 F B L B2 U
R D2 F B' U2 R' U'
F U2 L2 F L' R U'
F U2 L2 F R L' U'
B' U2 R' U2 R2 F U
B' U2 R' U2 F R2 U
B' U2 R' D2 L2 B' U'
B U2 R F L B2 U
R D2 B F L B2 U
U D2 B' R F U B
R D2 B' F U2 R' U'
R F L' B L B' U
R F L2 U2 F R U'
R' F R2 B L B2 U
R' F R2 B' U2 R' U'
R2 F R' B L B2 U
R2 F R' B' U2 R' U'
R F U R B D' R2
B' D R D F U B2
B' D R D2 F L2 U
B' D R F U D B2
B' D R F U2 R2 U'
B' D R F D U B2
B' D R F D2 L2 U
R F D B L B2 U
R' F B L R2 B2 U
R F D B' U2 R' U'
R' F B L B2 R2 U
R' F B R2 L B2 U
L2 F D2 B' L R' U'
L2 F D2 B' R' L U'
R F D' B L B2 U
R F D' B' U2 R' U'
R' F B' R2 U2 R U'
R F D2 B L B2 U
R F D2 B' U2 R' U'
R F B L U D' R2
R F B L D' U R2
R F B L B2 U D
R F B L B2 U D'
R F B L B2 U D2
R F B L B2 D U
R F B L B2 D' U
R F B L B2 D2 U
R F B L' B2 L2 U
R F B L2 B2 L' U
R F B D' L U R2
R F B' L U2 R' U'
R F B' L' U2 R' U'
R F B' L2 U2 R' U'
R F B' U2 R' U' D
R F B' U2 R' U' D'
R F B' U2 R' U' D2
R F B' U2 R' D U'
R F B' U2 R' D' U'
R F B' U2 R' D2 U'
R F B' U2 D R' U'
R F B' U2 D' R' U'
R F B' U2 D2 R' U'
R F B' D U2 R' U'
R F B' D' U2 R' U'
R F B' D2 U2 R' U'
B' D' R D F U B2
B' D' R D2 F L2 U
B' D' R F U D B2
B' D' R F U2 R2 U'
B' D' R F D U B2
B' D' R F D2 L2 U
R' F' B' R2 F2 L' U
R F' B L F2 B2 U
R F' B L B2 F2 U
L' F2 L' F B' R' U'
L' F2 L' B' R' F U'
L' F2 L' B' F R' U'
B' D2 R D F U B2
B' D2 R D2 F L2 U
B' D2 R F U D B2
B' D2 R F U2 R2 U'
B' D2 R F D U B2
B' D2 R F D2 L2 U
L2 F2 B' L' F' R' U'
R F2 B L F' B2 U
R F2 B L B2 F' U
L' B L R F B' U
L' B L R B' F U
L' B L B' R F U
L' B R L F B' U
L' B R L B' F U
D2 B R F L B2 U
D' B R F L B2 U
D B R F L B2 U
B2 D2 B R F L' U
R' B R2 F L B2 U
U B R F B2 U B'
U B R B2 F U B'
F D2 B L R' B2 U
F D2 B R' L B2 U
F D2 B' U2 L R' U'
F D2 B' U2 R' L U'
R' B F L R2 B2 U
R' B F L B2 R2 U
R' B F R2 L B2 U
R B D' F L U R2
R B F L U D' R2
R B F L D' U R2
R B F L B2 U D
R B F L B2 U D'
R B F L B2 U D2
R B F L B2 D U
R B F L B2 D' U
R B F L B2 D2 U
R B F L' B2 L2 U
R B F L2 B2 L' U
R B F D' L U R2
R B F' L F2 B2 U
R B F' L B2 F2 U
R B F2 L F' B2 U
R B F2 L B2 F' U
U B' L' R U B L
U' B' R F L' U B'
D2 B' R D F U B2
D' B' R D F U B2
D2 B' R D2 F L2 U
