U L' F' R' U
U L F' L2 R' U
U L F' R' L2 U
U L' D F' R' U
U L' D' F' R' U
U L' D2 F' R' U
U L' F R' F2 U
U2 L' F' R' U R
U L' F' R' U D
U L' F' R' U D'
U L' F' R' U D2
U L' F' R' D U
U L' F' R' D' U
U L' F' R' D2 U
U L' F' D R' U
U L' F' D' R' U
U L' F' D2 R' U
U L' F2 R' F U
U L2 F' L R' U
U L2 F' R' L U
U R' D2 L' F U
D2 U L' F' R' U
D' U L' F' R' U
U D L' F' R' U
D U L' F' R' U
U D' L' F' R' U
U D2 L' F' R' U
L' F' R' U' L U2
L' F' R' B2 U R'
U F' D R' U B
U2 L U' L2 F' R' U
U2 L U' F' L2 R' U
U2 L U' F' R' L2 U
U' L U2 L2 F' R' U
U' L U2 F' L2 R' U
U' L U2 F' R' L2 U
U L D' F' R' U B2
U L F L2 R' F2 U
U L F L2 F2 R' U
U L F R' L2 F2 U
U L F R' F2 L2 U
U2 L F' L2 R' U R
U' L F' L2 R' B' U
U2 L F' R' L2 U R
U' L F' R' L2 B' U
U L F' L2 R' U D
U L F' L2 R' U D'
U L F' L2 R' U D2
U L F' L2 R' D U
U L F' L2 R' D' U
U L F' L2 R' D2 U
U L F' L2 D R' U
U L F' L2 D' R' U
U L F' L2 D2 R' U
U L F' R' L2 U D
U L F' R' L2 U D'
U L F' R' L2 U D2
U L F' R' L2 D U
U L F' R' L2 D' U
U L F' R' L2 D2 U
U L F' R' U D' B2
U L F' R' D' U B2
U L F' D' R' U B2
U L F2 R' F L2 U
U L' R' D' F U L'
U2 L' D F' R' U R
U L' D F R' F2 U
U L' D F' R' U D
U L' D F' R' U D'
U L' D F' R' U D2
U L' D F' R' D U
U L' D F' R' D' U
U L' D F' R' D2 U
U L' D F' D R' U
U L' D F' D' R' U
U L' D F' D2 R' U
U L' D F2 R' F U
U2 L' D' F' R' U R
U L' D' F R' F2 U
U L' D' F' R' U D
U L' D' F' R' U D'
U L' D' F' R' U D2
U L' D' F' R' D U
U L' D' F' R' D' U
U L' D' F' R' D2 U
U L' D' F' D R' U
U L' D' F' D' R' U
U L' D' F' D2 R' U
U L' D' F2 R' F U
U2 L' D2 F' R' U R
U L' D2 F R' F2 U
U L' D2 F' R' U D
U L' D2 F' R' U D'
U L' D2 F' R' U D2
U L' D2 F' R' D U
U L' D2 F' R' D' U
U L' D2 F' R' D2 U
U L' D2 F' D R' U
U L' D2 F' D' R' U
U L' D2 F' D2 R' U
U L' D2 F2 R' F U
U L' F R F2 R2 U
U L' F R' U D' L2
U L' F R' D' U L2
U L' F R' F2 U D
U L' F R' F2 U D'
U L' F R' F2 U D2
U L' F R' F2 D U
U L' F R' F2 D' U
U L' F R' F2 D2 U
U L' F D' R' U L2
D2 L' F' R' U' L U2
D' L' F' R' U' L U2
D2 L' F' R' B2 U R'
D' L' F' R' B2 U R'
U' L' F' R' U2 F U'
U2 L' F' R' U R D
U2 L' F' R' U R D'
U2 L' F' R' U R D2
U2 L' F' R' U D R
U2 L' F' R' U D' R
U2 L' F' R' U D2 R
U2 L' F' R' D U R
U2 L' F' R' D' U R
U2 L' F' R' D2 U R
U2 L' F' R' B U R
U2 L' F' R' B' U R
U2 L' F' R' B2 U R
D L' F' R' U' L U2
D L' F' R' B2 U R'
U L' F' R U D' F2
U L' F' R D' U F2
B L' F' U' L U2 F
U2 L' F' D R' U R
U L' F' R2 D R U
U L' F' R2 D' R U
U2 L' F' D' R' U R
U L' F' R2 D2 R U
U2 L' F' D2 R' U R
B' L' F' B2 U R' F'
U L' F' D R' U D
U L' F' D R' U D'
U L' F' D R' U D2
U L' F' D R' D U
U L' F' D R' D' U
U L' F' D R' D2 U
U L' F' D' R' U D
U L' F' D' R' U D'
U L' F' D' R' U D2
U L' F' D' R' D U
U L' F' D' R' D' U
U L' F' D' R' D2 U
U L' F' D2 R' U D
U L' F' D2 R' U D'
U L' F' D2 R' U D2
U L' F' D2 R' D U
U L' F' D2 R' D' U
U L' F' D2 R' D2 U
U L' F2 R F R2 U
U L' F2 R' D F U
U L' F2 R' D' F U
U L' F2 R' D2 F U
U L' F2 R' F U D
U L' F2 R' F U D'
U L' F2 R' F U D2
U L' F2 R' F D U
U L' F2 R' F D' U
U L' F2 R' F D2 U
U L' F2 D R' F U
U L' F2 D F R' U
U L' F2 D' R' F U
U L' F2 D' F R' U
U L' F2 D2 R' F U
U L' F2 D2 F R' U
B' L' B2 F' U R' F'
U2 L2 U' L F' R' U
U2 L2 U' F' L R' U
U2 L2 U' F' R' L U
U' L2 U2 L F' R' U
U' L2 U2 F' L R' U
U' L2 U2 F' R' L U
U L2 D L F' R' U
U L2 D F' L R' U
U L2 D F' R' L U
U L2 D' L F' R' U
U L2 D' F' L R' U
U L2 D' F' R' L U
R' U L' R F' U F
U L2 D2 L F' R' U
R2 U L' R2 F' R' U
R U L' R2 F' U L'
U L2 D2 F' L R' U
U L2 D2 F' R' L U
U L2 F L R' F2 U
U L2 F L F2 R' U
R U L' F' R2 U L'
U L2 F R' L F2 U
U L2 F R' F2 L U
U2 L2 F' L R' U R
R' U R L' F' U F
U2 L2 F' R' L U R
U L2 F' L R' U D
U L2 F' L R' U D'
U L2 F' L R' U D2
U L2 F' L R' D U
U L2 F' L R' D' U
U L2 F' L R' D2 U
U L2 F' L D R' U
U L2 F' L D' R' U
U L2 F' L D2 R' U
U L2 F' R' L U D
U L2 F' R' L U D'
U L2 F' R' L U D2
U L2 F' R' L D U
U L2 F' R' L D' U
U L2 F' R' L D2 U
U L2 F' R' D L U
U L2 F' R' D' L U
U L2 F' R' D2 L U
U L2 F' D L R' U
U L2 F' D R' L U
U L2 F' D' L R' U
