R F L B' U2
F L U2 L2 F L'
F L D2 B' U2 L
F2 L F' U2 L2 F
F2 L F' B' U2 L2
F2 L B' F' U2 L2
F2 L' D2 R2 F B
F2 L' D2 R2 B F
F2 L' F D2 R2 B2
F2 L' F D2 B2 R2
U' R F L B' U2
D2 R F L U2 F2
U2 R F L B' U2
U R F L B' U2
L D2 R F' B' U2
L D2 R B' F' U2
R' F L R2 B' U2
L D2 B' R F' U2
R' F L B' R2 U2
R2 F L R' B' U2
R F L D B' U2
R F L D' B' U2
R F L D2 B' U2
R F L B' U2 D
R F L B' U2 D'
R F L B' U2 D2
R F L B' D U2
R F L B' D' U2
R F L B' D2 U2
R' F R2 L B' U2
R2 F R' L B' U2
R F' L F2 B' U2
R F' L B' F2 U2
R F2 L F' B' U2
R F2 L B' F' U2
L B' D2 R F' U2
F L R U2 L2 F L'
F L R D2 B' U2 L
B L R B' L U2 B'
F L R' U2 L2 F L'
F L R' D2 B' U2 L
F2 L R2 U2 L2 F B
F2 L R2 U2 L2 B F
F L R2 U2 L2 F L'
F L R2 D2 B' U2 L
F2 L R2 B' U2 L2 B2
F2 L R2 B' U2 B2 L2
F L U' L2 U' F L'
F2 L U2 L2 F D2 B2
F L U2 L' F L' F
F L U2 L2 F L' D
F L U2 L2 F L' D'
F L U2 L2 F L' D2
F L U2 L2 F D L'
F L U2 L2 F D' L'
F L U2 L2 F D2 L'
L R D' B' U L U
R L D' B' U L U
F L U2 F L2 F L
F2 L U2 F2 L2 F B'
F2 L U2 F2 L2 B' F
R2 L D2 R' B' U2 B2
L2 R F U2 B' R' F'
U' L D2 R F' B' U2
U2 L D2 R F' B' U2
U' L D2 R B' F' U2
U2 L D2 R B' F' U2
F L D2 R B' U2 L
F2 L D2 R2 B' U2 B2
F L D2 R' B' U2 L
U L D2 R F' B' U2
U L D2 R B' F' U2
F L D2 R2 B' U2 L
F2 L D2 F' R2 B' U2
F2 L D2 F' B' R2 U2
U2 L D2 B' R F' U2
U' L D2 B' R F' U2
F2 L D2 B' R2 U2 B
F L D2 B R' B2 U2
F2 L D2 B' F' R2 U2
F L D2 B' R U2 L
F L D2 B' R' U2 L
F L D2 B' R2 U2 L
F L D2 B' U2 L D
F L D2 B' U2 L D'
F L D2 B' U2 L D2
F L D2 B' U2 D L
F L D2 B' U2 D' L
F L D2 B' U2 D2 L
F L D2 B' D U2 L
F L D2 B' D' U2 L
F L D2 B' D2 U2 L
U L D2 B' R F' U2
F' L F R F B' U2
F' L F R B' F U2
L2 R B L' B' U2 B'
F' L F B' R F U2
F2 L F' R U2 L2 F
F2 L F' R B' U2 L2
F2 L F' R' U2 L2 F
F2 L F' R' B' U2 L2
F L F' R F B' U2
F2 L F' R2 U2 L2 F
F L F' R B' F U2
F2 L F' R2 B' U2 L2
F2 L F' U2 L2 D F
F2 L F' U2 L2 D' F
F2 L F' U2 L2 D2 F
F2 L F' U2 L2 F D
F2 L F' U2 L2 F D'
F2 L F' U2 L2 F D2
F2 L F' U2 F L2 F
F2 L F' U2 F' L2 F
L R B' L' F L U2
F2 L F' U2 F2 L2 F
L2 R B' L' B' U2 B
R L B' L' F L U2
F2 L F' D2 R2 B' U2
F2 L F' D2 B' R2 U2
F2 L F' B' R U2 L2
L R B' U L U B'
F2 L F' B' R' U2 L2
F2 L F' B' R2 U2 L2
F2 L F' B' U2 L2 D
F2 L F' B' U2 L2 D'
F2 L F' B' U2 L2 D2
F2 L F' B' D2 R2 U2
R L B' U L U B'
F L F' B' R F U2
L R B' U2 L B' L'
R2 L B' U2 L B' L
R2 L B' U2 B' L B'
R L B' U2 L B' L'
F' L F2 U2 L2 F L'
F2 L F2 U2 L2 F B'
F2 L F2 U2 L2 B' F
L2 R B2 L' B' U2 B2
F' L F2 D2 B' U2 L
F2 L F2 B' U2 L2 B'
B L B' L R U2 B'
F2 L B' R2 U2 L2 B
B L B' R L U2 B'
F2 L B' R2 U2 B L2
F L B' U F U L'
F L B' U2 F L' F'
F' L B' F R F U2
F2 L B' D2 R2 U2 B
U' L B' D2 R F' U2
F2 L B' D2 F' R2 U2
U2 L B' D2 R F' U2
F2 L B' F' R U2 L2
F2 L B' F' R' U2 L2
F2 L B' F' R2 U2 L2
F2 L B' F' U2 L2 D
F2 L B' F' U2 L2 D'
F2 L B' F' U2 L2 D2
F2 L B' F' D2 R2 U2
F2 L B' F2 U2 L2 B'
F L B' F' R F U2
U L B' D2 R F' U2
F L B2 D2 B R' U2
B' L' R U2 F R B
F2 L' R2 D2 F B R2
F2 L' R2 D2 B R2 F
F2 L' R2 D2 B F R2
F2 L' R2 F D2 B R2
F2 L' R2 F B D2 R2
F2 L' R2 B D2 R2 F
F2 L' R2 B D2 F R2
F2 L' R2 B F D2 R2
F2 L' U2 L2 F' B' U2
F2 L' U2 L2 B' F' U2
F2 L' U2 F' L2 U2 F2
F L' U2 F D2 L' R2
F L' U2 F D2 R2 L'
F2 L' D2 R' F R' B
F2 L' D2 R2 D F B
F2 L' D2 R2 D B F
F2 L' D2 R2 D' F B
F2 L' D2 R2 D' B F
F2 L' D2 R2 D2 F B
F2 L' D2 R2 D2 B F
F2 L' D2 R2 F D B
F2 L' D2 R2 F D' B
F2 L' D2 R2 F D2 B
F2 L' D2 R2 F B D
F2 L' D2 R2 F B D'
F2 L' D2 R2 F B D2
F2 L' D2 R2 B D F
F2 L' D2 R2 B D' F
F2 L' D2 R2 B D2 F
F2 L' D2 R2 B F D
F2 L' D2 R2 B F D'
F2 L' D2 R2 B F D2
F' L' D2 F R2 B2 L
F2 L' D2 F R2 D2 B2
F2 L' D2 B R2 F B
F2 L' D2 B R2 B F
F2 L' D2 B' R2 F B
F2 L' D2 B' R2 B F
F2 L' D2 B2 R2 F B
F2 L' D2 B2 R2 B F
F2 L' F R D2 R2 B2
F2 L' F R D2 B2 R2
F2 L' F R' D2 R2 B2
F2 L' F R' D2 B2 R2
F2 L' F R2 D2 R2 B2
F2 L' F R2 D2 B2 R2
F2 L' F U2 L2 F2 U2
F2 L' F U2 F2 L2 U2
F2 L' F D2 R B2 R
F2 L' F D2 R2 B2 D
F2 L' F D2 R2 B2 D'
F2 L' F D2 R2 B2 D2
F2 L' F D2 B' R2 B'
F2 L' F D2 B2 R2 D
F2 L' F D2 B2 R2 D'
F2 L' F D2 B2 R2 D2
F2 L' F B D2 R2 B2
F2 L' F B D2 B2 R2
F2 L' F B' D2 R2 B2
F2 L' F B' D2 B2 R2
F2 L' F B2 D2 R2 B2
F2 L' F B2 D2 B2 R2
F L' F D2 L' R2 B
F L' F D2 R2 L' B
F L' F D2 R2 B L'
F2 L' F' L2 U2 L2 F2
F2 L' F' L2 U2 F2 L2
B' L' F2 L' F' B' R'
B' L' F2 L' B' F' R'
B2 L' F2 L' F' R' B'
F2 L' B D2 R2 F B
F2 L' B D2 R2 B F
F2 L' B F D2 R2 B2
F2 L' B F D2 B2 R2
F2 L' B' D2 R2 F B
F2 L' B' D2 R2 B F
F2 L' B' F D2 R2 B2
F2 L' B' F D2 B2 R2
F2 L' B2 D2 R2 F B
F2 L' B2 D2 R2 B F
F2 L' B2 F D2 R2 B2
F2 L' B2 F D2 B2 R2
L R2 D2 R' B' U2 B2
R L2 F U2 B' R' F'
R L2 B L' B' U2 B'
R L2 B' L' B' U2 B
L R2 B' U2 L B' L
L R2 B' U2 B' L B'
R L2 B2 L' B' U2 B2
F L2 D2 L' B' U2 L
D2 L2 F2 R B' L' F'
D2 L2 F2 B' L' R F'
D2 L2 F2 B' R L' F'
R2 U R' F L B' U2
R' U R2 F L B' U2
D2 L2 B' F2 L' R F'
D2 L2 B' F2 R L' F'
F R L U2 L2 F L'
R' U F L R2 B' U2
R' U F L B' R2 U2
F R L D2 B' U2 L
B' R L' U2 F R B
B R L B' L U2 B'
R' U F R2 L B' U2
R2 U F L R' B' U2
R2 U F R' L B' U2
D2 R U2 F' D2 B2 R'
D2 R D F L U2 F2
D' R D F L B' U2
D2 R D' F L U2 F2
D R D' F L B' U2
D2 R D2 F L U2 F2
D2 R F L U2 F2 D
D2 R F L U2 F2 D'
D2 R F L U2 F2 D2
D2 R F L D2 B2 U2
D2 R F L B U2 F2
D2 R F L B' U2 F2
D2 R F L B2 U2 F2
B' R F L B' U2 R'
U' R F L D B' U2
U' R F L D' B' U2
U' R F L D2 B' U2
D2 R F L2 U2 F2 R
B' R F L' U2 F R
U' R F L B' U2 D
U' R F L B' U2 D'
U' R F L B' U2 D2
U' R F L B' D U2
U' R F L B' D' U2
U' R F L B' D2 U2
B2 R F L B' U2 R2
B2 R F L' U2 R2 F
B2 R F L' U2 F R2
U2 R F L D B' U2
U2 R F L D' B' U2
U2 R F L D2 B' U2
U2 R F L B' U2 D
U2 R F L B' U2 D'
U2 R F L B' U2 D2
U2 R F L B' D U2
U2 R F L B' D' U2
U2 R F L B' D2 U2
D R F L U' L2 U'
D R F L U2 D F2
D R F L D U2 F2
D R F L D' B2 U2
D' R F D L B' U2
B R F L B' L U2
D2 R F D2 L B2 U2
D2 R F D2 B2 U2 R'
B' R F B L B' U2
U R F L D B' U2
U R F L D' B' U2
U R F L D2 B' U2
U R F L B' U2 D
U R F L B' U2 D'
U R F L B' U2 D2
U R F L B' D U2
U R F L B' D' U2
U R F L B' D2 U2
D2 R F B2 U2 R' F2
D2 R F B2 U2 F2 R'
D2 R F' L F2 U2 F2
U' R F' L F2 B' U2
U' R F' L B' F2 U2
U2 R F' L F2 B' U2
U2 R F' L B' F2 U2
B R F B' L B' U2
U R F' L F2 B' U2
U R F' L B' F2 U2
U' R F2 L F' B' U2
U' R F2 L B' F' U2
U2 R F2 L F' B' U2
U2 R F2 L B' F' U2
U R F2 L F' B' U2
U R F2 L B' F' U2
R2 U' R' F L B' U2
B' R B F L B' U2
R' U' R2 F L B' U2
B R B' F L B' U2
D2 R B2 F U2 R' F2
D2 R B2 F U2 F2 R'
R' U' F L R2 B' U2
R' U' F L B' R2 U2
F R' L U2 L2 F L'
R' U' F R2 L B' U2
F R' L D2 B' U2 L
R2 U' F L R' B' U2
R2 U' F R' L B' U2
D2 R' F L R2 U2 F'
D2 R' F L B R2 U2
U' R' F L R2 B' U2
U' R' F L B' R2 U2
D2 R' F R2 L U2 F'
U2 R' F L R2 B' U2
U' R' F R2 L B' U2
U2 R' F L B' R2 U2
L' U2 L2 R B' U2 B2
U2 R' F R2 L B' U2
U R' F L R2 B' U2
U R' F L B' R2 U2
U R' F R2 L B' U2
L' U2 L2 B' R U2 B
L' U2 R L2 B' U2 B2
L U2 L2 F2 L' F' B'
L U2 L2 F2 L' B' F'
L2 U2 R B L' U2 B2
R2 U2 R' F L B' U2
R' U2 R2 F L B' U2
F2 R' B2 L' R' F B
F2 R' B2 L' R' B F
F2 R' B2 L' F R' B
F2 R' B2 R' L' F B
F2 R' B2 R' L' B F
F2 R' B2 R' B L' F
F2 R2 L U2 L2 F B
F2 R2 L U2 L2 B F
R' U2 F L R2 B' U2
R' U2 F L B' R2 U2
F2 R2 L B' U2 L2 B2
F2 R2 L B' U2 B2 L2
F R2 L U2 L2 F L'
R' U2 F R2 L B' U2
F R2 L D2 B' U2 L
F2 R2 L' D2 F B R2
F2 R2 L' D2 B R2 F
F2 R2 L' D2 B F R2
R2 U2 F L R' B' U2
F2 R2 L' F D2 B R2
F2 R2 L' F B D2 R2
F2 R2 L' B D2 R2 F
F2 R2 L' B D2 F R2
F2 R2 L' B F D2 R2
R2 U2 F R' L B' U2
R U2 F L B' U2 L'
L U2 F L2 F L' B'
D2 R2 F L R' U2 F'
U' R2 F L R' B' U2
D2 R2 F R' L U2 F'
U' R2 F R' L B' U2
U2 R2 F L R' B' U2
U2 R2 F R' L B' U2
U R2 F L R' B' U2
U R2 F R' L B' U2
F2 R2 B2 R' B' L' F
F2 U L F' U2 L2 F
F2 U L F' B' U2 L2
F2 U L B' F' U2 L2
F2 U L' D2 R2 F B
F2 U L' D2 R2 B F
F2 U L' F D2 R2 B2
F2 U L' F D2 B2 R2
R D F L U' L2 U'
R D F L U2 D F2
R D F L D U2 F2
R D F L D' B2 U2
D2 U R F L U2 F2
L D B' D R F' U2
L D' R B' U L U
D2 U' R F L U2 F2
F2 U' L F' U2 L2 F
F2 U' L F' B' U2 L2
F2 U' L B' F' U2 L2
F2 U' L' D2 R2 F B
F2 U' L' D2 R2 B F
F2 U' L' F D2 R2 B2
F2 U' L' F D2 B2 R2
R D' F D L B' U2
L D' B' R U L U
R' D2 L2 F2 R F' B'
R' D2 L2 F2 R B' F'
R' D2 L2 F2 B' R F'
R' D2 L2 B' F2 R F'
L' D2 R U2 R F B
L' D2 R U2 R B F
L D2 R D F' B' U2
L D2 R D B' F' U2
L D2 R D' F' B' U2
L D2 R D' B' F' U2
L D2 R D2 F' B' U2
L D2 R D2 B' F' U2
L D2 R F' D B' U2
L D2 R F' D' B' U2
L D2 R F' D2 B' U2
L D2 R F' B' U2 D
L D2 R F' B' U2 D'
L D2 R F' B' U2 D2
L D2 R F' B' D U2
L D2 R F' B' D' U2
L D2 R F' B' D2 U2
R2 D2 R' F L B U2
L D2 R B' D F' U2
L D2 R B' D' F' U2
L D2 R B' D2 F' U2
L D2 R B' F' U2 D
L D2 R B' F' U2 D'
L D2 R B' F' U2 D2
L D2 R B' F' D U2
L D2 R B' F' D' U2
L D2 R B' F' D2 U2
U' D2 R F L U2 F2
D2 U2 R F L U2 F2
L D2 R' B' R2 U2 B2
U2 D2 R F L U2 F2
U D2 R F L U2 F2
F' U2 L F2 B' R' U2
F' U2 L B' R' F2 U2
F' U2 L B' F2 R' U2
F2 U2 L F' U2 L2 F
F2 U2 L F' B' U2 L2
F2 U2 L B' F' U2 L2
R2 D2 F L R' B U2
F2 U2 L' D2 R2 F B
F2 U2 L' D2 R2 B F
F2 U2 L' F D2 R2 B2
F2 U2 L' F D2 B2 R2
R2 D2 F R' L B U2
F U2 L' F D2 L' R2
F U2 L' F D2 R2 L'
L' D2 F2 L' F' R2 B'
L' D2 F2 L' F' B' R2
L' D2 F2 L' B' F' R2
R D2 F D2 L B' U2
L D2 B R F' B2 U2
L D2 B R B2 F' U2
R' F L R B' R U2
L D2 B' R D F' U2
R' F L R2 D B' U2
L D2 B' R D' F' U2
L D2 B' R D2 F' U2
R' F L R2 D' B' U2
R' F L R2 D2 B' U2
L D2 B' R F' U2 D
L D2 B' R F' U2 D'
L D2 B' R F' U2 D2
L D2 B' R F' D U2
L D2 B' R F' D' U2
L D2 B' R F' D2 U2
R' F L R2 B' U2 D
R' F L R2 B' U2 D'
R' F L R2 B' U2 D2
R' F L R2 B' D U2
R' F L R2 B' D' U2
R' F L R2 B' D2 U2
U' F L U2 L2 F L'
R' F L U2 D2 L2 F
U' F L D2 B' U2 L
R' F L D2 U2 L2 F
R' F L D2 B' U2 L2
R' F L B R2 B2 U2
R' F L B' R2 U2 D
R' F L B' R2 U2 D'
R' F L B' R2 U2 D2
R' F L B' R2 D U2
R' F L B' R2 D' U2
R' F L B' R2 D2 U2
R' F L B' U2 D2 L2
R' F L B' D2 U2 L2
R' F L B2 R2 U2 F'
U2 F L U2 L2 F L'
R2 F L R B' R2 U2
R2 F L R' D B' U2
R2 F L R' D' B' U2
R2 F L R' D2 B' U2
R2 F L R' B' U2 D
R2 F L R' B' U2 D'
R2 F L R' B' U2 D2
R2 F L R' B' D U2
R2 F L R' B' D' U2
R2 F L R' B' D2 U2
R2 F L R2 B' R U2
U2 F L D2 B' U2 L
L2 F L F L' R B'
L2 F L F L' B' R
L2 F L F R L' B'
R2 F L D R' B' U2
R2 F L D' R' B' U2
R2 F L D2 R' B' U2
U F L U2 L2 F L'
R F L R' B' R U2
R F L R2 B' R2 U2
R F L U' L2 U' F
R F L U2 L2 F L2
U F L D2 B' U2 L
R F L D B' U2 D
R F L D B' U2 D'
R F L D B' U2 D2
R F L D B' D U2
R F L D B' D' U2
R F L D B' D2 U2
R F L D' B' U2 D
R F L D' B' U2 D'
R F L D' B' U2 D2
R F L D' B' D U2
R F L D' B' D' U2
R F L D' B' D2 U2
R F L D2 B' U2 D
R F L D2 B' U2 D'
R F L D2 B' U2 D2
R F L D2 B' D U2
R F L D2 B' D' U2
R F L D2 B' D2 U2
R F L B U2 D2 F2
R F L B D2 U2 F2
R F L B2 D B U2
R F L B2 D' B U2
R F L B2 D2 B U2
R' F R L B' R U2
F U2 F L' D2 R2 F
F U2 F L' D2 F R2
F U2 F L' F D2 R2
R F L' U2 D2 R2 F
R F L' U2 D2 F R2
R F L' U2 F D2 R2
R F L' D2 U2 R2 F
R F L' D2 U2 F R2
R F L' B L2 B' U2
F' U2 F2 L B' R' U2
R F L' B' L2 B' U2
R F L' B2 L2 B' U2
R2 F R L B' R2 U2
R F L2 D L' B' U2
R F L2 D' L' B' U2
R F L2 D2 L' B' U2
R F L2 B L' B' U2
R F L2 B' L' B' U2
R' F R2 L D B' U2
R F L2 B2 L' B' U2
R' F R2 L D' B' U2
R' F R2 L D2 B' U2
R' F R2 L B' U2 D
R' F R2 L B' U2 D'
R' F R2 L B' U2 D2
R' F R2 L B' D U2
R' F R2 L B' D' U2
R' F R2 L B' D2 U2
R2 F R' L D B' U2
R2 F R' L D' B' U2
R2 F R' L D2 B' U2
R2 F R' L B' U2 D
R2 F R' L B' U2 D'
R2 F R' L B' U2 D2
R2 F R' L B' D U2
R2 F R' L B' D' U2
R2 F R' L B' D2 U2
R F R' L B' R U2
R2 F R2 L B' R U2
R F R2 L B' R2 U2
L F U2 L2 F L' B'
D2 F D2 L B' U2 L
L' F D2 L' R2 B' L
L' F D2 L' B' L R2
L' F D2 L' B' R2 L
L' F D2 R2 L' B' L
R2 F D2 L R' B U2
R2 F D2 R' L B U2
L2 F D2 B' L F R
L2 F B' L F L' R
L2 F B' L F R L'
R F B L B' L U2
R' F' L R2 F2 B' U2
R' F' L R2 B' F2 U2
R F B' L B' U2 R'
R F B' L' U2 F R
R' F' L F2 R2 B' U2
R' F' L F2 B' R2 U2
R' F' L B' R2 F2 U2
R' F' L B' F2 R2 U2
R2 F' L R' F2 B' U2
R2 F' L R' B' F2 U2
R F B2 L' U2 R' F
R F B2 L' U2 F R'
R F B2 L2 U2 R' F'
R2 F' L F2 R' B' U2
R F' L D2 B' U2 B'
R F' L F2 D B' U2
R F' L F2 D' B' U2
R F' L F2 D2 B' U2
R F' L F2 B' U2 D
R F' L F2 B' U2 D'
R F' L F2 B' U2 D2
R F' L F2 B' D U2
R F' L F2 B' D' U2
R F' L F2 B' D2 U2
R F' L B' U2 D2 B2
R F' L B' D2 U2 B2
R F' L B' F2 U2 D
R F' L B' F2 U2 D'
R F' L B' F2 U2 D2
R F' L B' F2 D U2
R F' L B' F2 D' U2
R F' L B' F2 D2 U2
R F' L' F2 L2 U2 F'
R' F' R2 L F2 B' U2
R' F' R2 L B' F2 U2
R2 F' R' L F2 B' U2
R2 F' R' L B' F2 U2
R' F' R2 F2 L B' U2
R2 F' R' F2 L B' U2
F D' L U' B' L U'
R' F2 L R2 B' U2 B2
U' F2 L F' U2 L2 F
U' F2 L F' B' U2 L2
R' F2 L F' R2 B' U2
R' F2 L F' B' R2 U2
U' F2 L B' F' U2 L2
R' F2 L B' R2 U2 B
R' F2 L B' F' R2 U2
L F' B' U2 B L B'
U' F2 L' D2 R2 F B
U' F2 L' D2 R2 B F
U' F2 L' F D2 R2 B2
U' F2 L' F D2 B2 R2
U2 F2 L F' U2 L2 F
U2 F2 L F' B' U2 L2
U2 F2 L B' F' U2 L2
R2 F2 L F' R' B' U2
L' F2 L' F2 R F B'
L' F2 L' F2 R B' F
L' F2 L' F2 B' R F
L' F2 L' B' F2 R F
U2 F2 L' D2 R2 F B
U2 F2 L' D2 R2 B F
U2 F2 L' F D2 R2 B2
U2 F2 L' F D2 B2 R2
L' F2 L2 U2 L F' B'
L' F2 L2 U2 L B' F'
L' F2 L2 U2 F' L B'
U F2 L F' U2 L2 F
U F2 L F' B' U2 L2
R F2 L D F' B' U2
R F2 L D B' F' U2
R F2 L D' F' B' U2
R F2 L D' B' F' U2
R F2 L D2 F' B' U2
U F2 L B' F' U2 L2
R F2 L D2 B' F' U2
R F2 L F' D B' U2
R F2 L F' D' B' U2
R F2 L F' D2 B' U2
R F2 L F' B' U2 D
R F2 L F' B' U2 D'
R F2 L F' B' U2 D2
R F2 L F' B' D U2
R F2 L F' B' D' U2
R F2 L F' B' D2 U2
R F2 L B' D F' U2
R F2 L B' D' F' U2
R F2 L B' D2 F' U2
R F2 L B' F' U2 D
R F2 L B' F' U2 D'
R F2 L B' F' U2 D2
R F2 L B' F' D U2
R F2 L B' F' D' U2
R F2 L B' F' D2 U2
U F2 L' D2 R2 F B
U F2 L' D2 R2 B F
U F2 L' F D2 R2 B2
U F2 L' F D2 B2 R2
R F2 L' F' L2 U2 F2
L2 F2 R B' L F L2
R' F2 R2 L B' U2 B2
F D2 L R' B R' U2
F D2 L B R' B U2
L' F2 D2 L' F' R2 B'
L' F2 D2 L' F' B' R2
L' F2 D2 L' B' F' R2
F' D2 R F' B2 L' R'
F' D2 R F' B2 R' L'
B2 D2 R F U2 R2 F2
B2 D2 R F U2 F2 R2
F' D2 R B2 F' L' R'
F' D2 R B2 F' R' L'
B D2 R F L' U2 F2
B D2 R F U2 F2 R
F D2 R' L B R' U2
L2 F2 B' L R F L2
F' D2 R2 B2 R' F' L'
L2 F2 B' R L F L2
L F2 B' U2 L B' L2
L2 B L' R B' U2 B'
L2 B L' B' R U2 B'
R B L B' L U2 B'
L2 B R L' B' U2 B'
F D2 B R' B U2 R'
F' D2 B2 R F' L' R2
F' D2 B2 R F' R2 L'
L B R2 B2 U2 L B'
B' F L' U2 F L' R
B' F L' U2 F R L'
F2 B L' R2 F B R'
F2 B L' R2 B R' F
F2 B L' R2 B F R'
B2 F L' U2 R' F L'
B2 F L' U2 F L' R'
B2 F L' U2 F R' L'
F2 B R2 L' F B R'
F2 B R2 L' B R' F
F2 B R2 L' B F R'
L B D2 R F' U2 F'
F2 B R2 B L' R' F
F2 B R2 B L' F R'
F2 B R2 B R' L' F
R B F L B' L U2
B' F U2 L' F L' R
B' F U2 L' F R L'
B' F U2 F L' R F
B' F U2 F R L' F
B2 F U2 L' R' F L'
B2 F U2 L' F L' R'
B2 F U2 L' F R' L'
B2 F U2 R' L' F L'
B2 F U2 R' F L' F
L2 B' L' R B' U2 B
B2 F U2 F L' R' F
B2 F U2 F L' F R'
B2 F U2 F R' L' F
L B' L' R F L U2
L2 B' R L' B' U2 B
R B' L' U2 F R B
R2 B' L2 B' L R' F
R2 B' L2 B' L F R'
R2 B' L2 B' R' L F
L B' R L' F L U2
L B' R U L U B'
L B' R U2 L B' L'
L B' R2 U2 B2 L B'
L B' R2 D2 R' U2 B
F B' L' U2 F L' R
F B' L' U2 F R L'
L2 B' U2 L' R B U2
L2 B' U2 R L' B U2
L2 B' U2 R B L' U2
L2 B' F L F L' R
L2 B' F L F R L'
L B' D2 R D F' U2
L B' D2 R D' F' U2
L B' D2 R D2 F' U2
L B' D2 R F' U2 D
L B' D2 R F' U2 D'
L B' D2 R F' U2 D2
L B' D2 R F' D U2
L B' D2 R F' D' U2
L B' D2 R F' D2 U2
L2 B' F2 L R F L2
L2 B' F2 R L F L2
R B' F L B' U2 R'
R B' F L' U2 F R
F B' U2 L' F L' R
F B' U2 L' F R L'
F B' U2 F L' R F
F B' U2 F R L' F
L B' F' U2 B L B'
L B' F2 U2 L B' L2
L2 B2 L' B' R U2 B2
D2 B2 R F U2 R2 F2
D2 B2 R F U2 F2 R2
B2 F2 L' R2 B R F
F2 B2 L' R2 B R F
B2 F2 L' F R' D2 B2
B2 F2 L' F D2 R' B2
F2 B2 L' F R' D2 B2
F2 B2 L' F D2 R' B2
B F2 L' R2 F B R'
R B2 L2 U2 R' F' B'
R B2 L2 U2 R' B' F'
B F2 L' R2 B R' F
B F2 L' R2 B F R'
F B2 L' U2 R' F L'
F B2 L' U2 F L' R'
F B2 L' U2 F R' L'
B2 F2 R2 L' B R F
F2 B2 R2 L' B R F
B2 F2 R2 B L' R F
B2 F2 R2 B R L' F
F2 B2 R2 B L' R F
F2 B2 R2 B R L' F
B F2 R2 L' F B R'
B F2 R2 L' B R' F
B F2 R2 L' B F R'
B F2 R2 B L' R' F
B F2 R2 B L' F R'
B F2 R2 B R' L' F
F B2 U2 L' R' F L'
F B2 U2 L' F L' R'
F B2 U2 L' F R' L'
F B2 U2 R' L' F L'
F B2 U2 R' F L' F
F B2 U2 F L' R' F
F B2 U2 F L' F R'
F B2 U2 F R' L' F
L B2 D2 B R F' U2
R B2 F L' U2 R' F
R B2 F L' U2 F R'
R B2 F L2 U2 R' F'
