F' L2 U R' F'
L2 F' U R' F'
F' L2 U R' D F'
F' L2 U R' D' F'
F' L2 U R' D2 F'
F' L2 U R' F' D
F' L2 U R' F' D'
F' L2 U R' F' D2
F' L2 U D R' F'
F' L2 U D' R' F'
F' L2 U D2 R' F'
F' L2 U F R' F'
F' L2 U F' R' F'
F' L2 U F2 R' F'
F' L2 D U R' F'
F' L2 D' U R' F'
F' L2 D2 U R' F'
F L2 F2 U R' F'
D2 R2 B L U' R
L2 D F' U R' F'
F' U R' D' F' B2
F' U R' D' B2 F'
F' U R' F' D' B2
F' U D' R' F' B2
F' U D' R' B2 F'
L2 D' F' U R' F'
L2 D2 F' U R' F'
L F' L U R' F'
D' F' U R' F' B2
D' F' U R' B2 F'
L2 F' U R' D F'
L2 F' U R' D' F'
L2 F' U R' D2 F'
L2 F' U R' F' D
L2 F' U R' F' D'
L2 F' U R' F' D2
L2 F' U D R' F'
L2 F' U D' R' F'
L2 F' U D2 R' F'
L2 F' U F R' F'
L2 F' U F' R' F'
L2 F' U F2 R' F'
L2 F' D U R' F'
L2 F' D' U R' F'
L2 F' D2 U R' F'
F' D' U R' F' B2
F' D' U R' B2 F'
L2 R U R' F' L' R'
L2 R U R' F' R' L'
D2 L R2 B L U' R
F' L D L U R' F'
F' L D' L U R' F'
F' L D2 L U R' F'
U' L F' L U R' F2
U' L F' L U F2 R'
D' L F' U R' F' B2
D' L F' U R' B2 F'
L2 R B' R' F' U R'
F L F2 L U R' F'
D2 L' R2 B L U' R
F' L' D L' U R' F'
F' L' D' L' U R' F'
F' L' D2 L' U R' F'
D' L' F' U R' F' B2
D' L' F' U R' B2 F'
R L2 U R' F' L' R'
R L2 U R' F' R' L'
F' L2 R U R' F' R'
U L2 R U R2 F' L'
F' L2 R B' R' U R'
F' L2 R' B' R' U R
F' L2 R2 U R' F' R2
D2 L2 R2 B L U' R
F' L2 R2 B' R' U R2
F' L2 U L' R' F' L
F' L2 U L2 R' F' L2
F' L2 U R F R2 F'
F' L2 U R F' R2 F'
F' L2 U R F2 R2 F'
F' L2 U R' L' F' L
F' L2 U R' L2 F' L2
F' L2 U R' D F' D
F' L2 U R' D F' D'
F' L2 U R' D F' D2
F' L2 U R' D' F' D
F' L2 U R' D' F' D'
F' L2 U R' D' F' D2
F' L2 U R' D2 F' D
F' L2 U R' D2 F' D'
