D L D L B' U2 L
D2 L B' U' F2 U' L
D2 L B' U2 L D R2
D2 L B' U2 D L R2
D2 L B' U2 D R2 L
D2 L B' D U2 L R2
D2 L B' D U2 R2 L
D2 L B' D' L2 U2 L'
R2 U F R B2 U L'
R2 U F B2 R U L'
R U F B2 U L' F2
F' R D L2 U2 F' B'
F' R D L2 U2 B' F'
F' R D F L2 U2 F2
R' U B2 U L2 F L'
R2 U B2 U L F L'
F' R D' F U2 R2 F2
F' R D' F U2 F2 R2
R U B2 U F L' F2
R2 U B2 F R U L'
R U B2 F U L' F2
U2 R F L' F2 D' R2
F' R F U B2 U F2
F' R F U2 F2 D' R2
F2 R F' L' D' R2 B
U R F B2 U L' F2
F2 R F' D' L' R2 B
F2 R F' D' R2 L' B
F2 R F' D' R2 B L'
U R B2 U F L' F2
U R B2 F U L' F2
R2 U2 L F L' D' R2
R2 U2 L F D' L' R2
R2 U2 L F D' R2 L'
U2 R' F L' D' R2 F'
U2 R' F D' L' R2 F'
U2 R' F D' R2 L' F'
U2 R' F2 D' R2 F' L'
U R' B2 U L2 F L'
R' U2 F L' D' R2 F'
R' U2 F D' L' R2 F'
R' U2 F D' R2 L' F'
R U2 F L' F2 D' R2
R' U2 F2 D' R2 F' L'
R' D L2 D B R' U2
R' D2 B R' U' F2 U'
R' D2 B R' U2 D R2
R' D2 B R' D U2 R2
R' D2 B R' D' L2 U2
R' D2 B D R' U2 R'
R' D2 B D' L2 R' U2
R' D2 B D' R' L2 U2
R' F L' D' R2 F' B
R' F L' D' R2 B F'
U2 F L' R D' F' R2
U2 F L' R F' D' R2
U2 F L' R' D' R2 F'
U2 F R L' D' F' R2
U2 F R L' F' D' R2
U2 F R D' L' F' R2
U2 F R' L' D' R2 F'
U2 F R' D' L' R2 F'
U2 F R' D' R2 L' F'
U F R B2 U L' F'
R' F D' L' R2 F' B
R' F D' L' R2 B F'
R' F D' R2 L' F' B
R' F D' R2 L' B F'
R' F D' R2 B L' F'
U2 F D' R2 D' L' F
U2 F D2 L' D R2 F
U2 F D2 L' D F R2
U F B2 R U L' F'
U F B2 U D2 L' F
U F B2 D2 U L' F
U' F' D2 F2 U' L' F
F D' R2 D' L' F B
F D' R2 D' L' B F
F D' R2 D' B L' F
F D' R2 B D' L' F
U F' B2 U' R U2 F'
U2 F2 R D' F' L' R2
U2 F2 R D' F' R2 L'
U2 F2 R F' L' D' R2
U2 F2 R F' D' L' R2
U2 F2 R F' D' R2 L'
U2 F2 R' D' R2 F' L'
F D2 L' D R2 F B
F D2 L' D R2 B F
R' B U F B U L'
R' B U B F U L'
B2 F' U' R F U2 F2
U B2 R U F L' F2
U B2 R F U L' F2
U B2 U F D2 L' F
F' B2 U' R F U2 F2
U B2 F R U L' F'
U B2 F U D2 L' F
U B2 F D2 U L' F
U B2 F' U' R U2 F'
