U' L F U R
U' L D F U R
U' L D' F U R
U' L D2 F U R
U' L F U R D
U' L F U R D'
U' L F U R D2
U' L F U D R
U' L F U D' R
U' L F U D2 R
U' L F D U R
U' L F D' U R
U' L F D2 U R
U' L F B U R
U' L F B' U R
U' L F B2 U R
U' L B F U R
U' L B' F U R
U' L B2 F U R
R' U' L F U R
R2 U' L F U R
R U' L F U R
U' D L F U R
U' D' L F U R
D2 U' L F U R
D' U' L F U R
D U' L F U R
U' D2 L F U R
L' B D' L R2 B2
L' B D' L B2 R2
L' B D' R2 L B2
U' L R F R' U R2
U' L R2 F R2 U R'
B L U' L2 B' L U
F L U2 F U' F2 L'
U' L D F U R D
U' L D F U R D'
U' L D F U R D2
U' L D F U D R
U' L D F U D' R
U' L D F U D2 R
U' L D F D U R
U' L D F D' U R
U' L D F D2 U R
U' L D F B U R
U' L D F B' U R
U' L D F B2 U R
U' L D B F U R
U' L D B' F U R
U' L D B2 F U R
U' L D' F U R D
U' L D' F U R D'
U' L D' F U R D2
U' L D' F U D R
U' L D' F U D' R
U' L D' F U D2 R
U' L D' F D U R
U' L D' F D' U R
U' L D' F D2 U R
U' L D' F B U R
U' L D' F B' U R
U' L D' F B2 U R
U' L D' B F U R
U' L D' B' F U R
U' L D' B2 F U R
U' L D2 F U R D
U' L D2 F U R D'
U' L D2 F U R D2
U' L D2 F U D R
U' L D2 F U D' R
U' L D2 F U D2 R
U' L D2 F D U R
U' L D2 F D' U R
U' L D2 F D2 U R
U' L D2 F B U R
U' L D2 F B' U R
U' L D2 F B2 U R
U' L D2 B F U R
U' L D2 B' F U R
U' L D2 B2 F U R
U' L F U R2 D R'
U' L F U R2 D' R'
U' L F U R2 D2 R'
U' L F U D R D
U' L F U D R D'
U' L F U D R D2
U' L F U D' R D
U' L F U D' R D'
U' L F U D' R D2
U' L F U D2 R D
U' L F U D2 R D'
U' L F U D2 R D2
U' L F U B R B'
U' L F U B2 R B2
U' L F U' L U2 R
U' L F U' L' U2 R
U' L F U' L2 U2 R
U' L F D U R D
U' L F D U R D'
U' L F D U R D2
U' L F D B U R
U' L F D B' U R
U' L F D B2 U R
U' L F D' U R D
U' L F D' U R D'
U' L F D' U R D2
U' L F D' B U R
U' L F D' B' U R
U' L F D' B2 U R
U' L F D2 U R D
U' L F D2 U R D'
U' L F D2 U R D2
U' L F D2 B U R
U' L F D2 B' U R
U' L F D2 B2 U R
U' L F B U R D
U' L F B U R D'
U' L F B U R D2
U' L F B U D R
U' L F B U D' R
U' L F B U D2 R
U' L F B D U R
U' L F B D' U R
U' L F B D2 U R
U' L F B' U R D
U' L F B' U R D'
U' L F B' U R D2
U' L F B' U D R
U' L F B' U D' R
U' L F B' U D2 R
U' L F B' D U R
U' L F B' D' U R
U' L F B' D2 U R
U' L F B2 U R D
U' L F B2 U R D'
U' L F B2 U R D2
U' L F B2 U D R
U' L F B2 U D' R
U' L F B2 U D2 R
L' R B D' L R2 B2
U' L F B2 D U R
L' R B D' L B2 R2
U' L F B2 D' U R
U' L F B2 D2 U R
L' R B D' R2 L B2
B L B U R' F U'
B L B U F R' U'
U' L B D F U R
U' L B D' F U R
U' L B D2 F U R
U' L B F U R D
U' L B F U R D'
U' L B F U R D2
U' L B F U D R
U' L B F U D' R
U' L B F U D2 R
U' L B F D U R
U' L B F D' U R
U' L B F D2 U R
U' L B' D F U R
U' L B' D' F U R
U' L B' D2 F U R
U' L B' F U R D
U' L B' F U R D'
U' L B' F U R D2
U' L B' F U D R
U' L B' F U D' R
U' L B' F U D2 R
U' L B' F D U R
U' L B' F D' U R
U' L B' F D2 U R
U' L B2 D F U R
U' L B2 D' F U R
U' L B2 D2 F U R
U' L B2 F U R D
U' L B2 F U R D'
U' L B2 F U R D2
U' L B2 F U D R
U' L B2 F U D' R
