R2 U' L' B' R'
U' L' R' B' D' R2
U' L' D B R' B2
U' L' B2 D B R'
R' U' L' B' D' R2
R2 U' L' R B' R'
R2 U' L' R' B' R'
R2 U' L' R2 B' R'
R2 U' L' D B' R'
R2 U' L' D' B' R'
R2 U' L' D2 B' R'
R2 U' L' B' R' D
R2 U' L' B' R' D'
R2 U' L' B' R' D2
R2 U' L' B' D R'
R2 U' L' B' D' R'
R2 U' L' B' D2 R'
R2 U' R L' B' R'
F R F' U' L' B'
R2 U' R' L' B' R'
R2 U' R2 L' B' R'
R2 U' D L' B' R'
R2 U' D' L' B' R'
R2 U' D2 L' B' R'
U' R' L' B' D' R2
B' R' U2 B U L'
R2 U' B' L' R' B'
R2 U' B' R' L' B'
R' U2 B U L' B'
R2 D U' L' B' R'
U' D L' B R' B2
U' D B L' R' B'
U' D B R' L' B'
U' D B2 L' B' R'
R2 D' U' L' B' R'
D U' L' B R' B2
D U' B L' R' B'
D U' B R' L' B'
D U' B2 L' B' R'
R2 D2 U' L' B' R'
L' R F' L U' L' B'
L2 R F' L2 U' L' B'
U' L' R U F' U' B'
U' L' R B' U F' U'
U' L' R' U' B U B2
U' L' R' D B' D' R2
U' L' R' D' B' D' R2
U' L' R' D2 B' D' R2
U' L' R' B' R D' R2
U' L' R' B' R' D' R2
U' L' R' B' R2 D' R2
U' L' R' B' U' B2 U
U' L' R' B' D' R2 D
U' L' R' B' D' R2 D'
U' L' R' B' D' R2 D2
U' L' U R F' U' B'
U' L' U R2 U' B' R'
R L' F' L U' L' B'
U' L' D R B R' B2
U' L' D R' B R' B2
U' L' D R2 B R' B2
U' L' D B R B2 R2
U' L' D B R' B2 D
U' L' D B R' B2 D'
U' L' D B R' B2 D2
U' L' D B R2 B2 R
U' L' D B' U2 L U2
U' L' D' F' R F B'
U' L' D' F' R B' F
U' L' D' F' B' R F
U' L' D' B' F' R F
U' L' D' B2 D2 B R'
D2 L' F L U' L' B'
U' L' D2 B2 D' B R'
U' L' F D' F' R B'
U' L' F D' F' B' R
U' L' F D' B' F' R
U' L' F B' D' F' R
U' L' B' R U F' U'
U' L' B' R' U' B U
U' L' B' D B R' B'
U' L' B' D' F' R F
U' L' B' F D' F' R
U' L' B2 D B R' D
U' L' B2 D B R' D'
U' L' B2 D B R' D2
U' L' B2 D B D R'
U' L' B2 D B D' R'
U' L' B2 D B D2 R'
R L2 F' L2 U' L' B'
L' U L R F' U' B
L' U R L F' U' B
L' U R F' L U' B
U' R L' U F' U' B'
U' R L' B' U F' U'
D R U' L' B R' B2
D R U' B L' R' B'
D R U' B R' L' B'
D R U' B2 L' B' R'
F R D F' U' L' B'
F R D' F' U' L' B'
R' U' L' U' B U B2
R' U' L' D B' D' R2
R' U' L' D' B' D' R2
R2 U' L B' L2 R' B'
R2 U' L B' R' L2 B'
R' U' L' D2 B' D' R2
R2 U' L' R D B' R'
R2 U' L' R D' B' R'
R2 U' L' R D2 B' R'
R2 U' L' R B' R' D
R2 U' L' R B' R' D'
R2 U' L' R B' R' D2
R2 U' L' R B' D R'
R2 U' L' R B' D' R'
R2 U' L' R B' D2 R'
R2 U' L' R' D B' R'
R2 U' L' R' D' B' R'
R2 U' L' R' D2 B' R'
R2 U' L' R' B' R' D
R2 U' L' R' B' R' D'
R2 U' L' R' B' R' D2
R2 U' L' R' B' D R'
R2 U' L' R' B' D' R'
R2 U' L' R' B' D2 R'
R2 U' L' R2 D B' R'
R2 U' L' R2 D' B' R'
R2 U' L' R2 D2 B' R'
R2 U' L' R2 B' R' D
R2 U' L' R2 B' R' D'
R2 U' L' R2 B' R' D2
R2 U' L' R2 B' D R'
R2 U' L' R2 B' D' R'
R2 U' L' R2 B' D2 R'
R' U' L' B' R D' R2
R' U' L' B' R' D' R2
R' U' L' B' R2 D' R2
R' U' L' B' U' B2 U
R' U' L' B' D' R2 D
R' U' L' B' D' R2 D'
R' U' L' B' D' R2 D2
F R D2 F' U' L' B'
R2 U' L' D R B' R'
R2 U' L' D R' B' R'
R2 U' L' D R2 B' R'
R2 U' L' D B' R' D
R2 U' L' D B' R' D'
R2 U' L' D B' R' D2
R2 U' L' D B' D R'
R2 U' L' D B' D' R'
R2 U' L' D B' D2 R'
R U' L' R2 B' D' R2
R2 U' L' D' R B' R'
R2 U' L' D' R' B' R'
R2 U' L' D' R2 B' R'
R2 U' L' D' B' R' D
R2 U' L' D' B' R' D'
R2 U' L' D' B' R' D2
R2 U' L' D' B' D R'
R2 U' L' D' B' D' R'
R2 U' L' D' B' D2 R'
R U' L' U F' U' B'
R2 U' L' D2 R B' R'
R2 U' L' D2 R' B' R'
R2 U' L' D2 R2 B' R'
R2 U' L' D2 B' R' D
R2 U' L' D2 B' R' D'
