B' L R2 U' L' R
B' L R2 U' R L'
B' R' U L R' U'
B' R' U R' L U'
B' R2 L U' L' R
B' R2 L U' R L'
B' U L R2 U' R
B' U R2 L U' R
R2 B' L U' L' R'
R2 B' L U' R' L'
D' B' R F' R2 B
D B2 D2 R F' R
D B2 D2 F' R F'
B' L R2 U' L' R D
B' L R2 U' L' R D'
B' L R2 U' L' R D2
B' L R2 U' L' D R
B' L R2 U' L' D' R
B' L R2 U' L' D2 R
B' L R2 U' R L' D
B' L R2 U' R L' D'
B' L R2 U' R L' D2
B' L R2 U' R D L'
B' L R2 U' R D' L'
B' L R2 U' R D2 L'
B' L R2 U' D L' R
B' L R2 U' D R L'
B' L R2 U' D' L' R
B' L R2 U' D' R L'
B' L R2 U' D2 L' R
B' L R2 U' D2 R L'
B' L R2 D U' L' R
B' L R2 D U' R L'
B' L R2 D' U' L' R
B' L R2 D' U' R L'
B' L R2 D2 U' L' R
B' L R2 D2 U' R L'
B' L R2 B U' L' R
B' L R2 B U' R L'
B' L R2 B' U' L' R
B' L R2 B' U' R L'
B' L R2 B2 U' L' R
B' L R2 B2 U' R L'
B' L U' L' D R' B2
B' L U' D L' R' B2
B' L U' D R' L' B2
B' L U' D R' B2 L'
B' L D U' L' R' B2
B' L D U' R' L' B2
B' L D U' R' B2 L'
R2 L B' L U' L2 R'
R2 L B' L U' R' L2
D L B' U2 R' B' L'
D L' U2 F L R B2
D L' U2 F L B2 R
D L' U2 F R L B2
B' L' D L R' F2 B2
B' L' D L R' B2 F2
B' L' D L F2 R' B2
B' L' D R' L F2 B2
B' L' D R' L B2 F2
B' L' D R' F2 L B2
B' L' D F2 L R' B2
B' L' D F2 R' L B2
D L' F L B' R' B'
U' L' B R' B2 L U
U' L' B' U2 L R2 U'
U' L' B' U2 R2 L U'
L2 R2 B' L U' L R'
L2 R2 B' L U' R' L
R2 L2 B' L U' L R'
R2 L2 B' L U' R' L
L R2 B' L U' L2 R'
L R2 B' L U' R' L2
R U R U2 B R' U
B' R U L R U' R
B' R U R L U' R
D' R D2 F' B' R' B'
D' R D2 B' F' R' B'
D' R D2 B2 D2 F' R
D' R F' R' B' R' B
D' R F' R2 B' R' B2
D' R F' U2 F' L' U2
D' R F' B' R2 B R
D' R F' B2 R2 B R'
D' R B D2 F' B2 R'
D' R B D2 B2 F' R'
D' R B' D2 F' R' B2
D' R B' F' R2 B R
D' R B2 D2 F' R B2
D' R B2 D2 F' B2 R
D' R B2 D2 B2 F' R
D' R B2 F' R2 B R'
D R B2 D2 R F' R
D R B2 D2 F' R F'
B' R' U L R' U' D
B' R' U L R' U' D'
B' R' U L R' U' D2
B' R' U L R' D U'
B' R' U L R' D' U'
B' R' U L R' D2 U'
B' R' U L D R' U'
B' R' U L D' R' U'
B' R' U L D2 R' U'
B' R' U R' L U' D
B' R' U R' L U' D'
B' R' U R' L U' D2
B' R' U R' L D U'
B' R' U R' L D' U'
B' R' U R' L D2 U'
B' R' U R' D L U'
B' R' U R' D' L U'
B' R' U R' D2 L U'
B' R' U D L R' U'
B' R' U D R' L U'
B' R' U D' L R' U'
B' R' U D' R' L U'
B' R' U D2 L R' U'
B' R' U D2 R' L U'
R2 U' B R' U B' R'
B' R' D U L R' U'
B' R' D U R' L U'
B' R' D' U L R' U'
B' R' D' U R' L U'
B' R' D2 U L R' U'
B' R' D2 U R' L U'
B' R' F U L R' U'
B' R' F U R' L U'
B' R' F' U L R' U'
B' R' F' U R' L U'
B' R' F2 U L R' U'
B' R' F2 U R' L U'
D' R' F2 B L U2 L'
D' R' B L F2 R U2
D' R' B F2 L U2 L'
D' R' B' R' D2 F2 B2
D' R' B' R' D2 B2 F2
D' R' B' D2 R' F2 B2
D' R' B' D2 R' B2 F2
D' R' B' D2 F2 R' B2
B' R' B2 U' L R' U
B' R' B2 U' R' L U
L U2 D L' F R B2
L U2 D L' F B2 R
L U2 D L' B2 F R
B R' B2 L U L' R'
B R' B2 L U R' L'
B' R2 L U' L' R D
B' R2 L U' L' R D'
B' R2 L U' L' R D2
B' R2 L U' L' D R
B' R2 L U' L' D' R
B' R2 L U' L' D2 R
B' R2 L U' R L' D
B' R2 L U' R L' D'
B' R2 L U' R L' D2
B' R2 L U' R D L'
B' R2 L U' R D' L'
B' R2 L U' R D2 L'
B' R2 L U' D L' R
B' R2 L U' D R L'
B' R2 L U' D' L' R
B' R2 L U' D' R L'
B' R2 L U' D2 L' R
B' R2 L U' D2 R L'
L U2 D B2 L' F R
B' R2 L D U' L' R
B' R2 L D U' R L'
B' R2 L D' U' L' R
B' R2 L D' U' R L'
B' R2 L D2 U' L' R
B' R2 L D2 U' R L'
D R' B2 D2 R F' R
D R' B2 D2 F' R F'
B' R2 L B U' L' R
B' R2 L B U' R L'
B' R2 L B' U' L' R
B' R2 L B' U' R L'
B' R2 L B2 U' L' R
B' R2 L B2 U' R L'
U R2 U' D' R F' R
U R2 U' D' F' R F'
B' R2 D L U' L' R
B' R2 D L U' R L'
U R2 U2 R' B R' U
U R2 U2 B R' B U
B' R2 D' L U' L' R
B' R2 D' L U' R L'
B' R2 D2 L U' L' R
B' R2 D2 L U' R L'
U R2 D' U' R F' R
U R2 D' U' F' R F'
D' R2 D2 B' R' F' B'
D' R2 D2 B' R' B' F'
U R2 D' F' U' R F'
U R2 D2 L' F L' U'
U R2 D2 F L' F U'
L D L' F B' R' B'
L D L' B' R' F B'
L D L' B' R' B' F
L D L' B' F R' B'
B2 R2 B L U' L' R'
B2 R2 B L U' R' L'
D' R2 B D2 B2 R' F'
F' R2 B' L U' L' R'
F' R2 B' L U' R' L'
D' R2 B' R' D2 F' B2
D' R2 B' R' D2 B2 F'
F2 R2 B' L U' L' R'
F2 R2 B' L U' R' L'
D' R2 B' D2 R' F' B2
D' R2 B' D2 R' B2 F'
F R2 B' L U' L' R'
F R2 B' L U' R' L'
B' U L R2 U' R D
B' U L R2 U' R D'
B' U L R2 U' R D2
B' U L R2 U' D R
B' U L R2 U' D' R
B' U L R2 U' D2 R
B' U L R2 D U' R
B' U L R2 D' U' R
B' U L R2 D2 U' R
B' U L U' D R' B2
B' U L D U' R' B2
D R2 B2 D2 R F' R
D R2 B2 D2 F' R F'
B' U L F R2 U' R
B' U L F' R2 U' R
B' U L F2 R2 U' R
U2 D L B' U2 B' R'
L D U2 L' F R B2
L D U2 L' F B2 R
L D U2 L' B2 F R
U' D L' B' U F B'
U' D L' B' U B' F
U2 D L' F R B2 L
L D U2 B2 L' F R
B' U R2 L U' R D
B' U R2 L U' R D'
B' U R2 L U' R D2
B' U R2 L U' D R
B' U R2 L U' D' R
B' U R2 L U' D2 R
B' U R2 L D U' R
B' U R2 L D' U' R
B' U R2 L D2 U' R
B' U R2 D L U' R
B' U R2 D' L U' R
B' U R2 D2 L U' R
B' U D L U' R' B2
L D B' R' B' L' F
U2 D F' L' U2 F B2
U2 D F' L' U2 B2 F
B' U F L R2 U' R
B' U F R2 L U' R
B' U F' L R2 U' R
B' U F' R2 L U' R
B' U F2 L R2 U' R
B' U F2 R2 L U' R
D U' L' B' U F B'
D U' L' B' U B' F
B U' R' B2 L U R'
U2 D' F2 U2 R F' R
U2 D' F2 U2 F' R F'
B U' D R' U B2 R'
D U2 L B' U2 B' R'
D U2 L' F R B2 L
D U2 F' L' U2 F B2
D U2 F' L' U2 B2 F
D' U2 F2 U2 R F' R
D' U2 F2 U2 F' R F'
B' D L U' L' R' B2
B' D L U' R' L' B2
B' D L U' R' B2 L'
D' F U2 F U2 R F'
B' D R' U L U' B2
B' D R' B2 U' R' U
B D R B2 D' R' F2
B D R B2 D' F2 R'
B' D R2 B2 R D' F2
B' D U L U' R' B2
R2 F B' L U' L' R'
R2 F B' L U' R' L'
B D R2 B2 R' D' F2
D F B2 D2 R F' R
D F B2 D2 F' R F'
B D U' R' U B2 R'
D' F' R2 B' R' F' B2
D' F' R2 B' R' B2 F'
F' D B2 D2 R F' R
F' D B2 D2 F' R F'
F2 D B2 D2 R F' R
F2 D B2 D2 F' R F'
B D B2 R' U L U'
B D B2 U L U' R'
F D B2 D2 R F' R
F D B2 D2 F' R F'
U2 F' D L' U2 F B2
U2 F' D L' U2 B2 F
U2 F' D' F2 U2 R F'
D2 F' B' R' D' F2 B2
D2 F' B' R' D' B2 F2
R2 F' B' L U' L' R'
R2 F' B' L U' R' L'
D' F' B2 R2 B R' F'
D F' B2 D2 R F' R
D F' B2 D2 F' R F'
D' F2 R' B L U2 L'
F' D' B' R F' R2 B
F2 D' B' R F' R2 B
F D' B' R F' R2 B
B D2 R D' F2 B2 R'
B D2 R D' B2 R' F2
B D2 R D' B2 F2 R'
R2 F2 B' L U' L' R'
R2 F2 B' L U' R' L'
D' B L F2 R U2 F'
D F2 B2 D2 R F' R
D F2 B2 D2 F' R F'
D B L B' U2 L' B2
D B L B' U2 B2 L'
D' B R D2 F' B2 R'
D' B R D2 B2 F' R'
U' B R' U2 R' F' U'
D' B R2 D2 B2 R' F'
B' F L R2 U' L' R
B' F L R2 U' R L'
D B U2 L B' U2 B2
B' F R' U L R' U'
B' F R' U R' L U'
B' F R2 L U' L' R
B' F R2 L U' R L'
B' F U L R2 U' R
B' F U R2 L U' R
U' B' L F R2 B U'
L2 B' L R2 U' L R
L2 B' L R2 U' R L
R2 B' L U' L' R' D
R2 B' L U' L' R' D'
R2 B' L U' L' R' D2
R2 B' L U' L' D R'
R2 B' L U' L' D' R'
R2 B' L U' L' D2 R'
R2 B' L U' R' L' D
R2 B' L U' R' L' D'
R2 B' L U' R' L' D2
R2 B' L U' R' D L'
R2 B' L U' R' D' L'
R2 B' L U' R' D2 L'
R2 B' L U' D L' R'
R2 B' L U' D R' L'
R2 B' L U' D' L' R'
R2 B' L U' D' R' L'
R2 B' L U' D2 L' R'
R2 B' L U' D2 R' L'
R2 B' L D U' L' R'
R2 B' L D U' R' L'
R2 B' L D' U' L' R'
R2 B' L D' U' R' L'
R2 B' L D2 U' L' R'
R2 B' L D2 U' R' L'
L B' L R2 U' L2 R
L B' L R2 U' R L2
D B' L' R' F L B'
R B' L R U' L' R2
R B' L R U' R2 L'
D B' L' F L R' B'
D B' L' F R' L B'
L B' L' D R' F2 B2
L B' L' D R' B2 F2
L B' L' D F2 R' B2
D' B' R F' R2 D B
D' B' R F' R2 D' B
D' B' R F' R2 D2 B
D' B' R F' R2 B D
D' B' R F' R2 B D'
D' B' R F' R2 B D2
D' B' R F' B R2 B
D' B' R F' B' R2 B
D' B' R F' B2 R2 B
D' B' R B F' R2 B
D' B' R B' F' R2 B
D' B' R B2 F' R2 B
D' B' R' U2 F2 B U2
D' B' R' U2 B F2 U2
D' B' R' B' D2 F2 B2
D' B' R' B' D2 B2 F2
B' F' L R2 U' L' R
B' F' L R2 U' R L'
F' B' L R2 U' L' R
F' B' L R2 U' R L'
R2 B' R' U L R U'
R2 B' R' U R L U'
D B' R' L' F L B'
R B' R L U' L' R2
R B' R L U' R2 L'
F2 B' L R2 U' L' R
F2 B' L R2 U' R L'
L2 B' R2 L U' L R
L2 B' R2 L U' R L
D B' R' B' L' F L
R B' R' U L R2 U'
R B' R' U R2 L U'
D B' R2 D2 R F' B'
D B' R2 D2 R B' F'
D B' R2 D2 B' R F'
F B' L R2 U' L' R
F B' L R2 U' R L'
L B' R2 L U' L2 R
L B' R2 L U' R L2
D B' R2 B' D2 R F'
R B' U L R U' R2
R B' U R L U' R2
B' F' R' U L R' U'
B' F' R' U R' L U'
D2 B' D R F' R2 B
F' B' R' U L R' U'
F' B' R' U R' L U'
F2 B' R' U L R' U'
F2 B' R' U R' L U'
B' F' R2 L U' L' R
B' F' R2 L U' R L'
F' B' R2 L U' L' R
F' B' R2 L U' R L'
R2 B' D L U' L' R'
R2 B' D L U' R' L'
F2 B' R2 L U' L' R
F2 B' R2 L U' R L'
B' F' U L R2 U' R
B' F' U R2 L U' R
F B' R' U L R' U'
F B' R' U R' L U'
F' B' U L R2 U' R
R2 B' D' L U' L' R'
R2 B' D' L U' R' L'
F2 B' U L R2 U' R
F' B' U R2 L U' R
F2 B' U R2 L U' R
F B' R2 L U' L' R
F B' R2 L U' R L'
R2 B' D2 L U' L' R'
R2 B' D2 L U' R' L'
D B' D2 R F' R2 B'
D B' D2 R F' B' R2
D B' D2 R B' F' R2
D B' D2 R' B' D2 F2
D2 B' F' R' D' F2 B2
D2 B' F' R' D' B2 F2
F B' U L R2 U' R
F B' U R2 L U' R
R2 B' F L U' L' R'
R2 B' F L U' R' L'
R2 B' F' L U' L' R'
R2 B' F' L U' R' L'
R2 B' F2 L U' L' R'
R2 B' F2 L U' R' L'
B' F2 L R2 U' L' R
B' F2 L R2 U' R L'
D' B2 R D2 F' R B2
D' B2 R D2 F' B2 R
D' B2 R D2 B2 F' R
D' B2 R F' R2 B R'
D B2 R D2 R F' R
D B2 R D2 F' R F'
D B2 R' D2 R F' R
D B2 R' D2 F' R F'
B' F2 R' U L R' U'
B' F2 R' U R' L U'
D B2 R2 D2 R F' R
D B2 R2 D2 F' R F'
B' F2 R2 L U' L' R
B' F2 R2 L U' R L'
B' F2 U L R2 U' R
B' F2 U R2 L U' R
D B2 U2 L B' L U2
D B2 U2 B' L B' U2
D B2 D2 R F' R D
D B2 D2 R F' R D'
D B2 D2 R F' R D2
D B2 D2 R F' D R
D B2 D2 R F' D' R
D B2 D2 R F' D2 R
D B2 D2 F' R D F'
D B2 D2 F' R D' F'
D B2 D2 F' R D2 F'
D B2 D2 F' R F' D
