F' R B U L' B'
F2 L' U L F L' R
F2 L' U L F R L'
F2 L' F R B U L'
F' R U L' B' D' R2
D2 R U2 B R' U L
D R U2 B U L F'
D R U2 B U F' L
F' R D B U L' B'
F' R D' B U L' B'
F' R D2 B U L' B'
U R F L' B' U' R
F' R B U L' D B'
F' R B U L' D' B'
F' R B U L' D2 B'
F' R B U L' B' D
F' R B U L' B' D'
F' R B U L' B' D2
F' R B U D L' B'
F' R B U D' L' B'
F' R B U D2 L' B'
F' R B U B L' B'
F' R B U B' L' B'
F' R B U B2 L' B'
F' R B D U L' B'
F' R B D' U L' B'
F' R B D2 U L' B'
D' R' F' R2 U' L' F
D R' F' R2 U' L' F'
R U2 D2 B R' U L
R U2 F' B R U L
R U2 F2 B U L F
R U2 B F' R U L
R U2 B F2 U L F
R D2 U2 B R' U L
R' F L' F2 R2 U' L'
F' D R B U L' B'
L' F' R B U L' B'
L2 F' R B U L' B'
R' F' R2 U2 R' U L'
L F' R B U L' B'
R' F' R2 B2 L U' L2
D' F' U L' F R B'
D' F' U L' F B' R
D' F' U L' B' F R
F2 D' L' F R B U
R F' U2 B R U L'
F' D' R B U L' B'
D' F2 L' U F L' R
D' F2 L' U F R L'
F' D2 R B U L' B'
F' B R B U L' B'
B' F' R B U L' B'
F' B' R B U L' B'
B2 F' R B U L' B'
B F' R B U L' B'
F' B2 R B U L' B'
