D R' F2 L' F R
R' D F2 L' F R
D L D2 B' L U2 B
D L F B' L' U2 B
D L F' B' U2 B R
D L B' U2 D2 B R'
D L B' D2 U2 B R'
D L B' F L' U2 B
D L B' F' U2 B R
D L' R2 F' R F2 L'
B' L' U' F L2 U' B
D L' F U2 L' U2 L
D L' F' R' F2 L' R2
D L' F' R' F2 R2 L'
D L2 F L' B' U2 B
D' R D2 F' R D2 L2
U R B2 L B' R' U
D' R' U2 B R U2 R2
F' R' D F2 L' F R
L U' B' U2 L B U'
F2 R' D F2 L' F R
F R' D F2 L' F R
D R' F' R F' L' F
D R' F' D2 R F' L'
D R' F2 L' R F R
D R' F2 L' R' F R
D R' F2 L' R2 F R
D R' F2 L' D F R
D R' F2 L' D' F R
D R' F2 L' D2 F R
D R' F2 L' F R D
D R' F2 L' F R D'
D R' F2 L' F R D2
D R' F2 L' F D R
D R' F2 L' F D' R
D R' F2 L' F D2 R
D R' F2 R L' F R
D R' F2 R' L' F R
D R' F2 R2 L' F R
D' R' B R U2 R2 B'
D' R' B R U2 B' R2
R U2 D' R' B U2 R'
D R2 L' F' R F2 L'
D' R2 D2 L2 R' F' R
D' R2 D2 R' L2 F' R
D' R2 D2 R' F' L2 R
D' R2 D2 R' F' R L2
D R2 F' R F2 L' F
D R2 F' D2 L2 R F'
D R2 F' D2 R L2 F'
D R2 F' D2 R F' L2
R D R2 F2 L' F R
R' D F' R F' L' F
R' D F' D2 R F' L'
R' D F2 L' R F R
R' D F2 L' R' F R
R' D F2 L' R2 F R
R' D F2 L' D F R
R' D F2 L' D' F R
R' D F2 L' D2 F R
R' D F2 L' F R D
R' D F2 L' F R D'
R' D F2 L' F R D2
R' D F2 L' F D R
R' D F2 L' F D' R
R' D F2 L' F D2 R
R' D F2 R L' F R
R' D F2 R' L' F R
R' D F2 R2 L' F R
B U D2 R' B U B2
R D' R D2 L2 F' R
R D' R D2 F' L2 R
R D' R D2 F' R L2
R D' R' B U2 R' B'
B' U' L U' B D' R2
B' U' L U2 B' U B2
B' U' L' F L2 U' B
R D' U2 R' B U2 R'
U2 D' F R2 B R' F'
B' U' D' L U' B R'
D' U2 F R2 B R' F'
D F L B' L2 U2 B
D F L' B U2 F B'
D F L' B U2 B' F
D F L' B' U2 F B
D F L' B' U2 B F
D F L' B2 U2 F B2
D F L' B2 U2 B2 F
D F R' F2 L' R F
D F R' F2 R L' F
D F U2 L' U2 F L
U2 F D' R2 B R' F'
F' D R' F2 L' F R
F2 D R' F2 L' F R
F D R' F2 L' F R
D F B' L' U2 F B
D F B' L' U2 B F
D F B2 L' U2 F B2
D F B2 L' U2 B2 F
D F' L B' U2 B R
U F' L2 B' L F U'
D F' R' F2 L' R2 F
D F' R' F2 L' F R2
D F' R' F2 R2 L' F
R' F' D F' L' R F
R' F' D F' R L' F
B' D' U' L U' B R'
R' F2 D L' F' R F2
B D2 U R' B U B2
D B L2 F L' B' U2
D' B R' B' D2 F2 L'
D' B U2 R F' R2 B'
D' B U2 R F' B' R2
D' B U2 R B' F' R2
D' B U2 R' B' D2 F2
L B U R' B2 U B
L' B' U' F L U' B
L B' U2 L U' L' B
L B' U2 L U' B L'
D' B' D2 L B' U2 B2
D B' F L' U2 F B
D B' F L' U2 B F
D' B2 U2 F R F' B2
D' B2 U2 F R B2 F'
D' B2 U2 F B2 R F'
D' B2 U2 B2 F R F'
D B2 F L' U2 F B2
D B2 F L' U2 B2 F
