U' L U' B' R' B2
F' L' U' L2 U' B
F' L' U2 D F2 B
F' L' U2 D B F2
F' L' U2 B D F2
F' L' D U2 F2 B
F' L' D U2 B F2
F' L' D' B2 U2 B'
B2 U R' U B' R'
F U' L U' B R
L' D' B2 U2 B' R'
F U2 B D' R F'
U B2 R' U B' R'
U' L R' F' R U' B
U' L U F U2 B R
U' L U F' L' U2 B
U2 L U' L' B D' R2
U' L U' R B' R' B
U' L U' D B' R' B2
U' L U' D' B' R' B2
U' L U' D2 B' R' B2
U' L U' B U2 L U2
U' L U' B' R B2 R2
U' L U' B' R' B2 D
U' L U' B' R' B2 D'
U' L U' B' R' B2 D2
U' L U' B' R2 B2 R
U' L U2 L' B' U B2
U' L U2 B2 U B' R'
U' L D U' B' R' B2
U' L D' U' B' R' B2
U' L D2 U' B' R' B2
U' L F U' B' R' B2
U L F U2 F' U B
U' L F' U' B' R' B2
U' L F2 U' B' R' B2
U2 L B' U' L' R' B2
U2 L B' U' R' L' B2
U2 L B' U' R' B2 L'
F' L' U' L2 U' D B
F' L' U' L2 U' D' B
F' L' U' L2 U' D2 B
F' L' U' L2 U' B D
F' L' U' L2 U' B D'
F' L' U' L2 U' B D2
F' L' U' L2 D U' B
F' L' U' L2 D' U' B
F' L' U' L2 D2 U' B
F L' U' L2 U' B R
F' L' U2 D F2 D B
F' L' U2 D F2 D' B
F' L' U2 D F2 D2 B
F' L' U2 D F2 B D
F' L' U2 D F2 B D'
F' L' U2 D F2 B D2
F' L' U2 D B F2 D
F' L' U2 D B F2 D'
F' L' U2 D B F2 D2
F' L' U2 D2 B D' F2
U L' U2 L2 F U' B
F' L' U2 F D F2 B
F' L' U2 F D B F2
F' L' U2 F B D F2
F' L' U2 F' D F2 B
F' L' U2 F' D B F2
F' L' U2 F' B D F2
F L' U2 D B R F2
F' L' U2 F2 D F2 B
F' L' U2 F2 D B F2
F' L' U2 F2 B D F2
F' L' U2 B U L2 U'
F' L' U2 B D F2 D
F' L' U2 B D F2 D'
F' L' U2 B D F2 D2
F' L' U2 B F D F2
F' L' U2 B F' D F2
F' L' U2 B F2 D F2
F' L' U2 B2 D F2 B'
F' L' U2 B2 D B' F2
F L' U2 B R D F2
F L' U2 B D R F2
F' L' D U2 F2 D B
F' L' D U2 F2 D' B
F' L' D U2 F2 D2 B
F' L' D U2 F2 B D
F' L' D U2 F2 B D'
F' L' D U2 F2 B D2
F' L' D U2 B F2 D
F' L' D U2 B F2 D'
F' L' D U2 B F2 D2
F' L' D F U2 F B
F' L' D F U2 B F
F' L' D F' U2 F' B
F' L' D F' U2 B F'
F' L' D B' U2 F2 B2
F' L' D B' U2 B2 F2
F L' D U2 B R F2
F' L' D B2 U2 F2 B'
F' L' D B2 U2 B' F2
U L' D B' U F2 B2
U L' D B' U B2 F2
F' L' D' F B2 U2 B'
F' L' D' F' B2 U2 B'
F' L' D' F2 B2 U2 B'
D2 L' D' B2 U2 B' R'
D' L' D' B2 U2 B' R'
F' L' D' B2 U2 D B'
F' L' D' B2 U2 D' B'
F' L' D' B2 U2 D2 B'
