B L R' F' U' L' U'
B' R U L F B R2
B' R U L B R2 F
B' R U L B F R2
F R B' U L R' B2
F R B' U R' L B2
B R' L F' U' L' U'
B R' F' L U' L2 U'
B R' F' L U2 D F2
B R' F' L D U2 F2
B R' F' L D' B2 U2
B' U L F R' D B2
B' F R U L B R2
R2 B' U L R' F B
R2 B' U L R' B F
R2 B' U L F R' B
R2 B' U R' L F B
R2 B' U R' L B F
R2 B' U' L R' F' B
R2 B' U' L R' B F'
R2 B' U' R' L F' B
R2 B' U' R' L B F'
R2 B' U' R' F' L B
R B' U L R' F B2
R B' U L R' B2 F
R B' U L F R' B2
R B' U R' L F B2
R B' U R' L B2 F
R B' U' L R' F' B2
R B' U' L R' B2 F'
R B' U' R' L F' B2
R B' U' R' L B2 F'
R B' U' R' F' L B2
F B' R U L B R2
