R' U' L2 F' R2 U'
R' U' F' L2 R2 U'
R' U' F' R2 L2 U'
L2 R U R2 U' F' U'
R' L U' L F' R2 U'
R' L U' F' L R2 U'
R' L U' F' R2 L U'
L2 R U2 D' F2 B U
L2 R U2 D' B F2 U
L2 R U2 D2 B U L2
L2 R U2 B U D2 L2
L2 R U2 B U' R2 U2
L2 R U2 B D' F2 U
L2 R U2 B D2 U L2
L2 R D B2 U2 B' U
L2 R D' U2 F2 B U
L2 R D' U2 B F2 U
L2 R D2 U2 B U L2
L2 R B U R2 U2 R2
L2 R B' D2 F2 U' L2
L' R' U' L' F' R2 U'
R' L' U' L' F' R2 U'
L R' U' L F' R2 U'
L R' U' F' L R2 U'
L R' U' F' R2 L U'
L2 R' U' F' R2 U' F
L2 R' F' R2 U R2 U2
L2 R' F' R2 U' D2 L2
L2 R' F' R2 D B2 U'
L2 R' F' R2 D2 U' L2
R L2 U R2 U' F' U'
R' L2 U' F' R2 U' F
R L2 U2 D' F2 B U
R L2 U2 D' B F2 U
R L2 U2 D2 B U L2
R L2 U2 B U D2 L2
R L2 U2 B U' R2 U2
R L2 U2 B D' F2 U
R L2 U2 B D2 U L2
R L2 D B2 U2 B' U
R L2 D' U2 F2 B U
R L2 D' U2 B F2 U
B2 L2 R U2 B U L'
R L2 D2 U2 B U L2
R' L2 F' R2 U R2 U2
R' L2 F' R2 U' D2 L2
R' L2 F' R2 D B2 U'
R' L2 F' R2 D2 U' L2
R L2 B U R2 U2 R2
R L2 B' D2 F2 U' L2
R U R2 U' L2 F' U'
R U R2 U' F' L2 U'
F2 L2 B2 R' F' U' L
R' U D2 L2 R2 B U
R' U D2 R2 L2 B U
R' U D2 R2 B L2 U
R' U F' L2 R2 B' U'
B2 R L2 U2 B U L'
R' U F' L2 B' R2 U'
R' U F' R2 L2 B' U'
D' R D B2 L2 F U'
R' U' L F' L R2 U'
R' U' L F' R2 L U'
R' U' L2 R2 U2 B U
R' U' L2 D F' U' B2
R' U' L2 F R2 F2 U'
R' U' L2 F' R2 U' D
R' U' L2 F' R2 U' D'
R' U' L2 F' R2 U' D2
R' U' L2 F' R2 D U'
R' U' L2 F' R2 D' U'
R' U' L2 F' R2 D2 U'
R' U' L2 F' U' D B2
R' U' L2 F' D U' B2
R' U' L2 F2 R2 F U'
R' U' R2 L2 U2 B U
R' U' D F' U' F' B2
R' U' D F' U' B2 F'
R' U' F L2 R2 F2 U'
R' U' F L2 F2 R2 U'
R' U' F R2 L2 F2 U'
R' U' F R2 F2 L2 U'
R' U' F' L2 R2 U' D
R' U' F' L2 R2 U' D'
R' U' F' L2 R2 U' D2
R' U' F' L2 R2 D U'
R' U' F' L2 R2 D' U'
R' U' F' L2 R2 D2 U'
R' U' F' L2 U' D B2
R' U' F' L2 D U' B2
R' U' F' R2 L2 U' D
R' U' F' R2 L2 U' D'
R' U' F' R2 L2 U' D2
R' U' F' R2 L2 D U'
R' U' F' R2 L2 D' U'
R' U' F' R2 L2 D2 U'
R' U' F' R2 U' D F2
R' U' F' R2 D U' F2
R' U' F' U' D F2 B2
R' U' F' U' D B2 F2
R' U' F' D U' F2 B2
R' U' F' D U' B2 F2
R' U' F2 R2 F L2 U'
F R' U' L2 F' R U'
F R' U' F' L2 R U'
F R' U' F' R L2 U'
R' U2 L2 F' R2 U' L2
B2 R' F' L2 R2 U' L'
B2 R' F' R2 L2 U' L'
D' R' B2 U' F' R2 U'
R' U2 F D R2 F2 B2
R' U2 F D R2 B2 F2
R' U2 F D F2 R2 B2
R' U2 F D F2 B2 R2
R' U2 F D B2 R2 F2
R' U2 F D B2 F2 R2
R' U2 F' L2 R2 U' L2
R U2 D2 B R2 U L2
R' U2 F' R2 L2 U' L2
R U2 B D2 R2 U L2
R' D U' F' U' F' B2
R' D U' F' U' B2 F'
R D B2 L2 F U' F
R D B2 U2 B' U F2
R D B2 D' L2 F U'
R' D' F2 B2 U' F U'
R' D' B2 F2 U' F U'
R' D2 U L2 R2 B U
R' D2 U R2 L2 B U
R' D2 U R2 B L2 U
R D2 U2 B R2 U L2
R' F U' L2 R2 F2 U'
R' F U' L2 F2 R2 U'
R' F U' R2 L2 F2 U'
R' F U' R2 F2 L2 U'
R' F U' F2 L2 R2 U'
R' F U' F2 R2 L2 U'
R' F U2 D R2 F2 B2
R' F U2 D R2 B2 F2
R' F U2 D F2 R2 B2
R' F U2 D F2 B2 R2
R' F U2 D B2 R2 F2
R' F U2 D B2 F2 R2
R' F D U2 R2 F2 B2
R' F D U2 R2 B2 F2
R' F D U2 F2 R2 B2
R' F D U2 F2 B2 R2
R' F D U2 B2 R2 F2
R' F D U2 B2 F2 R2
R' F D' L2 F2 B2 U2
R' F D' L2 B2 F2 U2
R' F D' F2 L2 B2 U2
R' F D' F2 B2 L2 U2
R' F D' B2 L2 F2 U2
R' F D' B2 F2 L2 U2
R' F' L2 R2 U R2 U2
R' F' L2 R2 U' D2 L2
R' F' L2 R2 D B2 U'
R' F' L2 R2 D2 U' L2
R' F' R2 L2 U R2 U2
R' F' R2 L2 U' D2 L2
R' F' R2 L2 D B2 U'
R' F' R2 L2 D2 U' L2
R' F' R2 D B2 U' F2
R' F' U' L2 R2 U' R2
R' F' U' R2 L2 U' R2
R' F2 U' R2 F L2 U'
R' F2 U' F L2 R2 U'
R' F2 U' F R2 L2 U'
R B L2 U R2 U2 R2
R' B U' L2 F' R2 U'
R' B U' F' L2 R2 U'
R' B U' F' R2 L2 U'
R B' L2 D2 F2 U' L2
R' B' U' L2 F' R2 U'
R' B' U' F' L2 R2 U'
R' B' U' F' R2 L2 U'
R B2 L2 D F B2 U'
R B2 L2 D B2 F U'
R B2 L2 D2 F U' L2
R B2 L2 F U R2 U2
R B2 L2 F U' D2 L2
R B2 L2 F D B2 U'
R B2 L2 F D2 U' L2
L2 B2 R' F' R2 U' L
R' B2 U' L2 F' R2 U'
R' B2 U' F' L2 R2 U'
R' B2 U' F' R2 L2 U'
