B' L F' R F2 D B2
F L' B' U' R' U' L
B' U2 R' U' L F' R
B' U2 R' U' F' L R
B' U2 R' U' F' R L
U' F' L' U' R B' L
U' F' L' U' B' L R
U' F' L' U' B' R L
D2 B L U R' F L'
D2 B L U F L' R'
D2 B L U F R' L'
B' F' L R D F B2
B' F' L R D B2 F
B' F' L R F D B2
F' B' L R D F B2
F' B' L R D B2 F
F' B' L R F D B2
F2 B' L F R D B2
B' F' R L D F B2
B' F' R L D B2 F
B' F' R L F D B2
B' F' R D L F B2
B' F' R D L B2 F
F' B' R L D F B2
F' B' R L D B2 F
F' B' R L F D B2
F' B' R D L F B2
F' B' R D L B2 F
B' F2 L F R D B2
