D L U2 B' L2 U' R'
F L B' U L R F
F L B' U R L F
U L' U2 B' L2 U L'
L' U2 L2 B' U L R'
L' U2 L2 B' U R' L
L U2 L2 B' U' L R'
L U2 L2 B' U' R' L
L' U2 B' L2 U L' R'
L' U2 B' L2 U R' L'
L U2 B' L2 U' L' R'
L U2 B' L2 U' R' L'
B' U' L' U' B' L2 R'
B' U' L' U' B' R' L2
B2 U' L' R' F' B' U'
B2 U' L' R' B' F' U'
B2 U' R' L' F' B' U'
B2 U' R' L' B' F' U'
L' D2 R2 F U' L' R
L' D2 R2 F U' R L'
L D2 R2 F U L' R
L D2 R2 F U R L'
L' D2 F R2 U' L' R'
L' D2 F R2 U' R' L'
L D2 F R2 U L' R'
L D2 F R2 U R' L'
F2 D' L R F' B' U
F2 D' L R B' F' U
F2 D' L B' R F' U
F2 D' R L F' B' U
F2 D' R L B' F' U
F2 D' R F' L B' U
D' F2 L R F' U R
D' F2 R L F' U R
D' F2 R F' L U R
B' F U L R F B
B' F U L R B F
B' F U R L F B
B' F U R L B F
F B' U L R F B
F B' U L R B F
F B' U R L F B
F B' U R L B F
