F' U' F L2
F' U' F L2 D
F' U' F L2 D'
F' U' F L2 D2
F' U' F' L2 F2
F' U' F2 L2 F'
L' F' U' F L'
U F' U' L2 B'
L F' U' F L
D' F' B2 U' F
F' D' B2 U' F
F' B U' F L2
B' F' U' F L2
F' B' U' F L2
B2 F' U' F L2
B F' U' F L2
F' B2 U' F L2
D' B2 F' U' F
F' L U' L' F L2
B' L F' U' F L
B2 L F' U' F L
B L F' U' F L
D' L F' B2 U' F
F L F2 U' F L
L2 R' U R F' U'
D' L B2 F' U' F
R' L2 U R F' U'
L2 R2 U R2 F' U'
R2 L2 U R2 F' U'
B' L' F' U' F L'
B2 L' F' U' F L'
D' L' F' B2 U' F
B L' F' U' F L'
D' L' B2 F' U' F
U' L2 U F' U' F
R' U R F' U' L2
D' L2 F' B2 U' F
R2 U R2 F' U' L2
D' L2 B2 F' U' F
L2 U F' U F U2
U2 R2 B U L2 F
L' D F' U' F L'
F' U R U2 F L2
L D F' U' F L
F' U R' U2 F L2
F' U R2 U2 F L2
F' U D2 R2 U2 F
B2 U F' U' L2 B'
B' U F' U' L2 B'
B U F' U' L2 B'
F' U B U2 F L2
F' U B' U2 F L2
F' U B2 U2 F L2
L' D' F' U' F L'
F' U' L2 U2 B' U2
F' U' R F L2 R'
F' U' R F R' L2
L D' F' U' F L
F U' L2 D F' R2
F' U' R2 F L2 R2
F' U' R2 F R2 L2
F' U' D' F D L2
F' U' D2 F D2 L2
F' U' F L D L
F' U' F L D' L
F' U' F L D2 L
F' U' F L' D L'
F' U' F L' D' L'
F' U' F L' D2 L'
F' U' F B' L2 B
F' U' F B2 L2 B2
F' U' F' L F2 L
F' U' F' L F2 L
F' U' F' L2 F2 D
F' U' F' L2 F2 D'
F' U' F' L2 F2 D2
F' U' F2 L F' L
F' U' F2 L2 D F'
F' U' F2 L2 D' F'
F' U' F2 L2 D2 F'
F' U' F2 L2 F' D
F' U' F2 L2 F' D'
F' U' F2 L2 F' D2
F' U' B' F L2 B
F' U' B2 F L2 B2
L' D2 F' U' F L'
F' U2 R U F L2
L D2 F' U' F L
F' U2 R' U F L2
F' U2 R' U F L2
F' U2 R2 U F L2
F' U2 D F2 U F'
F' U2 F' U L2 F2
F' U2 F' U F2 L2
F' U2 F2 U L2 F'
F' U2 F2 U F' L2
F' D U2 F2 U F'
L2 F' L U' L' F
L2 F' L2 U' L2 F
L' F' U' F L' D
L' F' U' F L' D'
L' F' U' F L' D2
L' F' U' F D L'
L' F' U' F D' L'
L' F' U' F D2 L'
U F' R U' L2 B'
U F' R' U' L2 B'
D2 F' U R2 U2 F
U F' R2 U' L2 B'
D2 F' U' D2 F L2
D' F' U' D F L2
D2 F' U' F D2 L2
D' F' U' F D L2
L F' U' D F L
L F' U' D' F L
L F' U' D2 F L
L F' U' F L D
L F' U' F L D'
L F' U' F L D2
U F' U F U2 L2
L F' U' F D L
L F' U' F D' L
L F' U' F D2 L
L F' U' F' L F2
L F' U' F2 L F'
D F' U' F D' L2
U F' U' L2 D B'
U F' U' L2 D' B'
U F' U' L2 D2 B'
U F' U' L2 B' D
U F' U' L2 B' D'
U F' U' L2 B' D2
D' F' D U' F L2
L' F' B U' F L'
U F' U' B L2 B'
U F' U' B' L2 B'
D2 F' D B2 U' F
U F' U' B2 L2 B'
D F' U2 F' U F2
L F' D U' F L
L' F' B' U' F L'
L F' D' U' F L
L' F' B2 U' F L'
D2 F' D2 U' F L2
L F' D2 U' F L
F' D' U' F D L2
D' F' B2 U' D F
D' F' B2 U' D' F
D' F' B2 U' D2 F
D' F' B2 U' F D
D' F' B2 U' F D'
D' F' B2 U' F D2
D' F' B2 D U' F
D' F' B2 D' U' F
D' F' B2 D2 U' F
U F' B U' L2 B'
U F' B' U' L2 B'
U F' B2 U' L2 B'
F2 D' F L2 B2 U'
F2 D' F B2 L2 U'
B' D' F' B2 U' F
B2 D' F' B2 U' F
B D' F' B2 U' F
F' D' B2 U' D F
F' D' B2 U' D' F
F' D' B2 U' D2 F
F' D' B2 U' F D
F' D' B2 U' F D'
F' D' B2 U' F D'
F' D' B2 U' F D2
F' D' B2 D U' F
F' D' B2 D' U' F
F' D' B2 D2 U' F
B' D' B2 F' U' F
B2 D' B2 F' U' F
F2 D' B2 F L2 U'
B D' B2 F' U' F
F' D2 U R2 U2 F
F' D2 U' F D2 L2
L' B F' U' F L'
F' B U' F L2 D
F' B U' F L2 D'
F' B U' F L2 D2
F' B U' F' L2 F2
F' B U' F2 L2 F'
U B F' U' L2 B'
F' B D' B2 U' F
L' B' F' U' F L'
F' B' U' F L2 D
F' B' U' F L2 D'
F' B' U' F L2 D2
F' B' U' F' L2 F2
F' B' U' F2 L2 F'
B' F' U' F L2 D
B' F' U' F L2 D'
B' F' U' F L2 D2
B' F' U' F' L2 F2
B' F' U' F2 L2 F'
B2 F' U' F L2 D
B2 F' U' F L2 D'
B2 F' U' F L2 D2
B2 F' U' F' L2 F2
B2 F' U' F2 L2 F'
B F' U' F L2 D
B F' U' F L2 D'
B F' U' F L2 D2
B F' U' F' L2 F2
B F' U' F2 L2 F'
D' B2 L F' U' F
F' B' D' B2 U' F
B' F' D' B2 U' F
U B' F' U' L2 B'
D' B2 L' F' U' F
B2 F' D' B2 U' F
D' B2 L2 F' U' F
B F' D' B2 U' F
F' B2 U' F L2 D
F' B2 U' F L2 D'
F' B2 U' F L2 D2
F' B2 U' F' L2 F2
F' B2 U' F2 L2 F'
D' B2 D F' U' F
L' B2 F' U' F L'
D' B2 D' F' U' F
D' B2 D2 F' U' F
F' B2 D' B2 U' F
D' B2 F' U' D F
D' B2 F' U' D' F
D' B2 F' U' D2 F
D' B2 F' U' F D
D' B2 F' U' F D'
D' B2 F' U' F D2
D' B2 F' D U' F
D' B2 F' D' U' F
D' B2 F' D2 U' F
U B2 F' U' L2 B'
R' L U R F' U' L
L2 R U R' F U' R
R2 L U R2 F' U' L
L2 R U F R' U' R2
U' L U F' U' F L
F' L U' L U2 B' U2
F' L U' L' F L2 D
F' L U' L' F L2 D'
F' L U' L' F L2 D2
F' L U' L' F' L2 F2
F' L U' L' F2 L2 F'
F L U' L D F' R2
U L U' L' F' U' L2
F' L U' F L' F L2
F L U' D L F' R2
F L U' D F' L R2
F L U' D F' R2 L
F' L U' F' L' F L2
F' L U' F2 L' F L2
F L D U' L F' R2
D' L D F' U' F L2
B' L D F' U' F L
F L D U' F' L R2
F L D U' F' R2 L
D2 L D F' B2 U' F
B2 L D F' U' F L
B L D F' U' F L
D2 L D B2 F' U' F
B' L D' F' U' F L
D L D' F' U' F L2
B2 L D' F' U' F L
B L D' F' U' F L
D2 L D2 F' U' F L2
B' L D2 F' U' F L
B2 L D2 F' U' F L
D L D2 F' B2 U' F
B L D2 F' U' F L
D L D2 B2 F' U' F
D2 L F' U R2 U2 F
D2 L F' U' D2 F L2
D2 L F' U' F D2 L2
D' L F' U' D F L2
D' L F' U' F D L2
B' L F' U' D F L
B' L F' U' D' F L
B' L F' U' D2 F L
B' L F' U' F L D
B' L F' U' F L D'
B' L F' U' F L D2
B' L F' U' F D L
B' L F' U' F D' L
B' L F' U' F D2 L
B' L F' U' F' L F2
B' L F' U' F2 L F'
D L F' U' F D' L2
B2 L F' U' D F L
B2 L F' U' D' F L
B2 L F' U' D2 F L
D' L F' D U' F L2
B2 L F' U' F L D
B2 L F' U' F L D'
B2 L F' U' F L D2
B2 L F' U' F D L
B2 L F' U' F D' L
B2 L F' U' F D2 L
B2 L F' U' F' L F2
D2 L F' D B2 U' F
B2 L F' U' F2 L F'
D L F' U2 F' U F2
B' L F' D U' F L
D2 L F' D2 U' F L2
B L F' U' D F L
B L F' U' D' F L
B L F' U' D2 F L
B L F' U' F L D
B L F' U' F L D'
B L F' U' F L D2
B L F' U' F D L
B L F' U' F D' L
B L F' U' F D2 L
B L F' U' F' L F2
B L F' U' F2 L F'
B2 L F' D U' F L
B' L F' D' U' F L
B2 L F' D' U' F L
B' L F' D2 U' F L
B L F' D U' F L
B2 L F' D2 U' F L
D' L F' B2 U' D F
D' L F' B2 U' D' F
D' L F' B2 U' D2 F
D' L F' B2 U' F D
D' L F' B2 U' F D'
D' L F' B2 U' F D2
B L F' D' U' F L
D' L F' B2 D U' F
D' L F' B2 D' U' F
D' L F' B2 D2 U' F
B L F' D2 U' F L
F L F2 U' D F L
F L F2 U' D' F L
F L F2 U' D2 F L
F L F2 U' F L D
F L F2 U' F L D'
F L F2 U' F L D2
F L F2 U' F D L
F L F2 U' F D' L
F L F2 U' F D2 L
F L F2 U' F' L F2
F L F2 U' F2 L F'
F L F2 D U' F L
F L F2 D' U' F L
F L F2 D2 U' F L
L2 R' U R D F' U'
L2 R' U R D' F' U'
L R' U R F' U' L
L2 R' U R D2 F' U'
L2 R' U R F' U' D
L2 R' U R F' U' D'
L2 R' U R F' U' D2
L2 R' U R F' D U'
L2 R' U R F' D' U'
L2 R' U R F' D2 U'
D' L B2 L F' U' F
D' L B2 L' F' U' F
D' L B2 L2 F' U' F
D' L B2 D F' U' F
D' L B2 D' F' U' F
D' L B2 D2 F' U' F
D' L B2 F' U' D F
D' L B2 F' U' D' F
D' L B2 F' U' D2 F
D' L B2 F' U' F D
D' L B2 F' U' F D'
D' L B2 F' U' F D2
D' L B2 F' D U' F
D' L B2 F' D' U' F
D' L B2 F' D2 U' F
L2 R' D B R' D B2
U' L' U F' U' F L'
F2 L' U' L' F R F
F L' U' L' D F' R2
U L' U' L F' U' L2
F L' U' D L' F' R2
F' L' U2 R' U L' F'
F' L' D L U' F L2
D' L' D F' U' F L2
D2 L' D F' B2 U' F
B' L' D F' U' F L'
F L' D U' L' F' R2
B2 L' D F' U' F L'
D2 L' D B2 F' U' F
B L' D F' U' F L'
F' L' D' L U' F L2
L2 R' B U R F' U'
B' L' D' F' U' F L'
B2 L' D' F' U' F L'
D L' D' F' U' F L2
B L' D' F' U' F L'
F' L' D2 L U' F L2
L2 R' B' U R F' U'
D2 L' D2 F' U' F L2
B' L' D2 F' U' F L'
B2 L' D2 F' U' F L'
D L' D2 F' B2 U' F
B L' D2 F' U' F L'
D L' D2 B2 F' U' F
L2 R' B2 U R F' U'
R' L2 U R D F' U'
R' L2 U R D' F' U'
R' L2 U R D2 F' U'
R' L2 U R F' U' D
R' L2 U R F' U' D'
R' L2 U R F' U' D2
R' L2 U R F' D U'
R' L2 U R F' D' U'
R' L2 U R F' D2 U'
D2 L' F' U R2 U2 F
D' L' F' U' D F L2
D2 L' F' U' D2 F L2
D' L' F' U' F D L2
D2 L' F' U' F D2 L2
L2 R2 U R2 D F' U'
R2 L2 U R2 D F' U'
R2 L2 U R2 D' F' U'
L2 R2 U R2 D' F' U'
R2 L2 U R2 D2 F' U'
L2 R2 U R2 D2 F' U'
R2 L2 U R2 F' U' D
R2 L2 U R2 F' U' D'
R2 L2 U R2 F' U' D2
L2 R2 U R2 F' U' D
L2 R2 U R2 F' U' D'
L2 R2 U R2 F' U' D2
R2 L2 U R2 F' D U'
R2 L2 U R2 F' D' U'
L2 R2 U R2 F' D U'
R2 L2 U R2 F' D2 U'
L2 R2 U R2 F' D' U'
L2 R2 U R2 F' D2 U'
B' L' F' U' F L' D
B' L' F' U' F L' D'
B' L' F' U' F L' D2
B' L' F' U' F D L'
B' L' F' U' F D' L'
B' L' F' U' F D2 L'
L R2 U R2 F' U' L
D' L' F' D U' F L2
D2 L' F' D B2 U' F
R L2 U R' F U' R
B2 L' F' U' F L' D
B2 L' F' U' F L' D'
B2 L' F' U' F L' D2
B2 L' F' U' F D L'
B2 L' F' U' F D' L'
B2 L' F' U' F D2 L'
D2 L' F' D2 U' F L2
L2 R2 U F R2 F' U'
R2 L2 U F R2 F' U'
D L' F' U' F D' L2
B L' F' U' F L' D
B L' F' U' F L' D'
B L' F' U' F L' D2
B L' F' U' F D L'
B L' F' U' F D' L'
B L' F' U' F D2 L'
L2 R2 U F' R2 F' U'
R2 L2 U F' R2 F' U'
D L' F' U2 F' U F2
B' L' F' B U' F L'
L2 R2 U F2 R2 F' U'
D' L' F' B2 U' D F
D' L' F' B2 U' D' F
D' L' F' B2 U' D2 F
D' L' F' B2 U' F D
D' L' F' B2 U' F D'
D' L' F' B2 U' F D2
D' L' F' B2 D U' F
R2 L2 U F2 R2 F' U'
D' L' F' B2 D' U' F
D' L' F' B2 D2 U' F
B' L' F' B' U' F L'
R L2 U F R' U' R2
B' L' F' B2 U' F L'
B2 L' F' B U' F L'
B2 L' F' B' U' F L'
B L' F' B U' F L'
B2 L' F' B2 U' F L'
B L' F' B' U' F L'
B L' F' B2 U' F L'
L2 R2 U' D B U B
R2 L2 U' D B U B
L2 R2 U' D2 L2 B U
R2 L2 U' D2 L2 B U
L2 R2 U' D2 B L2 U
R2 L2 U' D2 B L2 U
F L' F2 U R U2 F
F L' F2 U' F2 L' F'
L2 R2 U' B U D B2
L2 R2 U' B U2 R2 U'
F' L' B L U' F L2
L2 R2 U' B D U B2
R2 L2 U' B U D B2
L2 R2 U' B D2 L2 U
R2 L2 U' B U2 R2 U'
R2 L2 U' B D U B2
R2 L2 U' B D2 L2 U
B' L' B F' U' F L'
F' L' B' L U' F L2
B2 L' B F' U' F L'
B L' B F' U' F L'
R' L2 D B R' D B2
L2 R2 D U' B U B
R2 L2 D U' B U B
B' L' B' F' U' F L'
D' L' B2 L F' U' F
F' L' B2 L U' F L2
D' L' B2 L' F' U' F
L2 R2 D B' D' R2 B'
L2 R2 D B' D' B' R2
B2 L' B' F' U' F L'
R2 L2 D B' D' R2 B'
R2 L2 D B' D' B' R2
D' L' B2 L2 F' U' F
L2 R2 D B2 U' B' U
R2 L2 D B2 U' B' U
B L' B' F' U' F L'
D' L' B2 D F' U' F
D' L' B2 D' F' U' F
D' L' B2 D2 F' U' F
D' L' B2 F' U' D F
D' L' B2 F' U' D' F
D' L' B2 F' U' D2 F
D' L' B2 F' U' F D
D' L' B2 F' U' F D'
D' L' B2 F' U' F D2
D' L' B2 F' D U' F
D' L' B2 F' D' U' F
D' L' B2 F' D2 U' F
B' L' B2 F' U' F L'
B2 L' B2 F' U' F L'
B L' B2 F' U' F L'
L2 R2 D2 U' L2 B U
L2 R2 D2 U' B L2 U
R2 L2 D2 U' L2 B U
R2 L2 D2 U' B L2 U
B' L2 R' U R F' U'
B2 L2 R' U R F' U'
L2 R2 D2 B' D' R2 B2
L2 R2 D2 B' D' B2 R2
R2 L2 D2 B' D' R2 B2
R2 L2 D2 B' D' B2 R2
B L2 R' U R F' U'
B' L2 R2 U R2 F' U'
U' L2 R2 U' B R2 U
B2 L2 R2 U R2 F' U'
B L2 R2 U R2 F' U'
F L2 R2 D R2 F' B2
F L2 R2 D R2 B2 F'
U' L2 U L F' U' F
U' L2 U L' F' U' F
U' L2 U L2 F' U' F
U' L2 U D F' U' F
U' L2 U D' F' U' F
U' L2 U D2 F' U' F
B' L2 U F' U F U2
U' L2 U F' U' D F
U' L2 U F' U' D' F
U' L2 U F' U' D2 F
U' L2 U F' U' F D
U' L2 U F' U' F D'
U' L2 U F' U' F D2
U' L2 U F' D U' F
U' L2 U F' D' U' F
U' L2 U F' D2 U' F
B2 L2 U F' U F U2
F' L2 U B' U' B U'
B L2 U F' U F U2
R' L2 B U R F' U'
F' L2 U' F2 D' L2 F
F2 L2 U' B' U F2 B
F2 L2 U' B' U B F2
L2 R2 B U R2 U' R2
R2 L2 B U R2 U' R2
U L2 U' F' L2 B' U'
L2 R2 B D B2 D' R2
R2 L2 B D B2 D' R2
R' L2 B' U R F' U'
F' L2 D L2 U' F L2
L2 R2 B' D B2 D2 R2
L2 R2 B' D' R2 D2 B2
U' L2 D U F' U' F
R2 L2 B' D B2 D2 R2
R2 L2 B' D' R2 D2 B2
D2 L2 D F' B2 U' F
D' L2 D F' U' F L2
R' L2 B2 U R F' U'
D2 L2 D B2 F' U' F
F L2 D F' R2 D B2
F' L2 D' L2 U' F L2
F2 L2 D' L2 F U' L2
U' L2 D' U F' U' F
D L2 D' F' U' F L2
F' L2 D2 L2 U' F L2
U' L2 D2 U F' U' F
D2 L2 D2 F' U' F L2
D L2 D2 F' B2 U' F
D L2 D2 B2 F' U' F
U' L2 F U F2 U' F2
U' L2 F D R2 D' F2
B' L2 F' L U' L' F
B' L2 F' L2 U' L2 F
B2 L2 F' L U' L' F
U L2 F D R2 F2 B
U L2 F D R2 B F2
D2 L2 F' U R2 U2 F
B2 L2 F' L2 U' L2 F
B L2 F' L U' L' F
D2 L2 F' U' D2 F L2
L2 U L2 F' L2 U' B'
D2 L2 F' U' F D2 L2
D' L2 F' U' D F L2
D' L2 F' U' F D L2
B L2 F' L2 U' L2 F
D2 L2 F' D B2 U' F
D' L2 F' D U' F L2
D2 L2 F' D2 U' F L2
R' U R D' F' B2 U'
R' U R D' B2 F' U'
U L2 F' L2 U' B' L2
D L2 F' U' F D' L2
D' L2 F' B2 U' D F
D' L2 F' B2 U' D' F
D' L2 F' B2 U' D2 F
D' L2 F' B2 U' F D
D' L2 F' B2 U' F D'
D' L2 F' B2 U' F D2
D' L2 F' B2 D U' F
D' L2 F' B2 D' U' F
D' L2 F' B2 D2 U' F
D L2 F' U2 F' U F2
R' U R F' U' L2 D
R' U R F' U' L2 D'
R' U R F' U' L2 D2
R' U R F' D' B2 U'
R' U R F' B U' L2
R' U R F' B' U' L2
R' U R F' B2 U' L2
R' U R B F' U' L2
R' U R B' F' U' L2
R' U R B2 F' U' L2
U' L2 F2 U F U' F'
F L2 F2 L U' L' F
F L2 F2 L2 U' L2 F
F2 L2 F2 U' B' U B
F' L2 B D L2 U' L2
R U R' F U' L2 R
R U R' F U' R L2
L2 U R2 U2 B U B'
R2 U R2 D' F' B2 U'
R2 U R2 D' B2 F' U'
R2 U R2 F' U' L2 D
R2 U R2 F' U' L2 D'
R2 U R2 F' U' L2 D2
R2 U R2 F' D' B2 U'
R2 U R2 F' B U' L2
R2 U R2 F' B' U' L2
R2 U R2 F' B2 U' L2
R2 U R2 B F' U' L2
R2 U R2 B' F' U' L2
R2 U R2 B2 F' U' L2
D' L2 B2 L F' U' F
D' L2 B2 L' F' U' F
D' L2 B2 L2 F' U' F
L2 U D F' U F U2
D' L2 B2 D F' U' F
D' L2 B2 D' F' U' F
D' L2 B2 D2 F' U' F
D' L2 B2 F' U' D F
D' L2 B2 F' U' D' F
D' L2 B2 F' U' D2 F
D' L2 B2 F' U' F D
D' L2 B2 F' U' F D'
D' L2 B2 F' U' F D2
D' L2 B2 F' D U' F
D' L2 B2 F' D' U' F
D' L2 B2 F' D2 U' F
L2 U D' F' U F U2
L2 U D2 F' U F U2
L2 U F R2 F2 U' B
L2 U F U' D R2 B
R2 U F R2 F' U' L2
L2 U F D U' R2 B
R U F R' U' L2 R2
R U F R' U' R2 L2
L' U F' U F U2 L'
L2 U F' R U F U2
L2 U F' R' U F U2
L2 U F' R2 U F U2
L2 U F' U D F U2
L2 U F' U D' F U2
L2 U F' U D2 F U2
L2 U F' U F U2 D
L2 U F' U F U2 D'
L2 U F' U F U2 D2
L2 U F' U F D U2
L2 U F' U F D' U2
L2 U F' U F D2 U2
L2 U F' U' L2 B' L2
R2 U F' R2 F' U' L2
L2 U F' U2 L2 U B'
L2 U F' D U F U2
L2 U F' D' U F U2
L U F' U F U2 L
L2 U F' D2 U F U2
L U F' U' L2 B' L'
R2 U F2 R2 F' U' L2
L2 U F2 D R2 F U'
L2 U F2 D F R2 U'
L2 U F2 D2 F U' B2
R' U B R F' U' L2
R' U B' R F' U' L2
R' U B2 R F' U' L2
F' R D' R' B2 U' F
L U' L U F' U' F
L' U' L' U F' U' F
F2 R F R' U' F L2
U R F' U' L2 B' R'
F R F2 R' U' L2 F'
F R F2 R' U' F' L2
U2 R B U L2 F R
L2 U' R2 B R2 U B'
R2 U' D F2 B U B
R2 U' D B F2 U B
B' R' L2 U R F' U'
B2 R' L2 U R F' U'
B R' L2 U R F' U'
D' R' U R F' B2 U'
D' R' U R B2 F' U'
B' R' U R F' U' L2
B2 R' U R F' U' L2
B R' U R F' U' L2
D' R' U B2 R F' U'
L2 U' B U2 F' U' B'
R2 U' B U L2 D B2
R2 U' B U2 R2 U' L2
R2 U' B D F2 U B2
L2 U' B' U2 F' U' B
F' R' D' R B2 U' F
L2 U' B2 U2 F' U' B2
F' R' D' B2 R U' F
F' R' B R U' F L2
F' R' B' R U' F L2
D' R' B2 R F' U' F
F' R' B2 R U' F L2
B' R2 L2 U R2 F' U'
U' R2 L2 U' B R2 U
B2 R2 L2 U R2 F' U'
B R2 L2 U R2 F' U'
F R2 L2 D R2 F' B2
F R2 L2 D R2 B2 F'
D' R2 U R2 F' B2 U'
D' R2 U R2 B2 F' U'
B' R2 U R2 F' U' L2
B2 R2 U R2 F' U' L2
B R2 U R2 F' U' L2
U2 R2 U B U B' L2
F' R2 U' F L2 D B2
U' R2 U' B R2 U L2
U R2 U B U L2 F
U R2 U2 B U B' L2
L' D L F' U' F L2
L2 D L F' U' F L'
L2 D L' F' U' F L
F2 R2 F R2 U' F L2
L' D L2 F' U' F L
U2 R2 F B U L2 F
L D L' F' U' F L2
L2 D L2 F' U' F L2
U2 R2 F' B U L2 F
L D L2 F' U' F L'
L2 D R' U R F' U'
U2 R2 F2 B U L2 F
U' R2 B R2 U B' L2
F' R2 B R2 U' F L2
F R2 F2 R2 U' L2 F'
F R2 F2 R2 U' F' L2
U2 R2 B R U L2 F
U2 R2 B R' U L2 F
U2 R2 B R2 U L2 F
U2 R2 B U L2 D F
U2 R2 B U L2 D' F
U2 R2 B U L2 D2 F
U2 R2 B U L2 F D
U2 R2 B U L2 F D'
U2 R2 B U L2 F D2
U2 R2 B U F L2 F
U2 R2 B U F' L2 F
U2 R2 B U F2 L2 F
U2 R2 B U' B' U2 L2
L2 D R2 U R2 F' U'
U2 R2 B F U L2 F
U2 R2 B F' U L2 F
F' R2 B' R2 U' F L2
U2 R2 B F2 U L2 F
F' R2 B2 R2 U' F L2
L2 D U F' U F U2
R2 D U' F2 B U B
R2 D U' B F2 U B
L' D F' U' F L' D
L' D F' U' F L' D'
L' D F' U' F L' D2
L' D F' U' F D L'
L' D F' U' F D' L'
L' D F' U' F D2 L'
L2 D F' L U' L' F
L2 D F' L2 U' L2 F
F' U L2 B' L2 U2 L2
L' D F' B U' F L'
L' D F' B' U' F L'
L' D F' B2 U' F L'
F' U R U2 F L2 D
F' U R U2 F L2 D'
F' U R U2 F L2 D2
F' U R U2 F' L2 F2
F' U R U2 F2 L2 F'
F' U R D2 R2 U2 F
L D F' U' D F L
L D F' U' D' F L
L D F' U' D2 F L
L D F' U' F L D
L D F' U' F L D'
L D F' U' F L D2
L D F' U' F D L
L D F' U' F D' L
L D F' U' F D2 L
L D F' U' F' L F2
L D F' U' F2 L F'
F' U R B U2 F L2
F' U R B' U2 F L2
L D F' D U' F L
F' U R B2 U2 F L2
L D F' D' U' F L
