B2 R' U' R' F' B
B2 R' U' R' B F'
F' U' L' B2 U' R2
B2 U' R' F' R' B
F' U' B2 L' U' R2
B2 L R' U' R' F' B
B2 L R' U' R' B F'
U L R2 D F L2 B
U L R2 D F B L2
U L R2 D B F L2
U L R2 F D L2 B
U L R2 F D B L2
B' L U R2 B L F
F' L U' L2 B2 U' R2
B2 L U' R' F' R' B
F' L U' B2 L2 U' R2
F' L U2 R2 D L2 F2
F' L U2 R2 D F2 L2
U L B2 U' R2 F B
U L B2 U' R2 B F
B2 L' R' U' R' F' B
B2 L' R' U' R' B F'
U L' R2 D L2 F B
U L' R2 D L2 B F
F' L' U' R2 D L2 B2
F' L' U' R2 D B2 L2
B2 L' U' R' F' R' B
F' L' F B2 U' R2 B
F' L' B2 U' R2 D B2
F' L' B2 F U' R2 B
U L' B2 U' R2 F' B
U L' B2 U' R2 B F'
B2 L2 R' U' R' F' B
B2 L2 R' U' R' B F'
F' L2 U' L B2 U' R2
B2 L2 U' R' F' R' B
R2 U L B2 U' F B'
R2 U L B2 U' B' F
F' R U' L' B2 U' R
F' R U' B2 L' U' R
F2 R D L2 R F' B'
F2 R D L2 R B' F'
F2 R D L2 B' R F'
F2 R D R L2 F' B'
F2 R D R L2 B' F'
R' U' R' D L2 F' B
R' U' R' D L2 B F'
R' U' R' D F' L2 B
R' U' R' D F' B L2
R' U' R' D B L2 F'
R' U' R' D B F' L2
R' U' R' F' D L2 B
R' U' R' F' D B L2
B2 R' L U' R' F' B
B2 R' L U' R' B F'
B2 R' L' U' R' F' B
B2 R' L' U' R' B F'
B2 R' L2 U' R' F' B
B2 R' L2 U' R' B F'
B2 R' U' R' D F' B
B2 R' U' R' D B F'
B2 R' U' R' D' F' B
B2 R' U' R' D' B F'
B2 R' U' R' D2 F' B
B2 R' U' R' D2 B F'
B2 R' U' R' F' D B
B2 R' U' R' F' D' B
B2 R' U' R' F' D2 B
B2 R' U' R' F' B D
B2 R' U' R' F' B D'
B2 R' U' R' F' B D2
B2 R' U' R' B D F'
B2 R' U' R' B D' F'
B2 R' U' R' B D2 F'
B2 R' U' R' B F' D
B2 R' U' R' B F' D'
B2 R' U' R' B F' D2
B2 R' U' F R' F' B
B2 R' U' F R' B F'
B2 R' U' F' R' F' B
B2 R' U' F' R' B F'
B R' U' R' F' B L
B R' U' R' B L F'
B R' U' R' B F' L
B2 R' U' F2 R' F' B
B2 R' U' F2 R' B F'
U' R' F' R' D L2 B
U' R' F' R' D B L2
B2 R' F' L' U' R' B
U R2 L D F L2 B
U R2 L D F B L2
U R2 L D B F L2
U R2 L F D L2 B
U R2 L F D B L2
U R2 L' D L2 F B
U R2 L' D L2 B F
F' R2 U L' B2 R' U'
U R2 D L F L B
U R2 D B L F L
U2 R2 B U L B U'
U R2 B U B L U'
B2 U L U2 R2 F B
B2 U L U2 R2 B F
B2 U L F' U2 R2 F2
B2 U L F' U2 F2 R2
B2 U L' F' B' U2 R2
F' U L' B2 R' U' R'
B2 U L' B' U2 R2 B
B2 U L' B' F' U2 R2
B2 U F' L U2 R2 F
B2 U F' L U2 F R2
B2 U F' L' B' U2 R2
B2 U F' U2 R' F' R'
F' U' L B2 L2 U' R2
F' U' L' U' R2 D L2
F' U' L' F B2 U' R2
F' U' L' F' B2 U' R2
F' U' L' F2 B2 U' R2
F' U' L' B2 U' R2 D
F' U' L' B2 U' R2 D'
F' U' L' B2 U' R2 D2
F' U' L' B2 D' F2 U'
F' U' L' B2 F U' R2
F' U' L' B2 F' U' R2
F' U' L' B2 F2 U' R2
B2 U' R' F R' F2 B
B2 U' R' F R' B F2
B2 U' R' F' R' D B
B2 U' R' F' R' D' B
B2 U' R' F' R' D2 B
B2 U' R' F' R' B D
B2 U' R' F' R' B D'
B2 U' R' F' R' B D2
B2 U' R' F2 R' F B
B2 U' R' F2 R' B F
B2 U' R2 B R F' R'
F' U' B L' B U' R2
B2 U' B R' F' R' B
B2 U' B' R' F' R' B
F' U' B2 L' U' R2 D
F' U' B2 L' U' R2 D'
F' U' B2 L' U' R2 D2
F' U' B2 L' D' F2 U'
F' U' B2 L' F U' R2
F' U' B2 L' F' U' R2
F' U' B2 L' F2 U' R2
B2 U' B2 R' F' R' B
F' U' B2 D' L' F2 U'
F' U2 L R2 D L2 F2
F' U2 L R2 D F2 L2
F' U2 L' B2 U' R2 B2
F' U2 L' B2 U' B2 R2
B2 U2 R' U R' F' B
B2 U2 R' U R' B F'
F' U2 R2 L D L2 F2
F' U2 R2 L D F2 L2
F' U2 R2 U L' B2 U'
F' U2 R2 U B2 L' U'
B U2 B L U' R2 B
B2 U2 B' R' U R' B
F' U2 B2 L' U' R2 B2
F' U2 B2 L' U' B2 R2
R2 F' L D L2 F2 B
R2 F' L D L2 B F2
R2 F' L D F2 L2 B
R2 F' L D F2 B L2
R2 F' L D B L2 F2
R2 F' L D B F2 L2
R2 F' U L' B2 U' B'
L' F' U' L' B2 U' R2
L2 F' U' L' B2 U' R2
