U' L U' F B U2
U' L U' B F U2
U' L' R2 U F' B'
U' L' R2 U B' F'
U' L' U B' D2 F2
U' L' U' B U2 B2
U' R2 L' U F' B'
U' R2 L' U B' F'
B' U R' U B2 U2
B' U R' U' D2 F2
B' U R' D L2 U'
B' U R' D2 U' F2
B' U D L2 R' U'
B' U D R' L2 U'
B' U D2 R' U' F2
B U' L U2 L' U'
B2 U2 B' U L U
B' U2 B2 U L U
U2 F B U' R U'
B' D U L2 R' U'
B' D U R' L2 U'
U2 F' B U L' U
B' D2 U R' U' F2
B' D2 F2 U R' U'
U2 B U L' U B'
U2 B U' R U' B
U2 B F U' R U'
U2 B F' U L' U
R2 L U' L' F' R2 B'
R2 L U' L' F' B' R2
R2 L U' L' B' F' R2
U' L R2 U F' D2 B2
U' L R2 U' F U2 F2
U' L U' D F B U2
U' L U' D B F U2
U' L U' D' F B U2
U' L U' D' B F U2
U' L U' D2 F B U2
U' L U' D2 B F U2
U' L U' F D B U2
U' L U' F D' B U2
U' L U' F D2 B U2
U' L U' F B U2 D
U' L U' F B U2 D'
U' L U' F B U2 D2
U' L U' F B D U2
U' L U' F B D' U2
U' L U' F B D2 U2
U' L U' B D F U2
U' L U' B D' F U2
U' L U' B D2 F U2
U' L U' B F U2 D
U' L U' B F U2 D'
U' L U' B F U2 D2
U' L U' B F D U2
U' L U' B F D' U2
U' L U' B F D2 U2
B2 L D L F B' L2
B2 L D L B' F L2
U' L D U' F B U2
U' L D U' B F U2
U' L D' U' F B U2
U' L D' U' B F U2
U' L D2 U' F B U2
U' L D2 U' B F U2
U' L' R2 U D F' B'
U' L' R2 U D B' F'
U' L' R2 U D' F' B'
U' L' R2 U D' B' F'
U' L' R2 U D2 F' B'
U' L' R2 U D2 B' F'
U' L' R2 U F' D B'
U' L' R2 U F' D' B'
U' L' R2 U F' D2 B'
U' L' R2 U F' B' D
U' L' R2 U F' B' D'
U' L' R2 U F' B' D2
U' L' R2 U B' D F'
U' L' R2 U B' D' F'
U' L' R2 U B' D2 F'
U' L' R2 U B' F' D
U' L' R2 U B' F' D'
U' L' R2 U B' F' D2
U' L' R2 D U F' B'
U' L' R2 D U B' F'
U' L' R2 D' U F' B'
U' L' R2 D' U B' F'
U' L' R2 D2 U F' B'
U' L' R2 D2 U B' F'
U' L' U R2 F' R2 B'
U' L' U R2 F' B' R2
U' L' U R2 B' F' R2
U' L' U D B' D2 F2
U' L' U D' B' D2 F2
U' L' U D2 B' D2 F2
U' L' U F B' D2 F2
U' L' U F' B' D2 F2
U' L' U F2 B' D2 F2
U' L' U B' U2 B2 U2
U' L' U B' D2 F2 D
U' L' U B' D2 F2 D'
U' L' U B' D2 F2 D2
U' L' U B' F D2 F2
U' L' U B' F' D2 F2
U' L' U B' F2 D2 F2
U' L' U' D B U2 B2
U' L' U' D' B U2 B2
U' L' U' D2 B U2 B2
U' L' U' F B U2 B2
U' L' U' F' B U2 B2
U' L' U' F2 B U2 B2
U' L' U' B U2 B2 D
U' L' U' B U2 B2 D'
U' L' U' B U2 B2 D2
U' L' U' B D2 F2 U2
U' L' U' B F U2 B2
U' L' U' B F' U2 B2
U' L' U' B F2 U2 B2
U' L' U2 R2 U' F' B'
U' L' U2 R2 U' B' F'
U' L' D R2 U F' B'
U' L' D R2 U B' F'
U' L' D U B' D2 F2
U' L' D U' B U2 B2
B L' D' L B2 D2 F2
U' L' D' R2 U F' B'
U' L' D' R2 U B' F'
U' L' D' U B' D2 F2
U' L' D' U' B U2 B2
U' L' D2 R2 U F' B'
U' L' D2 R2 U B' F'
U' L' D2 U B' D2 F2
U' L' D2 U' B U2 B2
L R2 U' L' F' R2 B'
L R2 U' L' F' B' R2
L R2 U' L' B' F' R2
B2 L2 F L D L B'
R U R U' F' B R2
R U R U' B F' R2
R' U R2 U' R' F' B
R' U R2 U' R' B F'
U R U' R F' R' B
U' R U2 R U' F' B
U' R U2 R U' B F'
U R U' B R F' R'
B' R D R' B2 D F2
B2 R D' R' B D2 F2
U' R D2 L' U F B'
U' R D2 L' U B' F
B' R D2 R' F2 D' B2
B' R D2 F2 R' D' B2
B' R D2 F2 D' R' B2
U R D2 L' U' F B
U R D2 L' U' B F
R2 U' L' U F' R2 B'
R2 U' L' U F' B' R2
R2 U' L' U B' F' R2
U R' U F' U' L' U'
B' R' D L2 U' L2 R
B' R' D L2 U' R L2
U' R2 L U F' D2 B2
U' R2 L U' F U2 F2
U' R2 L' U D F' B'
U' R2 L' U D B' F'
U' R2 L' U D' F' B'
U' R2 L' U D' B' F'
U' R2 L' U D2 F' B'
U' R2 L' U D2 B' F'
U' R2 L' U F' D B'
U' R2 L' U F' D' B'
