R' U L2 B U2 B2
R U L2 U2 F' B'
R U L2 U2 B' F'
R' U F L2 B U2
R' U F B L2 U2
R U F L2 U2 F2
R' U B L2 U2 B'
R' U B F L2 U2
U' R F' D2 R2 B2
U' R F' D2 B2 R2
R U' F' D2 R2 B2
R U' F' D2 B2 R2
R' L U L B U2 B2
L R U L U2 F' B'
L R U L U2 B' F'
R L U L U2 F' B'
R L U L U2 B' F'
L R' U L B U2 B2
F' L' U F2 U2 R F'
U L' U2 F2 R F' B
U L' U2 F2 R B F'
L2 R' B U' B' U' B'
U L' D2 L' U2 F B'
U L' D2 L' U2 B' F
U L' F2 U2 R F' B
U L' F2 U2 R B F'
U' L2 R U2 F' B' L2
U' L2 R U2 B' L2 F'
U' L2 R U2 B' F' L2
U' L2 R' B U2 L2 B2
U' L2 R' B U2 B2 L2
F L2 R' B U' B' U'
U L2 R' B R U2 B2
U L2 U R U F' B'
U L2 U R U B' F'
U L2 U' R U' F' B'
U L2 U' R U' B' F'
R' L2 B U' B' U' B'
U L2 U2 R F' R' B'
U L2 U2 B' R F' R'
R' U L' B L' U2 B'
R' U L2 U2 B' D2 F2
R' U L2 D B U2 B2
R' U L2 D' B U2 B2
R' U L2 D2 B U2 B2
R' U L2 F B U2 B2
R' U L2 F' B U2 B2
R' U L2 F2 B U2 B2
R' U L2 B U2 B2 D
R' U L2 B U2 B2 D'
R' U L2 B U2 B2 D2
R' U L2 B D2 F2 U2
R' U L2 B F U2 B2
R' U L2 B F' U2 B2
R' U L2 B F2 U2 B2
R U L2 U2 D F' B'
R U L2 U2 D B' F'
R U L2 U2 D' F' B'
R U L2 U2 D' B' F'
R U L2 U2 D2 F' B'
R U L2 U2 D2 B' F'
R U L2 U2 F' D B'
R U L2 U2 F' D' B'
R U L2 U2 F' D2 B'
R U L2 U2 F' B' D
R U L2 U2 F' B' D'
R U L2 U2 F' B' D2
R U L2 U2 B' D F'
R U L2 U2 B' D' F'
R U L2 U2 B' D2 F'
R U L2 U2 B' F' D
R U L2 U2 B' F' D'
R U L2 U2 B' F' D2
R U L2 D U2 F' B'
R U L2 D U2 B' F'
R U L2 D' U2 F' B'
R U L2 D' U2 B' F'
R U L2 D2 U2 F' B'
R U L2 D2 U2 B' F'
R U L2 F U2 F2 B'
R U L2 F U2 B' F2
R U L2 F2 U2 F B'
R U L2 F2 U2 B' F
R U L2 B U2 F' B2
R U L2 B U2 B2 F'
R U L2 B2 U2 F' B
R U L2 B2 U2 B F'
R' U D2 F U2 R2 F'
R' U D2 F B U2 R2
R' U D2 B F U2 R2
R' U F L' B L' U2
R' U F L2 D B U2
R' U F L2 D' B U2
R' U F L2 D2 B U2
R' U F L2 B U2 D
R' U F L2 B U2 D'
R' U F L2 B U2 D2
R' U F L2 B D U2
R' U F L2 B D' U2
R' U F L2 B D2 U2
R U D2 F U2 R2 F2
R U D2 F U2 F2 R2
R' U F U2 D2 R2 F'
R2 U F L2 U R U
R' U F D2 U2 R2 F'
R' U F D2 B U2 R2
R' U F B L2 U2 D
R' U F B L2 U2 D'
R' U F B L2 U2 D2
R' U F B L2 D U2
R' U F B L2 D' U2
R' U F B L2 D2 U2
R' U F B U2 D2 R2
R' U F B D2 U2 R2
R' U F B' L2 B2 U2
R U F L' U2 F2 R
R' U F B2 L2 U2 F
U' R L2 U2 F' B' L2
U' R L2 U2 B' L2 F'
U' R L2 U2 B' F' L2
R U F L2 U2 F2 D
R U F L2 U2 F2 D'
R U F L2 U2 F2 D2
R U F L2 D2 B2 U2
R U F L2 B U2 F2
R U F L2 B' U2 F2
R U F L2 B2 U2 F2
R' U F' L2 F2 B U2
R' U F' L2 B F2 U2
R U F U2 F2 D2 R2
R U F D2 B2 U2 R2
R U F B L2 U2 F2
R U F B' L2 U2 F2
F' R U L2 F2 U2 F
R U F B2 L2 U2 F2
R' U F' B L2 F2 U2
R U F' L2 F2 U2 F2
R' U F2 L2 F' B U2
R' U F2 L2 B F' U2
F' R U F2 L2 B' U2
U2 R U F' D2 R2 B2
U2 R U F' D2 B2 R2
R' U F2 B L2 F' U2
U2 R U' L2 U2 F' B'
U2 R U' L2 U2 B' F'
R U F2 L2 F' B' U2
R U F2 L2 B' F' U2
R' U B L2 U2 D B'
R' U B L2 U2 D' B'
R' U B L2 U2 D2 B'
R' U B L2 U2 B' D
R' U B L2 U2 B' D'
R' U B L2 U2 B' D2
R' U B L2 D U2 B'
R' U B L2 D' U2 B'
R' U B L2 D2 U2 B'
R' U B L2 F U2 B'
R' U B L2 F' U2 B'
F' R U' D2 F' R2 B2
F' R U' D2 F' B2 R2
R' U B L2 F2 U2 B'
F' R U' D2 B2 F' R2
F' R U' F' D2 R2 B
U2 R U' F L2 U2 F2
U' R U2 L2 U2 F' B'
U' R U2 L2 U2 B' F'
R' U B D2 F U2 R2
R' U B F L2 U2 D
R' U B F L2 U2 D'
R' U B F L2 U2 D2
R' U B F L2 D U2
R' U B F L2 D' U2
R' U B F L2 D2 U2
R' U B F U2 D2 R2
R' U B F D2 U2 R2
R' U B F' L2 F2 U2
R' U B F2 L2 F' U2
R U B L2 U2 F' B'
R U B L2 U2 B' F'
R' U B' L2 B2 U2 B
U' R U2 F L2 U2 F2
R U B F L2 U2 F2
R' U B' F L2 B2 U2
R U B' L2 U2 F' B'
R U B' L2 U2 B' F'
R' U B2 L2 U2 F B'
R' U B2 L2 U2 B' F
F' R D F2 R2 U' F
R U B' F L2 U2 F2
R' U B2 F L2 U2 F
R U B2 L2 U2 F' B'
R U B2 L2 U2 B' F'
R U B2 F L2 U2 F2
F' R D2 U' F' R2 B2
F' R D2 U' F' B2 R2
F' R D2 U' B2 F' R2
U' R D2 F' R2 D2 B2
U' R D2 F2 R2 F B
U' R D2 F2 R2 B F
U' R F L2 U2 L2 F2
U' R F L2 U2 F2 L2
U R F L2 R' U2 F2
U R F R' L2 U2 F2
R' U' L2 B U2 L2 B2
R' U' L2 B U2 B2 L2
U' R F' R D2 R2 B2
U' R F' R D2 B2 R2
U' R F' R' D2 R2 B2
U' R F' R' D2 B2 R2
U' R F' R2 D2 R2 B2
U' R F' R2 D2 B2 R2
U' R F' U2 L2 F2 U2
U' R F' U2 F2 L2 U2
R U' L2 U2 F' B' L2
R U' L2 U2 B' L2 F'
R U' L2 U2 B' F' L2
U' R F' D2 R B2 R
U' R F' D2 R2 B2 D
U' R F' D2 R2 B2 D'
U' R F' D2 R2 B2 D2
U' R F' D2 B' R2 B'
U' R F' D2 B2 R2 D
U' R F' D2 B2 R2 D'
U' R F' D2 B2 R2 D2
U' R F' B D2 R2 B2
U' R F' B D2 B2 R2
U' R F' B' D2 R2 B2
U' R F' B' D2 B2 R2
U' R F' B2 D2 R2 B2
U' R F' B2 D2 B2 R2
U R F' D2 B2 L R2
U R F' D2 B2 R2 L
U' R F2 D2 R2 F B
U' R F2 D2 R2 B F
U' R B F' D2 R2 B2
U' R B F' D2 B2 R2
R' U' R2 F' D2 R2 B2
R' U' R2 F' D2 B2 R2
U' R B' F' D2 R2 B2
U' R B' F' D2 B2 R2
U' R B2 F' D2 R2 B2
U' R B2 F' D2 B2 R2
R' U' D2 R2 F' D2 B2
R' U' D2 F2 R2 F' B
R' U' D2 F2 R2 B F'
R' U' F L2 B U2 L2
R U' D2 F' R2 D2 B2
R U' D2 F2 R2 F B
R U' D2 F2 R2 B F
R' U' F B L2 U2 L2
R U' F L2 U2 L2 F2
R U' F L2 U2 F2 L2
U' R' L2 B U2 L2 B2
U' R' L2 B U2 B2 L2
R' U' F' D2 R2 F' B2
R' U' F' D2 R2 B2 F'
F' R' U L2 F2 B U2
F' R' U L2 B F2 U2
R U' F' R D2 R2 B2
R U' F' R D2 B2 R2
F R' L2 B U' B' U'
R U' F' R' D2 R2 B2
R U' F' R' D2 B2 R2
U R' L2 B R U2 B2
R U' F' R2 D2 R2 B2
R U' F' R2 D2 B2 R2
F' R' U F2 L2 B U2
F' R' U F2 B L2 U2
F' R' U B L2 F2 U2
F' R' U B F2 L2 U2
R U' F' U2 L2 F2 U2
R U' F' U2 F2 L2 U2
R' U' F2 D2 R2 F' B
R' U' F2 D2 R2 B F'
R U' F' D2 R B2 R
R U' F' D2 R2 B2 D
R U' F' D2 R2 B2 D'
R U' F' D2 R2 B2 D2
R U' F' D2 B' R2 B'
R U' F' D2 B2 R2 D
R U' F' D2 B2 R2 D'
R U' F' D2 B2 R2 D2
R U' F' B D2 R2 B2
R U' F' B D2 B2 R2
R U' F' B' D2 R2 B2
R U' F' B' D2 B2 R2
R U' F' B2 D2 R2 B2
R U' F' B2 D2 B2 R2
R' U' B L2 U2 B' L2
U2 R' U' L2 B U2 B2
F' R' U' D2 R2 F' B2
F' R' U' D2 R2 B2 F'
U2 R' U' F L2 B U2
U2 R' U' F B L2 U2
R' U' B F L2 U2 L2
U2 R' U' B L2 U2 B'
R U' F2 D2 R2 F B
R U' F2 D2 R2 B F
U2 R' U' B F L2 U2
U' R' U2 L2 B U2 B2
U' R' U2 F L2 B U2
U' R' U2 F B L2 U2
U' R' U2 B L2 U2 B'
U' R' U2 B F L2 U2
R' U' B' D2 F2 R2 B
R U' B F' D2 R2 B2
R U' B F' D2 B2 R2
F' R' D R2 F2 U' F
F' R' D F2 R2 U' F'
R U' B' F' D2 R2 B2
R U' B' F' D2 B2 R2
R U' B2 F' D2 R2 B2
R U' B2 F' D2 B2 R2
U' R' D2 R2 F' D2 B2
F' R' D2 U' R2 F' B2
F' R' D2 U' R2 B2 F'
U' R' D2 F2 R2 F' B
U' R' D2 F2 R2 B F'
U' R' F L2 B U2 L2
U' R' F B L2 U2 L2
U' R' F' D2 R2 F' B2
U' R' F' D2 R2 B2 F'
L2 U2 R U F' R' B'
U' R' F2 D2 R2 F' B
U' R' F2 D2 R2 B F'
U' R' B L2 U2 B' L2
U' R' B F L2 U2 L2
F R' B L2 U F U
U R' B L2 R U2 B'
U R' B R L2 U2 B'
U R' B R F L2 U2
U' R' B' D2 F2 R2 B
R D L2 F2 U' F B'
R D L2 F2 U' B' F
F' U L' F2 U2 R F'
R' D F2 R2 U' F' B
R' D F2 R2 U' B F'
R' D F2 U F' B U2
R' D F2 U B F' U2
R D F2 R2 U' F B
R D F2 R2 U' B F
R D F2 U F' U2 F2
R D F2 U' F D2 B2
D2 U F L B' U2 R2
D2 U F L' U2 R2 F
