B' U R' B U B
B' L U R' B U B
U' L U' D F B R'
U' L U' D B R' F
U' L U' D B F R'
U' L U' F D B R'
U' L D U' F B R'
U' L D U' B R' F
U' L D U' B F R'
B' L' U R' B U B
B' L2 U R' B U B
B' R' F2 B U L' B
B' R' F2 B U B L'
B' R' B F2 U L' B
B' R' B F2 U B L'
B' U L R' B U B
U' D L U' F B R'
U' D L U' B R' F
U' D L U' B F R'
B' U L' R' B U B
B' U L2 R' B U B
B' U R' L B U B
B' U R' L' B U B
B' U R' L2 B U B
B' U R' D L2 B U
B' U R' D B L2 U
B' U R' B L U B
B' U R' B L' U B
B' U R' B L2 U B
B' U R' B U D B
B' U R' B U D' B
B' U R' B U D2 B
B' U R' B U B D
B' U R' B U B D'
B' U R' B U B D2
B' U R' B D U B
B' U R' B D' U B
B' U R' B D2 U B
B2 U R' B R' U B2
U2 D F B R' D' F2
U2 D B F R' D' F2
B2 U B R' B U B
D U' L U' F B R'
D U' L U' B R' F
D U' L U' B F R'
B U' L F2 R F' U'
D U2 F B R' D' F2
D U2 B F R' D' F2
B2 U2 D' R F' R B'
B2 U2 D' R F' B' R
B2 U2 D' R B' F' R
B2 U2 D' F' R F' B'
B2 U2 D' F' R B' F'
B2 U2 D' F' B' R F'
B2 U2 D' B' R F' R
B2 U2 D' B' F' R F'
B2 D L B' L F U2
U2 F D B R' D' F2
B2 D B' L B' U2 B
R F' U R' U2 F' B
R F' U R' U2 B F'
B2 D' U2 R F' R B'
B2 D' U2 R F' B' R
B2 D' U2 R B' F' R
B2 D' U2 F' R F' B'
B2 D' U2 F' R B' F'
B2 D' U2 F' B' R F'
B2 D' U2 B' R F' R
B2 D' U2 B' F' R F'
B2 D' F' U2 R F' B'
B2 D' F' U2 R B' F'
B2 D' F' U2 B' R F'
U2 F2 D B R F' R2
D B L' R' D F2 L'
D B L' D R' F2 L'
D B R' L' D F2 L'
D B R' F2 L' D F2
U B R' B U F' B'
U B R' B U B' F'
U2 B U' R' B U F'
B' F U R' B U B
D B' L U R' U B2
L' B' U R' B U B
U B' R' B U F' B
U B' R' B U B F'
L2 B' U R' B U B
D B' U R' U B2 R'
L B' U R' B U B
B' F' U R' B U B
F' B' U R' B U B
F2 B' U R' B U B
F B' U R' B U B
U B2 R' B U F' B2
U B2 R' B U B2 F'
B' F2 U R' B U B
