B L' R' D' F L'
F' L' U F B R'
F' L' U B R' F
F' L' U B F R'
B L' F R' D' L2
B L' F D' L2 R'
B L' F D' R' L2
B R' L' D' F L'
L' F B R' D' L2
L' F B D' L2 R'
L' F B D' R' L2
L' F' U F2 B R'
L' F' U B R' F2
L' F' U B F2 R'
D2 F' U B R F'
L' B R' D' F L'
L' B F R' D' L2
L' B F D' L2 R'
L' B F D' R' L2
B L R' D' L2 F L'
F' L U B R' D2 F2
F' L U B D2 R' F2
F' L U B D2 F2 R'
F' L U' B' L U2 B2
F' L U' B' U2 B2 R'
B L F R' D' L2 F
B L F D' L2 R' F
B L F D' L2 F R'
B L F D' R' L2 F
D2 L F' U B R F'
D L F' B' R U B2
B' L B' U F' U B'
D L B' F' R U B2
B L' R' D' F L' D
B L' R' D' F L' D'
B L' R' D' F L' D2
B L' R' D' F D L'
B L' R' D' F D' L'
B L' R' D' F D2 L'
F' L' U F B R' D
F' L' U F B R' D'
F' L' U F B R' D2
F' L' U F B D R'
F' L' U F B D' R'
F' L' U F B D2 R'
F' L' U F' B R' F2
F2 L' U F B L R'
F2 L' U F B R' L
F' L' U B R F R2
F' L' U B R' D F
F' L' U B R' D' F
F' L' U B R' D2 F
F' L' U B R' F D
F' L' U B R' F D'
F' L' U B R' F D2
F' L' U B D R' F
F' L' U B D F R'
F' L' U B D' R' F
F' L' U B D' F R'
F' L' U B D2 R' F
F' L' U B D2 F R'
F' L' U B F R' D
F' L' U B F R' D'
F' L' U B F R' D2
F' L' U B F D R'
F' L' U B F D' R'
F' L' U B F D2 R'
F' L' U B F' R' F2
F2 L' U B R' F L
F2 L' U B F L R'
F2 L' U B F R' L
B L' U' F' U R' F2
B L' U' F' U F2 R'
B L' D R' D' F L'
B L' D F R' D' L2
B L' D F D' L2 R'
B L' D F D' R' L2
B L' D' R' D' F L'
B L' D' F R' D' L2
B L' D' F D' L2 R'
B L' D' F D' R' L2
B L' D2 R' D' F L'
B L' D2 F R' D' L2
B L' D2 F D' L2 R'
B L' D2 F D' R' L2
B L' F L R' D' L2
B L' F L D' L2 R'
B L' F L D' R' L2
B L' F L' R' D' L2
B L' F L' D' L2 R'
B L' F L' D' R' L2
B L' F L2 R' D' L2
B L' F L2 D' L2 R'
B L' F L2 D' R' L2
B L' F R' L D' L2
B L' F R' L' D' L2
B L' F R' L2 D' L2
B L' F R' U' F2 U
B L' F R' D' L2 D
B L' F R' D' L2 D'
B L' F R' D' L2 D2
B L' F R2 D' L2 R
B L' F R2 D' R L2
B L' F U' F2 U R'
U' L' F B R' D' L2
U' L' F B D' L2 R'
U' L' F B D' R' L2
B L' F D' L2 R' D
B L' F D' L2 R' D'
B L' F D' L2 R' D2
B L' F D' L2 D R'
B L' F D' L2 D' R'
B L' F D' L2 D2 R'
U2 L' F B R' D' L2
B L' F D' R' L2 D
B L' F D' R' L2 D'
B L' F D' R' L2 D2
U2 L' F B D' L2 R'
U2 L' F B D' R' L2
B L' F D2 R' D L2
U L' F B R' D' L2
U L' F B D' L2 R'
U L' F B D' R' L2
D2 L' F' U B R F'
U' L' F' U F2 B R'
U' L' F' U B R' F2
U' L' F' U B F2 R'
B L' F' R' F2 D' L2
U2 L' F' U F2 B R'
U2 L' F' U B R' F2
U2 L' F' U B F2 R'
U L' F' U F2 B R'
U L' F' U B R' F2
U L' F' U B F2 R'
F L' F2 U F' B R'
F L' F2 U B F' R'
U' L' B R' D' F L'
U2 L' B R' D' F L'
F L' B R' D' F L2
U L' B R' D' F L'
U' L' B F R' D' L2
U' L' B F D' L2 R'
U' L' B F D' R' L2
U2 L' B F R' D' L2
U2 L' B F D' L2 R'
U2 L' B F D' R' L2
F L' B D' R' F L2
F L' B D' F L2 R'
F L' B D' F R' L2
U L' B F R' D' L2
U L' B F D' L2 R'
U L' B F D' R' L2
F' L' B' U F B2 R'
F' L' B' U B2 R' F
F' L' B' U B2 F R'
B L2 R' D' L F L'
D2 L2 F' U B R F'
L' U F B R' D' L2
L' U F B D' L2 R'
L' U F B D' R' L2
L' U F' U F2 B R'
L' U F' U B R' F2
L' U F' U B F2 R'
L2 U F' U B R' F'
L' U B R' D' F L'
L' U B F R' D' L2
L' U B F D' L2 R'
L' U B F D' R' L2
B R' L D' L2 F L'
B R' L' D' F L' D
B R' L' D' F L' D'
B R' L' D' F L' D2
B R' L' D' F D L'
B R' L' D' F D' L'
B R' L' D' F D2 L'
L' U' F B R' D' L2
L' U' F B D' L2 R'
L' U' F B D' R' L2
L' U' F' U F2 B R'
L' U' F' U B R' F2
L' U' F' U B F2 R'
B R' L2 D' L F L'
L' U' B R' D' F L'
L' U' B F R' D' L2
